,QUARTER,TIME_REMAINING,MIAMI_ACTION,CHARLOTTE_ACTION,MIAMI_SCORE,CHARLOTTE_SCORE
0,1,11:37.0,D. Wade misses 2-pt jump shot from 8 ft,,0,0
1,1,11:36.0,,Defensive rebound by C. Lee,0,0
2,1,11:21.0,,K. Walker misses 3-pt jump shot from 26 ft,0,0
3,1,11:19.0,Defensive rebound by D. Wade,,0,0
4,1,11:08.0,L. Deng makes 3-pt jump shot from 25 ft (assist by D. Wade),,3,0
5,1,10:52.0,,M. Williams misses 2-pt dunk at rim (block by J. Johnson),3,0
6,1,10:50.0,Defensive rebound by L. Deng,,3,0
7,1,10:46.0,L. Deng misses 2-pt layup from 1 ft,,3,0
8,1,10:45.0,,Defensive rebound by F. Kaminsky,3,0
9,1,10:36.0,,K. Walker misses 2-pt jump shot from 10 ft,3,0
10,1,10:35.0,Defensive rebound by L. Deng,,3,0
11,1,10:18.0,H. Whiteside makes 2-pt dunk at rim (assist by J. Johnson),,5,0
12,1,10:01.0,,A. Jefferson misses 2-pt jump shot from 8 ft,5,0
13,1,10:00.0,Defensive rebound by J. Johnson,,5,0
14,1,9:56.0,G. Dragić misses 2-pt layup from 1 ft (block by K. Walker),,5,0
15,1,9:56.0,,Defensive rebound by Team,5,0
16,1,9:37.0,,A. Jefferson makes 2-pt hook shot from 7 ft,5,2
17,1,9:26.0,G. Dragić misses 2-pt jump shot from 4 ft,,5,2
18,1,9:25.0,,Defensive rebound by A. Jefferson,5,2
19,1,9:04.0,,A. Jefferson misses 2-pt jump shot from 11 ft,5,2
20,1,9:03.0,Defensive rebound by L. Deng,,5,2
21,1,8:51.0,G. Dragić makes 3-pt jump shot from 24 ft (assist by D. Wade),,8,2
22,1,8:33.0,,K. Walker makes 2-pt layup from 2 ft,8,4
23,1,8:12.0,Personal foul by F. Kaminsky,,8,4
24,1,7:53.0,Turnover by H. Whiteside (3 sec),,8,4
25,1,7:45.0,,A. Jefferson misses 2-pt jump shot from 5 ft (block by H. Whiteside),8,4
26,1,7:43.0,Defensive rebound by G. Dragić,,8,4
27,1,7:39.0,L. Deng misses 3-pt jump shot from 26 ft,,8,4
28,1,7:37.0,,Defensive rebound by A. Jefferson,8,4
29,1,7:23.0,,C. Lee misses 3-pt jump shot from 25 ft,8,4
30,1,7:22.0,Defensive rebound by H. Whiteside,,8,4
31,1,7:10.0,D. Wade makes 2-pt jump shot from 7 ft,,10,4
32,1,6:53.0,,Personal foul by L. Deng,10,4
33,1,6:45.0,,K. Walker misses 2-pt jump shot from 15 ft,10,4
34,1,6:44.0,Defensive rebound by H. Whiteside,,10,4
35,1,6:31.0,J. Johnson makes 3-pt jump shot from 24 ft (assist by D. Wade),,13,4
36,1,6:25.0,,Charlotte full timeout,13,4
37,1,6:25.0,,J. Lin enters the game for C. Lee,13,4
38,1,6:18.0,,Personal foul by D. Wade,13,4
39,1,6:10.0,,Shooting foul by D. Wade (drawn by J. Lin),13,4
40,1,6:10.0,,J. Lin makes free throw 1 of 2,13,5
41,1,6:10.0,J. Richardson enters the game for D. Wade,,13,5
42,1,6:10.0,,J. Lin makes free throw 2 of 2,13,6
43,1,5:53.0,G. Dragić makes 2-pt layup from 2 ft (assist by J. Richardson),,15,6
44,1,5:36.0,,A. Jefferson makes 2-pt layup from 1 ft (assist by M. Williams),15,8
45,1,5:19.0,H. Whiteside makes 2-pt layup from 1 ft (assist by L. Deng),,17,8
46,1,5:19.0,Shooting foul by F. Kaminsky (drawn by H. Whiteside),,17,8
47,1,5:19.0,J. Winslow enters the game for L. Deng,,17,8
48,1,5:19.0,,C. Lee enters the game for F. Kaminsky,17,8
49,1,5:19.0,H. Whiteside misses free throw 1 of 1,,17,8
50,1,5:18.0,,Defensive rebound by Team,17,8
51,1,4:55.0,,K. Walker misses 2-pt jump shot from 7 ft,17,8
52,1,4:53.0,,Offensive rebound by A. Jefferson,17,8
53,1,4:53.0,,A. Jefferson misses 2-pt layup at rim,17,8
54,1,4:52.0,Defensive rebound by H. Whiteside,,17,8
55,1,4:43.0,J. Winslow misses 2-pt jump shot from 19 ft,,17,8
56,1,4:42.0,,Defensive rebound by M. Williams,17,8
57,1,4:26.0,,A. Jefferson makes 2-pt jump shot from 8 ft,17,10
58,1,4:12.0,G. Dragić makes 2-pt layup from 3 ft,,19,10
59,1,3:50.0,,Shooting foul by H. Whiteside (drawn by A. Jefferson),19,10
60,1,3:50.0,,A. Jefferson misses free throw 1 of 2,19,10
61,1,3:50.0,,Offensive rebound by Team,19,10
62,1,3:50.0,A. Stoudemire enters the game for H. Whiteside,,19,10
63,1,3:50.0,,A. Jefferson makes free throw 2 of 2,19,11
64,1,3:40.0,J. Johnson misses 2-pt jump shot from 18 ft,,19,11
65,1,3:39.0,,Defensive rebound by M. Williams,19,11
66,1,3:32.0,,Turnover by C. Lee (bad pass),19,11
67,1,3:32.0,,C. Zeller enters the game for A. Jefferson,19,11
68,1,3:23.0,Turnover by G. Dragić (lost ball),,19,11
69,1,3:13.0,,Turnover by K. Walker (lost ball),19,11
70,1,3:11.0,Miami full timeout,,19,11
71,1,3:11.0,,S. Hawes enters the game for M. Williams,19,11
72,1,2:53.0,J. Richardson misses 2-pt layup from 1 ft,,19,11
73,1,2:51.0,,Defensive rebound by C. Zeller,19,11
74,1,2:41.0,,Turnover by C. Lee (bad pass; steal by G. Dragić),19,11
75,1,2:33.0,A. Stoudemire makes 2-pt dunk at rim (assist by G. Dragić),,21,11
76,1,2:33.0,Shooting foul by S. Hawes (drawn by A. Stoudemire),,21,11
77,1,2:33.0,A. Stoudemire makes free throw 1 of 1,,22,11
78,1,2:18.0,,C. Zeller misses 2-pt layup from 1 ft,22,11
79,1,2:17.0,Defensive rebound by J. Johnson,,22,11
80,1,2:09.0,G. Dragić misses 2-pt jump shot from 15 ft,,22,11
81,1,2:08.0,,Defensive rebound by C. Zeller,22,11
82,1,2:01.0,,Shooting foul by A. Stoudemire (drawn by J. Lin),22,11
83,1,2:01.0,,J. Lin makes free throw 1 of 2,22,12
84,1,2:01.0,,J. Lin makes free throw 2 of 2,22,13
85,1,1:44.0,Turnover by J. Johnson (lost ball; steal by J. Lin),,22,13
86,1,1:25.0,,K. Walker makes 2-pt layup from 3 ft,22,15
87,1,1:25.0,,Shooting foul by J. Richardson (drawn by K. Walker),22,15
88,1,1:25.0,L. Deng enters the game for J. Johnson,,22,15
89,1,1:25.0,,K. Walker makes free throw 1 of 1,22,16
90,1,1:14.0,L. Deng makes 2-pt jump shot from 19 ft (assist by G. Dragić),,24,16
91,1,1:00.0,,C. Lee misses 2-pt jump shot from 14 ft,24,16
92,1,0:59.0,Defensive rebound by L. Deng,,24,16
93,1,0:50.0,G. Dragić misses 3-pt jump shot from 25 ft,,24,16
94,1,0:49.0,,Defensive rebound by C. Lee,24,16
95,1,0:43.0,,J. Lin makes 2-pt layup from 1 ft,24,18
96,1,0:43.0,,Shooting foul by A. Stoudemire (drawn by J. Lin),24,18
97,1,0:43.0,,J. Lin makes free throw 1 of 1,24,19
98,1,0:27.0,Personal foul by J. Lin,,24,19
99,1,0:17.0,L. Deng makes 2-pt layup from 1 ft (assist by G. Dragić),,26,19
100,1,0:04.0,,K. Walker misses 3-pt jump shot from 25 ft,26,19
101,1,0:02.0,Defensive rebound by J. Winslow,,26,19
102,1,0:01.0,J. Winslow misses 3-pt jump shot from 61 ft,,26,19
103,1,0:00.0,Offensive rebound by Team,,26,19
104,2,11:41.0,,J. Lin misses 2-pt layup from 3 ft (block by A. Stoudemire),26,19
105,2,11:39.0,Defensive rebound by A. Stoudemire,,26,19
106,2,11:25.0,D. Wade misses 2-pt jump shot from 19 ft,,26,19
107,2,11:24.0,,Defensive rebound by C. Zeller,26,19
108,2,11:04.0,,S. Hawes misses 2-pt hook shot from 8 ft,26,19
109,2,11:02.0,Defensive rebound by J. Winslow,,26,19
110,2,10:48.0,Shooting foul by M. Williams (drawn by L. Deng),,26,19
111,2,10:48.0,L. Deng makes free throw 1 of 3,,27,19
112,2,10:48.0,L. Deng makes free throw 2 of 3,,28,19
113,2,10:48.0,L. Deng makes free throw 3 of 3,,29,19
114,2,10:25.0,,S. Hawes misses 2-pt jump shot from 7 ft (block by D. Wade),29,19
115,2,10:25.0,,Offensive rebound by S. Hawes,29,19
116,2,10:25.0,,Shooting foul by J. Winslow (drawn by S. Hawes),29,19
117,2,10:25.0,,S. Hawes makes free throw 1 of 2,29,20
118,2,10:25.0,,S. Hawes makes free throw 2 of 2,29,21
119,2,10:14.0,A. Stoudemire makes 2-pt layup from 2 ft,,31,21
120,2,10:01.0,,C. Zeller makes 2-pt layup from 2 ft (assist by J. Lin),31,23
121,2,9:50.0,Turnover by A. Stoudemire (bad pass),,31,23
122,2,9:33.0,H. Whiteside enters the game for A. Stoudemire,,31,23
123,2,9:33.0,,Violation by Team (jump ball),31,23
124,2,9:33.0,,Turnover by C. Lee (jump ball violation.),31,23
125,2,9:20.0,H. Whiteside misses 2-pt layup from 2 ft,,31,23
126,2,9:18.0,Offensive rebound by J. Winslow,,31,23
127,2,9:15.0,L. Deng misses 3-pt jump shot from 25 ft,,31,23
128,2,9:14.0,,Defensive rebound by S. Hawes,31,23
129,2,9:02.0,,J. Lin makes 2-pt layup from 2 ft,31,25
130,2,8:45.0,D. Wade misses 2-pt jump shot from 6 ft (block by C. Lee),,31,25
131,2,8:43.0,,Defensive rebound by S. Hawes,31,25
132,2,8:38.0,,C. Lee misses 3-pt jump shot from 24 ft,31,25
133,2,8:37.0,Defensive rebound by J. Richardson,,31,25
134,2,8:34.0,Personal foul by C. Lee,,31,25
135,2,8:34.0,Official timeout,,31,25
136,2,8:21.0,Shooting foul by C. Zeller (drawn by D. Wade),,31,25
137,2,8:21.0,D. Wade misses free throw 1 of 2,,31,25
138,2,8:21.0,Offensive rebound by Team,,31,25
139,2,8:21.0,D. Wade makes free throw 2 of 2,,32,25
140,2,8:05.0,,C. Zeller makes 2-pt jump shot from 5 ft (assist by J. Lin),32,27
141,2,7:50.0,J. Richardson misses 3-pt jump shot from 26 ft,,32,27
142,2,7:49.0,,Defensive rebound by M. Williams,32,27
143,2,7:41.0,,M. Williams misses 3-pt jump shot from 27 ft,32,27
144,2,7:40.0,Defensive rebound by D. Wade,,32,27
145,2,7:34.0,Turnover by D. Wade (bad pass; steal by C. Lee),,32,27
146,2,7:27.0,,C. Lee makes 2-pt layup at rim (assist by J. Lin),32,29
147,2,7:27.0,Miami full timeout,,32,29
148,2,7:27.0,,K. Walker enters the game for M. Williams,32,29
149,2,7:27.0,D. Wright enters the game for J. Richardson,,32,29
150,2,7:27.0,G. Dragić enters the game for J. Winslow,,32,29
151,2,7:13.0,L. Deng misses 3-pt jump shot from 23 ft,,32,29
152,2,7:12.0,,Defensive rebound by C. Lee,32,29
153,2,6:48.0,,C. Lee makes 3-pt jump shot from 25 ft,32,32
154,2,6:29.0,D. Wright misses 2-pt jump shot from 16 ft (block by K. Walker),,32,32
155,2,6:27.0,,Defensive rebound by K. Walker,32,32
156,2,6:21.0,,K. Walker misses 3-pt jump shot from 25 ft,32,32
157,2,6:18.0,Defensive rebound by G. Dragić,,32,32
