,QUARTER,TIME_REMAINING,NEW ORLEANS_ACTION,CHARLOTTE_ACTION,NEW ORLEANS_SCORE,CHARLOTTE_SCORE
0,1,11:42.0,O. Johnson misses 2-pt jump shot from 18 ft,,0,0
1,1,11:41.0,,Defensive rebound by N. Batum,0,0
2,1,11:24.0,,C. Zeller makes 2-pt hook shot from 5 ft (assist by C. Lee),0,2
3,1,11:24.0,,Shooting foul by Ö. Aşık (drawn by C. Zeller),0,2
4,1,11:24.0,,C. Zeller makes free throw 1 of 1,0,3
5,1,11:14.0,Turnover by O. Johnson (bad pass; steal by M. Williams),,0,3
6,1,11:11.0,,Turnover by M. Williams (lost ball; steal by Ö. Aşık),0,3
7,1,11:06.0,J. Holiday makes 3-pt jump shot from 25 ft (assist by Ö. Aşık),,3,3
8,1,10:51.0,,K. Walker makes 3-pt jump shot from 25 ft (assist by M. Williams),3,6
9,1,10:39.0,A. Davis makes 2-pt jump shot from 16 ft,,5,6
10,1,10:15.0,,N. Batum makes 3-pt jump shot from 23 ft (assist by K. Walker),5,9
11,1,10:00.0,D. Cunningham makes 2-pt jump shot from 20 ft (assist by Ö. Aşık),,7,9
12,1,9:43.0,,Def 3 sec tech foul by Ö. Aşık,7,9
13,1,9:43.0,,N. Batum makes technical free throw,7,10
14,1,9:36.0,,C. Lee misses 2-pt jump shot from 19 ft,7,10
15,1,9:35.0,Defensive rebound by Ö. Aşık,,7,10
16,1,9:25.0,A. Davis makes 2-pt jump shot from 20 ft (assist by J. Holiday),,9,10
17,1,9:13.0,,M. Williams misses 3-pt jump shot from 24 ft,9,10
18,1,9:12.0,Defensive rebound by Team,,9,10
19,1,9:01.0,J. Holiday misses 3-pt jump shot from 25 ft,,9,10
20,1,9:00.0,,Defensive rebound by C. Lee,9,10
21,1,8:53.0,,C. Lee misses 2-pt jump shot from 13 ft,9,10
22,1,8:51.0,Defensive rebound by A. Davis,,9,10
23,1,8:42.0,Turnover by O. Johnson (bad pass; steal by K. Walker),,9,10
24,1,8:36.0,,N. Batum makes 2-pt layup at rim (assist by K. Walker),9,12
25,1,8:14.0,J. Holiday makes 2-pt layup from 1 ft,,11,12
26,1,7:58.0,,M. Williams makes 3-pt jump shot from 24 ft (assist by N. Batum),11,15
27,1,7:45.0,O. Johnson misses 3-pt jump shot from 25 ft,,11,15
28,1,7:44.0,,Defensive rebound by M. Williams,11,15
29,1,7:32.0,,N. Batum misses 2-pt jump shot from 18 ft,11,15
30,1,7:31.0,Defensive rebound by O. Johnson,,11,15
31,1,7:19.0,A. Davis misses 2-pt jump shot from 10 ft,,11,15
32,1,7:18.0,,Defensive rebound by C. Zeller,11,15
33,1,7:13.0,,C. Lee makes 3-pt jump shot from 24 ft (assist by N. Batum),11,18
34,1,6:52.0,A. Davis makes 2-pt jump shot from 15 ft (assist by D. Cunningham),,13,18
35,1,6:38.0,,K. Walker makes 2-pt layup from 1 ft,13,20
36,1,6:25.0,A. Davis misses 3-pt jump shot from 25 ft,,13,20
37,1,6:24.0,,Defensive rebound by M. Williams,13,20
38,1,6:16.0,,M. Williams makes 3-pt jump shot from 22 ft (assist by K. Walker),13,23
39,1,6:11.0,New Orleans full timeout,,13,23
40,1,6:11.0,,A. Jefferson enters the game for C. Zeller,13,23
41,1,6:11.0,R. Anderson enters the game for Ö. Aşık,,13,23
42,1,6:11.0,T. Douglas enters the game for O. Johnson,,13,23
43,1,5:59.0,J. Holiday makes 2-pt layup from 1 ft,,15,23
44,1,5:37.0,,K. Walker misses 2-pt jump shot from 18 ft,15,23
45,1,5:36.0,Defensive rebound by A. Davis,,15,23
46,1,5:21.0,R. Anderson misses 3-pt jump shot from 25 ft,,15,23
47,1,5:20.0,,Defensive rebound by N. Batum,15,23
48,1,5:11.0,,N. Batum makes 2-pt jump shot from 10 ft,15,25
49,1,5:11.0,,Violation by Team (delay of game),15,25
50,1,5:03.0,Shooting foul by A. Jefferson (drawn by A. Davis),,15,25
51,1,5:03.0,A. Davis makes free throw 1 of 2,,16,25
52,1,5:03.0,,J. Lin enters the game for C. Lee,16,25
53,1,5:03.0,A. Davis misses free throw 2 of 2,,16,25
54,1,5:01.0,,Defensive rebound by M. Williams,16,25
55,1,4:40.0,,J. Lin misses 2-pt layup at rim,16,25
56,1,4:39.0,Defensive rebound by R. Anderson,,16,25
57,1,4:35.0,Turnover by D. Cunningham (traveling),,16,25
58,1,4:20.0,,K. Walker makes 2-pt layup at rim,16,27
59,1,4:10.0,J. Holiday makes 2-pt layup at rim (assist by A. Davis),,18,27
60,1,3:53.0,,Personal foul by J. Holiday,18,27
61,1,3:53.0,,J. Lamb enters the game for N. Batum,18,27
62,1,3:44.0,,K. Walker misses 3-pt jump shot from 24 ft,18,27
63,1,3:42.0,Defensive rebound by J. Holiday,,18,27
64,1,3:37.0,R. Anderson misses 3-pt jump shot from 27 ft,,18,27
65,1,3:35.0,,Defensive rebound by M. Williams,18,27
66,1,3:28.0,,K. Walker makes 3-pt jump shot from 24 ft (assist by J. Lamb),18,30
67,1,3:14.0,A. Davis misses 2-pt jump shot from 15 ft,,18,30
68,1,3:12.0,Offensive rebound by Team,,18,30
69,1,3:12.0,,F. Kaminsky enters the game for M. Williams,18,30
70,1,3:03.0,A. Davis makes 2-pt layup from 1 ft (assist by R. Anderson),,20,30
