,QUARTER,TIME_REMAINING,LA CLIPPERS_ACTION,CLEVELAND_ACTION,LA CLIPPERS_SCORE,CLEVELAND_SCORE
0,1,11:43.0,D. Jordan makes 2-pt dunk at rim (assist by C. Paul),,2,0
1,1,11:26.0,,Def 3 sec tech foul by P. Pierce,2,0
2,1,11:26.0,,K. Irving makes technical free throw,2,1
3,1,11:18.0,,K. Irving makes 2-pt layup from 1 ft,2,3
4,1,11:18.0,,Violation by Team (delay of game),2,3
5,1,11:04.0,J. Redick makes 2-pt jump shot from 15 ft (assist by C. Paul),,4,3
6,1,10:50.0,,J. Smith makes 3-pt jump shot from 25 ft (assist by L. James),4,6
7,1,10:40.0,D. Jordan misses 2-pt jump shot from 6 ft (block by T. Mozgov),,4,6
8,1,10:39.0,Offensive rebound by D. Jordan,,4,6
9,1,10:33.0,J. Redick makes 2-pt jump shot from 21 ft,,6,6
10,1,10:12.0,,K. Love misses 3-pt jump shot from 23 ft,6,6
11,1,10:11.0,Defensive rebound by J. Redick,,6,6
12,1,9:53.0,Personal foul by K. Irving (drawn by C. Paul),,6,6
13,1,9:44.0,J. Redick misses 2-pt jump shot from 21 ft,,6,6
14,1,9:43.0,,Defensive rebound by K. Love,6,6
15,1,9:31.0,,J. Smith makes 3-pt jump shot from 25 ft,6,9
16,1,9:18.0,Personal foul by J. Smith (drawn by J. Redick),,6,9
17,1,9:13.0,Turnover by D. Jordan (lost ball; steal by T. Mozgov),,6,9
18,1,9:08.0,,L. James makes 2-pt layup at rim (assist by T. Mozgov),6,11
19,1,8:52.0,Shooting foul by T. Mozgov (drawn by L. Mbah a Moute),,6,11
20,1,8:52.0,L. Mbah a Moute makes free throw 1 of 2,,7,11
21,1,8:52.0,L. Mbah a Moute makes free throw 2 of 2,,8,11
22,1,8:39.0,Offensive charge foul by K. Love (drawn by P. Pierce),,8,11
23,1,8:39.0,,Turnover by K. Love (offensive foul),8,11
24,1,8:33.0,Turnover by C. Paul (bad pass; steal by T. Mozgov),,8,11
25,1,8:30.0,,Shooting foul by P. Pierce (drawn by L. James),8,11
26,1,8:30.0,,L. James makes free throw 1 of 2,8,12
27,1,8:30.0,,L. James misses free throw 2 of 2,8,12
28,1,8:30.0,Defensive rebound by D. Jordan,,8,12
29,1,8:16.0,J. Redick misses 3-pt jump shot from 26 ft,,8,12
30,1,8:15.0,,Defensive rebound by K. Love,8,12
31,1,8:02.0,,T. Mozgov makes 2-pt dunk at rim (assist by K. Irving),8,14
32,1,7:53.0,C. Paul misses 2-pt jump shot from 19 ft,,8,14
