,QUARTER,TIME_REMAINING,GOLDEN STATE_ACTION,PORTLAND_ACTION,GOLDEN STATE_SCORE,PORTLAND_SCORE
0,1,11:49.0,K. Thompson misses 2-pt jump shot from 15 ft,,0,0
1,1,11:48.0,,Defensive rebound by M. Plumlee,0,0
2,1,11:39.0,,D. Lillard misses 2-pt jump shot from 22 ft,0,0
3,1,11:38.0,Defensive rebound by B. Rush,,0,0
4,1,11:24.0,Turnover by D. Green (bad pass; steal by A. Aminu),,0,0
5,1,11:10.0,,N. Vonleh misses 2-pt hook shot from 2 ft,0,0
6,1,11:10.0,Defensive rebound by Team,,0,0
7,1,11:00.0,S. Curry makes 3-pt jump shot from 22 ft (assist by D. Green),,3,0
8,1,10:36.0,,Shooting foul by B. Rush (drawn by A. Aminu),3,0
9,1,10:36.0,,A. Aminu misses free throw 1 of 2,3,0
10,1,10:36.0,,Offensive rebound by Team,3,0
11,1,10:36.0,,A. Aminu makes free throw 2 of 2,3,1
12,1,10:20.0,K. Thompson misses 2-pt jump shot from 20 ft,,3,1
13,1,10:18.0,,Defensive rebound by A. Aminu,3,1
14,1,10:06.0,,C. McCollum misses 2-pt jump shot from 5 ft,3,1
15,1,10:05.0,Defensive rebound by A. Bogut,,3,1
16,1,9:49.0,S. Curry makes 2-pt jump shot from 13 ft,,5,1
17,1,9:36.0,,C. McCollum misses 2-pt jump shot from 15 ft,5,1
18,1,9:35.0,Defensive rebound by D. Green,,5,1
19,1,9:29.0,D. Green makes 2-pt layup from 2 ft,,7,1
20,1,9:08.0,,N. Vonleh misses 2-pt jump shot from 18 ft,7,1
21,1,9:07.0,Defensive rebound by S. Curry,,7,1
22,1,8:56.0,S. Curry misses 2-pt jump shot from 20 ft,,7,1
23,1,8:55.0,,Defensive rebound by A. Aminu,7,1
24,1,8:48.0,,M. Plumlee misses 2-pt jump shot from 3 ft,7,1
25,1,8:47.0,Defensive rebound by A. Bogut,,7,1
26,1,8:32.0,K. Thompson makes 2-pt layup from 2 ft (assist by S. Curry),,9,1
27,1,8:18.0,,Shooting foul by A. Bogut (drawn by M. Plumlee),9,1
28,1,8:18.0,,M. Plumlee misses free throw 1 of 2,9,1
29,1,8:18.0,,Offensive rebound by Team,9,1
30,1,8:18.0,,M. Plumlee makes free throw 2 of 2,9,2
31,1,8:05.0,S. Curry misses 3-pt jump shot from 22 ft,,9,2
32,1,8:04.0,,Defensive rebound by N. Vonleh,9,2
33,1,7:56.0,,D. Lillard misses 2-pt jump shot from 16 ft,9,2
34,1,7:55.0,,Offensive rebound by D. Lillard,9,2
35,1,7:53.0,,D. Lillard misses 2-pt jump shot from 13 ft,9,2
