,QUARTER,TIME_REMAINING,HOUSTON_ACTION,SAN ANTONIO_ACTION,HOUSTON_SCORE,SAN ANTONIO_SCORE
0,1,11:34.0,P. Beverley misses 2-pt jump shot from 19 ft,,0,0
1,1,11:33.0,,Defensive rebound by T. Duncan,0,0
2,1,11:16.0,,D. Green makes 3-pt jump shot from 24 ft (assist by T. Parker),0,3
3,1,11:00.0,T. Ariza misses 2-pt jump shot from 11 ft,,0,3
4,1,10:59.0,Offensive rebound by Team,,0,3
5,1,10:49.0,T. Ariza misses 2-pt jump shot from 20 ft,,0,3
6,1,10:48.0,,Defensive rebound by T. Parker,0,3
7,1,10:36.0,,Turnover by D. Green (bad pass),0,3
8,1,10:19.0,D. Howard misses 2-pt jump shot from 7 ft,,0,3
9,1,10:18.0,,Defensive rebound by T. Duncan,0,3
10,1,10:05.0,,T. Parker misses 2-pt layup from 2 ft,0,3
11,1,10:03.0,Defensive rebound by C. Capela,,0,3
12,1,9:57.0,Shooting foul by D. Green (drawn by D. Howard),,0,3
13,1,9:57.0,D. Howard misses free throw 1 of 2,,0,3
14,1,9:57.0,Offensive rebound by Team,,0,3
15,1,9:57.0,D. Howard misses free throw 2 of 2,,0,3
16,1,9:56.0,,Defensive rebound by T. Duncan,0,3
17,1,9:39.0,,T. Duncan misses 2-pt jump shot from 18 ft,0,3
18,1,9:38.0,Defensive rebound by D. Howard,,0,3
19,1,9:28.0,Shooting foul by K. Leonard (drawn by J. Harden),,0,3
20,1,9:28.0,J. Harden makes free throw 1 of 2,,1,3
21,1,9:28.0,J. Harden makes free throw 2 of 2,,2,3
22,1,9:07.0,,T. Duncan misses 2-pt layup from 3 ft (block by C. Capela),2,3
23,1,9:03.0,,Offensive rebound by K. Leonard,2,3
24,1,8:59.0,,L. Aldridge misses 2-pt jump shot from 20 ft,2,3
25,1,8:59.0,Defensive rebound by D. Howard,,2,3
26,1,8:51.0,T. Ariza makes 3-pt jump shot from 25 ft (assist by J. Harden),,5,3
27,1,8:36.0,,T. Parker misses 2-pt layup from 2 ft (block by C. Capela),5,3
28,1,8:32.0,Defensive rebound by P. Beverley,,5,3
29,1,8:22.0,C. Capela makes 2-pt hook shot from 2 ft (assist by T. Ariza),,7,3
30,1,7:58.0,,T. Parker misses 3-pt jump shot from 22 ft,7,3
31,1,7:57.0,Defensive rebound by P. Beverley,,7,3
32,1,7:50.0,J. Harden makes 3-pt jump shot from 25 ft (assist by P. Beverley),,10,3
33,1,7:31.0,,Turnover by T. Parker (lost ball; steal by P. Beverley),10,3
34,1,7:26.0,J. Harden makes 2-pt layup from 1 ft,,12,3
35,1,7:24.0,,San Antonio full timeout,12,3
36,1,7:24.0,T. Jones enters the game for C. Capela,,12,3
37,1,7:03.0,,D. Green makes 3-pt jump shot from 26 ft (assist by T. Duncan),12,6
38,1,6:49.0,P. Beverley misses 2-pt layup from 3 ft,,12,6
39,1,6:46.0,,Defensive rebound by K. Leonard,12,6
40,1,6:42.0,,K. Leonard makes 2-pt dunk at rim (assist by D. Green),12,8
41,1,6:22.0,D. Howard makes 2-pt dunk at rim,,14,8
42,1,6:09.0,,D. Green makes 3-pt jump shot from 26 ft (assist by T. Parker),14,11
43,1,5:44.0,T. Ariza misses 2-pt jump shot from 6 ft (block by D. Green),,14,11
44,1,5:40.0,Offensive rebound by D. Howard,,14,11
45,1,5:40.0,D. Howard misses 2-pt jump shot from 4 ft,,14,11
46,1,5:39.0,,Defensive rebound by D. Green,14,11
47,1,5:34.0,,D. Green misses 3-pt jump shot from 23 ft,14,11
48,1,5:32.0,Defensive rebound by D. Howard,,14,11
49,1,5:25.0,T. Ariza misses 3-pt jump shot from 24 ft,,14,11
50,1,5:24.0,,Defensive rebound by L. Aldridge,14,11
51,1,5:19.0,,D. Green makes 3-pt jump shot from 25 ft (assist by T. Parker),14,14
52,1,5:07.0,Houston full timeout,,14,14
53,1,5:07.0,T. Lawson enters the game for P. Beverley,,14,14
54,1,5:00.0,J. Harden makes 2-pt jump shot from 18 ft (assist by T. Jones),,16,14
55,1,4:45.0,,L. Aldridge misses 2-pt jump shot from 17 ft,16,14
56,1,4:43.0,Defensive rebound by T. Lawson,,16,14
57,1,4:37.0,Shooting foul by K. Leonard (drawn by D. Howard),,16,14
58,1,4:37.0,D. Howard makes 2-pt dunk at rim (assist by J. Harden),,18,14
59,1,4:37.0,,P. Mills enters the game for T. Parker,18,14
60,1,4:37.0,,M. Ginóbili enters the game for D. Green,18,14
61,1,4:37.0,,D. West enters the game for T. Duncan,18,14
62,1,4:37.0,D. Howard misses free throw 1 of 1,,18,14
63,1,4:34.0,,Defensive rebound by K. Leonard,18,14
64,1,4:33.0,,Personal foul by J. Harden (drawn by K. Leonard),18,14
65,1,4:33.0,,D. Green enters the game for K. Leonard,18,14
66,1,4:33.0,C. Brewer enters the game for T. Ariza,,18,14
67,1,4:19.0,,D. West makes 2-pt jump shot from 13 ft (assist by M. Ginóbili),18,16
