,QUARTER,TIME_REMAINING,CHICAGO_ACTION,PHILADELPHIA_ACTION,CHICAGO_SCORE,PHILADELPHIA_SCORE
0,1,11:32.0,J. Butler misses 2-pt jump shot from 19 ft,,0,0
1,1,11:31.0,,Defensive rebound by Team,0,0
2,1,11:21.0,,C. Landry makes 2-pt jump shot from 20 ft (assist by I. Smith),0,2
3,1,11:05.0,N. Mirotić misses 2-pt jump shot from 13 ft,,0,2
4,1,11:03.0,,Defensive rebound by I. Smith,0,2
5,1,10:56.0,,C. Landry misses 2-pt jump shot from 17 ft,0,2
6,1,10:55.0,Defensive rebound by K. Hinrich,,0,2
7,1,10:39.0,T. Gibson misses 2-pt layup from 1 ft,,0,2
8,1,10:35.0,Offensive rebound by J. Butler,,0,2
9,1,10:30.0,J. Butler makes 3-pt jump shot from 24 ft (assist by K. Hinrich),,3,2
10,1,10:04.0,,N. Stauskas makes 3-pt jump shot from 26 ft (assist by I. Smith),3,5
11,1,9:51.0,J. Noah makes 2-pt jump shot from 18 ft (assist by J. Butler),,5,5
12,1,9:39.0,,J. Okafor makes 2-pt jump shot from 15 ft,5,7
13,1,9:17.0,N. Mirotić misses 3-pt jump shot from 26 ft,,5,7
14,1,9:15.0,,Defensive rebound by C. Landry,5,7
15,1,9:04.0,,C. Landry makes 2-pt layup from 2 ft (assist by N. Stauskas),5,9
16,1,8:50.0,N. Mirotić misses 2-pt jump shot from 5 ft,,5,9
17,1,8:48.0,Offensive rebound by Team,,5,9
18,1,8:44.0,Personal foul by I. Smith (drawn by J. Noah),,5,9
19,1,8:44.0,Shooting foul by J. Sampson (drawn by J. Butler),,5,9
20,1,8:44.0,J. Butler makes free throw 1 of 2,,6,9
21,1,8:44.0,J. Butler misses free throw 2 of 2,,6,9
22,1,8:43.0,,Defensive rebound by J. Okafor,6,9
23,1,8:30.0,,J. Sampson misses 2-pt jump shot from 4 ft,6,9
24,1,8:28.0,Defensive rebound by T. Gibson,,6,9
25,1,8:19.0,Turnover by J. Noah (bad pass; steal by I. Smith),,6,9
26,1,8:14.0,,I. Smith misses 2-pt jump shot from 12 ft,6,9
27,1,8:11.0,Defensive rebound by Team,,6,9
28,1,8:11.0,,N. Noel enters the game for C. Landry,6,9
29,1,8:00.0,K. Hinrich makes 2-pt layup from 1 ft (assist by J. Noah),,8,9
30,1,7:54.0,,Turnover by I. Smith (bad pass; steal by J. Butler),8,9
31,1,7:49.0,J. Butler makes 2-pt layup from 2 ft,,10,9
32,1,7:43.0,,Philadelphia full timeout,10,9
33,1,7:43.0,,R. Covington enters the game for J. Sampson,10,9
34,1,7:38.0,,N. Noel misses 2-pt jump shot from 14 ft,10,9
35,1,7:37.0,Defensive rebound by K. Hinrich,,10,9
36,1,7:29.0,K. Hinrich misses 3-pt jump shot from 25 ft,,10,9
37,1,7:27.0,,Defensive rebound by N. Noel,10,9
38,1,7:19.0,,N. Noel makes 2-pt layup at rim (assist by I. Smith),10,11
39,1,6:54.0,N. Mirotić misses 3-pt jump shot from 25 ft,,10,11
40,1,6:52.0,Offensive rebound by T. Gibson,,10,11
41,1,6:47.0,N. Mirotić misses 3-pt jump shot from 28 ft,,10,11
42,1,6:46.0,,Defensive rebound by N. Stauskas,10,11
43,1,6:38.0,,N. Stauskas misses 2-pt jump shot from 19 ft,10,11
44,1,6:37.0,Defensive rebound by J. Noah,,10,11
45,1,6:26.0,T. Gibson makes 2-pt jump shot from 18 ft,,12,11
46,1,6:03.0,,J. Okafor makes 2-pt jump shot from 8 ft,12,13
47,1,5:47.0,,H. Thompson enters the game for N. Stauskas,12,13
48,1,5:40.0,J. Butler misses 2-pt jump shot from 13 ft,,12,13
49,1,5:34.0,Offensive rebound by J. Noah,,12,13
50,1,5:33.0,J. Butler misses 2-pt layup from 2 ft (block by N. Noel),,12,13
51,1,5:30.0,Offensive rebound by T. Gibson,,12,13
