,QUARTER,TIME_REMAINING,NEW ORLEANS_ACTION,WASHINGTON_ACTION,NEW ORLEANS_SCORE,WASHINGTON_SCORE
0,1,11:43.0,,G. Temple makes 3-pt jump shot from 26 ft (assist by J. Wall),0,3
1,1,11:25.0,D. Cunningham misses 2-pt jump shot from 20 ft,,0,3
2,1,11:24.0,,Defensive rebound by G. Temple,0,3
3,1,11:15.0,,J. Dudley makes 3-pt jump shot from 27 ft (assist by G. Temple),0,6
4,1,10:57.0,A. Davis misses 2-pt jump shot from 13 ft,,0,6
5,1,10:56.0,Offensive rebound by Team,,0,6
6,1,10:53.0,A. Ajinça misses 2-pt jump shot from 20 ft,,0,6
7,1,10:52.0,,Defensive rebound by J. Wall,0,6
8,1,10:35.0,,J. Wall misses 3-pt jump shot from 28 ft,0,6
9,1,10:34.0,Defensive rebound by D. Cunningham,,0,6
10,1,10:26.0,N. Cole misses 3-pt jump shot from 25 ft,,0,6
11,1,10:25.0,Offensive rebound by D. Cunningham,,0,6
12,1,10:13.0,A. Ajinça makes 2-pt jump shot from 15 ft (assist by N. Cole),,2,6
13,1,10:05.0,,G. Temple misses 2-pt layup from 1 ft (block by B. Dejean-Jones),2,6
14,1,10:02.0,Defensive rebound by A. Ajinça,,2,6
15,1,9:58.0,B. Dejean-Jones misses 2-pt layup from 1 ft,,2,6
16,1,9:57.0,,Defensive rebound by M. Gortat,2,6
17,1,9:42.0,,M. Gortat makes 2-pt jump shot from 6 ft (assist by J. Wall),2,8
18,1,9:25.0,A. Ajinça misses 2-pt jump shot from 15 ft,,2,8
19,1,9:24.0,Offensive rebound by A. Davis,,2,8
20,1,9:23.0,Shooting foul by O. Porter (drawn by A. Ajinça),,2,8
21,1,9:23.0,A. Ajinça makes free throw 1 of 2,,3,8
22,1,9:23.0,A. Ajinça makes free throw 2 of 2,,4,8
23,1,9:12.0,,M. Gortat misses 2-pt jump shot from 9 ft,4,8
24,1,9:11.0,Defensive rebound by N. Cole,,4,8
25,1,8:59.0,Turnover by A. Davis (bad pass),,4,8
26,1,8:55.0,,Shooting foul by D. Cunningham (drawn by M. Gortat),4,8
27,1,8:55.0,,M. Gortat misses free throw 1 of 2,4,8
28,1,8:55.0,,Offensive rebound by Team,4,8
29,1,8:55.0,K. Perkins enters the game for A. Ajinça,,4,8
30,1,8:55.0,,M. Gortat makes free throw 2 of 2,4,9
31,1,8:44.0,Personal foul by G. Temple (drawn by K. Perkins),,4,9
32,1,8:33.0,K. Perkins makes 2-pt jump shot from 7 ft (assist by N. Cole),,6,9
33,1,8:26.0,,Turnover by J. Wall (bad pass),6,9
34,1,8:05.0,N. Cole misses 2-pt jump shot from 20 ft,,6,9
35,1,8:04.0,,Defensive rebound by O. Porter,6,9
36,1,7:56.0,,J. Wall misses 2-pt jump shot from 17 ft,6,9
37,1,7:55.0,,Offensive rebound by M. Gortat,6,9
38,1,7:53.0,,M. Gortat misses 2-pt jump shot from 6 ft,6,9
39,1,7:52.0,Defensive rebound by A. Davis,,6,9
40,1,7:37.0,B. Dejean-Jones misses 3-pt jump shot from 25 ft,,6,9
41,1,7:36.0,,Defensive rebound by J. Wall,6,9
42,1,7:22.0,,G. Temple misses 3-pt jump shot from 27 ft,6,9
43,1,7:21.0,Defensive rebound by A. Davis,,6,9
44,1,7:12.0,N. Cole makes 2-pt jump shot from 6 ft,,8,9
45,1,6:49.0,,M. Gortat misses 2-pt jump shot from 16 ft,8,9
46,1,6:48.0,Defensive rebound by B. Dejean-Jones,,8,9
47,1,6:35.0,Turnover by K. Perkins (bad pass; steal by J. Dudley),,8,9
48,1,6:30.0,,G. Temple misses 2-pt layup from 2 ft (block by D. Cunningham),8,9
