,QUARTER,TIME_REMAINING,DENVER_ACTION,MEMPHIS_ACTION,DENVER_SCORE,MEMPHIS_SCORE
0,1,11:39.0,G. Harris makes 3-pt jump shot from 24 ft (assist by E. Mudiay),,3,0
1,1,11:19.0,,T. Allen misses 2-pt jump shot from 6 ft (block by G. Harris),3,0
2,1,11:16.0,,Offensive rebound by T. Allen,3,0
3,1,11:16.0,,T. Allen makes 2-pt layup at rim,3,2
4,1,11:03.0,E. Mudiay misses 2-pt layup at rim,,3,2
5,1,11:03.0,Offensive rebound by Team,,3,2
6,1,10:52.0,J. Sampson makes 2-pt jump shot from 11 ft,,5,2
7,1,10:41.0,,Personal foul by K. Faried,5,2
8,1,10:23.0,,Z. Randolph makes 2-pt jump shot from 21 ft (assist by T. Allen),5,4
9,1,10:16.0,Shooting foul by C. Andersen (drawn by K. Faried),,5,4
10,1,10:16.0,K. Faried makes free throw 1 of 2,,6,4
11,1,10:16.0,K. Faried makes free throw 2 of 2,,7,4
12,1,10:01.0,,Shooting foul by G. Harris (drawn by T. Allen),7,4
13,1,10:01.0,,T. Allen makes free throw 1 of 2,7,5
14,1,10:01.0,,T. Allen misses free throw 2 of 2,7,5
15,1,10:00.0,Defensive rebound by N. Jokić,,7,5
16,1,9:51.0,Turnover by E. Mudiay (bad pass; steal by Z. Randolph),,7,5
17,1,9:37.0,,Turnover by J. Farmar (bad pass),7,5
18,1,9:22.0,K. Faried makes 2-pt layup from 1 ft (assist by E. Mudiay),,9,5
19,1,9:11.0,,Z. Randolph misses 2-pt jump shot from 14 ft,9,5
20,1,9:10.0,Defensive rebound by N. Jokić,,9,5
21,1,9:05.0,Turnover by E. Mudiay (bad pass; steal by J. Farmar),,9,5
22,1,8:59.0,,T. Allen makes 2-pt layup from 1 ft,9,7
23,1,8:41.0,E. Mudiay misses 3-pt jump shot from 24 ft,,9,7
24,1,8:40.0,,Defensive rebound by C. Andersen,9,7
25,1,8:29.0,,J. Farmar makes 2-pt layup from 2 ft (assist by Z. Randolph),9,9
26,1,8:18.0,K. Faried misses 2-pt jump shot from 20 ft,,9,9
27,1,8:17.0,Offensive rebound by N. Jokić,,9,9
28,1,8:12.0,G. Harris misses 3-pt jump shot from 24 ft,,9,9
29,1,8:09.0,Offensive rebound by N. Jokić,,9,9
30,1,7:48.0,N. Jokić makes 2-pt layup from 1 ft,,11,9
31,1,7:44.0,,Memphis full timeout,11,9
32,1,7:27.0,,Turnover by Z. Randolph (bad pass),11,9
33,1,7:09.0,N. Jokić makes 3-pt jump shot from 23 ft (assist by G. Harris),,14,9
34,1,6:49.0,,Z. Randolph misses 2-pt jump shot from 21 ft,14,9
35,1,6:49.0,,Offensive rebound by Team,14,9
36,1,6:49.0,Loose ball foul by N. Jokić,,14,9
37,1,6:43.0,,Shooting foul by G. Harris (drawn by Z. Randolph),14,9
38,1,6:43.0,,Z. Randolph makes free throw 1 of 2,14,10
39,1,6:43.0,W. Barton enters the game for G. Harris,,14,10
40,1,6:43.0,,Z. Randolph makes free throw 2 of 2,14,11
41,1,6:20.0,J. Sampson makes 3-pt jump shot from 24 ft (assist by K. Faried),,17,11
42,1,6:00.0,,J. Farmar misses 2-pt jump shot from 5 ft,17,11
43,1,5:58.0,Defensive rebound by K. Faried,,17,11
44,1,5:53.0,E. Mudiay makes 2-pt layup from 2 ft,,19,11
45,1,5:42.0,,Turnover by T. Allen (lost ball),19,11
46,1,5:42.0,,R. Hollins enters the game for C. Andersen,19,11
47,1,5:18.0,Turnover by Team (shot clock),,19,11
48,1,5:18.0,,R. McCallum enters the game for J. Farmar,19,11
49,1,5:03.0,,Z. Randolph makes 2-pt hook shot from 3 ft,19,13
50,1,4:45.0,N. Jokić makes 2-pt jump shot from 6 ft (assist by E. Mudiay),,21,13
51,1,4:26.0,,Z. Randolph misses 2-pt jump shot from 5 ft,21,13
52,1,4:23.0,Defensive rebound by N. Jokić,,21,13
53,1,4:09.0,K. Faried misses 2-pt layup at rim,,21,13
54,1,4:07.0,,Defensive rebound by R. Hollins,21,13
55,1,4:02.0,,T. Allen misses 2-pt layup from 2 ft,21,13
56,1,4:01.0,Defensive rebound by N. Jokić,,21,13
57,1,3:57.0,Shooting foul by M. Barnes (drawn by W. Barton),,21,13
58,1,3:57.0,W. Barton misses free throw 1 of 2,,21,13
59,1,3:57.0,Offensive rebound by Team,,21,13
60,1,3:57.0,D. Arthur enters the game for K. Faried,,21,13
61,1,3:57.0,,L. Stephenson enters the game for T. Allen,21,13
62,1,3:57.0,W. Barton makes free throw 2 of 2,,22,13
