,QUARTER,TIME_REMAINING,ORLANDO_ACTION,BROOKLYN_ACTION,ORLANDO_SCORE,BROOKLYN_SCORE
0,1,11:37.0,,T. Young makes 2-pt jump shot from 17 ft,0,2
1,1,11:19.0,T. Harris makes 3-pt jump shot from 23 ft (assist by E. Fournier),,3,2
2,1,10:55.0,,J. Johnson makes 2-pt jump shot from 12 ft (assist by T. Young),3,4
3,1,10:31.0,N. Vučević misses 2-pt hook shot from 7 ft,,3,4
4,1,10:30.0,,Defensive rebound by T. Young,3,4
5,1,10:17.0,,B. Lopez misses 2-pt jump shot from 9 ft,3,4
6,1,10:16.0,Defensive rebound by T. Harris,,3,4
7,1,10:06.0,Turnover by E. Fournier (lost ball; steal by B. Lopez),,3,4
8,1,10:00.0,,Turnover by T. Young (bad pass; steal by N. Vučević),3,4
9,1,9:54.0,E. Fournier makes 2-pt layup from 1 ft,,5,4
10,1,9:28.0,,B. Bogdanović misses 3-pt jump shot from 24 ft,5,4
11,1,9:27.0,Defensive rebound by C. Frye,,5,4
12,1,9:05.0,V. Oladipo makes 3-pt jump shot from 23 ft (assist by T. Harris),,8,4
13,1,8:46.0,,Shooting foul by C. Frye (drawn by B. Bogdanović),8,4
14,1,8:46.0,,B. Bogdanović makes free throw 1 of 2,8,5
15,1,8:46.0,,B. Bogdanović makes free throw 2 of 2,8,6
16,1,8:27.0,Shooting block foul by S. Larkin (drawn by T. Harris),,8,6
17,1,8:27.0,T. Harris misses free throw 1 of 2,,8,6
18,1,8:27.0,Offensive rebound by Team,,8,6
19,1,8:27.0,T. Harris makes free throw 2 of 2,,9,6
20,1,8:17.0,,Turnover by B. Bogdanović (lost ball),9,6
21,1,8:04.0,C. Frye misses 3-pt jump shot from 25 ft,,9,6
22,1,8:03.0,,Defensive rebound by B. Lopez,9,6
23,1,7:51.0,,B. Bogdanović misses 3-pt jump shot from 23 ft,9,6
24,1,7:50.0,Defensive rebound by V. Oladipo,,9,6
25,1,7:39.0,N. Vučević misses 2-pt hook shot from 8 ft,,9,6
26,1,7:38.0,Offensive rebound by V. Oladipo,,9,6
27,1,7:37.0,V. Oladipo makes 2-pt layup from 1 ft,,11,6
28,1,7:16.0,,J. Johnson misses 3-pt jump shot from 23 ft,11,6
29,1,7:15.0,Defensive rebound by V. Oladipo,,11,6
30,1,7:01.0,N. Vučević misses 2-pt jump shot from 3 ft,,11,6
31,1,7:00.0,Offensive rebound by N. Vučević,,11,6
32,1,6:59.0,N. Vučević makes 2-pt layup from 1 ft,,13,6
33,1,6:54.0,,Brooklyn full timeout,13,6
34,1,6:43.0,,Turnover by T. Young (lost ball; steal by V. Oladipo),13,6
35,1,6:36.0,T. Harris misses 2-pt layup from 1 ft,,13,6
36,1,6:35.0,,Defensive rebound by B. Lopez,13,6
37,1,6:28.0,,S. Larkin makes 2-pt layup from 1 ft,13,8
38,1,6:28.0,,Shooting foul by C. Frye (drawn by S. Larkin),13,8
39,1,6:28.0,,W. Ellington enters the game for B. Bogdanović,13,8
40,1,6:28.0,,S. Larkin makes free throw 1 of 1,13,9
41,1,6:04.0,N. Vučević makes 2-pt jump shot from 17 ft (assist by C. Frye),,15,9
42,1,5:46.0,,B. Lopez misses 2-pt jump shot from 15 ft,15,9
43,1,5:45.0,Defensive rebound by V. Oladipo,,15,9
44,1,5:32.0,T. Harris misses 3-pt jump shot from 24 ft,,15,9
45,1,5:31.0,,Defensive rebound by T. Young,15,9
46,1,5:23.0,,B. Lopez makes 2-pt layup from 1 ft (assist by T. Young),15,11
47,1,5:11.0,N. Vučević makes 2-pt layup at rim (assist by E. Fournier),,17,11
48,1,5:11.0,Shooting foul by T. Young (drawn by N. Vučević),,17,11
49,1,5:11.0,A. Nicholson enters the game for C. Frye,,17,11
50,1,5:11.0,N. Vučević makes free throw 1 of 1,,18,11
51,1,4:56.0,,Turnover by J. Johnson (traveling),18,11
52,1,4:43.0,T. Harris misses 2-pt jump shot from 19 ft,,18,11
53,1,4:42.0,Offensive rebound by T. Harris,,18,11
54,1,4:36.0,A. Nicholson misses 3-pt jump shot from 22 ft,,18,11
55,1,4:35.0,,Defensive rebound by B. Lopez,18,11
56,1,4:28.0,,S. Larkin makes 2-pt layup from 1 ft,18,13
57,1,4:13.0,E. Fournier makes 3-pt jump shot from 25 ft (assist by A. Nicholson),,21,13
58,1,4:02.0,,S. Larkin misses 3-pt jump shot from 24 ft,21,13
59,1,4:01.0,Defensive rebound by A. Nicholson,,21,13
60,1,3:46.0,T. Harris makes 2-pt dunk at rim (assist by N. Vučević),,23,13
61,1,3:42.0,,Brooklyn full timeout,23,13
62,1,3:42.0,,B. Bogdanović enters the game for J. Johnson,23,13
63,1,3:31.0,,W. Ellington misses 2-pt jump shot from 19 ft,23,13
64,1,3:30.0,Defensive rebound by T. Harris,,23,13
65,1,3:09.0,V. Oladipo makes 3-pt jump shot from 24 ft (assist by N. Vučević),,26,13
66,1,2:51.0,,Turnover by B. Lopez (bad pass; steal by E. Fournier),26,13
67,1,2:39.0,Turnover by V. Oladipo (lost ball; steal by S. Larkin),,26,13
68,1,2:38.0,,Personal foul by V. Oladipo (drawn by T. Young),26,13
69,1,2:38.0,Orlando full timeout,,26,13
70,1,2:38.0,A. Gordon enters the game for T. Harris,,26,13
71,1,2:38.0,M. Hezonja enters the game for E. Fournier,,26,13
72,1,2:38.0,,W. Reed enters the game for B. Lopez,26,13
73,1,2:29.0,,Turnover by S. Larkin (bad pass),26,13
74,1,2:17.0,N. Vučević misses 2-pt jump shot from 20 ft,,26,13
75,1,2:16.0,,Defensive rebound by T. Young,26,13
76,1,2:01.0,,W. Ellington misses 3-pt jump shot from 25 ft,26,13
77,1,2:00.0,,Offensive rebound by T. Young,26,13
78,1,1:51.0,,B. Bogdanović misses 2-pt jump shot from 9 ft (block by V. Oladipo),26,13
79,1,1:49.0,,Offensive rebound by T. Young,26,13
80,1,1:47.0,,T. Young misses 2-pt layup from 1 ft,26,13
81,1,1:46.0,Defensive rebound by A. Nicholson,,26,13
82,1,1:40.0,,Offensive charge foul by A. Gordon (drawn by W. Reed),26,13
83,1,1:40.0,Turnover by A. Gordon (offensive foul),,26,13
84,1,1:40.0,S. Napier enters the game for N. Vučević,,26,13
85,1,1:40.0,J. Smith enters the game for V. Oladipo,,26,13
86,1,1:30.0,,D. Sloan enters the game for S. Larkin,26,13
87,1,1:24.0,,T. Robinson enters the game for T. Young,26,13
88,1,1:24.0,,Personal foul by M. Hezonja (drawn by B. Bogdanović),26,13
89,1,1:16.0,,T. Robinson misses 2-pt jump shot from 8 ft,26,13
90,1,1:15.0,,Offensive rebound by W. Reed,26,13
91,1,1:12.0,,W. Reed misses 2-pt layup from 2 ft,26,13
92,1,1:11.0,Defensive rebound by A. Nicholson,,26,13
93,1,1:00.0,M. Hezonja misses 2-pt layup from 1 ft (block by W. Reed),,26,13
94,1,0:59.0,,Defensive rebound by W. Ellington,26,13
95,1,0:49.0,,W. Ellington makes 2-pt jump shot from 13 ft (assist by T. Robinson),26,15
96,1,0:33.0,S. Napier misses 2-pt jump shot from 4 ft,,26,15
97,1,0:32.0,Offensive rebound by S. Napier,,26,15
98,1,0:21.0,A. Nicholson misses 3-pt jump shot from 27 ft,,26,15
99,1,0:20.0,,Defensive rebound by Team,26,15
100,1,0:00.0,,T. Robinson makes 2-pt jump shot from 13 ft,26,17
101,2,11:38.0,A. Gordon misses 2-pt jump shot from 5 ft,,26,17
102,2,11:37.0,Offensive rebound by A. Gordon,,26,17
103,2,11:34.0,A. Gordon makes 2-pt jump shot from 4 ft (assist by A. Nicholson),,28,17
104,2,11:14.0,,W. Reed makes 2-pt dunk at rim (assist by D. Sloan),28,19
105,2,10:58.0,J. Smith misses 2-pt jump shot from 19 ft,,28,19
106,2,10:57.0,,Defensive rebound by Team,28,19
107,2,10:57.0,Loose ball foul by A. Gordon (drawn by B. Bogdanović),,28,19
108,2,10:36.0,,Personal foul by S. Napier (drawn by D. Sloan),28,19
109,2,10:24.0,,Shooting foul by M. Hezonja (drawn by M. Brown),28,19
110,2,10:24.0,,M. Brown makes free throw 1 of 2,28,20
111,2,10:24.0,E. Fournier enters the game for M. Hezonja,,28,20
112,2,10:24.0,,M. Brown makes free throw 2 of 2,28,21
113,2,10:03.0,A. Gordon misses 3-pt jump shot from 25 ft,,28,21
114,2,10:02.0,,Defensive rebound by W. Reed,28,21
115,2,9:47.0,,T. Robinson makes 2-pt dunk at rim (assist by D. Sloan),28,23
116,2,9:33.0,Orlando full timeout,,28,23
117,2,9:33.0,T. Harris enters the game for A. Gordon,,28,23
118,2,9:23.0,A. Nicholson misses 2-pt hook shot from 11 ft,,28,23
119,2,9:22.0,,Defensive rebound by W. Reed,28,23
120,2,9:07.0,,T. Robinson misses 2-pt jump shot from 3 ft,28,23
121,2,9:06.0,Defensive rebound by A. Nicholson,,28,23
122,2,8:59.0,Offensive foul by A. Nicholson (drawn by B. Bogdanović),,28,23
123,2,8:59.0,Turnover by A. Nicholson (offensive foul),,28,23
124,2,8:40.0,,D. Sloan misses 2-pt layup from 2 ft,28,23
125,2,8:39.0,Defensive rebound by J. Smith,,28,23
126,2,8:27.0,T. Harris misses 3-pt jump shot from 24 ft,,28,23
127,2,8:26.0,,Defensive rebound by T. Robinson,28,23
128,2,8:06.0,,T. Robinson misses 2-pt hook shot from 7 ft,28,23
129,2,8:05.0,Defensive rebound by A. Nicholson,,28,23
130,2,7:57.0,,Offensive charge foul by S. Napier (drawn by W. Reed),28,23
131,2,7:57.0,Turnover by S. Napier (offensive foul),,28,23
132,2,7:57.0,C. Frye enters the game for A. Nicholson,,28,23
133,2,7:57.0,,J. Johnson enters the game for B. Bogdanović,28,23
134,2,7:57.0,V. Oladipo enters the game for S. Napier,,28,23
135,2,7:36.0,,M. Brown misses 2-pt jump shot from 4 ft,28,23
136,2,7:35.0,,Offensive rebound by T. Robinson,28,23
137,2,7:33.0,,T. Robinson misses 2-pt layup from 4 ft,28,23
138,2,7:33.0,,Offensive rebound by T. Robinson,28,23
139,2,7:33.0,,T. Robinson misses 2-pt hook shot from 4 ft,28,23
140,2,7:33.0,,Offensive rebound by Team,28,23
141,2,7:33.0,,Personal foul by J. Smith (drawn by W. Reed),28,23
142,2,7:33.0,,T. Young enters the game for T. Robinson,28,23
143,2,7:22.0,,D. Sloan makes 3-pt jump shot from 24 ft (assist by J. Johnson),28,26
144,2,6:55.0,Turnover by C. Frye (bad pass; steal by J. Johnson),,28,26
145,2,6:52.0,,T. Young makes 2-pt dunk at rim (assist by J. Johnson),28,28
146,2,6:36.0,E. Fournier makes 3-pt jump shot from 22 ft (assist by J. Smith),,31,28
147,2,6:20.0,,M. Brown misses 3-pt jump shot from 23 ft,31,28
148,2,6:19.0,Defensive rebound by V. Oladipo,,31,28
149,2,6:13.0,Personal foul by M. Brown (drawn by E. Fournier),,31,28
150,2,6:13.0,,B. Lopez enters the game for W. Reed,31,28
151,2,6:13.0,N. Vučević enters the game for J. Smith,,31,28
152,2,5:54.0,E. Fournier misses 3-pt jump shot from 23 ft,,31,28
153,2,5:53.0,,Defensive rebound by D. Sloan,31,28
154,2,5:47.0,,T. Young makes 2-pt layup from 1 ft (assist by D. Sloan),31,30
155,2,5:32.0,N. Vučević misses 2-pt hook shot from 7 ft,,31,30
156,2,5:31.0,,Defensive rebound by B. Lopez,31,30
157,2,5:17.0,,B. Lopez misses 2-pt layup from 1 ft,31,30
158,2,5:16.0,Defensive rebound by N. Vučević,,31,30
159,2,5:08.0,Personal foul by T. Young (drawn by V. Oladipo),,31,30
160,2,5:08.0,Official timeout,,31,30
161,2,4:53.0,C. Frye makes 2-pt jump shot from 21 ft (assist by T. Harris),,33,30
162,2,4:35.0,,B. Lopez makes 2-pt jump shot from 3 ft (assist by D. Sloan),33,32
163,2,4:17.0,Turnover by V. Oladipo (bad pass),,33,32
164,2,4:17.0,,S. Larkin enters the game for D. Sloan,33,32
165,2,4:06.0,,Turnover by B. Lopez (lost ball; steal by N. Vučević),33,32
166,2,4:00.0,Turnover by E. Fournier (bad pass; steal by T. Young),,33,32
167,2,3:51.0,,J. Johnson makes 3-pt jump shot from 23 ft (assist by S. Larkin),33,35
168,2,3:30.0,E. Fournier misses 3-pt jump shot from 26 ft,,33,35
169,2,3:29.0,,Defensive rebound by Team,33,35
170,2,3:06.0,,J. Johnson misses 2-pt jump shot from 14 ft (block by T. Harris),33,35
171,2,3:05.0,,Offensive rebound by B. Lopez,33,35
172,2,3:02.0,,B. Lopez misses 2-pt jump shot from 5 ft,33,35
173,2,3:01.0,Defensive rebound by T. Harris,,33,35
174,2,2:47.0,,Brooklyn full timeout,33,35
175,2,2:47.0,M. Hezonja enters the game for E. Fournier,,33,35
176,2,2:39.0,V. Oladipo misses 2-pt layup from 1 ft,,33,35
177,2,2:38.0,,Defensive rebound by S. Larkin,33,35
178,2,2:21.0,,J. Johnson misses 2-pt jump shot from 5 ft,33,35
179,2,2:20.0,Defensive rebound by V. Oladipo,,33,35
180,2,2:08.0,N. Vučević misses 2-pt hook shot from 9 ft,,33,35
181,2,2:07.0,,Defensive rebound by T. Young,33,35
182,2,1:54.0,,B. Lopez misses 2-pt jump shot from 7 ft,33,35
183,2,1:53.0,Defensive rebound by C. Frye,,33,35
184,2,1:30.0,C. Frye misses 3-pt jump shot from 25 ft,,33,35
185,2,1:30.0,,Defensive rebound by J. Johnson,33,35
186,2,1:23.0,,Shooting foul by C. Frye (drawn by T. Young),33,35
187,2,1:23.0,,T. Young makes free throw 1 of 2,33,36
188,2,1:23.0,A. Gordon enters the game for C. Frye,,33,36
189,2,1:23.0,,T. Young misses free throw 2 of 2,33,36
190,2,1:22.0,Defensive rebound by T. Harris,,33,36
191,2,1:07.0,Shooting foul by J. Johnson (drawn by T. Harris),,33,36
192,2,1:07.0,T. Harris misses free throw 1 of 2,,33,36
193,2,1:07.0,Offensive rebound by Team,,33,36
194,2,1:07.0,T. Harris makes free throw 2 of 2,,34,36
195,2,0:58.0,,Turnover by J. Johnson (traveling),34,36
196,2,0:41.0,V. Oladipo makes 3-pt jump shot from 24 ft (assist by M. Hezonja),,37,36
197,2,0:31.0,,S. Larkin makes 2-pt layup from 2 ft,37,38
198,2,0:31.0,,Shooting foul by V. Oladipo (drawn by S. Larkin),37,38
199,2,0:31.0,,B. Bogdanović enters the game for T. Young,37,38
200,2,0:31.0,,S. Larkin misses free throw 1 of 1,37,38
201,2,0:30.0,Defensive rebound by N. Vučević,,37,38
202,2,0:11.0,Turnover by V. Oladipo (bad pass),,37,38
203,2,0:11.0,,W. Ellington enters the game for M. Brown,37,38
204,2,0:01.0,,B. Lopez misses 2-pt jump shot from 10 ft,37,38
205,2,0:00.0,,Offensive rebound by Team,37,38
206,3,11:34.0,V. Oladipo makes 3-pt jump shot from 24 ft (assist by T. Harris),,40,38
