,QUARTER,TIME_REMAINING,CHARLOTTE_ACTION,WASHINGTON_ACTION,CHARLOTTE_SCORE,WASHINGTON_SCORE
0,1,11:40.0,,M. Gortat misses 2-pt jump shot from 12 ft,0,0
1,1,11:39.0,Defensive rebound by C. Zeller,,0,0
2,1,11:26.0,Personal foul by K. Oubre (drawn by M. Williams),,0,0
3,1,11:12.0,Turnover by Team (shot clock),,0,0
4,1,11:02.0,,M. Gortat misses 2-pt layup from 1 ft,0,0
5,1,11:01.0,Defensive rebound by N. Batum,,0,0
6,1,10:53.0,Shooting foul by G. Temple (drawn by N. Batum),,0,0
7,1,10:53.0,N. Batum makes free throw 1 of 2,,1,0
8,1,10:53.0,N. Batum makes free throw 2 of 2,,2,0
9,1,10:46.0,,J. Wall makes 2-pt jump shot from 19 ft,2,2
10,1,10:32.0,C. Zeller makes 2-pt layup at rim,,4,2
11,1,10:19.0,,K. Oubre misses 2-pt jump shot from 7 ft,4,2
12,1,10:18.0,,Offensive rebound by K. Oubre,4,2
13,1,10:16.0,,K. Oubre makes 2-pt layup from 1 ft,4,4
14,1,10:03.0,Turnover by C. Zeller (lost ball),,4,4
15,1,9:50.0,,K. Oubre makes 3-pt jump shot from 24 ft (assist by J. Wall),4,7
16,1,9:25.0,P. Hairston makes 3-pt jump shot from 24 ft,,7,7
17,1,9:11.0,,M. Gortat misses 2-pt jump shot from 4 ft,7,7
18,1,9:10.0,Defensive rebound by M. Williams,,7,7
19,1,8:56.0,M. Williams makes 3-pt jump shot from 23 ft (assist by P. Hairston),,10,7
20,1,8:42.0,,J. Wall misses 2-pt jump shot from 17 ft,10,7
21,1,8:41.0,Defensive rebound by P. Hairston,,10,7
22,1,8:32.0,K. Walker misses 3-pt jump shot from 24 ft,,10,7
23,1,8:31.0,,Defensive rebound by K. Oubre,10,7
24,1,8:25.0,,Turnover by J. Wall (lost ball; steal by K. Walker),10,7
25,1,8:18.0,Turnover by N. Batum (lost ball; steal by J. Dudley),,10,7
26,1,8:14.0,,G. Temple makes 2-pt layup at rim,10,9
27,1,8:14.0,,Shooting foul by M. Williams (drawn by G. Temple),10,9
