,QUARTER,TIME_REMAINING,CHICAGO_ACTION,WASHINGTON_ACTION,CHICAGO_SCORE,WASHINGTON_SCORE
0,1,11:39.0,,M. Morris makes 3-pt jump shot from 23 ft (assist by B. Beal),0,3
1,1,11:18.0,D. Rose misses 2-pt jump shot from 15 ft,,0,3
2,1,11:17.0,,Defensive rebound by J. Wall,0,3
3,1,11:12.0,,B. Beal misses 2-pt jump shot from 7 ft,0,3
4,1,11:12.0,,Offensive rebound by Team,0,3
5,1,11:12.0,Loose ball foul by T. Gibson,,0,3
6,1,11:07.0,,B. Beal misses 2-pt jump shot from 15 ft,0,3
7,1,11:06.0,Defensive rebound by T. Gibson,,0,3
8,1,11:00.0,Shooting foul by O. Porter (drawn by D. Rose),,0,3
9,1,11:00.0,D. Rose makes free throw 1 of 2,,1,3
10,1,11:00.0,D. Rose makes free throw 2 of 2,,2,3
11,1,10:43.0,,M. Morris makes 2-pt dunk at rim (assist by N. Hilário),2,5
12,1,10:28.0,T. Gibson misses 2-pt jump shot from 11 ft,,2,5
13,1,10:27.0,,Defensive rebound by N. Hilário,2,5
14,1,10:19.0,,B. Beal makes 3-pt jump shot from 29 ft (assist by M. Morris),2,8
15,1,10:06.0,N. Mirotić misses 2-pt jump shot from 13 ft,,2,8
16,1,10:05.0,,Defensive rebound by J. Wall,2,8
17,1,9:56.0,,Shooting foul by M. Dunleavy (drawn by O. Porter),2,8
18,1,9:56.0,,O. Porter misses free throw 1 of 2,2,8
19,1,9:56.0,,Offensive rebound by Team,2,8
20,1,9:56.0,,O. Porter makes free throw 2 of 2,2,9
21,1,9:45.0,Turnover by T. Gibson (lost ball; steal by J. Wall),,2,9
22,1,9:37.0,,O. Porter misses 3-pt jump shot from 26 ft,2,9
23,1,9:35.0,Defensive rebound by T. Gibson,,2,9
24,1,9:28.0,D. Rose makes 2-pt layup from 1 ft (assist by T. Gibson),,4,9
25,1,9:22.0,,B. Beal misses 2-pt layup at rim,4,9
26,1,9:21.0,,Offensive rebound by M. Morris,4,9
27,1,9:16.0,,O. Porter misses 2-pt layup from 1 ft,4,9
28,1,9:15.0,Defensive rebound by T. Gibson,,4,9
29,1,9:10.0,M. Dunleavy misses 2-pt jump shot from 14 ft,,4,9
30,1,9:09.0,,Defensive rebound by M. Morris,4,9
31,1,8:51.0,,B. Beal makes 2-pt layup at rim (assist by O. Porter),4,11
32,1,8:32.0,D. Rose makes 2-pt jump shot from 19 ft,,6,11
33,1,8:17.0,,J. Wall makes 2-pt jump shot from 13 ft,6,13
34,1,8:00.0,N. Mirotić misses 3-pt jump shot from 25 ft,,6,13
35,1,7:59.0,,Defensive rebound by N. Hilário,6,13
36,1,7:48.0,,N. Hilário makes 2-pt jump shot from 15 ft (assist by O. Porter),6,15
37,1,7:47.0,Chicago full timeout,,6,15
38,1,7:34.0,J. Butler misses 2-pt jump shot from 17 ft,,6,15
39,1,7:33.0,,Defensive rebound by O. Porter,6,15
40,1,7:23.0,,Shooting foul by T. Gibson (drawn by N. Hilário),6,15
41,1,7:23.0,,N. Hilário misses free throw 1 of 2,6,15
42,1,7:23.0,,Offensive rebound by Team,6,15
43,1,7:23.0,B. Portis enters the game for T. Gibson,,6,15
44,1,7:23.0,,N. Hilário makes free throw 2 of 2,6,16
45,1,7:03.0,Shooting foul by M. Morris (drawn by J. Butler),,6,16
46,1,7:03.0,J. Butler makes free throw 1 of 2,,7,16
47,1,7:03.0,J. Butler makes free throw 2 of 2,,8,16
48,1,6:42.0,,O. Porter misses 2-pt jump shot from 20 ft,8,16
49,1,6:41.0,,Offensive rebound by M. Morris,8,16
50,1,6:41.0,,M. Morris makes 2-pt dunk at rim,8,18
51,1,6:26.0,N. Mirotić makes 2-pt jump shot from 19 ft (assist by J. Butler),,10,18
52,1,6:01.0,,B. Beal misses 2-pt jump shot from 15 ft,10,18
53,1,6:00.0,Defensive rebound by M. Dunleavy,,10,18
54,1,5:51.0,N. Mirotić makes 3-pt jump shot from 26 ft (assist by D. Rose),,13,18
55,1,5:30.0,,M. Morris misses 2-pt jump shot from 8 ft,13,18
56,1,5:29.0,Defensive rebound by M. Dunleavy,,13,18
57,1,5:16.0,D. Rose misses 2-pt jump shot from 15 ft,,13,18
