,QUARTER,TIME_REMAINING,DALLAS_ACTION,NEW YORK_ACTION,DALLAS_SCORE,NEW YORK_SCORE
0,1,11:37.0,,R. Lopez makes 2-pt hook shot from 6 ft,0,2
1,1,11:18.0,D. Nowitzki makes 2-pt jump shot from 17 ft (assist by D. Williams),,2,2
2,1,10:57.0,,A. Afflalo makes 2-pt jump shot from 17 ft (assist by R. Lopez),2,4
3,1,10:34.0,Z. Pachulia misses 2-pt layup from 2 ft,,2,4
4,1,10:33.0,Offensive rebound by Z. Pachulia,,2,4
5,1,10:33.0,Z. Pachulia makes 2-pt layup from 2 ft,,4,4
6,1,10:15.0,,K. Porziņģis misses 3-pt jump shot from 26 ft,4,4
7,1,10:14.0,Defensive rebound by Z. Pachulia,,4,4
8,1,10:02.0,D. Nowitzki makes 3-pt jump shot from 24 ft (assist by D. Williams),,7,4
9,1,9:45.0,,K. Porziņģis makes 2-pt jump shot from 8 ft (assist by J. Calderón),7,6
10,1,9:24.0,D. Nowitzki makes 2-pt layup at rim (assist by D. Williams),,9,6
11,1,9:15.0,,C. Anthony misses 2-pt jump shot from 11 ft,9,6
12,1,9:14.0,Defensive rebound by Z. Pachulia,,9,6
13,1,9:05.0,D. Nowitzki makes 2-pt jump shot from 17 ft (assist by D. Williams),,11,6
14,1,8:47.0,,R. Lopez makes 2-pt jump shot from 8 ft (assist by C. Anthony),11,8
15,1,8:29.0,Shooting foul by J. Calderón (drawn by D. Nowitzki),,11,8
16,1,8:29.0,D. Nowitzki makes free throw 1 of 2,,12,8
17,1,8:29.0,D. Nowitzki makes free throw 2 of 2,,13,8
18,1,8:16.0,,A. Afflalo misses 2-pt jump shot from 18 ft,13,8
19,1,8:15.0,Defensive rebound by R. Felton,,13,8
20,1,8:02.0,D. Nowitzki misses 2-pt jump shot from 13 ft,,13,8
21,1,8:01.0,,Defensive rebound by R. Lopez,13,8
22,1,7:50.0,,C. Anthony misses 2-pt layup from 2 ft,13,8
23,1,7:49.0,,Offensive rebound by C. Anthony,13,8
24,1,7:48.0,,C. Anthony makes 2-pt layup from 1 ft,13,10
25,1,7:24.0,D. Nowitzki misses 2-pt jump shot from 10 ft,,13,10
26,1,7:23.0,,Defensive rebound by J. Calderón,13,10
27,1,7:12.0,,R. Lopez misses 2-pt jump shot from 17 ft,13,10
28,1,7:11.0,Defensive rebound by R. Felton,,13,10
29,1,7:06.0,W. Matthews misses 3-pt jump shot from 24 ft,,13,10
30,1,7:05.0,,Defensive rebound by A. Afflalo,13,10
31,1,6:50.0,,R. Lopez misses 2-pt hook shot from 4 ft,13,10
