,QUARTER,TIME_REMAINING,DENVER_ACTION,DETROIT_ACTION,DENVER_SCORE,DETROIT_SCORE
0,1,11:39.0,,A. Drummond misses 2-pt jump shot from 4 ft,0,0
1,1,11:39.0,,Offensive rebound by Team,0,0
2,1,11:35.0,,S. Johnson makes 2-pt layup at rim (assist by M. Morris),0,2
3,1,11:12.0,E. Mudiay misses 2-pt jump shot from 18 ft,,0,2
4,1,11:12.0,Offensive rebound by K. Faried,,0,2
5,1,11:01.0,K. Faried misses 2-pt layup at rim,,0,2
6,1,10:59.0,,Defensive rebound by A. Tolliver,0,2
7,1,10:36.0,,A. Drummond misses 2-pt hook shot from 7 ft,0,2
8,1,10:35.0,Defensive rebound by D. Gallinari,,0,2
9,1,10:16.0,D. Gallinari misses 2-pt layup at rim,,0,2
10,1,10:16.0,,Defensive rebound by B. Jennings,0,2
11,1,10:10.0,,Turnover by S. Johnson (lost ball; steal by E. Mudiay),0,2
12,1,10:02.0,G. Harris misses 2-pt jump shot from 19 ft,,0,2
13,1,10:02.0,,Defensive rebound by B. Jennings,0,2
14,1,9:46.0,,M. Morris makes 2-pt jump shot from 16 ft,0,4
15,1,9:32.0,,Offensive charge foul by D. Gallinari (drawn by A. Tolliver),0,4
16,1,9:32.0,Turnover by D. Gallinari (offensive foul),,0,4
17,1,9:15.0,,S. Johnson makes 2-pt jump shot from 14 ft,0,6
18,1,9:07.0,D. Gallinari makes 2-pt layup at rim (assist by K. Faried),,2,6
19,1,8:54.0,,M. Morris makes 3-pt jump shot from 25 ft (assist by S. Johnson),2,9
20,1,8:38.0,G. Harris misses 2-pt jump shot from 15 ft,,2,9
21,1,8:38.0,,Defensive rebound by A. Drummond,2,9
22,1,8:14.0,,A. Drummond misses 3-pt jump shot from 25 ft,2,9
23,1,8:13.0,,Offensive rebound by S. Johnson,2,9
24,1,8:10.0,,S. Johnson misses 2-pt jump shot from 4 ft,2,9
25,1,8:10.0,Defensive rebound by D. Gallinari,,2,9
26,1,8:00.0,N. Jokić misses 2-pt jump shot from 6 ft,,2,9
27,1,8:00.0,Offensive rebound by K. Faried,,2,9
28,1,7:57.0,K. Faried makes 2-pt layup at rim,,4,9
29,1,7:39.0,,Turnover by B. Jennings (bad pass; steal by E. Mudiay),4,9
30,1,7:33.0,K. Faried makes 2-pt layup at rim (assist by G. Harris),,6,9
31,1,7:12.0,,S. Johnson misses 2-pt jump shot from 8 ft,6,9
32,1,7:12.0,Defensive rebound by K. Faried,,6,9
33,1,7:02.0,Turnover by E. Mudiay (bad pass; steal by A. Drummond),,6,9
34,1,6:53.0,,Personal foul by E. Mudiay (drawn by M. Morris),6,9
35,1,6:43.0,,S. Johnson misses 3-pt jump shot from 26 ft,6,9
36,1,6:42.0,Defensive rebound by E. Mudiay,,6,9
37,1,6:31.0,E. Mudiay makes 3-pt jump shot from 25 ft (assist by G. Harris),,9,9
38,1,6:09.0,,M. Morris misses 2-pt jump shot from 6 ft,9,9
39,1,6:08.0,Defensive rebound by K. Faried,,9,9
40,1,5:54.0,Turnover by K. Faried (lost ball; steal by A. Tolliver),,9,9
41,1,5:46.0,,A. Tolliver misses 3-pt jump shot from 25 ft,9,9
42,1,5:46.0,Defensive rebound by E. Mudiay,,9,9
43,1,5:38.0,G. Harris makes 2-pt dunk at rim (assist by N. Jokić),,11,9
44,1,5:33.0,,Detroit full timeout,11,9
45,1,5:33.0,,D. Hilliard enters the game for S. Johnson,11,9
46,1,5:19.0,,Shooting foul by K. Faried (drawn by M. Morris),11,9
47,1,5:19.0,,M. Morris makes free throw 1 of 2,11,10
48,1,5:19.0,,A. Baynes enters the game for A. Tolliver,11,10
49,1,5:19.0,,M. Morris makes free throw 2 of 2,11,11
50,1,5:02.0,E. Mudiay misses 2-pt jump shot from 13 ft,,11,11
51,1,5:00.0,,Defensive rebound by A. Drummond,11,11
52,1,4:58.0,,Turnover by D. Hilliard (bad pass; steal by N. Jokić),11,11
53,1,4:47.0,K. Faried misses 2-pt jump shot from 3 ft (block by A. Baynes),,11,11
54,1,4:46.0,,Defensive rebound by A. Baynes,11,11
55,1,4:42.0,,A. Drummond makes 2-pt dunk at rim (assist by M. Morris),11,13
56,1,4:24.0,N. Jokić misses 2-pt layup from 2 ft (block by A. Drummond),,11,13
57,1,4:24.0,Offensive rebound by Team,,11,13
58,1,4:10.0,D. Gallinari misses 2-pt jump shot from 15 ft,,11,13
59,1,4:10.0,,Defensive rebound by A. Drummond,11,13
60,1,3:57.0,,B. Jennings misses 3-pt jump shot from 22 ft,11,13
61,1,3:56.0,Defensive rebound by K. Faried,,11,13
62,1,3:47.0,K. Faried makes 2-pt jump shot from 6 ft (assist by E. Mudiay),,13,13
63,1,3:31.0,,B. Jennings makes 2-pt layup at rim (assist by A. Drummond),13,15
64,1,3:16.0,Shooting foul by D. Hilliard (drawn by G. Harris),,13,15
65,1,3:16.0,G. Harris makes free throw 1 of 2,,14,15
66,1,3:16.0,J. Nurkić enters the game for N. Jokić,,14,15
67,1,3:16.0,J. Lauvergne enters the game for K. Faried,,14,15
68,1,3:16.0,G. Harris makes free throw 2 of 2,,15,15
69,1,2:50.0,,A. Baynes misses 2-pt hook shot from 6 ft,15,15
70,1,2:48.0,Defensive rebound by J. Lauvergne,,15,15
71,1,2:43.0,D. Gallinari makes 3-pt jump shot from 26 ft (assist by E. Mudiay),,18,15
72,1,2:24.0,,A. Drummond misses 2-pt layup at rim,18,15
73,1,2:24.0,,Offensive rebound by A. Drummond,18,15
74,1,2:23.0,,A. Drummond misses 2-pt layup from 1 ft,18,15
75,1,2:23.0,,Offensive rebound by A. Drummond,18,15
76,1,2:22.0,,A. Drummond misses 2-pt layup from 1 ft,18,15
77,1,2:22.0,,Offensive rebound by A. Drummond,18,15
78,1,2:21.0,,A. Drummond makes 2-pt layup from 1 ft,18,17
79,1,2:11.0,Denver full timeout,,18,17
80,1,2:11.0,W. Barton enters the game for G. Harris,,18,17
81,1,2:11.0,,S. Johnson enters the game for M. Morris,18,17
82,1,2:11.0,,S. Blake enters the game for A. Drummond,18,17
83,1,2:11.0,,A. Tolliver enters the game for B. Jennings,18,17
84,1,2:02.0,Shooting foul by A. Baynes (drawn by E. Mudiay),,18,17
85,1,2:02.0,E. Mudiay misses free throw 1 of 2,,18,17
86,1,2:02.0,Offensive rebound by Team,,18,17
87,1,2:02.0,E. Mudiay misses free throw 2 of 2,,18,17
88,1,2:01.0,,Defensive rebound by A. Baynes,18,17
89,1,1:44.0,,S. Blake makes 3-pt jump shot from 26 ft (assist by D. Hilliard),18,20
90,1,1:20.0,J. Lauvergne misses 2-pt jump shot from 3 ft (block by A. Baynes),,18,20
91,1,1:19.0,,Defensive rebound by A. Baynes,18,20
92,1,1:11.0,,A. Tolliver misses 2-pt jump shot from 11 ft,18,20
93,1,1:10.0,Defensive rebound by D. Gallinari,,18,20
94,1,1:00.0,E. Mudiay misses 3-pt jump shot from 24 ft,,18,20
95,1,1:00.0,,Defensive rebound by S. Johnson,18,20
96,1,0:42.0,,Turnover by S. Johnson (lost ball; steal by D. Gallinari),18,20
97,1,0:36.0,D. Gallinari misses 2-pt layup at rim,,18,20
98,1,0:34.0,,Defensive rebound by A. Tolliver,18,20
99,1,0:28.0,,A. Baynes makes 2-pt dunk at rim (assist by S. Johnson),18,22
100,1,0:07.0,Shooting foul by S. Johnson (drawn by D. Gallinari),,18,22
101,1,0:07.0,D. Gallinari makes free throw 1 of 2,,19,22
102,1,0:07.0,R. Foye enters the game for E. Mudiay,,19,22
103,1,0:07.0,D. Gallinari makes free throw 2 of 2,,20,22
104,1,0:06.0,,Personal take foul by R. Foye (drawn by S. Blake),20,22
105,2,11:41.0,J. Nurkić makes 2-pt hook shot from 3 ft (assist by J. Lauvergne),,22,22
106,2,11:23.0,,D. Hilliard makes 3-pt jump shot from 27 ft,22,25
107,2,11:04.0,W. Barton makes 3-pt jump shot from 25 ft (assist by J. Nurkić),,25,25
108,2,10:46.0,,A. Baynes makes 2-pt jump shot from 17 ft (assist by D. Hilliard),25,27
109,2,10:27.0,G. Harris makes 2-pt jump shot from 7 ft (assist by R. Foye),,27,27
110,2,10:18.0,,D. Hilliard misses 3-pt jump shot from 23 ft,27,27
111,2,10:18.0,Defensive rebound by J. Lauvergne,,27,27
112,2,10:02.0,W. Barton makes 2-pt layup at rim (assist by J. Nurkić),,29,27
113,2,10:00.0,,Detroit full timeout,29,27
114,2,9:47.0,,A. Tolliver misses 3-pt jump shot from 26 ft,29,27
