,QUARTER,TIME_REMAINING,MINNESOTA_ACTION,DALLAS_ACTION,MINNESOTA_SCORE,DALLAS_SCORE
0,1,12:00.0,,Violation by Team (delay of game),0,0
1,1,11:45.0,,C. Villanueva makes 2-pt jump shot from 18 ft (assist by Z. Pachulia),0,2
2,1,11:25.0,N. Peković makes 2-pt hook shot from 8 ft (assist by R. Rubio),,2,2
3,1,11:10.0,,W. Matthews misses 2-pt jump shot from 20 ft,2,2
4,1,11:09.0,Defensive rebound by N. Peković,,2,2
5,1,10:50.0,N. Peković misses 2-pt jump shot from 3 ft,,2,2
6,1,10:50.0,,Defensive rebound by C. Parsons,2,2
7,1,10:39.0,,D. Williams makes 2-pt jump shot from 4 ft,2,4
8,1,10:22.0,A. Wiggins makes 2-pt jump shot from 3 ft,,4,4
9,1,10:11.0,,D. Williams misses 3-pt jump shot from 24 ft,4,4
10,1,10:10.0,Defensive rebound by T. Prince,,4,4
11,1,10:02.0,N. Peković makes 2-pt jump shot from 4 ft (assist by R. Rubio),,6,4
12,1,9:45.0,,C. Villanueva misses 2-pt jump shot from 16 ft,6,4
13,1,9:44.0,Defensive rebound by T. Prince,,6,4
14,1,9:26.0,R. Rubio misses 3-pt jump shot from 23 ft,,6,4
15,1,9:25.0,,Defensive rebound by C. Villanueva,6,4
16,1,9:10.0,,C. Parsons makes 2-pt jump shot from 9 ft,6,6
17,1,9:10.0,,Shooting foul by A. Wiggins (drawn by C. Parsons),6,6
18,1,9:10.0,,C. Parsons misses free throw 1 of 1,6,6
19,1,9:08.0,Defensive rebound by K. Towns,,6,6
20,1,9:00.0,A. Wiggins makes 3-pt jump shot from 23 ft (assist by K. Towns),,9,6
21,1,8:38.0,,C. Villanueva misses 3-pt jump shot from 24 ft,9,6
22,1,8:37.0,Defensive rebound by T. Prince,,9,6
23,1,8:26.0,K. Towns makes 2-pt jump shot from 16 ft (assist by R. Rubio),,11,6
24,1,8:05.0,,C. Parsons misses 2-pt layup from 3 ft,11,6
25,1,8:04.0,,Offensive rebound by Z. Pachulia,11,6
26,1,8:03.0,,Z. Pachulia makes 2-pt layup from 1 ft,11,8
