,QUARTER,TIME_REMAINING,WASHINGTON_ACTION,SAN ANTONIO_ACTION,WASHINGTON_SCORE,SAN ANTONIO_SCORE
0,1,11:36.0,,L. Aldridge misses 2-pt jump shot from 8 ft,0,0
1,1,11:35.0,Defensive rebound by J. Wall,,0,0
2,1,11:29.0,J. Wall makes 2-pt layup at rim,,2,0
3,1,11:18.0,,K. Leonard makes 3-pt jump shot from 24 ft (assist by T. Parker),2,3
4,1,11:01.0,J. Wall makes 2-pt jump shot from 16 ft,,4,3
5,1,10:40.0,,L. Aldridge misses 2-pt jump shot from 16 ft,4,3
6,1,10:39.0,,Offensive rebound by T. Parker,4,3
7,1,10:35.0,,Personal foul by G. Neal (drawn by D. West),4,3
8,1,10:34.0,,Personal foul by G. Neal (drawn by D. West),4,3
9,1,10:34.0,R. Sessions enters the game for G. Neal,,4,3
10,1,10:27.0,,D. Green makes 2-pt jump shot from 17 ft (assist by T. Parker),4,5
11,1,10:08.0,Turnover by R. Sessions (bad pass; steal by K. Leonard),,4,5
12,1,10:04.0,,D. West misses 2-pt layup from 2 ft,4,5
13,1,10:02.0,Defensive rebound by O. Porter,,4,5
14,1,9:56.0,R. Sessions misses 2-pt jump shot from 13 ft,,4,5
15,1,9:55.0,,Defensive rebound by D. Green,4,5
16,1,9:40.0,,D. Green misses 3-pt jump shot from 23 ft,4,5
17,1,9:38.0,,Offensive rebound by D. West,4,5
18,1,9:38.0,,D. West makes 2-pt layup from 2 ft,4,7
19,1,9:12.0,M. Gortat makes 2-pt jump shot from 15 ft (assist by J. Wall),,6,7
20,1,8:55.0,,T. Parker makes 2-pt jump shot from 17 ft (assist by K. Leonard),6,9
21,1,8:43.0,J. Wall misses 2-pt jump shot from 12 ft,,6,9
22,1,8:42.0,,Defensive rebound by D. Green,6,9
23,1,8:21.0,,T. Parker misses 2-pt jump shot from 10 ft,6,9
24,1,8:20.0,Defensive rebound by O. Porter,,6,9
25,1,8:13.0,K. Humphries makes 2-pt layup from 1 ft (assist by O. Porter),,8,9
26,1,8:00.0,,Turnover by K. Leonard (bad pass; steal by O. Porter),8,9
27,1,7:57.0,Turnover by M. Gortat (bad pass; steal by K. Leonard),,8,9
28,1,7:50.0,,D. Green misses 3-pt jump shot from 24 ft,8,9
29,1,7:50.0,Defensive rebound by R. Sessions,,8,9
30,1,7:40.0,M. Gortat misses 2-pt jump shot from 4 ft (block by D. Green),,8,9
31,1,7:38.0,Offensive rebound by K. Humphries,,8,9
32,1,7:36.0,K. Humphries misses 2-pt jump shot from 14 ft,,8,9
33,1,7:35.0,,Defensive rebound by T. Parker,8,9
34,1,7:15.0,,T. Parker misses 2-pt layup from 4 ft,8,9
35,1,7:14.0,Defensive rebound by K. Humphries,,8,9
36,1,7:10.0,Personal foul by L. Aldridge (drawn by M. Gortat),,8,9
37,1,7:04.0,R. Sessions makes 2-pt jump shot from 13 ft,,10,9
38,1,7:04.0,,San Antonio full timeout,10,9
39,1,6:51.0,,Personal foul by J. Wall (drawn by D. Green),10,9
40,1,6:44.0,,Shooting foul by O. Porter (drawn by K. Leonard),10,9
41,1,6:44.0,,K. Leonard makes free throw 1 of 2,10,10
42,1,6:44.0,,K. Leonard misses free throw 2 of 2,10,10
43,1,6:44.0,Defensive rebound by M. Gortat,,10,10
44,1,6:30.0,M. Gortat makes 2-pt jump shot from 12 ft (assist by J. Wall),,12,10
45,1,6:23.0,,Turnover by Team (back court),12,10
46,1,6:11.0,K. Humphries makes 2-pt jump shot from 16 ft (assist by J. Wall),,14,10
47,1,5:50.0,,Turnover by T. Parker (bad pass; steal by O. Porter),14,10
48,1,5:36.0,R. Sessions makes 2-pt hook shot from 6 ft,,16,10
49,1,5:36.0,,San Antonio full timeout,16,10
50,1,5:36.0,,P. Mills enters the game for T. Parker,16,10
51,1,5:36.0,,M. Ginóbili enters the game for D. Green,16,10
52,1,5:36.0,,B. Diaw enters the game for D. West,16,10
53,1,5:15.0,,K. Leonard makes 3-pt jump shot from 26 ft (assist by M. Ginóbili),16,13
54,1,5:01.0,O. Porter misses 2-pt jump shot from 5 ft,,16,13
55,1,5:00.0,,Defensive rebound by K. Leonard,16,13
56,1,4:50.0,,L. Aldridge makes 2-pt jump shot from 13 ft (assist by K. Leonard),16,15
57,1,4:45.0,J. Wall misses 2-pt jump shot from 3 ft,,16,15
58,1,4:44.0,,Defensive rebound by M. Ginóbili,16,15
59,1,4:31.0,,M. Ginóbili makes 2-pt hook shot from 4 ft,16,17
60,1,4:19.0,M. Gortat makes 2-pt jump shot from 8 ft (assist by R. Sessions),,18,17
61,1,4:05.0,,M. Ginóbili makes 2-pt layup from 2 ft (assist by P. Mills),18,19
62,1,3:50.0,K. Humphries misses 2-pt jump shot from 16 ft,,18,19
63,1,3:49.0,Offensive rebound by Team,,18,19
64,1,3:49.0,Washington full timeout,,18,19
65,1,3:49.0,J. Dudley enters the game for K. Humphries,,18,19
66,1,3:38.0,J. Wall makes 2-pt layup from 2 ft,,20,19
67,1,3:16.0,,K. Leonard makes 2-pt jump shot from 8 ft,20,21
68,1,3:05.0,M. Gortat makes 2-pt jump shot from 8 ft (assist by R. Sessions),,22,21
69,1,2:50.0,,Turnover by M. Ginóbili (lost ball; steal by O. Porter),22,21
70,1,2:27.0,J. Wall makes 3-pt jump shot from 23 ft (assist by R. Sessions),,25,21
71,1,2:05.0,,K. Leonard misses 3-pt jump shot from 23 ft,25,21
72,1,2:04.0,Defensive rebound by J. Dudley,,25,21
73,1,1:46.0,Shooting foul by K. Leonard (drawn by M. Gortat),,25,21
74,1,1:46.0,M. Gortat makes free throw 1 of 2,,26,21
75,1,1:46.0,G. Temple enters the game for J. Wall,,26,21
76,1,1:46.0,,B. Marjanović enters the game for L. Aldridge,26,21
77,1,1:46.0,M. Gortat makes free throw 2 of 2,,27,21
78,1,1:32.0,,B. Diaw makes 2-pt layup from 1 ft,27,23
79,1,1:22.0,Shooting foul by B. Marjanović (drawn by R. Sessions),,27,23
80,1,1:22.0,R. Sessions makes free throw 1 of 2,,28,23
81,1,1:22.0,D. Blair enters the game for M. Gortat,,28,23
82,1,1:22.0,R. Sessions makes free throw 2 of 2,,29,23
83,1,1:08.0,,P. Mills misses 3-pt jump shot from 24 ft,29,23
84,1,1:07.0,Defensive rebound by R. Sessions,,29,23
85,1,1:00.0,G. Temple misses 3-pt jump shot from 23 ft,,29,23
86,1,1:00.0,,Defensive rebound by B. Diaw,29,23
87,1,0:53.0,,B. Diaw makes 2-pt layup from 2 ft,29,25
88,1,0:35.0,Offensive foul by D. Blair (drawn by B. Diaw),,29,25
89,1,0:35.0,Turnover by D. Blair (offensive foul),,29,25
90,1,0:35.0,,K. Anderson enters the game for K. Leonard,29,25
91,1,0:29.0,,B. Diaw misses 3-pt jump shot from 26 ft,29,25
92,1,0:29.0,,Offensive rebound by B. Marjanović,29,25
93,1,0:29.0,,Personal foul by D. Blair (drawn by B. Marjanović),29,25
94,1,0:29.0,,B. Marjanović misses free throw 1 of 2,29,25
95,1,0:29.0,,Offensive rebound by Team,29,25
96,1,0:29.0,J. Wall enters the game for O. Porter,,29,25
97,1,0:29.0,,T. Parker enters the game for P. Mills,29,25
98,1,0:29.0,,B. Marjanović makes free throw 2 of 2,29,26
99,1,0:08.0,Shooting foul by M. Ginóbili (drawn by D. Blair),,29,26
100,1,0:08.0,D. Blair makes free throw 1 of 2,,30,26
101,1,0:08.0,K. Oubre enters the game for J. Wall,,30,26
102,1,0:08.0,,P. Mills enters the game for T. Parker,30,26
103,1,0:08.0,,D. Green enters the game for K. Anderson,30,26
104,1,0:08.0,D. Blair makes free throw 2 of 2,,31,26
105,1,0:01.0,,B. Marjanović misses 2-pt jump shot from 4 ft,31,26
106,1,0:00.0,,Offensive rebound by Team,31,26
107,2,11:35.0,K. Oubre makes 2-pt jump shot from 4 ft,,33,26
108,2,11:19.0,,Shooting foul by G. Temple (drawn by K. Anderson),33,26
109,2,11:19.0,,K. Anderson misses free throw 1 of 2,33,26
110,2,11:19.0,,Offensive rebound by Team,33,26
111,2,11:19.0,,K. Anderson makes free throw 2 of 2,33,27
112,2,11:19.0,Turnover by D. Blair (bad pass; steal by M. Ginóbili),,33,27
113,2,11:19.0,,Shooting foul by K. Oubre (drawn by M. Ginóbili),33,27
114,2,11:19.0,,M. Ginóbili makes free throw 1 of 2,33,28
115,2,11:19.0,,M. Ginóbili makes free throw 2 of 2,33,29
116,2,11:11.0,Personal foul by P. Mills (drawn by R. Sessions),,33,29
117,2,11:01.0,R. Sessions misses 2-pt jump shot from 4 ft,,33,29
118,2,11:00.0,,Defensive rebound by B. Marjanović,33,29
119,2,10:49.0,,P. Mills misses 3-pt jump shot from 26 ft,33,29
120,2,10:48.0,Defensive rebound by D. Blair,,33,29
121,2,10:40.0,D. Blair misses 2-pt jump shot from 11 ft,,33,29
122,2,10:39.0,,Defensive rebound by B. Diaw,33,29
123,2,10:30.0,,M. Ginóbili misses 3-pt jump shot from 24 ft,33,29
124,2,10:29.0,,Offensive rebound by B. Marjanović,33,29
125,2,10:29.0,Loose ball foul by D. Blair (drawn by B. Marjanović),,33,29
126,2,10:29.0,G. Neal enters the game for G. Temple,,33,29
127,2,10:29.0,M. Gortat enters the game for D. Blair,,33,29
128,2,10:20.0,,B. Marjanović makes 2-pt dunk at rim (assist by M. Ginóbili),33,31
129,2,10:00.0,M. Gortat misses 2-pt jump shot from 7 ft,,33,31
130,2,9:59.0,,Defensive rebound by B. Diaw,33,31
131,2,9:42.0,,Turnover by B. Diaw (bad pass; steal by R. Sessions),33,31
132,2,9:35.0,K. Oubre misses 3-pt jump shot from 25 ft,,33,31
133,2,9:34.0,,Defensive rebound by M. Ginóbili,33,31
134,2,9:30.0,,P. Mills makes 2-pt layup from 1 ft (assist by M. Ginóbili),33,33
135,2,9:17.0,K. Oubre misses 2-pt layup from 1 ft (block by B. Marjanović),,33,33
136,2,9:16.0,Offensive rebound by K. Oubre,,33,33
137,2,9:15.0,K. Oubre misses 2-pt layup from 2 ft (block by B. Marjanović),,33,33
138,2,9:13.0,,Defensive rebound by B. Diaw,33,33
139,2,9:05.0,,M. Ginóbili makes 2-pt jump shot from 3 ft,33,35
140,2,9:05.0,Washington full timeout,,33,35
141,2,9:05.0,J. Wall enters the game for R. Sessions,,33,35
142,2,9:05.0,,K. Leonard enters the game for M. Ginóbili,33,35
143,2,8:54.0,M. Gortat makes 2-pt layup from 2 ft (assist by J. Wall),,35,35
144,2,8:38.0,,K. Anderson makes 2-pt jump shot from 5 ft,35,37
145,2,8:25.0,M. Gortat makes 2-pt layup from 1 ft (assist by J. Wall),,37,37
146,2,8:14.0,,Personal foul by K. Oubre (drawn by P. Mills),37,37
147,2,8:14.0,O. Porter enters the game for K. Oubre,,37,37
148,2,7:57.0,,P. Mills makes 2-pt layup from 3 ft,37,39
149,2,7:46.0,M. Gortat misses 2-pt jump shot from 5 ft,,37,39
150,2,7:45.0,,Defensive rebound by B. Marjanović,37,39
151,2,7:30.0,,Personal foul by O. Porter (drawn by K. Anderson),37,39
152,2,7:30.0,,K. Anderson misses free throw 1 of 2,37,39
153,2,7:30.0,,Offensive rebound by Team,37,39
154,2,7:30.0,,T. Parker enters the game for P. Mills,37,39
155,2,7:30.0,,D. West enters the game for B. Diaw,37,39
156,2,7:30.0,,L. Aldridge enters the game for B. Marjanović,37,39
157,2,7:30.0,,K. Anderson makes free throw 2 of 2,37,40
158,2,7:20.0,G. Neal makes 2-pt jump shot from 9 ft,,39,40
159,2,6:58.0,,K. Leonard misses 2-pt jump shot from 14 ft,39,40
160,2,6:58.0,,Offensive rebound by D. West,39,40
161,2,6:53.0,,L. Aldridge misses 2-pt jump shot from 18 ft,39,40
162,2,6:53.0,,Offensive rebound by Team,39,40
163,2,6:53.0,Loose ball foul by J. Dudley (drawn by D. West),,39,40
164,2,6:53.0,,D. West misses free throw 1 of 2,39,40
165,2,6:53.0,,Offensive rebound by Team,39,40
166,2,6:53.0,K. Humphries enters the game for J. Dudley,,39,40
167,2,6:53.0,,D. West makes free throw 2 of 2,39,41
168,2,6:37.0,G. Neal misses 2-pt jump shot from 18 ft,,39,41
169,2,6:37.0,,Defensive rebound by D. West,39,41
170,2,6:12.0,,K. Anderson misses 2-pt jump shot from 9 ft,39,41
171,2,6:11.0,Defensive rebound by K. Humphries,,39,41
172,2,6:08.0,Turnover by K. Humphries (bad pass; steal by L. Aldridge),,39,41
173,2,5:58.0,,Shooting foul by G. Neal (drawn by K. Leonard),39,41
174,2,5:58.0,Official timeout,,39,41
175,2,5:58.0,R. Sessions enters the game for G. Neal,,39,41
176,2,5:58.0,,K. Leonard makes free throw 1 of 2,39,42
