,QUARTER,TIME_REMAINING,MEMPHIS_ACTION,PORTLAND_ACTION,MEMPHIS_SCORE,PORTLAND_SCORE
0,1,11:44.0,,C. McCollum misses 2-pt jump shot from 16 ft,0,0
1,1,11:43.0,,Offensive rebound by A. Aminu,0,0
2,1,11:40.0,,A. Aminu makes 2-pt layup from 2 ft,0,2
3,1,11:15.0,C. Lee misses 2-pt jump shot from 7 ft,,0,2
4,1,11:14.0,,Defensive rebound by C. McCollum,0,2
5,1,11:03.0,,Shooting foul by T. Allen (drawn by M. Plumlee),0,2
6,1,11:03.0,,M. Plumlee misses free throw 1 of 2,0,2
7,1,11:03.0,,Offensive rebound by Team,0,2
8,1,11:03.0,,M. Plumlee misses free throw 2 of 2,0,2
9,1,11:02.0,Defensive rebound by M. Gasol,,0,2
10,1,10:50.0,T. Allen misses 2-pt jump shot from 21 ft,,0,2
11,1,10:49.0,,Defensive rebound by M. Plumlee,0,2
12,1,10:35.0,,D. Lillard misses 2-pt jump shot from 18 ft,0,2
13,1,10:35.0,,Offensive rebound by D. Lillard,0,2
14,1,10:32.0,,D. Lillard misses 2-pt jump shot from 8 ft,0,2
15,1,10:29.0,,Offensive rebound by M. Plumlee,0,2
16,1,10:23.0,,C. McCollum misses 2-pt jump shot from 18 ft,0,2
17,1,10:23.0,Defensive rebound by Z. Randolph,,0,2
18,1,10:13.0,Shooting foul by M. Leonard (drawn by M. Gasol),,0,2
19,1,10:13.0,M. Gasol makes free throw 1 of 2,,1,2
20,1,10:13.0,M. Gasol makes free throw 2 of 2,,2,2
21,1,9:55.0,,D. Lillard misses 3-pt jump shot from 25 ft,2,2
22,1,9:54.0,Defensive rebound by M. Gasol,,2,2
23,1,9:45.0,C. Lee makes 3-pt jump shot from 24 ft (assist by M. Gasol),,5,2
24,1,9:19.0,,M. Plumlee makes 2-pt layup from 1 ft (assist by C. McCollum),5,4
25,1,8:59.0,M. Conley misses 2-pt jump shot from 12 ft,,5,4
26,1,8:58.0,,Defensive rebound by M. Plumlee,5,4
27,1,8:47.0,,D. Lillard misses 3-pt jump shot from 25 ft,5,4
28,1,8:47.0,Defensive rebound by M. Conley,,5,4
29,1,8:43.0,Turnover by M. Conley (traveling),,5,4
30,1,8:28.0,,A. Aminu misses 2-pt layup from 2 ft,5,4
31,1,8:27.0,,Offensive rebound by M. Plumlee,5,4
32,1,8:27.0,,M. Plumlee makes 2-pt dunk at rim,5,6
33,1,8:07.0,M. Gasol misses 2-pt jump shot from 21 ft,,5,6
34,1,8:07.0,,Defensive rebound by M. Leonard,5,6
35,1,8:01.0,,Turnover by A. Aminu (lost ball; steal by C. Lee),5,6
36,1,7:52.0,Personal foul by M. Plumlee (drawn by M. Gasol),,5,6
37,1,7:41.0,Z. Randolph makes 2-pt jump shot from 19 ft,,7,6
38,1,7:23.0,,A. Aminu misses 3-pt jump shot from 25 ft,7,6
39,1,7:23.0,Defensive rebound by Z. Randolph,,7,6
40,1,7:15.0,Turnover by M. Gasol (bad pass; steal by M. Plumlee),,7,6
41,1,7:07.0,,M. Leonard makes 2-pt layup from 1 ft (assist by M. Plumlee),7,8
42,1,6:51.0,M. Conley misses 2-pt jump shot from 3 ft,,7,8
43,1,6:51.0,,Defensive rebound by M. Plumlee,7,8
44,1,6:47.0,,Shooting foul by M. Gasol (drawn by A. Aminu),7,8
45,1,6:47.0,,A. Aminu misses free throw 1 of 2,7,8
46,1,6:47.0,,Offensive rebound by Team,7,8
47,1,6:47.0,,A. Aminu misses free throw 2 of 2,7,8
48,1,6:46.0,Defensive rebound by Z. Randolph,,7,8
49,1,6:29.0,M. Conley misses 2-pt jump shot from 19 ft,,7,8
50,1,6:27.0,Offensive rebound by Team,,7,8
51,1,6:19.0,M. Gasol makes 2-pt dunk at rim (assist by M. Conley),,9,8
52,1,6:07.0,,D. Lillard makes 2-pt layup from 2 ft (assist by C. McCollum),9,10
53,1,5:53.0,M. Conley misses 2-pt jump shot from 5 ft,,9,10
54,1,5:53.0,,Defensive rebound by M. Plumlee,9,10
55,1,5:47.0,,M. Leonard makes 2-pt jump shot from 6 ft (assist by C. McCollum),9,12
56,1,5:27.0,Shooting foul by M. Leonard (drawn by M. Gasol),,9,12
57,1,5:27.0,,Portland full timeout,9,12
58,1,5:27.0,,N. Vonleh enters the game for M. Leonard,9,12
59,1,5:27.0,,A. Crabbe enters the game for C. McCollum,9,12
60,1,5:27.0,M. Gasol makes free throw 1 of 2,,10,12
61,1,5:27.0,M. Gasol misses free throw 2 of 2,,10,12
62,1,5:26.0,,Defensive rebound by N. Vonleh,10,12
63,1,5:12.0,,A. Crabbe misses 2-pt jump shot from 19 ft,10,12
64,1,5:12.0,Defensive rebound by T. Allen,,10,12
65,1,4:51.0,Z. Randolph makes 2-pt hook shot from 9 ft,,12,12
66,1,4:30.0,,N. Vonleh makes 2-pt jump shot from 14 ft (assist by D. Lillard),12,14
67,1,4:13.0,C. Lee makes 3-pt jump shot from 23 ft (assist by Z. Randolph),,15,14
68,1,3:59.0,,M. Plumlee misses 2-pt layup from 2 ft (block by M. Gasol),15,14
69,1,3:58.0,Defensive rebound by C. Lee,,15,14
70,1,3:50.0,T. Allen misses 2-pt jump shot from 18 ft,,15,14
71,1,3:49.0,,Defensive rebound by M. Plumlee,15,14
72,1,3:37.0,,N. Vonleh misses 3-pt jump shot from 24 ft,15,14
73,1,3:37.0,Defensive rebound by M. Conley,,15,14
74,1,3:24.0,M. Gasol misses 2-pt hook shot from 3 ft,,15,14
75,1,3:24.0,Offensive rebound by Z. Randolph,,15,14
76,1,3:23.0,Turnover by Z. Randolph (traveling),,15,14
77,1,3:23.0,B. Udrih enters the game for T. Allen,,15,14
78,1,3:23.0,J. Green enters the game for M. Conley,,15,14
79,1,3:23.0,,E. Davis enters the game for A. Aminu,15,14
80,1,3:23.0,,M. Harkless enters the game for M. Plumlee,15,14
81,1,3:07.0,,A. Crabbe makes 2-pt jump shot from 20 ft,15,16
82,1,2:41.0,M. Gasol makes 2-pt layup from 2 ft,,17,16
83,1,2:30.0,,D. Lillard misses 2-pt jump shot from 15 ft,17,16
84,1,2:29.0,Defensive rebound by M. Gasol,,17,16
85,1,2:20.0,B. Udrih misses 2-pt jump shot from 13 ft (block by D. Lillard),,17,16
86,1,2:19.0,,Defensive rebound by E. Davis,17,16
87,1,2:05.0,,E. Davis makes 2-pt jump shot from 9 ft,17,18
88,1,1:59.0,Memphis full timeout,,17,18
89,1,1:59.0,J. Green enters the game for M. Gasol,,17,18
90,1,1:59.0,M. Barnes enters the game for C. Lee,,17,18
91,1,1:59.0,,C. McCollum enters the game for D. Lillard,17,18
92,1,1:48.0,J. Green makes 2-pt jump shot from 19 ft (assist by B. Udrih),,19,18
93,1,1:31.0,,Turnover by A. Crabbe (bad pass; steal by Z. Randolph),19,18
94,1,1:20.0,Z. Randolph misses 2-pt jump shot from 4 ft (block by N. Vonleh),,19,18
95,1,1:19.0,,Defensive rebound by C. McCollum,19,18
96,1,1:15.0,,Turnover by N. Vonleh (lost ball),19,18
97,1,1:00.0,J. Green makes 2-pt jump shot from 17 ft,,21,18
98,1,0:48.0,,A. Crabbe misses 2-pt jump shot from 19 ft,21,18
99,1,0:47.0,Defensive rebound by J. Green,,21,18
100,1,0:38.0,Z. Randolph makes 2-pt jump shot from 18 ft (assist by B. Udrih),,23,18
101,1,0:13.0,,C. McCollum misses 2-pt jump shot from 10 ft,23,18
102,1,0:12.0,Defensive rebound by J. Green,,23,18
103,1,0:06.0,Turnover by J. Green (lost ball; steal by A. Crabbe),,23,18
