,QUARTER,TIME_REMAINING,UTAH_ACTION,SAN ANTONIO_ACTION,UTAH_SCORE,SAN ANTONIO_SCORE
0,1,11:44.0,,D. Green makes 2-pt jump shot from 15 ft (assist by T. Parker),0,2
1,1,11:25.0,Personal foul by T. Parker (drawn by R. Neto),,0,2
2,1,11:18.0,D. Favors misses 2-pt jump shot from 14 ft,,0,2
3,1,11:17.0,,Defensive rebound by L. Aldridge,0,2
4,1,11:05.0,,K. Leonard misses 3-pt jump shot from 25 ft,0,2
5,1,11:04.0,Defensive rebound by T. Lyles,,0,2
6,1,10:40.0,R. Neto misses 2-pt jump shot from 12 ft,,0,2
7,1,10:39.0,,Defensive rebound by T. Duncan,0,2
8,1,10:23.0,,T. Parker misses 2-pt layup from 2 ft,0,2
9,1,10:22.0,,Offensive rebound by T. Duncan,0,2
10,1,10:18.0,,D. Green misses 3-pt jump shot from 22 ft,0,2
11,1,10:17.0,Defensive rebound by R. Neto,,0,2
12,1,10:03.0,D. Favors makes 2-pt jump shot from 19 ft (assist by G. Hayward),,2,2
13,1,9:44.0,,Turnover by T. Duncan (bad pass),2,2
14,1,9:29.0,G. Hayward misses 2-pt jump shot from 16 ft,,2,2
15,1,9:28.0,,Defensive rebound by T. Duncan,2,2
16,1,9:11.0,,T. Parker makes 2-pt layup at rim (assist by D. Green),2,4
17,1,8:54.0,R. Hood misses 2-pt jump shot from 12 ft,,2,4
18,1,8:53.0,,Defensive rebound by T. Parker,2,4
19,1,8:32.0,,L. Aldridge misses 2-pt layup from 1 ft (block by D. Favors),2,4
20,1,8:31.0,,Offensive rebound by L. Aldridge,2,4
21,1,8:30.0,,Shooting foul by R. Hood (drawn by L. Aldridge),2,4
22,1,8:30.0,,L. Aldridge makes free throw 1 of 2,2,5
23,1,8:30.0,,L. Aldridge makes free throw 2 of 2,2,6
24,1,8:15.0,G. Hayward misses 2-pt jump shot from 10 ft,,2,6
25,1,8:12.0,,Defensive rebound by L. Aldridge,2,6
26,1,7:59.0,,T. Duncan makes 2-pt jump shot from 5 ft (assist by T. Parker),2,8
27,1,7:59.0,,Shooting foul by T. Lyles (drawn by T. Duncan),2,8
28,1,7:59.0,,T. Duncan makes free throw 1 of 1,2,9
29,1,7:39.0,D. Favors makes 2-pt jump shot from 9 ft,,4,9
30,1,7:22.0,,D. Green makes 2-pt layup at rim (assist by T. Duncan),4,11
31,1,7:08.0,Turnover by R. Neto (bad pass; steal by K. Leonard),,4,11
32,1,7:02.0,,D. Green misses 3-pt jump shot from 24 ft,4,11
33,1,7:01.0,,Offensive rebound by D. Green,4,11
34,1,6:48.0,,T. Duncan makes 2-pt jump shot from 5 ft (assist by T. Parker),4,13
35,1,6:48.0,Utah full timeout,,4,13
36,1,6:48.0,T. Burke enters the game for R. Neto,,4,13
37,1,6:27.0,D. Favors misses 2-pt jump shot from 12 ft,,4,13
38,1,6:26.0,,Defensive rebound by K. Leonard,4,13
39,1,6:09.0,,L. Aldridge makes 2-pt hook shot from 11 ft,4,15
40,1,5:53.0,R. Hood misses 2-pt layup at rim,,4,15
41,1,5:52.0,,Defensive rebound by L. Aldridge,4,15
42,1,5:37.0,,L. Aldridge makes 2-pt jump shot from 15 ft (assist by T. Parker),4,17
43,1,5:24.0,A. Burks enters the game for T. Lyles,,4,17
44,1,5:24.0,T. Booker enters the game for G. Hayward,,4,17
45,1,5:21.0,Personal foul by K. Leonard (drawn by A. Burks),,4,17
46,1,5:21.0,,M. Ginóbili enters the game for D. Green,4,17
47,1,5:07.0,D. Favors misses 2-pt jump shot from 6 ft,,4,17
48,1,5:06.0,,Defensive rebound by K. Leonard,4,17
49,1,4:55.0,,L. Aldridge misses 2-pt jump shot from 12 ft,4,17
50,1,4:53.0,Defensive rebound by T. Burke,,4,17
51,1,4:41.0,T. Burke makes 2-pt jump shot from 17 ft,,6,17
52,1,4:24.0,,L. Aldridge makes 2-pt layup at rim (assist by T. Parker),6,19
53,1,4:14.0,A. Burks makes 2-pt layup at rim,,8,19
54,1,4:14.0,,San Antonio full timeout,8,19
55,1,4:14.0,,P. Mills enters the game for T. Parker,8,19
56,1,4:14.0,,B. Diaw enters the game for T. Duncan,8,19
57,1,4:14.0,,J. Simmons enters the game for K. Leonard,8,19
58,1,4:02.0,,Turnover by L. Aldridge (bad pass; steal by D. Favors),8,19
59,1,3:48.0,D. Favors misses 2-pt layup from 2 ft,,8,19
60,1,3:47.0,,Defensive rebound by P. Mills,8,19
61,1,3:31.0,,P. Mills misses 3-pt jump shot from 25 ft,8,19
62,1,3:30.0,Defensive rebound by D. Favors,,8,19
63,1,3:15.0,R. Hood makes 2-pt jump shot from 18 ft (assist by T. Burke),,10,19
64,1,3:01.0,,Shooting foul by A. Burks (drawn by L. Aldridge),10,19
65,1,3:01.0,,L. Aldridge makes free throw 1 of 2,10,20
66,1,3:01.0,J. Withey enters the game for D. Favors,,10,20
67,1,3:01.0,,L. Aldridge makes free throw 2 of 2,10,21
68,1,2:47.0,Turnover by R. Hood (lost ball),,10,21
69,1,2:29.0,,M. Ginóbili makes 2-pt jump shot from 17 ft,10,23
70,1,2:04.0,T. Burke misses 2-pt jump shot from 10 ft,,10,23
71,1,2:03.0,Offensive rebound by T. Booker,,10,23
72,1,2:02.0,T. Booker misses 2-pt layup from 1 ft,,10,23
73,1,2:01.0,,Defensive rebound by J. Simmons,10,23
74,1,1:56.0,,J. Simmons makes 2-pt layup from 1 ft,10,25
75,1,1:56.0,Utah full timeout,,10,25
76,1,1:56.0,J. Ingles enters the game for R. Hood,,10,25
77,1,1:31.0,A. Burks misses 2-pt layup from 1 ft,,10,25
78,1,1:30.0,,Defensive rebound by B. Diaw,10,25
79,1,1:18.0,,L. Aldridge makes 2-pt jump shot from 19 ft (assist by M. Ginóbili),10,27
80,1,0:56.0,J. Withey makes 2-pt jump shot from 4 ft (assist by J. Ingles),,12,27
81,1,0:49.0,,Turnover by M. Ginóbili (bad pass; steal by J. Withey),12,27
82,1,0:45.0,Personal block foul by M. Ginóbili (drawn by A. Burks),,12,27
83,1,0:31.0,Turnover by J. Withey (offensive foul),,12,27
84,1,0:31.0,Offensive foul by J. Withey (drawn by J. Simmons),,12,27
85,1,0:31.0,E. Millsap enters the game for A. Burks,,12,27
86,1,0:10.0,,L. Aldridge makes 2-pt layup from 2 ft,12,29
87,1,0:02.0,T. Burke makes 3-pt jump shot from 25 ft,,15,29
88,1,0:00.0,,M. Ginóbili misses 3-pt jump shot from 45 ft,15,29
89,1,0:00.0,,Offensive rebound by Team,15,29
90,2,11:46.0,E. Millsap misses 2-pt jump shot from 6 ft,,15,29
91,2,11:45.0,,Defensive rebound by J. Simmons,15,29
92,2,11:41.0,,Personal foul by E. Millsap (drawn by M. Ginóbili),15,29
93,2,11:39.0,,Personal foul by J. Withey (drawn by B. Diaw),15,29
94,2,11:33.0,,Turnover by P. Mills (bad pass; steal by J. Ingles),15,29
95,2,11:24.0,Offensive foul by E. Millsap (drawn by P. Mills),,15,29
96,2,11:24.0,Turnover by E. Millsap (offensive foul),,15,29
97,2,11:07.0,,Turnover by M. Ginóbili (bad pass),15,29
98,2,10:52.0,Def 3 sec tech foul by D. West,,15,29
99,2,10:52.0,T. Burke makes technical free throw,,16,29
100,2,10:42.0,Shooting foul by D. West (drawn by J. Withey),,16,29
101,2,10:42.0,J. Withey makes free throw 1 of 2,,17,29
102,2,10:42.0,J. Withey makes free throw 2 of 2,,18,29
103,2,10:28.0,,P. Mills makes 3-pt jump shot from 24 ft (assist by B. Diaw),18,32
104,2,10:07.0,T. Booker makes 2-pt dunk at rim (assist by J. Ingles),,20,32
105,2,9:46.0,A. Burks enters the game for T. Burke,,20,32
106,2,9:40.0,,Shooting foul by E. Millsap (drawn by M. Ginóbili),20,32
107,2,9:40.0,,M. Ginóbili makes free throw 1 of 2,20,33
108,2,9:40.0,,D. Green enters the game for J. Simmons,20,33
109,2,9:40.0,G. Hayward enters the game for E. Millsap,,20,33
110,2,9:40.0,,M. Ginóbili makes free throw 2 of 2,20,34
111,2,9:31.0,Personal foul by D. Green (drawn by G. Hayward),,20,34
112,2,9:31.0,,K. Leonard enters the game for M. Ginóbili,20,34
113,2,9:25.0,A. Burks makes 2-pt jump shot from 18 ft (assist by J. Ingles),,22,34
114,2,9:02.0,,D. West misses 2-pt layup at rim,22,34
115,2,9:02.0,Defensive rebound by T. Booker,,22,34
116,2,8:56.0,A. Burks misses 2-pt jump shot from 8 ft,,22,34
117,2,8:55.0,Offensive rebound by A. Burks,,22,34
118,2,8:53.0,A. Burks misses 2-pt layup from 2 ft,,22,34
119,2,8:52.0,,Defensive rebound by D. Green,22,34
120,2,8:42.0,,P. Mills misses 2-pt jump shot from 19 ft,22,34
121,2,8:42.0,Defensive rebound by T. Booker,,22,34
122,2,8:33.0,J. Ingles misses 3-pt jump shot from 24 ft,,22,34
123,2,8:33.0,,Defensive rebound by K. Leonard,22,34
124,2,8:16.0,,D. Green misses 3-pt jump shot from 25 ft,22,34
125,2,8:15.0,,Offensive rebound by D. West,22,34
126,2,8:15.0,,D. West makes 2-pt layup at rim,22,36
127,2,8:15.0,,Shooting foul by T. Booker (drawn by D. West),22,36
128,2,8:15.0,Official timeout,,22,36
129,2,8:15.0,,T. Parker enters the game for P. Mills,22,36
130,2,8:15.0,,T. Duncan enters the game for B. Diaw,22,36
131,2,8:15.0,T. Lyles enters the game for J. Withey,,22,36
132,2,8:15.0,,D. West makes free throw 1 of 1,22,37
