,QUARTER,TIME_REMAINING,DALLAS_ACTION,WASHINGTON_ACTION,DALLAS_SCORE,WASHINGTON_SCORE
0,1,11:42.0,Z. Pachulia makes 2-pt jump shot from 16 ft (assist by W. Matthews),,2,0
1,1,11:24.0,,B. Beal misses 2-pt jump shot from 9 ft,2,0
2,1,11:22.0,,Offensive rebound by O. Porter,2,0
3,1,11:20.0,,Turnover by O. Porter (bad pass; steal by W. Matthews),2,0
4,1,11:16.0,W. Matthews misses 2-pt layup from 1 ft,,2,0
5,1,11:12.0,,Defensive rebound by R. Hollins,2,0
6,1,11:07.0,,J. Wall misses 2-pt jump shot from 15 ft,2,0
7,1,11:04.0,,Offensive rebound by O. Porter,2,0
8,1,11:00.0,,B. Beal makes 3-pt jump shot from 24 ft (assist by O. Porter),2,3
9,1,10:35.0,Turnover by Z. Pachulia (traveling),,2,3
10,1,10:19.0,,R. Hollins misses 2-pt jump shot from 17 ft,2,3
11,1,10:16.0,Defensive rebound by Team,,2,3
12,1,9:56.0,Turnover by R. Felton (bad pass; steal by O. Porter),,2,3
13,1,9:46.0,,B. Beal makes 2-pt jump shot from 11 ft (assist by J. Dudley),2,5
14,1,9:33.0,R. Felton makes 3-pt jump shot from 23 ft (assist by D. Nowitzki),,5,5
15,1,9:20.0,,O. Porter makes 2-pt jump shot from 21 ft (assist by J. Dudley),5,7
16,1,9:05.0,W. Matthews misses 3-pt jump shot from 24 ft,,5,7
17,1,9:03.0,,Defensive rebound by O. Porter,5,7
18,1,8:53.0,,R. Hollins misses 2-pt layup from 2 ft (block by D. Nowitzki),5,7
19,1,8:51.0,Defensive rebound by R. Felton,,5,7
20,1,8:42.0,Turnover by W. Matthews (bad pass; steal by J. Wall),,5,7
21,1,8:39.0,,Personal foul by D. Williams (drawn by J. Wall),5,7
22,1,8:32.0,Violation by Z. Pachulia (kicked ball),,5,7
23,1,8:22.0,,O. Porter misses 3-pt jump shot from 24 ft,5,7
24,1,8:20.0,Defensive rebound by Z. Pachulia,,5,7
25,1,8:11.0,D. Nowitzki makes 2-pt jump shot from 15 ft,,7,7
26,1,7:57.0,,J. Dudley misses 2-pt jump shot from 19 ft,7,7
27,1,7:56.0,Defensive rebound by R. Felton,,7,7
28,1,7:47.0,W. Matthews makes 3-pt jump shot from 24 ft (assist by D. Nowitzki),,10,7
29,1,7:26.0,,J. Dudley makes 2-pt layup at rim (assist by B. Beal),10,9
30,1,7:26.0,,Shooting foul by Z. Pachulia (drawn by J. Dudley),10,9
31,1,7:26.0,,D. Blair enters the game for R. Hollins,10,9
32,1,7:26.0,,J. Dudley makes free throw 1 of 1,10,10
33,1,7:17.0,Personal foul by D. Blair (drawn by Z. Pachulia),,10,10
34,1,7:10.0,W. Matthews misses 2-pt jump shot from 9 ft,,10,10
35,1,7:02.0,,Defensive rebound by B. Beal,10,10
36,1,6:55.0,,D. Blair makes 2-pt layup from 1 ft (assist by J. Wall),10,12
37,1,6:45.0,D. Williams misses 2-pt jump shot from 20 ft,,10,12
38,1,6:43.0,,Defensive rebound by O. Porter,10,12
39,1,6:36.0,,J. Wall makes 2-pt jump shot from 19 ft,10,14
40,1,6:36.0,W. Matthews misses 2-pt layup at rim,,10,14
41,1,6:36.0,Offensive rebound by Team,,10,14
42,1,6:36.0,C. Villanueva enters the game for D. Nowitzki,,10,14
43,1,6:36.0,D. Harris enters the game for R. Felton,,10,14
44,1,6:36.0,Dallas full timeout,,10,14
45,1,6:20.0,W. Matthews misses 3-pt jump shot from 24 ft,,10,14
46,1,6:20.0,,Defensive rebound by Team,10,14
47,1,6:03.0,,B. Beal misses 2-pt jump shot from 7 ft,10,14
48,1,6:02.0,Defensive rebound by D. Harris,,10,14
49,1,5:56.0,D. Harris makes 2-pt layup at rim,,12,14
50,1,5:40.0,,O. Porter misses 2-pt jump shot from 18 ft,12,14
51,1,5:39.0,Defensive rebound by W. Matthews,,12,14
52,1,5:28.0,Personal foul by O. Porter (drawn by D. Harris),,12,14
53,1,5:22.0,D. Harris makes 2-pt layup from 1 ft,,14,14
54,1,5:08.0,,D. Blair makes 2-pt jump shot from 10 ft (assist by J. Wall),14,16
55,1,4:56.0,D. Harris misses 2-pt jump shot from 11 ft,,14,16
56,1,4:54.0,,Defensive rebound by B. Beal,14,16
57,1,4:49.0,,D. Blair makes 2-pt layup from 1 ft (assist by O. Porter),14,18
58,1,4:49.0,,Shooting foul by W. Matthews (drawn by D. Blair),14,18
59,1,4:49.0,,D. Blair makes free throw 1 of 1,14,19
60,1,4:35.0,D. Williams makes 2-pt layup from 1 ft,,16,19
61,1,4:29.0,,J. Wall makes 2-pt jump shot from 18 ft,16,21
62,1,4:20.0,Shooting foul by J. Wall (drawn by D. Williams),,16,21
63,1,4:20.0,D. Williams makes free throw 1 of 2,,17,21
64,1,4:20.0,,G. Temple enters the game for O. Porter,17,21
65,1,4:20.0,D. Williams makes free throw 2 of 2,,18,21
66,1,4:10.0,,J. Wall misses 3-pt jump shot from 25 ft,18,21
67,1,4:09.0,Defensive rebound by Z. Pachulia,,18,21
68,1,4:08.0,Turnover by Z. Pachulia (traveling),,18,21
69,1,4:01.0,,B. Beal misses 2-pt jump shot from 16 ft,18,21
70,1,4:00.0,Defensive rebound by C. Villanueva,,18,21
71,1,3:48.0,C. Villanueva makes 2-pt layup from 1 ft (assist by D. Williams),,20,21
72,1,3:38.0,,B. Beal misses 3-pt jump shot from 23 ft,20,21
73,1,3:37.0,Defensive rebound by C. Villanueva,,20,21
74,1,3:24.0,Shooting foul by J. Dudley (drawn by C. Villanueva),,20,21
75,1,3:24.0,C. Villanueva makes free throw 1 of 3,,21,21
76,1,3:24.0,C. Villanueva makes free throw 2 of 3,,22,21
77,1,3:24.0,,G. Neal enters the game for J. Dudley,22,21
78,1,3:24.0,C. Villanueva makes free throw 3 of 3,,23,21
79,1,3:02.0,,J. Wall misses 2-pt layup from 2 ft (block by C. Villanueva),23,21
80,1,2:58.0,Defensive rebound by D. Williams,,23,21
81,1,2:50.0,C. Villanueva misses 3-pt jump shot from 22 ft,,23,21
82,1,2:49.0,,Defensive rebound by B. Beal,23,21
83,1,2:45.0,,Shooting foul by D. Harris (drawn by D. Blair),23,21
84,1,2:45.0,,Washington full timeout,23,21
85,1,2:45.0,,R. Sessions enters the game for J. Wall,23,21
86,1,2:45.0,J. Anderson enters the game for W. Matthews,,23,21
87,1,2:45.0,R. Felton enters the game for Z. Pachulia,,23,21
88,1,2:45.0,D. Nowitzki enters the game for D. Williams,,23,21
89,1,2:45.0,,D. Blair misses free throw 1 of 2,23,21
90,1,2:45.0,,Offensive rebound by Team,23,21
91,1,2:45.0,,D. Blair misses free throw 2 of 2,23,21
92,1,2:43.0,Defensive rebound by C. Villanueva,,23,21
93,1,2:35.0,Personal foul by D. Blair (drawn by D. Nowitzki),,23,21
94,1,2:35.0,D. Nowitzki misses free throw 1 of 2,,23,21
95,1,2:35.0,Offensive rebound by Team,,23,21
96,1,2:35.0,,O. Porter enters the game for D. Blair,23,21
97,1,2:35.0,D. Nowitzki makes free throw 2 of 2,,24,21
98,1,2:21.0,,O. Porter makes 2-pt jump shot from 20 ft (assist by B. Beal),24,23
99,1,2:06.0,Personal foul by G. Temple (drawn by D. Nowitzki),,24,23
100,1,2:06.0,D. Nowitzki misses free throw 1 of 2,,24,23
101,1,2:06.0,Offensive rebound by Team,,24,23
102,1,2:06.0,D. Nowitzki makes free throw 2 of 2,,25,23
103,1,1:57.0,,Personal foul by R. Felton (drawn by B. Beal),25,23
104,1,1:57.0,,B. Beal makes free throw 1 of 2,25,24
105,1,1:57.0,,B. Beal misses free throw 2 of 2,25,24
106,1,1:56.0,Defensive rebound by C. Villanueva,,25,24
107,1,1:41.0,,Offensive charge foul by C. Villanueva (drawn by G. Neal),25,24
108,1,1:41.0,Turnover by C. Villanueva (offensive foul),,25,24
109,1,1:27.0,,Shooting foul by C. Villanueva (drawn by B. Beal),25,24
110,1,1:27.0,,B. Beal makes free throw 1 of 2,25,25
111,1,1:27.0,J. Evans enters the game for C. Villanueva,,25,25
112,1,1:27.0,,B. Beal misses free throw 2 of 2,25,25
113,1,1:26.0,Defensive rebound by J. Evans,,25,25
114,1,1:11.0,Turnover by D. Harris (bad pass; steal by R. Sessions),,25,25
115,1,1:03.0,,G. Temple misses 3-pt jump shot from 22 ft,25,25
116,1,1:00.0,Defensive rebound by J. Evans,,25,25
117,1,0:53.0,J. Evans makes 2-pt dunk at rim (assist by R. Felton),,27,25
118,1,0:47.0,,R. Sessions makes 2-pt jump shot from 8 ft,27,27
119,1,0:36.0,R. Felton makes 2-pt layup from 2 ft,,29,27
120,1,0:32.0,,Shooting foul by J. Anderson (drawn by R. Sessions),29,27
121,1,0:32.0,,R. Sessions misses free throw 1 of 2,29,27
122,1,0:32.0,,Offensive rebound by Team,29,27
123,1,0:32.0,,R. Sessions makes free throw 2 of 2,29,28
124,1,0:10.0,R. Felton misses 2-pt jump shot from 21 ft,,29,28
125,1,0:09.0,,Defensive rebound by Team,29,28
126,1,0:07.0,,J. Wall enters the game for G. Temple,29,28
127,1,0:07.0,W. Matthews enters the game for D. Nowitzki,,29,28
128,1,0:01.0,,J. Wall misses 2-pt layup from 2 ft (block by J. Evans),29,28
129,1,0:01.0,Defensive rebound by J. Anderson,,29,28
130,2,11:48.0,,G. Neal makes 2-pt jump shot from 17 ft (assist by J. Wall),29,30
131,2,11:35.0,Shooting foul by G. Temple (drawn by D. Harris),,29,30
132,2,11:35.0,D. Harris makes 2-pt jump shot from 7 ft,,31,30
133,2,11:35.0,D. Harris makes free throw 1 of 1,,32,30
134,2,11:15.0,,O. Porter misses 2-pt jump shot from 15 ft,32,30
135,2,11:14.0,Defensive rebound by J. Evans,,32,30
136,2,10:56.0,Shooting foul by G. Temple (drawn by D. Nowitzki),,32,30
137,2,10:56.0,D. Nowitzki makes free throw 1 of 2,,33,30
138,2,10:56.0,,J. Dudley enters the game for G. Temple,33,30
139,2,10:56.0,D. Nowitzki makes free throw 2 of 2,,34,30
140,2,10:44.0,,O. Porter makes 2-pt jump shot from 7 ft (assist by J. Wall),34,32
141,2,10:31.0,R. Felton misses 2-pt jump shot from 10 ft,,34,32
142,2,10:30.0,,Defensive rebound by G. Neal,34,32
143,2,10:19.0,,G. Neal makes 2-pt jump shot from 19 ft,34,34
144,2,10:02.0,Turnover by R. Felton (bad pass),,34,34
145,2,9:56.0,,R. Sessions makes 2-pt layup from 2 ft,34,36
146,2,9:56.0,Dallas full timeout,,34,36
147,2,9:42.0,Turnover by J. Anderson (lost ball; steal by J. Wall),,34,36
148,2,9:39.0,,Shooting foul by J. Anderson (drawn by J. Wall),34,36
149,2,9:39.0,Dallas full timeout,,34,36
150,2,9:39.0,D. Williams enters the game for D. Harris,,34,36
151,2,9:39.0,W. Matthews enters the game for J. Anderson,,34,36
152,2,9:39.0,,J. Wall makes free throw 1 of 2,34,37
153,2,9:39.0,,J. Wall makes free throw 2 of 2,34,38
154,2,9:23.0,Shooting foul by O. Porter (drawn by D. Nowitzki),,34,38
155,2,9:23.0,D. Nowitzki makes free throw 1 of 2,,35,38
156,2,9:23.0,D. Nowitzki makes free throw 2 of 2,,36,38
157,2,9:07.0,,J. Wall misses 2-pt jump shot from 19 ft,36,38
158,2,9:05.0,Defensive rebound by R. Felton,,36,38
159,2,8:53.0,D. Nowitzki misses 2-pt jump shot from 11 ft,,36,38
160,2,8:51.0,,Defensive rebound by O. Porter,36,38
161,2,8:47.0,,J. Wall makes 2-pt layup from 3 ft,36,40
162,2,8:26.0,D. Williams misses 3-pt jump shot from 24 ft,,36,40
163,2,8:22.0,Offensive rebound by D. Nowitzki,,36,40
164,2,8:17.0,D. Nowitzki misses 2-pt layup from 2 ft,,36,40
165,2,8:16.0,,Defensive rebound by O. Porter,36,40
166,2,8:13.0,,G. Neal misses 3-pt jump shot from 24 ft,36,40
167,2,8:10.0,Defensive rebound by D. Nowitzki,,36,40
168,2,8:03.0,W. Matthews makes 3-pt jump shot from 23 ft (assist by R. Felton),,39,40
169,2,7:48.0,,G. Neal makes 2-pt jump shot from 11 ft (assist by J. Wall),39,42
170,2,7:41.0,Personal foul by R. Sessions (drawn by D. Williams),,39,42
171,2,7:41.0,C. Villanueva enters the game for D. Nowitzki,,39,42
172,2,7:41.0,,B. Beal enters the game for O. Porter,39,42
173,2,7:25.0,D. Williams misses 2-pt jump shot from 9 ft,,39,42
174,2,7:25.0,,Defensive rebound by Team,39,42
175,2,7:13.0,,G. Neal misses 3-pt jump shot from 26 ft,39,42
176,2,7:12.0,,Offensive rebound by B. Beal,39,42
177,2,7:00.0,,J. Wall makes 2-pt layup at rim (assist by G. Neal),39,44
178,2,6:47.0,Z. Pachulia enters the game for J. Evans,,39,44
179,2,6:47.0,Personal foul by G. Neal (drawn by W. Matthews),,39,44
180,2,6:47.0,W. Matthews makes free throw 1 of 2,,40,44
181,2,6:47.0,W. Matthews makes free throw 2 of 2,,41,44
182,2,6:32.0,,J. Dudley misses 2-pt jump shot from 13 ft,41,44
183,2,6:30.0,Defensive rebound by D. Williams,,41,44
184,2,6:07.0,D. Williams misses 2-pt jump shot from 17 ft,,41,44
185,2,6:06.0,,Defensive rebound by J. Wall,41,44
186,2,6:01.0,,J. Wall misses 2-pt layup from 1 ft,41,44
187,2,5:58.0,Defensive rebound by R. Felton,,41,44
188,2,5:45.0,Z. Pachulia misses 2-pt layup from 1 ft,,41,44
189,2,5:44.0,,Defensive rebound by J. Wall,41,44
190,2,5:38.0,,B. Beal makes 2-pt layup from 1 ft (assist by J. Wall),41,46
191,2,5:18.0,R. Felton misses 3-pt jump shot from 24 ft,,41,46
192,2,5:16.0,,Defensive rebound by G. Neal,41,46
193,2,5:06.0,,G. Neal misses 2-pt jump shot from 18 ft,41,46
194,2,5:05.0,Defensive rebound by Z. Pachulia,,41,46
195,2,4:55.0,Turnover by R. Felton (bad pass; steal by J. Wall),,41,46
196,2,4:49.0,,G. Neal makes 2-pt layup from 1 ft (assist by J. Wall),41,48
197,2,4:49.0,Dallas full timeout,,41,48
198,2,4:49.0,Violation by Team (delay of game),,41,48
199,2,4:38.0,W. Matthews misses 3-pt jump shot from 24 ft,,41,48
