,QUARTER,TIME_REMAINING,CLEVELAND_ACTION,PHOENIX_ACTION,CLEVELAND_SCORE,PHOENIX_SCORE
0,1,11:45.0,,Turnover by D. Booker (lost ball; steal by K. Irving),0,0
1,1,11:42.0,K. Irving makes 2-pt layup at rim,,2,0
2,1,11:15.0,,B. Knight makes 2-pt layup from 1 ft,2,2
3,1,10:54.0,J. Smith makes 3-pt jump shot from 25 ft (assist by K. Love),,5,2
4,1,10:39.0,,D. Booker makes 2-pt layup from 1 ft (assist by A. Len),5,4
5,1,10:20.0,K. Love makes 2-pt layup from 1 ft,,7,4
6,1,10:06.0,,D. Booker makes 2-pt jump shot from 18 ft,7,6
7,1,9:42.0,Shooting foul by J. Leuer (drawn by K. Love),,7,6
8,1,9:42.0,K. Love makes 2-pt jump shot from 9 ft,,9,6
9,1,9:42.0,K. Love makes free throw 1 of 1,,10,6
10,1,9:26.0,,B. Knight misses 3-pt jump shot from 26 ft,10,6
11,1,9:24.0,Defensive rebound by L. James,,10,6
12,1,9:15.0,Shooting foul by P. Tucker (drawn by L. James),,10,6
13,1,9:15.0,L. James misses free throw 1 of 2,,10,6
14,1,9:15.0,Offensive rebound by Team,,10,6
15,1,9:15.0,L. James misses free throw 2 of 2,,10,6
16,1,9:14.0,,Defensive rebound by P. Tucker,10,6
17,1,9:06.0,,D. Booker makes 2-pt jump shot from 15 ft (assist by B. Knight),10,8
18,1,8:57.0,K. Irving makes 2-pt jump shot from 19 ft,,12,8
19,1,8:40.0,,P. Tucker makes 3-pt jump shot from 23 ft (assist by D. Booker),12,11
20,1,8:27.0,J. Smith makes 3-pt jump shot from 25 ft (assist by L. James),,15,11
21,1,8:13.0,,J. Leuer misses 3-pt jump shot from 26 ft,15,11
22,1,8:11.0,Defensive rebound by T. Thompson,,15,11
23,1,7:53.0,L. James misses 3-pt jump shot from 24 ft,,15,11
24,1,7:51.0,Offensive rebound by K. Love,,15,11
25,1,7:47.0,K. Irving misses 3-pt jump shot from 23 ft,,15,11
26,1,7:45.0,,Defensive rebound by J. Leuer,15,11
