,QUARTER,TIME_REMAINING,DENVER_ACTION,NEW ORLEANS_ACTION,DENVER_SCORE,NEW ORLEANS_SCORE
0,1,11:41.0,,J. Holiday misses 3-pt jump shot from 26 ft (block by E. Mudiay),0,0
1,1,11:39.0,,Offensive rebound by D. Cunningham,0,0
2,1,11:26.0,,D. Cunningham misses 2-pt layup from 2 ft,0,0
3,1,11:25.0,Defensive rebound by K. Faried,,0,0
4,1,11:06.0,G. Harris makes 3-pt jump shot from 24 ft (assist by E. Mudiay),,3,0
5,1,10:54.0,,A. Davis misses 2-pt jump shot from 17 ft,3,0
6,1,10:53.0,Defensive rebound by K. Faried,,3,0
7,1,10:41.0,K. Faried misses 2-pt jump shot from 3 ft,,3,0
8,1,10:40.0,,Defensive rebound by A. Davis,3,0
9,1,10:32.0,,D. Cunningham makes 2-pt jump shot from 21 ft (assist by J. Holiday),3,2
10,1,10:22.0,E. Mudiay misses 2-pt layup from 2 ft (block by E. Gordon),,3,2
11,1,10:22.0,,Defensive rebound by Team,3,2
12,1,10:22.0,Loose ball foul by K. Faried (drawn by A. Davis),,3,2
13,1,10:00.0,,J. Holiday makes 2-pt jump shot from 4 ft (assist by A. Davis),3,4
14,1,9:50.0,K. Faried makes 2-pt hook shot from 3 ft (assist by G. Harris),,5,4
15,1,9:30.0,,A. Davis misses 2-pt jump shot from 4 ft,5,4
16,1,9:30.0,Defensive rebound by D. Gallinari,,5,4
17,1,9:24.0,Turnover by D. Gallinari (bad pass),,5,4
18,1,9:11.0,,J. Holiday makes 2-pt layup from 2 ft,5,6
19,1,8:55.0,J. Hickson misses 2-pt layup from 2 ft,,5,6
20,1,8:54.0,,Defensive rebound by A. Davis,5,6
21,1,8:44.0,,D. Cunningham misses 3-pt jump shot from 23 ft,5,6
22,1,8:42.0,Defensive rebound by D. Gallinari,,5,6
23,1,8:36.0,D. Gallinari makes 3-pt jump shot from 24 ft,,8,6
24,1,8:24.0,,A. Davis misses 2-pt jump shot from 14 ft,8,6
25,1,8:23.0,Defensive rebound by Team,,8,6
