,QUARTER,TIME_REMAINING,PHILADELPHIA_ACTION,LA LAKERS_ACTION,PHILADELPHIA_SCORE,LA LAKERS_SCORE
0,1,11:45.0,,J. Clarkson misses 2-pt jump shot from 16 ft,0,0
1,1,11:44.0,Defensive rebound by I. Canaan,,0,0
2,1,11:33.0,Shooting foul by R. Hibbert (drawn by N. Noel),,0,0
3,1,11:33.0,N. Noel makes free throw 1 of 2,,1,0
4,1,11:33.0,N. Noel misses free throw 2 of 2,,1,0
5,1,11:32.0,Offensive rebound by J. Sampson,,1,0
6,1,11:23.0,Turnover by I. Smith (lost ball; steal by A. Brown),,1,0
7,1,11:20.0,,L. Williams makes 2-pt layup at rim,1,2
8,1,11:20.0,,Shooting foul by I. Canaan (drawn by L. Williams),1,2
9,1,11:20.0,,L. Williams misses free throw 1 of 1,1,2
10,1,11:19.0,,Offensive rebound by L. Nance,1,2
11,1,11:15.0,,Personal foul by N. Noel (drawn by L. Nance),1,2
12,1,11:06.0,,L. Williams misses 2-pt jump shot from 15 ft,1,2
13,1,11:05.0,Defensive rebound by J. Sampson,,1,2
14,1,10:46.0,Turnover by I. Canaan (step out of bounds),,1,2
15,1,10:25.0,,J. Clarkson misses 2-pt layup from 2 ft (block by J. Sampson),1,2
16,1,10:24.0,,Offensive rebound by L. Nance,1,2
17,1,10:23.0,,L. Nance misses 2-pt jump shot from 4 ft,1,2
18,1,10:22.0,,Offensive rebound by Team,1,2
19,1,10:22.0,,Turnover by Team (shot clock),1,2
20,1,10:08.0,Turnover by J. Grant (offensive foul),,1,2
21,1,10:08.0,Offensive foul by J. Grant (drawn by L. Williams),,1,2
22,1,9:51.0,,R. Hibbert misses 2-pt hook shot from 5 ft,1,2
23,1,9:49.0,Defensive rebound by N. Noel,,1,2
24,1,9:37.0,J. Sampson misses 2-pt layup from 1 ft,,1,2
25,1,9:37.0,,Defensive rebound by R. Hibbert,1,2
26,1,9:16.0,,L. Nance makes 2-pt dunk at rim (assist by J. Clarkson),1,4
27,1,9:07.0,I. Smith misses 2-pt layup at rim,,1,4
28,1,9:06.0,,Defensive rebound by L. Nance,1,4
29,1,8:54.0,,J. Clarkson misses 2-pt layup from 2 ft (block by J. Grant),1,4
30,1,8:54.0,,Offensive rebound by Team,1,4
31,1,8:50.0,,J. Clarkson misses 2-pt jump shot from 15 ft,1,4
32,1,8:49.0,,Offensive rebound by L. Nance,1,4
33,1,8:47.0,,Shooting foul by I. Smith (drawn by L. Williams),1,4
34,1,8:47.0,,L. Williams makes free throw 1 of 2,1,5
35,1,8:47.0,,L. Williams makes free throw 2 of 2,1,6
36,1,8:40.0,I. Smith misses 2-pt jump shot from 5 ft,,1,6
37,1,8:39.0,Offensive rebound by N. Noel,,1,6
38,1,8:37.0,N. Noel makes 2-pt layup from 1 ft,,3,6
39,1,8:12.0,,J. Clarkson makes 2-pt jump shot from 8 ft,3,8
40,1,7:59.0,J. Grant misses 2-pt layup from 1 ft (block by R. Hibbert),,3,8
