,QUARTER,TIME_REMAINING,SAN ANTONIO_ACTION,MEMPHIS_ACTION,SAN ANTONIO_SCORE,MEMPHIS_SCORE
0,1,11:50.0,Turnover by K. Anderson (bad pass; steal by J. Green),,0,0
1,1,11:46.0,,M. Barnes makes 2-pt layup from 1 ft (assist by J. Green),0,2
2,1,11:24.0,Shooting foul by J. Farmar (drawn by A. Miller),,0,2
3,1,11:24.0,A. Miller misses free throw 1 of 2,,0,2
4,1,11:24.0,Offensive rebound by Team,,0,2
5,1,11:24.0,A. Miller misses free throw 2 of 2,,0,2
6,1,11:23.0,,Defensive rebound by J. Green,0,2
7,1,11:07.0,,J. Green misses 2-pt jump shot from 20 ft,0,2
8,1,11:07.0,Defensive rebound by L. Aldridge,,0,2
9,1,10:46.0,L. Aldridge misses 2-pt jump shot from 19 ft,,0,2
10,1,10:45.0,,Defensive rebound by J. Farmar,0,2
11,1,10:31.0,,J. Green makes 2-pt jump shot from 13 ft (assist by M. Barnes),0,4
12,1,10:09.0,K. Anderson makes 3-pt jump shot from 22 ft (assist by B. Marjanović),,3,4
13,1,9:56.0,,C. Andersen misses 2-pt layup from 2 ft (block by D. Green),3,4
14,1,9:50.0,Defensive rebound by D. Green,,3,4
15,1,9:47.0,K. Anderson makes 2-pt jump shot from 17 ft (assist by A. Miller),,5,4
16,1,9:33.0,,T. Allen misses 2-pt hook shot from 3 ft,5,4
17,1,9:31.0,Defensive rebound by L. Aldridge,,5,4
18,1,9:23.0,D. Green makes 2-pt layup at rim (assist by A. Miller),,7,4
19,1,8:59.0,,J. Farmar makes 3-pt jump shot from 24 ft,7,7
20,1,8:40.0,B. Marjanović makes 2-pt jump shot from 18 ft (assist by K. Anderson),,9,7
21,1,8:25.0,,Turnover by M. Barnes (bad pass; steal by K. Anderson),9,7
22,1,8:17.0,K. Anderson misses 3-pt jump shot from 22 ft,,9,7
23,1,8:15.0,,Defensive rebound by M. Barnes,9,7
24,1,8:11.0,,Turnover by M. Barnes (bad pass; steal by A. Miller),9,7
25,1,7:52.0,,Offensive charge foul by D. Green (drawn by J. Green),9,7
26,1,7:52.0,Turnover by D. Green (offensive foul),,9,7
27,1,7:52.0,,R. Hollins enters the game for C. Andersen,9,7
28,1,7:36.0,,T. Allen misses 2-pt jump shot from 21 ft,9,7
29,1,7:35.0,Defensive rebound by B. Marjanović,,9,7
30,1,7:21.0,D. Green misses 3-pt jump shot from 25 ft,,9,7
31,1,7:20.0,,Defensive rebound by J. Farmar,9,7
32,1,7:14.0,,Turnover by M. Barnes (bad pass; steal by K. Anderson),9,7
33,1,7:06.0,A. Miller misses 2-pt layup from 1 ft,,9,7
34,1,7:04.0,Offensive rebound by L. Aldridge,,9,7
35,1,7:04.0,L. Aldridge makes 2-pt layup from 1 ft,,11,7
36,1,7:04.0,,Memphis full timeout,11,7
37,1,7:04.0,,L. Stephenson enters the game for T. Allen,11,7
38,1,6:49.0,,R. Hollins makes 2-pt dunk at rim (assist by J. Farmar),11,9
39,1,6:27.0,Shooting foul by J. Green (drawn by L. Aldridge),,11,9
40,1,6:27.0,L. Aldridge makes free throw 1 of 2,,12,9
41,1,6:27.0,L. Aldridge makes free throw 2 of 2,,13,9
42,1,6:12.0,,L. Stephenson misses 3-pt jump shot from 26 ft,13,9
43,1,6:12.0,,Offensive rebound by M. Barnes,13,9
44,1,6:09.0,,Turnover by L. Stephenson (back court),13,9
45,1,5:56.0,L. Aldridge makes 2-pt jump shot from 17 ft (assist by K. Anderson),,15,9
46,1,5:30.0,,J. Farmar misses 2-pt jump shot from 20 ft,15,9
47,1,5:30.0,Defensive rebound by D. Green,,15,9
48,1,5:20.0,Shooting foul by R. Hollins (drawn by L. Aldridge),,15,9
49,1,5:20.0,L. Aldridge makes free throw 1 of 2,,16,9
50,1,5:20.0,P. Mills enters the game for A. Miller,,16,9
51,1,5:20.0,B. Diaw enters the game for B. Marjanović,,16,9
52,1,5:20.0,,V. Carter enters the game for M. Barnes,16,9
53,1,5:20.0,L. Aldridge makes free throw 2 of 2,,17,9
54,1,4:56.0,,J. Green misses 3-pt jump shot from 26 ft,17,9
