,QUARTER,TIME_REMAINING,ORLANDO_ACTION,CLEVELAND_ACTION,ORLANDO_SCORE,CLEVELAND_SCORE
0,1,11:43.0,V. Oladipo misses 3-pt jump shot from 25 ft,,0,0
1,1,11:43.0,Offensive rebound by N. Vučević,,0,0
2,1,11:38.0,V. Oladipo makes 2-pt layup at rim (assist by N. Vučević),,2,0
3,1,11:15.0,,M. Dellavedova makes 3-pt jump shot from 23 ft (assist by L. James),2,3
4,1,11:03.0,Turnover by E. Fournier (bad pass; steal by J. Smith),,2,3
5,1,10:50.0,,K. Love misses 3-pt jump shot from 24 ft,2,3
6,1,10:50.0,,Offensive rebound by T. Thompson,2,3
7,1,10:38.0,,K. Love makes 3-pt jump shot from 24 ft (assist by M. Dellavedova),2,6
8,1,10:17.0,E. Payton misses 2-pt jump shot from 18 ft,,2,6
9,1,10:16.0,,Defensive rebound by K. Love,2,6
10,1,9:58.0,,J. Smith makes 3-pt jump shot from 23 ft (assist by M. Dellavedova),2,9
11,1,9:31.0,N. Vučević misses 2-pt jump shot from 10 ft,,2,9
12,1,9:27.0,,Defensive rebound by L. James,2,9
13,1,9:21.0,,L. James makes 2-pt layup at rim,2,11
14,1,9:06.0,T. Harris makes 2-pt jump shot from 17 ft (assist by E. Payton),,4,11
15,1,8:44.0,,K. Love misses 2-pt jump shot from 8 ft,4,11
16,1,8:41.0,Defensive rebound by N. Vučević,,4,11
17,1,8:38.0,T. Harris misses 2-pt layup at rim,,4,11
18,1,8:37.0,Offensive rebound by V. Oladipo,,4,11
19,1,8:37.0,V. Oladipo misses 2-pt layup at rim,,4,11
20,1,8:36.0,,Defensive rebound by K. Love,4,11
21,1,8:14.0,,K. Love misses 2-pt jump shot from 10 ft,4,11
22,1,8:14.0,,Offensive rebound by T. Thompson,4,11
23,1,8:14.0,,Personal foul by E. Fournier (drawn by T. Thompson),4,11
24,1,8:02.0,,L. James makes 2-pt jump shot from 12 ft (assist by M. Dellavedova),4,13
25,1,7:44.0,Turnover by V. Oladipo (bad pass; steal by M. Dellavedova),,4,13
26,1,7:38.0,,M. Dellavedova misses 2-pt layup from 1 ft,4,13
27,1,7:34.0,,Offensive rebound by T. Thompson,4,13
