,QUARTER,TIME_REMAINING,MINNESOTA_ACTION,INDIANA_ACTION,MINNESOTA_SCORE,INDIANA_SCORE
0,1,11:45.0,A. Wiggins misses 2-pt jump shot from 13 ft,,0,0
1,1,11:44.0,,Defensive rebound by I. Mahinmi,0,0
2,1,11:26.0,,P. George misses 2-pt jump shot from 18 ft,0,0
3,1,11:25.0,Defensive rebound by T. Prince,,0,0
4,1,11:11.0,K. Towns misses 2-pt jump shot from 8 ft (block by C. Miles),,0,0
5,1,11:10.0,Offensive rebound by Z. LaVine,,0,0
6,1,10:57.0,T. Prince misses 2-pt jump shot from 15 ft,,0,0
7,1,10:56.0,,Defensive rebound by I. Mahinmi,0,0
8,1,10:47.0,,C. Miles misses 3-pt jump shot from 24 ft,0,0
9,1,10:47.0,Defensive rebound by K. Towns,,0,0
10,1,10:37.0,A. Wiggins makes 2-pt jump shot from 20 ft (assist by Z. LaVine),,2,0
11,1,10:24.0,,M. Ellis makes 2-pt jump shot at rim (assist by G. Hill),2,2
12,1,9:58.0,K. Towns makes 2-pt hook shot from 10 ft,,4,2
13,1,9:34.0,,Turnover by C. Miles (bad pass),4,2
14,1,9:26.0,Z. LaVine misses 3-pt jump shot from 24 ft,,4,2
15,1,9:25.0,,Defensive rebound by M. Ellis,4,2
16,1,9:12.0,,C. Miles makes 2-pt layup from 2 ft,4,4
17,1,9:03.0,Turnover by A. Wiggins (lost ball; steal by P. George),,4,4
18,1,8:57.0,,P. George makes 2-pt dunk from 1 ft,4,6
19,1,8:30.0,Z. LaVine misses 2-pt jump shot from 9 ft,,4,6
20,1,8:29.0,,Defensive rebound by P. George,4,6
21,1,8:24.0,,I. Mahinmi makes 2-pt jump shot from 3 ft (assist by P. George),4,8
22,1,8:05.0,K. Towns misses 2-pt jump shot from 12 ft,,4,8
23,1,8:05.0,,Defensive rebound by M. Ellis,4,8
24,1,7:56.0,,M. Ellis misses 2-pt layup from 1 ft,4,8
25,1,7:55.0,,Offensive rebound by I. Mahinmi,4,8
26,1,7:54.0,,I. Mahinmi misses 2-pt jump shot from 1 ft,4,8
27,1,7:52.0,Defensive rebound by K. Garnett,,4,8
28,1,7:46.0,K. Towns makes 2-pt dunk from 1 ft (assist by Z. LaVine),,6,8
29,1,7:30.0,,C. Miles misses 3-pt jump shot from 25 ft,6,8
30,1,7:29.0,Defensive rebound by K. Towns,,6,8
