,QUARTER,TIME_REMAINING,HOUSTON_ACTION,INDIANA_ACTION,HOUSTON_SCORE,INDIANA_SCORE
0,1,11:41.0,,P. George makes 3-pt jump shot from 23 ft (assist by G. Hill),0,3
1,1,11:30.0,T. Ariza misses 3-pt jump shot from 29 ft,,0,3
2,1,11:29.0,,Defensive rebound by I. Mahinmi,0,3
3,1,11:08.0,,P. George misses 3-pt jump shot from 27 ft,0,3
4,1,11:07.0,Defensive rebound by J. Harden,,0,3
5,1,10:59.0,T. Ariza makes 3-pt jump shot from 24 ft (assist by P. Beverley),,3,3
6,1,10:39.0,,P. George misses 3-pt jump shot from 22 ft,3,3
7,1,10:39.0,Defensive rebound by D. Motiejūnas,,3,3
8,1,10:20.0,Shooting foul by M. Turner (drawn by D. Motiejūnas),,3,3
9,1,10:20.0,D. Motiejūnas makes free throw 1 of 2,,4,3
10,1,10:20.0,D. Motiejūnas misses free throw 2 of 2,,4,3
11,1,10:18.0,,Defensive rebound by I. Mahinmi,4,3
12,1,10:13.0,,Personal foul by P. Beverley,4,3
13,1,10:08.0,,P. George makes 2-pt layup from 1 ft (assist by I. Mahinmi),4,5
14,1,9:55.0,P. Beverley makes 2-pt layup at rim,,6,5
15,1,9:33.0,,M. Ellis misses 3-pt jump shot from 25 ft,6,5
16,1,9:32.0,,Offensive rebound by M. Ellis,6,5
17,1,9:25.0,,I. Mahinmi misses 2-pt layup from 2 ft (block by D. Howard),6,5
18,1,9:24.0,Defensive rebound by J. Harden,,6,5
19,1,9:19.0,D. Motiejūnas makes 2-pt layup at rim (assist by J. Harden),,8,5
20,1,9:11.0,,M. Ellis makes 2-pt layup at rim,8,7
21,1,8:57.0,D. Motiejūnas misses 2-pt hook shot from 11 ft,,8,7
22,1,8:56.0,,Defensive rebound by G. Hill,8,7
23,1,8:46.0,,M. Turner misses 2-pt layup at rim (block by D. Howard),8,7
24,1,8:45.0,,Offensive rebound by M. Ellis,8,7
25,1,8:34.0,,M. Ellis makes 2-pt layup from 1 ft,8,9
