,QUARTER,TIME_REMAINING,WASHINGTON_ACTION,CHARLOTTE_ACTION,WASHINGTON_SCORE,CHARLOTTE_SCORE
0,1,11:43.0,J. Dudley makes 2-pt jump shot from 15 ft (assist by J. Wall),,2,0
1,1,11:23.0,,Personal foul by G. Temple (drawn by N. Batum),2,0
2,1,11:14.0,,N. Batum misses 2-pt jump shot from 22 ft,2,0
3,1,11:13.0,Defensive rebound by O. Porter,,2,0
4,1,11:07.0,O. Porter misses 3-pt jump shot from 24 ft,,2,0
5,1,11:04.0,,Defensive rebound by M. Williams,2,0
6,1,10:53.0,,M. Williams makes 3-pt jump shot from 23 ft (assist by M. Kidd-Gilchrist),2,3
7,1,10:31.0,M. Gortat makes 2-pt hook shot from 9 ft,,4,3
8,1,10:16.0,,Turnover by N. Batum (bad pass; steal by J. Dudley),4,3
9,1,10:14.0,Personal foul by K. Walker (drawn by J. Wall),,4,3
10,1,10:14.0,J. Wall makes free throw 1 of 2,,5,3
11,1,10:14.0,J. Wall makes free throw 2 of 2,,6,3
12,1,10:00.0,,K. Walker makes 3-pt jump shot from 24 ft (assist by M. Williams),6,6
13,1,9:34.0,M. Gortat misses 2-pt jump shot from 9 ft,,6,6
14,1,9:32.0,,Defensive rebound by N. Batum,6,6
15,1,9:20.0,,M. Kidd-Gilchrist misses 2-pt layup from 1 ft,6,6
16,1,9:19.0,Defensive rebound by M. Gortat,,6,6
17,1,9:11.0,J. Dudley makes 2-pt jump shot from 17 ft (assist by J. Wall),,8,6
18,1,8:50.0,,M. Kidd-Gilchrist misses 2-pt layup from 1 ft (block by M. Gortat),8,6
19,1,8:48.0,Defensive rebound by J. Wall,,8,6
20,1,8:45.0,Shooting foul by C. Zeller (drawn by O. Porter),,8,6
21,1,8:45.0,O. Porter misses free throw 1 of 2,,8,6
22,1,8:45.0,Offensive rebound by Team,,8,6
23,1,8:45.0,O. Porter makes free throw 2 of 2,,9,6
24,1,8:31.0,,K. Walker misses 2-pt jump shot from 18 ft,9,6
25,1,8:30.0,Defensive rebound by O. Porter,,9,6
26,1,8:14.0,J. Wall makes 2-pt jump shot from 21 ft,,11,6
27,1,7:55.0,,M. Williams misses 3-pt jump shot from 23 ft,11,6
28,1,7:54.0,Defensive rebound by M. Gortat,,11,6
29,1,7:48.0,J. Dudley makes 3-pt jump shot from 24 ft (assist by J. Wall),,14,6
30,1,7:28.0,,N. Batum makes 2-pt jump shot from 20 ft,14,8
31,1,7:13.0,J. Wall misses 2-pt jump shot from 18 ft,,14,8
32,1,7:12.0,,Defensive rebound by C. Zeller,14,8
33,1,6:57.0,,Turnover by C. Zeller (bad pass; steal by O. Porter),14,8
34,1,6:49.0,G. Temple misses 2-pt jump shot from 15 ft,,14,8
35,1,6:48.0,,Defensive rebound by M. Williams,14,8
36,1,6:39.0,,K. Walker makes 2-pt layup from 1 ft,14,10
37,1,6:21.0,Turnover by J. Wall (bad pass; steal by N. Batum),,14,10
38,1,6:18.0,,N. Batum makes 2-pt dunk at rim (assist by C. Zeller),14,12
39,1,5:59.0,Turnover by J. Dudley (bad pass; steal by C. Zeller),,14,12
40,1,5:54.0,,M. Kidd-Gilchrist makes 2-pt dunk at rim (assist by K. Walker),14,14
41,1,5:51.0,Washington full timeout,,14,14
42,1,5:40.0,J. Wall makes 2-pt layup at rim,,16,14
43,1,5:25.0,,M. Williams makes 3-pt jump shot from 25 ft (assist by K. Walker),16,17
44,1,5:07.0,J. Dudley misses 2-pt jump shot from 17 ft,,16,17
45,1,5:06.0,,Defensive rebound by C. Zeller,16,17
46,1,4:55.0,,N. Batum misses 3-pt jump shot from 25 ft,16,17
47,1,4:54.0,Defensive rebound by J. Wall,,16,17
48,1,4:48.0,J. Dudley makes 3-pt jump shot from 24 ft (assist by J. Wall),,19,17
49,1,4:39.0,,Charlotte full timeout,19,17
50,1,4:39.0,G. Neal enters the game for O. Porter,,19,17
51,1,4:39.0,,J. Lin enters the game for M. Kidd-Gilchrist,19,17
52,1,4:24.0,,J. Lin makes 2-pt layup from 1 ft,19,19
53,1,4:06.0,J. Wall misses 2-pt jump shot from 19 ft,,19,19
54,1,4:05.0,,Defensive rebound by M. Williams,19,19
55,1,3:55.0,,K. Walker misses 3-pt jump shot from 26 ft,19,19
56,1,3:54.0,,Offensive rebound by C. Zeller,19,19
57,1,3:47.0,,C. Zeller misses 2-pt jump shot from 19 ft,19,19
58,1,3:46.0,Defensive rebound by G. Temple,,19,19
59,1,3:38.0,Turnover by G. Temple (bad pass; steal by K. Walker),,19,19
60,1,3:29.0,,M. Williams makes 2-pt jump shot from 4 ft (assist by K. Walker),19,21
61,1,3:15.0,Turnover by J. Wall (bad pass; steal by C. Zeller),,19,21
62,1,3:09.0,,C. Zeller makes 2-pt dunk at rim (assist by N. Batum),19,23
63,1,2:54.0,G. Temple misses 3-pt jump shot from 24 ft,,19,23
64,1,2:53.0,,Defensive rebound by C. Zeller,19,23
65,1,2:43.0,,Turnover by N. Batum (bad pass; steal by G. Temple),19,23
66,1,2:37.0,G. Temple makes 2-pt layup from 1 ft,,21,23
67,1,2:20.0,,C. Zeller misses 2-pt jump shot from 7 ft,21,23
68,1,2:19.0,Defensive rebound by M. Gortat,,21,23
69,1,2:11.0,M. Gortat makes 2-pt dunk at rim (assist by J. Dudley),,23,23
70,1,1:48.0,,Turnover by J. Lin (bad pass; steal by J. Wall),23,23
71,1,1:47.0,Personal foul by M. Williams (drawn by J. Wall),,23,23
72,1,1:47.0,R. Sessions enters the game for J. Wall,,23,23
73,1,1:47.0,,J. Lamb enters the game for M. Williams,23,23
74,1,1:47.0,,S. Hawes enters the game for C. Zeller,23,23
75,1,1:47.0,,F. Kaminsky enters the game for N. Batum,23,23
76,1,1:36.0,Turnover by R. Sessions (bad pass; steal by J. Lamb),,23,23
77,1,1:24.0,,K. Walker misses 2-pt jump shot from 8 ft (block by J. Dudley),23,23
78,1,1:21.0,Defensive rebound by M. Gortat,,23,23
79,1,1:10.0,G. Neal misses 2-pt jump shot from 8 ft,,23,23
80,1,1:08.0,,Defensive rebound by K. Walker,23,23
81,1,0:48.0,,S. Hawes makes 2-pt jump shot from 19 ft (assist by J. Lin),23,25
82,1,0:39.0,G. Neal makes 2-pt jump shot from 20 ft,,25,25
83,1,0:33.0,,K. Walker misses 3-pt jump shot from 25 ft,25,25
84,1,0:30.0,Defensive rebound by M. Gortat,,25,25
85,1,0:09.0,G. Neal misses 2-pt jump shot from 10 ft,,25,25
86,1,0:08.0,,Defensive rebound by S. Hawes,25,25
