,QUARTER,TIME_REMAINING,LA LAKERS_ACTION,DETROIT_ACTION,LA LAKERS_SCORE,DETROIT_SCORE
0,1,11:45.0,,K. Caldwell-Pope misses 2-pt jump shot from 8 ft,0,0
1,1,11:44.0,,Offensive rebound by A. Drummond,0,0
2,1,11:41.0,,A. Drummond makes 2-pt layup from 1 ft,0,2
3,1,11:26.0,K. Bryant misses 3-pt jump shot from 25 ft,,0,2
4,1,11:26.0,,Defensive rebound by A. Drummond,0,2
5,1,11:18.0,,E. İlyasova makes 3-pt jump shot from 24 ft (assist by R. Jackson),0,5
6,1,11:01.0,J. Clarkson misses 2-pt jump shot from 16 ft,,0,5
7,1,11:00.0,,Defensive rebound by A. Drummond,0,5
8,1,10:53.0,,R. Jackson makes 2-pt layup from 1 ft,0,7
9,1,10:34.0,J. Randle misses 2-pt jump shot from 6 ft,,0,7
10,1,10:33.0,,Defensive rebound by A. Drummond,0,7
11,1,10:24.0,,E. İlyasova makes 2-pt jump shot from 17 ft,0,9
12,1,10:08.0,K. Bryant misses 2-pt jump shot from 16 ft,,0,9
13,1,10:08.0,,Defensive rebound by R. Jackson,0,9
14,1,10:03.0,,Turnover by E. İlyasova (step out of bounds),0,9
15,1,9:54.0,Turnover by D. Russell (bad pass; steal by K. Caldwell-Pope),,0,9
16,1,9:50.0,,K. Caldwell-Pope makes 2-pt dunk at rim,0,11
17,1,9:42.0,LA Lakers full timeout,,0,11
18,1,9:33.0,Turnover by J. Clarkson (lost ball; steal by R. Jackson),,0,11
19,1,9:27.0,,R. Jackson misses 2-pt layup at rim,0,11
20,1,9:27.0,,Offensive rebound by K. Caldwell-Pope,0,11
21,1,9:24.0,,K. Caldwell-Pope makes 2-pt layup from 1 ft,0,13
22,1,9:10.0,K. Bryant misses 3-pt jump shot from 22 ft,,0,13
23,1,9:09.0,Offensive rebound by J. Randle,,0,13
24,1,9:03.0,Turnover by K. Bryant (lost ball; steal by R. Jackson),,0,13
25,1,9:00.0,,Shooting foul by J. Randle (drawn by R. Jackson),0,13
26,1,9:00.0,,R. Jackson makes free throw 1 of 2,0,14
27,1,9:00.0,,R. Jackson makes free throw 2 of 2,0,15
28,1,8:41.0,Shooting foul by A. Drummond (drawn by D. Russell),,0,15
29,1,8:41.0,D. Russell makes free throw 1 of 2,,1,15
30,1,8:41.0,D. Russell makes free throw 2 of 2,,2,15
31,1,8:21.0,,A. Drummond misses 2-pt layup at rim (block by R. Hibbert),2,15
32,1,8:20.0,Defensive rebound by J. Randle,,2,15
33,1,8:16.0,Turnover by R. Hibbert (lost ball),,2,15
34,1,8:10.0,,Turnover by M. Morris (offensive foul),2,15
35,1,8:10.0,,Offensive foul by M. Morris (drawn by J. Clarkson),2,15
36,1,7:53.0,R. Hibbert misses 2-pt layup from 3 ft,,2,15
37,1,7:52.0,Offensive rebound by R. Hibbert,,2,15
38,1,7:51.0,R. Hibbert makes 2-pt layup at rim,,4,15
39,1,7:36.0,,M. Morris misses 2-pt jump shot from 17 ft,4,15
40,1,7:35.0,Defensive rebound by Team,,4,15
41,1,7:17.0,Shooting foul by E. İlyasova (drawn by R. Hibbert),,4,15
42,1,7:17.0,R. Hibbert makes free throw 1 of 2,,5,15
43,1,7:17.0,R. Hibbert makes free throw 2 of 2,,6,15
44,1,7:02.0,,M. Morris misses 2-pt jump shot from 18 ft,6,15
45,1,7:02.0,,Offensive rebound by A. Drummond,6,15
46,1,6:58.0,,A. Drummond misses 2-pt jump shot from 4 ft,6,15
47,1,6:57.0,Defensive rebound by D. Russell,,6,15
48,1,6:52.0,D. Russell makes 2-pt layup at rim,,8,15
49,1,6:46.0,,Detroit full timeout,8,15
50,1,6:40.0,,R. Jackson misses 2-pt jump shot from 8 ft,8,15
51,1,6:40.0,,Offensive rebound by Team,8,15
52,1,6:37.0,,Offensive foul by E. İlyasova (drawn by D. Russell),8,15
53,1,6:37.0,,Turnover by E. İlyasova (offensive foul),8,15
54,1,6:37.0,,A. Tolliver enters the game for E. İlyasova,8,15
55,1,6:25.0,K. Bryant misses 2-pt jump shot from 13 ft,,8,15
56,1,6:25.0,,Defensive rebound by A. Drummond,8,15
57,1,6:11.0,,A. Tolliver misses 2-pt jump shot from 8 ft,8,15
58,1,6:10.0,Defensive rebound by K. Bryant,,8,15
59,1,6:03.0,Shooting foul by K. Caldwell-Pope (drawn by J. Clarkson),,8,15
60,1,6:03.0,J. Clarkson misses free throw 1 of 2,,8,15
61,1,6:03.0,Offensive rebound by Team,,8,15
62,1,6:03.0,L. Williams enters the game for D. Russell,,8,15
63,1,6:03.0,J. Clarkson makes free throw 2 of 2,,9,15
64,1,5:43.0,,A. Drummond makes 2-pt layup at rim (assist by K. Caldwell-Pope),9,17
65,1,5:24.0,J. Randle misses 2-pt jump shot from 15 ft,,9,17
66,1,5:24.0,,Defensive rebound by A. Drummond,9,17
67,1,5:17.0,,A. Tolliver misses 3-pt jump shot from 25 ft,9,17
68,1,5:17.0,Defensive rebound by Team,,9,17
69,1,5:17.0,,Loose ball foul by A. Drummond (drawn by R. Hibbert),9,17
70,1,5:17.0,,A. Baynes enters the game for A. Drummond,9,17
71,1,5:08.0,Shooting foul by K. Caldwell-Pope (drawn by L. Williams),,9,17
72,1,5:08.0,L. Williams makes free throw 1 of 2,,10,17
73,1,5:08.0,,S. Johnson enters the game for K. Caldwell-Pope,10,17
74,1,5:08.0,B. Bass enters the game for R. Hibbert,,10,17
75,1,5:08.0,L. Williams makes free throw 2 of 2,,11,17
76,1,4:55.0,,M. Morris misses 3-pt jump shot from 23 ft,11,17
77,1,4:54.0,Defensive rebound by B. Bass,,11,17
78,1,4:48.0,K. Bryant misses 3-pt jump shot from 26 ft,,11,17
79,1,4:48.0,,Defensive rebound by M. Morris,11,17
80,1,4:38.0,,R. Jackson makes 3-pt jump shot from 25 ft (assist by M. Morris),11,20
81,1,4:14.0,L. Williams makes 2-pt layup at rim,,13,20
82,1,4:03.0,,M. Morris makes 2-pt jump shot from 13 ft,13,22
83,1,3:43.0,J. Clarkson misses 2-pt jump shot from 14 ft,,13,22
84,1,3:43.0,,Defensive rebound by S. Johnson,13,22
