,QUARTER,TIME_REMAINING,CLEVELAND_ACTION,HOUSTON_ACTION,CLEVELAND_SCORE,HOUSTON_SCORE
0,1,11:34.0,,J. Harden misses 3-pt jump shot from 25 ft,0,0
1,1,11:34.0,,Offensive rebound by P. Beverley,0,0
2,1,11:33.0,,P. Beverley makes 2-pt layup from 2 ft,0,2
3,1,11:23.0,Turnover by L. James (lost ball),,0,2
4,1,11:07.0,,C. Capela makes 2-pt jump shot from 3 ft (assist by J. Harden),0,4
5,1,10:41.0,L. James makes 2-pt layup from 1 ft (assist by T. Mozgov),,2,4
6,1,10:26.0,,D. Howard makes 2-pt hook shot from 6 ft,2,6
7,1,10:01.0,J. Smith makes 2-pt jump shot from 8 ft,,4,6
8,1,9:52.0,,Shooting foul by K. Irving (drawn by J. Harden),4,6
9,1,9:52.0,,J. Harden makes free throw 1 of 2,4,7
10,1,9:52.0,,J. Harden makes free throw 2 of 2,4,8
11,1,9:41.0,Turnover by K. Love (bad pass; steal by D. Howard),,4,8
12,1,9:31.0,,T. Ariza makes 3-pt jump shot from 24 ft (assist by P. Beverley),4,11
13,1,9:26.0,Cleveland full timeout,,4,11
14,1,9:10.0,Turnover by L. James (bad pass; steal by J. Harden),,4,11
15,1,9:05.0,,J. Harden makes 2-pt layup from 1 ft,4,13
16,1,8:38.0,L. James misses 3-pt jump shot from 24 ft,,4,13
17,1,8:37.0,,Defensive rebound by T. Ariza,4,13
18,1,8:24.0,,P. Beverley misses 2-pt jump shot from 18 ft,4,13
19,1,8:24.0,Defensive rebound by Team,,4,13
20,1,8:16.0,Personal foul by C. Capela (drawn by K. Love),,4,13
21,1,8:07.0,L. James makes 3-pt jump shot from 25 ft (assist by K. Love),,7,13
22,1,7:54.0,,D. Howard misses 2-pt layup from 2 ft,7,13
23,1,7:53.0,Defensive rebound by T. Mozgov,,7,13
24,1,7:37.0,J. Smith makes 3-pt jump shot from 23 ft (assist by L. James),,10,13
25,1,7:19.0,,Personal foul by K. Love (drawn by C. Capela),10,13
26,1,7:19.0,,T. Jones enters the game for C. Capela,10,13
27,1,7:13.0,,T. Ariza misses 3-pt jump shot from 25 ft,10,13
28,1,7:13.0,Defensive rebound by K. Love,,10,13
29,1,7:08.0,T. Mozgov misses 2-pt layup from 1 ft,,10,13
30,1,7:07.0,,Defensive rebound by P. Beverley,10,13
31,1,6:59.0,,P. Beverley makes 2-pt jump shot from 9 ft,10,15
32,1,6:43.0,K. Love misses 2-pt jump shot from 15 ft,,10,15
33,1,6:42.0,,Defensive rebound by D. Howard,10,15
34,1,6:36.0,,J. Harden misses 3-pt jump shot from 25 ft,10,15
35,1,6:35.0,,Offensive rebound by T. Jones,10,15
36,1,6:33.0,,Houston full timeout,10,15
37,1,6:23.0,,Turnover by J. Harden (bad pass; steal by K. Love),10,15
38,1,6:18.0,L. James misses 2-pt dunk at rim,,10,15
39,1,6:17.0,,Defensive rebound by Team,10,15
40,1,6:17.0,Violation by Team (jump ball),,10,15
41,1,6:17.0,M. Dellavedova enters the game for K. Irving,,10,15
42,1,6:09.0,,Def 3 sec tech foul by T. Mozgov,10,15
43,1,6:09.0,,J. Harden makes technical free throw,10,16
44,1,6:02.0,,Personal foul by M. Dellavedova (drawn by P. Beverley),10,16
45,1,5:50.0,,T. Ariza misses 2-pt layup from 3 ft,10,16
46,1,5:50.0,Defensive rebound by Team,,10,16
47,1,5:28.0,K. Love makes 3-pt jump shot from 25 ft (assist by L. James),,13,16
48,1,5:09.0,,J. Harden misses 2-pt layup from 3 ft,13,16
