,QUARTER,TIME_REMAINING,LA CLIPPERS_ACTION,SAN ANTONIO_ACTION,LA CLIPPERS_SCORE,SAN ANTONIO_SCORE
0,1,11:40.0,J. Redick misses 2-pt jump shot from 17 ft,,0,0
1,1,11:38.0,Offensive rebound by D. Jordan,,0,0
2,1,11:36.0,D. Jordan makes 2-pt layup from 2 ft,,2,0
3,1,11:19.0,,L. Aldridge makes 2-pt jump shot from 15 ft,2,2
4,1,10:52.0,L. Mbah a Moute misses 3-pt jump shot from 24 ft,,2,2
5,1,10:51.0,,Defensive rebound by L. Aldridge,2,2
6,1,10:34.0,,K. Leonard misses 2-pt jump shot from 20 ft,2,2
7,1,10:33.0,Defensive rebound by J. Redick,,2,2
8,1,10:19.0,J. Redick makes 3-pt jump shot from 24 ft (assist by B. Griffin),,5,2
9,1,10:05.0,,L. Aldridge misses 2-pt jump shot from 21 ft,5,2
10,1,10:04.0,Defensive rebound by L. Mbah a Moute,,5,2
11,1,9:53.0,B. Griffin makes 2-pt jump shot from 20 ft (assist by C. Paul),,7,2
12,1,9:32.0,,T. Duncan makes 2-pt layup from 1 ft (assist by L. Aldridge),7,4
13,1,9:08.0,B. Griffin makes 2-pt hook shot from 4 ft,,9,4
14,1,8:48.0,,K. Leonard misses 2-pt jump shot from 6 ft,9,4
15,1,8:46.0,Defensive rebound by B. Griffin,,9,4
16,1,8:25.0,C. Paul misses 2-pt jump shot from 18 ft (block by L. Aldridge),,9,4
17,1,8:23.0,,Defensive rebound by D. Green,9,4
18,1,8:19.0,,Turnover by D. Green (bad pass; steal by L. Mbah a Moute),9,4
19,1,8:17.0,Shooting block foul by D. Green (drawn by L. Mbah a Moute),,9,4
20,1,8:17.0,L. Mbah a Moute makes free throw 1 of 2,,10,4
21,1,8:17.0,L. Mbah a Moute makes free throw 2 of 2,,11,4
22,1,8:00.0,,L. Aldridge misses 2-pt hook shot from 1 ft,11,4
23,1,7:59.0,,Offensive rebound by L. Aldridge,11,4
24,1,7:59.0,,L. Aldridge makes 2-pt layup from 1 ft,11,6
25,1,7:45.0,B. Griffin misses 2-pt jump shot from 18 ft,,11,6
26,1,7:44.0,,Defensive rebound by L. Aldridge,11,6
27,1,7:25.0,,L. Aldridge makes 2-pt jump shot from 15 ft (assist by K. Leonard),11,8
28,1,7:20.0,,Offensive charge foul by L. Mbah a Moute (drawn by D. Green),11,8
29,1,7:20.0,Turnover by L. Mbah a Moute (offensive foul),,11,8
30,1,7:01.0,,D. Green misses 3-pt jump shot from 25 ft,11,8
31,1,7:00.0,Defensive rebound by D. Jordan,,11,8
32,1,6:48.0,L. Mbah a Moute makes 3-pt jump shot from 22 ft (assist by B. Griffin),,14,8
33,1,6:47.0,,San Antonio full timeout,14,8
34,1,6:35.0,,Def 3 sec tech foul by D. Jordan,14,8
35,1,6:35.0,,K. Leonard makes technical free throw,14,9
36,1,6:19.0,,K. Leonard makes 3-pt jump shot from 25 ft (assist by T. Parker),14,12
37,1,5:57.0,B. Griffin makes 2-pt hook shot from 3 ft,,16,12
38,1,5:33.0,,D. Green makes 2-pt layup from 2 ft (assist by T. Parker),16,14
39,1,5:25.0,L. Mbah a Moute misses 2-pt layup from 1 ft (block by D. Green),,16,14
40,1,5:24.0,,Defensive rebound by D. Green,16,14
41,1,5:11.0,,T. Parker makes 3-pt jump shot from 25 ft (assist by L. Aldridge),16,17
42,1,4:56.0,C. Paul makes 2-pt jump shot from 18 ft,,18,17
43,1,4:38.0,,T. Parker misses 2-pt jump shot from 9 ft,18,17
44,1,4:37.0,Defensive rebound by D. Jordan,,18,17
45,1,4:26.0,Turnover by C. Paul (bad pass; steal by T. Duncan),,18,17
46,1,4:19.0,,T. Duncan makes 2-pt layup from 1 ft (assist by K. Leonard),18,19
47,1,4:10.0,LA Clippers full timeout,,18,19
48,1,4:10.0,,D. West enters the game for T. Duncan,18,19
49,1,4:10.0,,M. Ginóbili enters the game for D. Green,18,19
50,1,4:10.0,,P. Mills enters the game for T. Parker,18,19
51,1,4:10.0,W. Johnson enters the game for L. Mbah a Moute,,18,19
52,1,4:05.0,Personal foul by L. Aldridge (drawn by J. Redick),,18,19
53,1,4:00.0,J. Redick misses 3-pt jump shot from 24 ft,,18,19
