,QUARTER,TIME_REMAINING,SACRAMENTO_ACTION,WASHINGTON_ACTION,SACRAMENTO_SCORE,WASHINGTON_SCORE
0,1,11:39.0,,G. Temple makes 3-pt jump shot from 25 ft (assist by M. Gortat),0,3
1,1,11:25.0,D. Cousins makes 2-pt layup from 1 ft (assist by O. Casspi),,2,3
2,1,11:20.0,,M. Gortat makes 2-pt layup at rim (assist by J. Wall),2,5
3,1,11:09.0,D. Cousins misses 2-pt layup from 2 ft,,2,5
4,1,11:08.0,,Defensive rebound by M. Gortat,2,5
5,1,11:00.0,,J. Wall misses 3-pt jump shot from 27 ft,2,5
6,1,10:59.0,Defensive rebound by B. McLemore,,2,5
7,1,10:48.0,D. Cousins misses 3-pt jump shot from 25 ft,,2,5
8,1,10:48.0,,Defensive rebound by M. Gortat,2,5
9,1,10:36.0,,M. Gortat makes 2-pt jump shot from 13 ft (assist by J. Wall),2,7
10,1,10:09.0,R. Rondo misses 2-pt jump shot from 19 ft,,2,7
11,1,10:08.0,,Defensive rebound by G. Temple,2,7
12,1,10:00.0,,Shooting foul by R. Rondo (drawn by M. Gortat),2,7
13,1,10:00.0,,M. Gortat misses free throw 1 of 2,2,7
14,1,10:00.0,,Offensive rebound by Team,2,7
15,1,10:00.0,,M. Gortat makes free throw 2 of 2,2,8
16,1,9:43.0,O. Casspi misses 2-pt layup at rim,,2,8
17,1,9:42.0,Offensive rebound by D. Cousins,,2,8
18,1,9:41.0,D. Cousins makes 2-pt layup from 1 ft,,4,8
19,1,9:24.0,,G. Temple misses 2-pt jump shot from 15 ft,4,8
20,1,9:23.0,Defensive rebound by R. Gay,,4,8
21,1,9:13.0,D. Cousins misses 2-pt layup at rim (block by M. Gortat),,4,8
22,1,9:11.0,Offensive rebound by Team,,4,8
23,1,9:09.0,,Violation by J. Dudley (kicked ball),4,8
24,1,8:56.0,D. Cousins misses 2-pt layup from 1 ft,,4,8
25,1,8:55.0,Offensive rebound by R. Rondo,,4,8
26,1,8:51.0,Offensive foul by O. Casspi (drawn by M. Gortat),,4,8
27,1,8:51.0,Turnover by O. Casspi (offensive foul),,4,8
28,1,8:40.0,,M. Gortat makes 2-pt layup from 2 ft (assist by J. Wall),4,10
29,1,8:24.0,D. Cousins misses 2-pt jump shot from 20 ft,,4,10
30,1,8:23.0,,Defensive rebound by K. Oubre,4,10
31,1,8:20.0,,Personal foul by R. Rondo (drawn by K. Oubre),4,10
32,1,8:03.0,,K. Oubre misses 2-pt jump shot from 17 ft,4,10
33,1,8:02.0,Defensive rebound by R. Rondo,,4,10
34,1,7:57.0,R. Gay makes 2-pt dunk at rim (assist by R. Rondo),,6,10
35,1,7:34.0,,M. Gortat makes 2-pt jump shot from 17 ft (assist by K. Oubre),6,12
36,1,7:24.0,Def 3 sec tech foul by K. Oubre,,6,12
37,1,7:24.0,R. Gay makes technical free throw,,7,12
38,1,7:12.0,B. McLemore makes 3-pt jump shot from 25 ft (assist by D. Cousins),,10,12
39,1,6:58.0,,G. Temple misses 3-pt jump shot from 26 ft,10,12
40,1,6:58.0,Defensive rebound by R. Rondo,,10,12
41,1,6:53.0,B. McLemore misses 2-pt layup at rim,,10,12
42,1,6:51.0,,Defensive rebound by Team,10,12
43,1,6:41.0,,Personal foul by O. Casspi (drawn by G. Temple),10,12
44,1,6:35.0,K. Koufos enters the game for O. Casspi,,10,12
45,1,6:28.0,,K. Oubre makes 3-pt jump shot from 27 ft (assist by G. Temple),10,15
46,1,6:14.0,R. Gay misses 2-pt layup from 2 ft,,10,15
47,1,6:13.0,,Defensive rebound by Team,10,15
48,1,6:02.0,,J. Wall misses 2-pt jump shot from 18 ft,10,15
49,1,6:00.0,Defensive rebound by R. Rondo,,10,15
50,1,5:58.0,Turnover by R. Rondo (bad pass),,10,15
51,1,5:58.0,,Washington full timeout,10,15
52,1,5:42.0,,M. Gortat makes 2-pt jump shot from 16 ft (assist by J. Wall),10,17
53,1,5:26.0,Shooting foul by J. Wall (drawn by D. Cousins),,10,17
54,1,5:26.0,,Technical foul by M. Gortat,10,17
55,1,5:26.0,Technical foul by R. Rondo,,10,17
56,1,5:26.0,D. Cousins misses free throw 1 of 2,,10,17
57,1,5:26.0,Offensive rebound by Team,,10,17
58,1,5:26.0,D. Cousins makes free throw 2 of 2,,11,17
59,1,5:16.0,,J. Wall misses 2-pt layup from 2 ft,11,17
60,1,5:15.0,Defensive rebound by R. Rondo,,11,17
61,1,5:10.0,R. Rondo misses 2-pt layup from 2 ft,,11,17
62,1,5:09.0,Offensive rebound by K. Koufos,,11,17
63,1,5:07.0,K. Koufos misses 2-pt layup from 1 ft,,11,17
64,1,5:06.0,Offensive rebound by R. Gay,,11,17
65,1,5:05.0,R. Gay misses 2-pt layup from 2 ft,,11,17
66,1,5:04.0,Offensive rebound by R. Gay,,11,17
67,1,5:04.0,R. Gay makes 2-pt layup from 2 ft,,13,17
68,1,5:03.0,,Turnover by M. Gortat (bad pass; steal by B. McLemore),13,17
69,1,4:54.0,R. Gay misses 2-pt layup from 2 ft,,13,17
70,1,4:53.0,Offensive rebound by Team,,13,17
71,1,4:52.0,D. Collison enters the game for B. McLemore,,13,17
72,1,4:52.0,,K. Humphries enters the game for J. Dudley,13,17
73,1,4:46.0,D. Cousins misses 2-pt layup at rim,,13,17
74,1,4:45.0,,Defensive rebound by M. Gortat,13,17
75,1,4:32.0,,K. Humphries makes 3-pt jump shot from 27 ft (assist by K. Oubre),13,20
76,1,4:21.0,D. Cousins makes 3-pt jump shot from 26 ft (assist by R. Rondo),,16,20
77,1,4:07.0,,M. Gortat makes 2-pt jump shot from 13 ft (assist by J. Wall),16,22
78,1,3:53.0,R. Rondo misses 2-pt jump shot from 5 ft,,16,22
79,1,3:53.0,Offensive rebound by Team,,16,22
80,1,3:53.0,,R. Sessions enters the game for G. Temple,16,22
81,1,3:53.0,M. Belinelli enters the game for D. Cousins,,16,22
82,1,3:45.0,R. Gay makes 2-pt jump shot from 14 ft,,18,22
83,1,3:33.0,,R. Sessions misses 3-pt jump shot from 25 ft,18,22
84,1,3:32.0,Defensive rebound by R. Rondo,,18,22
85,1,3:29.0,R. Gay makes 2-pt dunk at rim (assist by R. Rondo),,20,22
86,1,3:15.0,,R. Sessions makes 2-pt jump shot from 3 ft (assist by J. Wall),20,24
87,1,2:58.0,R. Gay misses 2-pt layup from 2 ft (block by M. Gortat),,20,24
88,1,2:57.0,Offensive rebound by R. Gay,,20,24
89,1,2:56.0,Shooting foul by M. Gortat (drawn by R. Gay),,20,24
90,1,2:56.0,Sacramento full timeout,,20,24
91,1,2:56.0,B. McLemore enters the game for R. Rondo,,20,24
92,1,2:56.0,R. Gay makes free throw 1 of 2,,21,24
93,1,2:56.0,R. Gay makes free throw 2 of 2,,22,24
94,1,2:37.0,,K. Humphries makes 3-pt jump shot from 26 ft (assist by J. Wall),22,27
95,1,2:22.0,,J. Dudley enters the game for M. Gortat,22,27
96,1,2:22.0,O. Casspi enters the game for R. Gay,,22,27
97,1,2:11.0,M. Belinelli makes 3-pt jump shot from 25 ft (assist by O. Casspi),,25,27
98,1,1:51.0,,J. Dudley makes 3-pt jump shot from 26 ft (assist by J. Wall),25,30
99,1,1:35.0,D. Collison makes 3-pt jump shot from 22 ft (assist by M. Belinelli),,28,30
100,1,1:20.0,,K. Humphries misses 2-pt jump shot from 5 ft (block by K. Koufos),28,30
101,1,1:20.0,Defensive rebound by Team,,28,30
102,1,1:20.0,,G. Temple enters the game for J. Wall,28,30
103,1,1:14.0,D. Collison makes 2-pt jump shot from 3 ft,,30,30
104,1,1:14.0,Shooting foul by K. Oubre (drawn by D. Collison),,30,30
105,1,1:14.0,D. Collison makes free throw 1 of 1,,31,30
106,1,1:01.0,,Shooting foul by O. Casspi (drawn by K. Oubre),31,30
107,1,1:01.0,,K. Oubre makes free throw 1 of 2,31,31
108,1,1:01.0,C. Butler enters the game for O. Casspi,,31,31
109,1,1:01.0,,K. Oubre makes free throw 2 of 2,31,32
110,1,0:50.0,K. Koufos makes 2-pt hook shot from 4 ft (assist by D. Collison),,33,32
111,1,0:36.0,,G. Temple misses 2-pt jump shot from 4 ft,33,32
112,1,0:35.0,Defensive rebound by B. McLemore,,33,32
113,1,0:23.0,K. Koufos makes 2-pt hook shot from 8 ft,,35,32
114,1,0:03.0,,R. Sessions makes 2-pt jump shot from 16 ft,35,34
115,1,0:00.0,D. Collison misses 3-pt jump shot from 38 ft,,35,34
116,1,0:00.0,Offensive rebound by Team,,35,34
117,2,11:37.0,M. Belinelli makes 3-pt jump shot from 26 ft,,38,34
118,2,11:26.0,,R. Sessions misses 2-pt layup at rim,38,34
119,2,11:25.0,Defensive rebound by K. Koufos,,38,34
120,2,11:19.0,M. Belinelli misses 3-pt jump shot from 30 ft,,38,34
121,2,11:17.0,,Defensive rebound by R. Sessions,38,34
122,2,11:13.0,,J. Dudley makes 2-pt layup from 1 ft (assist by R. Sessions),38,36
123,2,11:05.0,Turnover by D. Collison (bad pass; steal by G. Temple),,38,36
124,2,11:00.0,,Shooting foul by C. Butler (drawn by G. Temple),38,36
125,2,11:00.0,,G. Temple makes free throw 1 of 2,38,37
126,2,11:00.0,,G. Temple makes free throw 2 of 2,38,38
127,2,10:45.0,B. McLemore misses 2-pt jump shot from 20 ft,,38,38
128,2,10:45.0,,Defensive rebound by K. Humphries,38,38
129,2,10:35.0,,K. Humphries misses 2-pt jump shot from 14 ft,38,38
130,2,10:35.0,Defensive rebound by C. Butler,,38,38
131,2,10:09.0,C. Butler misses 2-pt jump shot from 21 ft,,38,38
132,2,10:09.0,,Defensive rebound by K. Oubre,38,38
133,2,10:01.0,,Shooting foul by C. Butler (drawn by R. Sessions),38,38
134,2,10:01.0,,R. Sessions misses free throw 1 of 2,38,38
135,2,10:01.0,,Offensive rebound by Team,38,38
136,2,10:01.0,,R. Sessions makes free throw 2 of 2,38,39
137,2,9:46.0,Personal foul by G. Temple (drawn by M. Belinelli),,38,39
138,2,9:33.0,C. Butler makes 2-pt jump shot from 15 ft,,40,39
