,QUARTER,TIME_REMAINING,MEMPHIS_ACTION,ATLANTA_ACTION,MEMPHIS_SCORE,ATLANTA_SCORE
0,1,11:41.0,,J. Teague misses 3-pt jump shot from 24 ft,0,0
1,1,11:40.0,Defensive rebound by J. Green,,0,0
2,1,11:22.0,T. Allen makes 2-pt jump shot from 19 ft,,2,0
3,1,11:08.0,,K. Korver makes 2-pt jump shot from 16 ft (assist by J. Teague),2,2
4,1,10:56.0,T. Allen misses 2-pt layup from 1 ft,,2,2
5,1,10:55.0,Offensive rebound by T. Allen,,2,2
6,1,10:43.0,J. Green misses 2-pt jump shot from 19 ft,,2,2
7,1,10:42.0,Offensive rebound by Team,,2,2
8,1,10:42.0,,Loose ball foul by P. Millsap,2,2
9,1,10:35.0,Personal foul by A. Horford,,2,2
10,1,10:27.0,T. Allen makes 2-pt layup from 1 ft (assist by R. Hollins),,4,2
11,1,10:13.0,,P. Millsap makes 2-pt layup from 1 ft (assist by J. Teague),4,4
12,1,9:58.0,M. Barnes makes 3-pt jump shot from 25 ft (assist by B. Weber),,7,4
13,1,9:41.0,,J. Teague makes 3-pt jump shot from 24 ft (assist by K. Korver),7,7
14,1,9:24.0,B. Weber misses 2-pt jump shot from 21 ft,,7,7
15,1,9:22.0,,Defensive rebound by P. Millsap,7,7
16,1,9:13.0,,Personal foul by B. Weber,7,7
17,1,9:03.0,,P. Millsap makes 2-pt layup at rim (assist by A. Horford),7,9
18,1,8:49.0,J. Green misses 2-pt hook shot from 8 ft,,7,9
19,1,8:48.0,,Defensive rebound by K. Bazemore,7,9
20,1,8:43.0,,Turnover by P. Millsap (lost ball; steal by M. Barnes),7,9
21,1,8:37.0,M. Barnes misses 2-pt layup at rim,,7,9
22,1,8:36.0,,Defensive rebound by P. Millsap,7,9
23,1,8:27.0,,K. Bazemore misses 3-pt jump shot from 24 ft,7,9
24,1,8:25.0,,Offensive rebound by J. Teague,7,9
25,1,8:19.0,,P. Millsap misses 3-pt jump shot from 23 ft,7,9
26,1,8:16.0,Defensive rebound by M. Barnes,,7,9
27,1,8:08.0,T. Allen makes 2-pt layup from 1 ft,,9,9
28,1,7:43.0,,P. Millsap makes 2-pt layup from 1 ft (assist by K. Korver),9,11
29,1,7:36.0,T. Allen misses 2-pt layup at rim,,9,11
30,1,7:35.0,Offensive rebound by T. Allen,,9,11
31,1,7:35.0,T. Allen misses 2-pt layup at rim (block by J. Teague),,9,11
32,1,7:35.0,Offensive rebound by T. Allen,,9,11
33,1,7:31.0,J. Green misses 2-pt layup from 1 ft (block by K. Korver),,9,11
34,1,7:28.0,Offensive rebound by J. Green,,9,11
35,1,7:28.0,J. Green misses 2-pt layup from 1 ft (block by K. Korver),,9,11
36,1,7:26.0,,Defensive rebound by K. Korver,9,11
37,1,7:16.0,,J. Teague misses 2-pt layup from 1 ft (block by B. Weber),9,11
38,1,7:14.0,Defensive rebound by B. Weber,,9,11
39,1,7:08.0,M. Barnes makes 3-pt jump shot from 24 ft,,12,11
40,1,6:55.0,,K. Bazemore misses 3-pt jump shot from 24 ft,12,11
41,1,6:54.0,Defensive rebound by T. Allen,,12,11
42,1,6:47.0,R. Hollins misses 2-pt layup at rim,,12,11
43,1,6:46.0,,Defensive rebound by P. Millsap,12,11
44,1,6:35.0,,K. Korver misses 3-pt jump shot from 24 ft,12,11
45,1,6:34.0,Defensive rebound by J. Green,,12,11
46,1,6:17.0,Turnover by M. Barnes (lost ball; steal by K. Bazemore),,12,11
47,1,6:12.0,,P. Millsap misses 2-pt layup at rim,12,11
48,1,6:11.0,Defensive rebound by M. Barnes,,12,11
49,1,6:04.0,B. Weber misses 3-pt jump shot from 24 ft,,12,11
50,1,6:04.0,,Defensive rebound by Team,12,11
51,1,6:04.0,Loose ball foul by J. Green,,12,11
52,1,6:04.0,,Atlanta full timeout,12,11
53,1,6:04.0,,K. Humphries enters the game for A. Horford,12,11
54,1,6:04.0,,T. Sefolosha enters the game for K. Bazemore,12,11
55,1,6:04.0,J. Martin enters the game for J. Green,,12,11
56,1,5:47.0,,J. Teague misses 2-pt jump shot from 17 ft,12,11
57,1,5:45.0,Defensive rebound by R. Hollins,,12,11
58,1,5:26.0,J. Martin misses 2-pt jump shot from 4 ft (block by J. Teague),,12,11
59,1,5:25.0,Offensive rebound by B. Weber,,12,11
60,1,5:21.0,B. Weber makes 2-pt jump shot from 15 ft,,14,11
61,1,5:07.0,,K. Korver makes 2-pt jump shot from 19 ft (assist by J. Teague),14,13
62,1,4:39.0,J. Martin misses 2-pt jump shot from 20 ft,,14,13
63,1,4:37.0,,Defensive rebound by T. Sefolosha,14,13
64,1,4:24.0,,P. Millsap makes 2-pt jump shot from 11 ft,14,15
65,1,4:11.0,M. Barnes misses 3-pt jump shot from 25 ft,,14,15
66,1,4:09.0,,Defensive rebound by K. Korver,14,15
67,1,3:46.0,,Turnover by P. Millsap (bad pass; steal by T. Allen),14,15
68,1,3:39.0,M. Barnes misses 3-pt jump shot from 23 ft,,14,15
69,1,3:37.0,,Defensive rebound by K. Humphries,14,15
70,1,3:27.0,,J. Teague misses 2-pt jump shot from 13 ft,14,15
71,1,3:24.0,Defensive rebound by T. Allen,,14,15
72,1,3:16.0,Turnover by T. Allen (traveling),,14,15
73,1,3:16.0,P. Hairston enters the game for T. Allen,,14,15
74,1,3:16.0,,D. Schröder enters the game for J. Teague,14,15
75,1,3:16.0,,T. Hardaway enters the game for K. Korver,14,15
76,1,3:01.0,,T. Sefolosha makes 2-pt jump shot from 7 ft,14,17
77,1,3:01.0,,Shooting foul by R. Hollins (drawn by T. Sefolosha),14,17
78,1,3:01.0,A. Stepheson enters the game for R. Hollins,,14,17
79,1,3:01.0,R. McCallum enters the game for B. Weber,,14,17
80,1,3:01.0,,M. Scott enters the game for P. Millsap,14,17
81,1,3:01.0,,T. Sefolosha makes free throw 1 of 1,14,18
82,1,2:54.0,Memphis full timeout,,14,18
83,1,2:54.0,L. Stephenson enters the game for M. Barnes,,14,18
84,1,2:40.0,L. Stephenson misses 2-pt layup from 2 ft (block by T. Sefolosha),,14,18
85,1,2:39.0,Offensive rebound by J. Martin,,14,18
86,1,2:35.0,P. Hairston misses 3-pt jump shot from 24 ft,,14,18
87,1,2:34.0,,Defensive rebound by K. Humphries,14,18
88,1,2:22.0,,Turnover by D. Schröder (lost ball; steal by A. Stepheson),14,18
89,1,2:09.0,L. Stephenson makes 2-pt jump shot from 16 ft,,16,18
90,1,1:49.0,,T. Sefolosha misses 2-pt jump shot from 5 ft,16,18
91,1,1:49.0,Defensive rebound by Team,,16,18
92,1,1:30.0,Shooting foul by M. Scott (drawn by J. Martin),,16,18
93,1,1:30.0,J. Martin makes free throw 1 of 2,,17,18
94,1,1:30.0,,A. Horford enters the game for K. Humphries,17,18
95,1,1:30.0,J. Martin misses free throw 2 of 2,,17,18
96,1,1:28.0,,Defensive rebound by T. Sefolosha,17,18
97,1,1:16.0,,D. Schröder misses 2-pt layup at rim,17,18
98,1,1:15.0,Defensive rebound by P. Hairston,,17,18
99,1,1:05.0,L. Stephenson misses 2-pt jump shot from 17 ft,,17,18
100,1,1:03.0,Offensive rebound by A. Stepheson,,17,18
101,1,1:03.0,A. Stepheson misses 2-pt layup from 3 ft,,17,18
102,1,1:02.0,,Defensive rebound by A. Horford,17,18
103,1,0:56.0,,M. Scott misses 3-pt jump shot from 24 ft,17,18
104,1,0:55.0,Defensive rebound by L. Stephenson,,17,18
105,1,0:37.0,L. Stephenson makes 2-pt jump shot from 8 ft,,19,18
106,1,0:29.0,,D. Schröder misses 3-pt jump shot from 24 ft,19,18
107,1,0:26.0,Defensive rebound by P. Hairston,,19,18
108,1,0:06.0,J. Martin makes 2-pt layup from 2 ft (assist by L. Stephenson),,21,18
109,1,0:06.0,Shooting foul by M. Scott (drawn by J. Martin),,21,18
110,1,0:06.0,,K. Korver enters the game for T. Sefolosha,21,18
111,1,0:06.0,B. Weber enters the game for A. Stepheson,,21,18
112,1,0:06.0,J. Martin makes free throw 1 of 1,,22,18
113,1,0:00.0,,Turnover by D. Schröder (lost ball; steal by B. Weber),22,18
114,2,11:53.0,Turnover by R. McCallum (bad pass; steal by J. Teague),,22,18
115,2,11:49.0,,Shooting foul by J. Martin (drawn by M. Scott),22,18
116,2,11:49.0,,M. Scott makes free throw 1 of 2,22,19
117,2,11:49.0,,M. Scott misses free throw 2 of 2,22,19
118,2,11:48.0,Defensive rebound by R. McCallum,,22,19
119,2,11:31.0,A. Stepheson misses 2-pt layup from 1 ft (block by A. Horford),,22,19
120,2,11:29.0,,Defensive rebound by A. Horford,22,19
121,2,11:14.0,,M. Scott misses 2-pt jump shot from 18 ft,22,19
122,2,11:13.0,,Offensive rebound by T. Sefolosha,22,19
123,2,11:08.0,,T. Hardaway misses 3-pt jump shot from 22 ft,22,19
124,2,11:06.0,Defensive rebound by A. Stepheson,,22,19
125,2,10:58.0,L. Stephenson makes 2-pt layup from 1 ft,,24,19
126,2,10:49.0,,J. Teague misses 2-pt layup from 1 ft,24,19
127,2,10:47.0,Defensive rebound by L. Stephenson,,24,19
128,2,10:32.0,J. Martin makes 2-pt jump shot from 15 ft (assist by R. McCallum),,26,19
129,2,10:13.0,,T. Sefolosha misses 2-pt jump shot from 20 ft,26,19
130,2,10:11.0,Defensive rebound by P. Hairston,,26,19
131,2,10:02.0,A. Stepheson misses 2-pt hook shot from 7 ft,,26,19
132,2,10:00.0,,Defensive rebound by A. Horford,26,19
133,2,9:53.0,,A. Horford misses 2-pt jump shot from 18 ft,26,19
134,2,9:52.0,Defensive rebound by A. Stepheson,,26,19
135,2,9:35.0,J. Martin misses 2-pt jump shot from 14 ft,,26,19
136,2,9:34.0,,Defensive rebound by T. Sefolosha,26,19
137,2,9:17.0,,M. Scott misses 3-pt jump shot from 23 ft,26,19
138,2,9:15.0,Defensive rebound by L. Stephenson,,26,19
139,2,9:09.0,R. McCallum makes 3-pt jump shot from 23 ft (assist by L. Stephenson),,29,19
140,2,9:09.0,,Atlanta full timeout,29,19
141,2,9:09.0,,K. Bazemore enters the game for T. Sefolosha,29,19
142,2,9:09.0,,P. Millsap enters the game for T. Hardaway,29,19
143,2,9:09.0,,K. Korver enters the game for M. Scott,29,19
144,2,9:09.0,J. Green enters the game for J. Martin,,29,19
145,2,8:53.0,,Turnover by P. Millsap (bad pass; steal by R. McCallum),29,19
146,2,8:48.0,P. Hairston makes 2-pt layup at rim,,31,19
147,2,8:34.0,,A. Horford makes 2-pt jump shot from 4 ft (assist by K. Bazemore),31,21
148,2,8:20.0,J. Green misses 2-pt layup from 2 ft (block by A. Horford),,31,21
149,2,8:18.0,Offensive rebound by J. Green,,31,21
150,2,8:17.0,J. Green misses 2-pt layup from 1 ft (block by A. Horford),,31,21
151,2,8:15.0,Offensive rebound by J. Green,,31,21
152,2,8:12.0,J. Green misses 2-pt layup from 2 ft,,31,21
153,2,8:11.0,Offensive rebound by Team,,31,21
154,2,8:08.0,R. McCallum misses 3-pt jump shot from 25 ft,,31,21
155,2,8:06.0,,Defensive rebound by A. Horford,31,21
156,2,7:57.0,,K. Bazemore misses 3-pt jump shot from 24 ft,31,21
157,2,7:56.0,Defensive rebound by R. McCallum,,31,21
158,2,7:42.0,P. Hairston misses 3-pt jump shot from 24 ft,,31,21
159,2,7:41.0,,Defensive rebound by P. Millsap,31,21
160,2,7:33.0,,A. Horford makes 2-pt dunk at rim (assist by K. Bazemore),31,23
161,2,7:12.0,J. Green misses 2-pt jump shot from 19 ft,,31,23
162,2,7:09.0,Offensive rebound by P. Hairston,,31,23
163,2,7:07.0,L. Stephenson makes 2-pt layup from 1 ft (assist by P. Hairston),,33,23
164,2,6:54.0,,J. Teague makes 3-pt jump shot from 23 ft (assist by K. Korver),33,26
165,2,6:27.0,P. Hairston misses 3-pt jump shot from 24 ft,,33,26
166,2,6:26.0,,Defensive rebound by A. Horford,33,26
167,2,6:17.0,,J. Teague makes 3-pt jump shot from 24 ft (assist by P. Millsap),33,29
168,2,6:08.0,Memphis full timeout,,33,29
169,2,6:08.0,,K. Humphries enters the game for A. Horford,33,29
170,2,6:08.0,B. Weber enters the game for R. McCallum,,33,29
