,QUARTER,TIME_REMAINING,SACRAMENTO_ACTION,SAN ANTONIO_ACTION,SACRAMENTO_SCORE,SAN ANTONIO_SCORE
0,1,11:42.0,,D. West makes 2-pt jump shot from 16 ft (assist by T. Parker),0,2
1,1,11:29.0,Def 3 sec tech foul by D. West,,0,2
2,1,11:29.0,R. Gay misses technical free throw,,0,2
3,1,11:29.0,Offensive rebound by Team,,0,2
4,1,11:14.0,Q. Acy makes 3-pt jump shot from 24 ft (assist by D. Cousins),,3,2
5,1,10:58.0,,D. West makes 2-pt jump shot from 17 ft (assist by T. Parker),3,4
6,1,10:48.0,D. Cousins misses 2-pt jump shot from 17 ft,,3,4
7,1,10:47.0,,Defensive rebound by K. Leonard,3,4
8,1,10:30.0,,K. Leonard misses 2-pt jump shot from 17 ft,3,4
9,1,10:29.0,Defensive rebound by B. McLemore,,3,4
10,1,10:22.0,R. Rondo misses 2-pt jump shot from 5 ft (block by T. Parker),,3,4
11,1,10:20.0,,Defensive rebound by T. Parker,3,4
12,1,10:15.0,,B. Diaw makes 2-pt layup at rim (assist by J. Simmons),3,6
13,1,10:06.0,R. Rondo misses 2-pt jump shot from 16 ft,,3,6
14,1,10:06.0,,Defensive rebound by D. West,3,6
15,1,9:52.0,,Turnover by K. Leonard (lost ball; steal by D. Cousins),3,6
16,1,9:45.0,B. McLemore misses 2-pt layup from 1 ft,,3,6
17,1,9:43.0,,Defensive rebound by J. Simmons,3,6
18,1,9:38.0,,Turnover by B. Diaw (step out of bounds),3,6
19,1,9:33.0,Personal foul by D. West (drawn by D. Cousins),,3,6
20,1,9:25.0,Q. Acy makes 3-pt jump shot from 24 ft (assist by R. Rondo),,6,6
21,1,8:59.0,,Turnover by B. Diaw (bad pass),6,6
22,1,8:50.0,Offensive foul by R. Rondo (drawn by T. Parker),,6,6
23,1,8:50.0,Turnover by R. Rondo (offensive foul),,6,6
24,1,8:36.0,,D. West misses 2-pt jump shot from 11 ft,6,6
25,1,8:35.0,Defensive rebound by D. Cousins,,6,6
26,1,8:27.0,Turnover by R. Gay (step out of bounds),,6,6
27,1,8:12.0,,D. West makes 2-pt jump shot from 6 ft (assist by K. Leonard),6,8
28,1,8:12.0,,Shooting foul by D. Cousins (drawn by D. West),6,8
29,1,8:12.0,,D. West makes free throw 1 of 1,6,9
30,1,8:00.0,D. Cousins makes 2-pt layup at rim (assist by R. Rondo),,8,9
31,1,7:45.0,,T. Parker makes 2-pt jump shot from 20 ft (assist by K. Leonard),8,11
32,1,7:28.0,B. McLemore makes 2-pt jump shot from 7 ft (assist by D. Cousins),,10,11
33,1,7:10.0,,B. Diaw misses 2-pt jump shot from 13 ft,10,11
34,1,7:10.0,Defensive rebound by Q. Acy,,10,11
35,1,6:59.0,Q. Acy makes 2-pt dunk at rim (assist by D. Cousins),,12,11
36,1,6:45.0,,B. Diaw makes 2-pt layup at rim (assist by D. West),12,13
37,1,6:28.0,B. McLemore misses 3-pt jump shot from 24 ft,,12,13
38,1,6:28.0,,Defensive rebound by K. Leonard,12,13
39,1,6:11.0,,D. West makes 2-pt jump shot from 18 ft (assist by J. Simmons),12,15
40,1,5:45.0,D. Cousins misses 2-pt jump shot from 18 ft,,12,15
41,1,5:45.0,,Defensive rebound by K. Leonard,12,15
42,1,5:29.0,,K. Leonard misses 2-pt layup from 1 ft (block by R. Gay),12,15
43,1,5:27.0,Defensive rebound by Q. Acy,,12,15
44,1,5:18.0,Shooting foul by J. Simmons (drawn by D. Cousins),,12,15
45,1,5:18.0,,Technical foul by Team,12,15
46,1,5:18.0,,San Antonio full timeout,12,15
47,1,5:18.0,,B. Marjanović enters the game for D. West,12,15
48,1,5:18.0,,M. Ginóbili enters the game for J. Simmons,12,15
49,1,5:18.0,B. McLemore makes technical free throw,,13,15
50,1,5:18.0,D. Cousins misses free throw 1 of 2,,13,15
51,1,5:18.0,Offensive rebound by Team,,13,15
52,1,5:18.0,D. Cousins makes free throw 2 of 2,,14,15
53,1,5:02.0,,B. Diaw makes 2-pt layup at rim (assist by T. Parker),14,17
54,1,4:44.0,Turnover by D. Cousins (lost ball),,14,17
55,1,4:44.0,D. Collison enters the game for B. McLemore,,14,17
56,1,4:24.0,,Turnover by B. Diaw (bad pass; steal by R. Gay),14,17
57,1,4:12.0,Q. Acy makes 2-pt layup at rim (assist by D. Collison),,16,17
58,1,3:56.0,,T. Parker misses 2-pt jump shot from 20 ft,16,17
59,1,3:55.0,Defensive rebound by R. Gay,,16,17
60,1,3:53.0,Turnover by R. Rondo (bad pass),,16,17
61,1,3:35.0,,K. Leonard misses 2-pt jump shot from 11 ft (block by R. Gay),16,17
62,1,3:34.0,,Offensive rebound by K. Leonard,16,17
63,1,3:28.0,,B. Diaw misses 3-pt jump shot from 24 ft,16,17
64,1,3:28.0,,Offensive rebound by B. Marjanović,16,17
65,1,3:28.0,Loose ball foul by Q. Acy (drawn by B. Marjanović),,16,17
66,1,3:28.0,,P. Mills enters the game for T. Parker,16,17
67,1,3:28.0,W. Cauley-Stein enters the game for Q. Acy,,16,17
68,1,3:21.0,,B. Marjanović makes 2-pt layup at rim (assist by B. Diaw),16,19
69,1,3:12.0,R. Rondo misses 2-pt jump shot from 5 ft (block by B. Diaw),,16,19
70,1,3:12.0,Offensive rebound by Team,,16,19
71,1,2:57.0,D. Cousins makes 2-pt dunk at rim (assist by D. Collison),,18,19
72,1,2:43.0,,P. Mills misses 2-pt jump shot from 16 ft,18,19
73,1,2:42.0,,Offensive rebound by K. Leonard,18,19
74,1,2:41.0,Sacramento full timeout,,18,19
75,1,2:41.0,O. Casspi enters the game for R. Gay,,18,19
76,1,2:37.0,,M. Ginóbili makes 3-pt jump shot from 25 ft (assist by B. Diaw),18,22
77,1,2:07.0,D. Collison misses 2-pt jump shot from 18 ft (block by B. Diaw),,18,22
78,1,2:07.0,Offensive rebound by Team,,18,22
79,1,2:07.0,Turnover by Team (shot clock),,18,22
80,1,2:07.0,,K. Anderson enters the game for K. Leonard,18,22
81,1,1:56.0,,M. Ginóbili misses 2-pt jump shot from 8 ft,18,22
82,1,1:56.0,Defensive rebound by D. Cousins,,18,22
83,1,1:50.0,O. Casspi misses 3-pt jump shot from 22 ft,,18,22
84,1,1:48.0,,Defensive rebound by B. Marjanović,18,22
85,1,1:30.0,,P. Mills makes 3-pt jump shot from 25 ft (assist by B. Diaw),18,25
86,1,1:18.0,Shooting foul by B. Marjanović (drawn by D. Cousins),,18,25
87,1,1:18.0,D. Cousins misses free throw 1 of 2,,18,25
88,1,1:18.0,Offensive rebound by Team,,18,25
89,1,1:18.0,,D. West enters the game for B. Diaw,18,25
90,1,1:18.0,M. Belinelli enters the game for R. Rondo,,18,25
91,1,1:18.0,D. Cousins makes free throw 2 of 2,,19,25
92,1,1:10.0,,Turnover by D. West (bad pass),19,25
93,1,1:00.0,D. Collison makes 2-pt layup at rim,,21,25
94,1,0:49.0,,M. Ginóbili makes 2-pt layup at rim (assist by P. Mills),21,27
95,1,0:38.0,M. Belinelli misses 3-pt jump shot from 25 ft,,21,27
96,1,0:37.0,,Defensive rebound by Team,21,27
97,1,0:30.0,,Turnover by D. West (bad pass; steal by O. Casspi),21,27
98,1,0:26.0,Shooting foul by M. Ginóbili (drawn by W. Cauley-Stein),,21,27
99,1,0:26.0,W. Cauley-Stein makes free throw 1 of 2,,22,27
100,1,0:26.0,Q. Acy enters the game for D. Cousins,,22,27
101,1,0:26.0,,M. Bonner enters the game for K. Anderson,22,27
102,1,0:26.0,W. Cauley-Stein misses free throw 2 of 2,,22,27
103,1,0:26.0,,Defensive rebound by B. Marjanović,22,27
104,1,0:04.0,,B. Marjanović makes 2-pt dunk at rim (assist by M. Ginóbili),22,29
105,1,0:00.0,Turnover by O. Casspi (bad pass; steal by D. West),,22,29
106,2,11:51.0,M. Belinelli misses 2-pt jump shot from 18 ft,,22,29
107,2,11:46.0,,Defensive rebound by P. Mills,22,29
108,2,11:33.0,,M. Ginóbili makes 2-pt layup from 2 ft (assist by K. Anderson),22,31
109,2,11:14.0,M. Belinelli misses 2-pt jump shot from 16 ft,,22,31
110,2,11:13.0,,Defensive rebound by D. West,22,31
111,2,11:06.0,,Turnover by B. Marjanović (lost ball; steal by M. Belinelli),22,31
112,2,11:05.0,Personal foul by M. Ginóbili (drawn by M. Belinelli),,22,31
113,2,11:05.0,,J. Simmons enters the game for M. Ginóbili,22,31
114,2,10:52.0,D. Collison makes 2-pt jump shot from 15 ft,,24,31
115,2,10:32.0,,D. West makes 2-pt jump shot from 19 ft (assist by K. Anderson),24,33
116,2,10:11.0,Q. Acy makes 2-pt jump shot from 6 ft,,26,33
117,2,9:58.0,,Shooting foul by Q. Acy (drawn by D. West),26,33
118,2,9:58.0,,D. West misses free throw 1 of 2,26,33
119,2,9:58.0,,Offensive rebound by Team,26,33
120,2,9:58.0,,K. Leonard enters the game for J. Simmons,26,33
121,2,9:58.0,R. Gay enters the game for W. Cauley-Stein,,26,33
122,2,9:58.0,,J. Simmons enters the game for B. Marjanović,26,33
123,2,9:58.0,,D. West makes free throw 2 of 2,26,34
124,2,9:46.0,M. Belinelli misses 2-pt jump shot from 18 ft,,26,34
125,2,9:42.0,,Defensive rebound by P. Mills,26,34
126,2,9:25.0,,K. Anderson makes 2-pt jump shot from 17 ft,26,36
127,2,9:12.0,O. Casspi misses 3-pt jump shot from 24 ft,,26,36
128,2,9:11.0,Offensive rebound by Q. Acy,,26,36
129,2,9:07.0,Q. Acy makes 2-pt layup at rim,,28,36
130,2,8:54.0,,P. Mills misses 2-pt jump shot from 16 ft,28,36
131,2,8:53.0,Defensive rebound by O. Casspi,,28,36
132,2,8:42.0,R. Gay misses 2-pt jump shot from 14 ft,,28,36
133,2,8:40.0,,Defensive rebound by K. Leonard,28,36
134,2,8:34.0,,K. Leonard makes 2-pt layup from 1 ft,28,38
135,2,8:32.0,Sacramento full timeout,,28,38
136,2,8:15.0,O. Casspi misses 2-pt jump shot from 11 ft,,28,38
137,2,8:13.0,,Defensive rebound by P. Mills,28,38
138,2,8:07.0,,D. West misses 2-pt jump shot from 18 ft,28,38
139,2,8:05.0,Defensive rebound by Q. Acy,,28,38
140,2,7:52.0,R. Gay makes 2-pt dunk at rim (assist by Q. Acy),,30,38
141,2,7:36.0,,P. Mills misses 3-pt jump shot from 23 ft,30,38
142,2,7:35.0,Defensive rebound by Q. Acy,,30,38
143,2,7:25.0,M. Belinelli misses 2-pt jump shot from 12 ft,,30,38
144,2,7:25.0,Offensive rebound by Team,,30,38
145,2,7:25.0,R. Rondo enters the game for O. Casspi,,30,38
146,2,7:25.0,,T. Parker enters the game for P. Mills,30,38
147,2,7:25.0,,B. Diaw enters the game for D. West,30,38
148,2,7:18.0,Turnover by M. Belinelli (lost ball; steal by B. Diaw),,30,38
149,2,7:14.0,,Turnover by T. Parker (lost ball),30,38
150,2,7:03.0,R. Gay misses 3-pt jump shot from 24 ft,,30,38
