,QUARTER,TIME_REMAINING,ORLANDO_ACTION,WASHINGTON_ACTION,ORLANDO_SCORE,WASHINGTON_SCORE
0,1,11:45.0,Turnover by T. Harris (back court),,0,0
1,1,11:27.0,,M. Gortat misses 2-pt jump shot from 4 ft,0,0
2,1,11:26.0,Defensive rebound by T. Harris,,0,0
3,1,11:15.0,E. Fournier makes 2-pt layup from 2 ft (assist by C. Frye),,2,0
4,1,10:57.0,,K. Humphries makes 3-pt jump shot from 25 ft (assist by O. Porter),2,3
5,1,10:42.0,C. Frye makes 3-pt jump shot from 23 ft,,5,3
6,1,10:17.0,,K. Humphries misses 3-pt jump shot from 26 ft,5,3
7,1,10:17.0,,Offensive rebound by M. Gortat,5,3
8,1,10:15.0,,M. Gortat misses 2-pt jump shot from 4 ft,5,3
9,1,10:14.0,Defensive rebound by N. Vučević,,5,3
10,1,10:01.0,N. Vučević makes 2-pt jump shot from 19 ft,,7,3
11,1,9:47.0,,G. Temple misses 3-pt jump shot from 24 ft,7,3
12,1,9:47.0,Defensive rebound by E. Fournier,,7,3
13,1,9:38.0,E. Fournier makes 2-pt layup at rim,,9,3
14,1,9:31.0,,Washington full timeout,9,3
15,1,9:21.0,,K. Humphries misses 3-pt jump shot from 24 ft,9,3
16,1,9:21.0,Defensive rebound by Team,,9,3
17,1,9:02.0,N. Vučević misses 2-pt jump shot from 16 ft,,9,3
18,1,9:02.0,,Defensive rebound by M. Gortat,9,3
19,1,8:52.0,,J. Wall misses 2-pt jump shot from 16 ft,9,3
20,1,8:50.0,Defensive rebound by C. Frye,,9,3
21,1,8:43.0,Personal foul by O. Porter (drawn by T. Harris),,9,3
22,1,8:33.0,T. Harris makes 2-pt jump shot from 18 ft (assist by E. Payton),,11,3
23,1,8:25.0,,O. Porter makes 2-pt jump shot from 18 ft,11,5
24,1,8:19.0,C. Frye makes 2-pt dunk at rim (assist by E. Payton),,13,5
25,1,7:57.0,,M. Gortat misses 2-pt jump shot from 8 ft,13,5
26,1,7:56.0,Defensive rebound by C. Frye,,13,5
27,1,7:42.0,N. Vučević makes 2-pt hook shot from 16 ft,,15,5
28,1,7:23.0,,O. Porter misses 2-pt jump shot from 16 ft,15,5
29,1,7:22.0,,Offensive rebound by K. Humphries,15,5
30,1,7:21.0,,K. Humphries makes 2-pt layup from 1 ft,15,7
31,1,7:01.0,E. Fournier misses 3-pt jump shot from 26 ft,,15,7
32,1,7:00.0,,Defensive rebound by O. Porter,15,7
33,1,6:54.0,,G. Temple makes 3-pt jump shot from 23 ft (assist by J. Wall),15,10
34,1,6:36.0,Turnover by E. Payton (bad pass),,15,10
35,1,6:36.0,,J. Dudley enters the game for K. Humphries,15,10
36,1,6:22.0,,G. Temple misses 3-pt jump shot from 24 ft,15,10
37,1,6:21.0,Defensive rebound by N. Vučević,,15,10
