,QUARTER,TIME_REMAINING,ORLANDO_ACTION,MILWAUKEE_ACTION,ORLANDO_SCORE,MILWAUKEE_SCORE
0,1,11:39.0,,Offensive foul by G. Antetokounmpo (drawn by E. Fournier),0,0
1,1,11:39.0,,Turnover by G. Antetokounmpo (offensive foul),0,0
2,1,11:30.0,Shooting foul by R. Vaughn (drawn by D. Dedmon),,0,0
3,1,11:30.0,D. Dedmon makes free throw 1 of 2,,1,0
4,1,11:30.0,D. Dedmon makes free throw 2 of 2,,2,0
5,1,11:21.0,,K. Middleton misses 3-pt jump shot from 23 ft,2,0
6,1,11:20.0,Defensive rebound by A. Gordon,,2,0
7,1,11:14.0,A. Gordon misses 2-pt jump shot from 3 ft,,2,0
8,1,11:13.0,,Defensive rebound by K. Middleton,2,0
9,1,11:07.0,,K. Middleton makes 2-pt layup from 3 ft,2,2
10,1,10:51.0,A. Gordon misses 2-pt jump shot from 15 ft,,2,2
11,1,10:50.0,,Defensive rebound by K. Middleton,2,2
12,1,10:44.0,,K. Middleton misses 2-pt layup at rim,2,2
13,1,10:42.0,Defensive rebound by D. Dedmon,,2,2
14,1,10:35.0,Turnover by V. Oladipo (bad pass; steal by J. Parker),,2,2
15,1,10:21.0,,G. Monroe makes 2-pt jump shot from 16 ft (assist by G. Antetokounmpo),2,4
16,1,10:05.0,E. Fournier makes 2-pt layup from 1 ft (assist by E. Payton),,4,4
17,1,9:41.0,,G. Monroe makes 2-pt layup from 1 ft,4,6
18,1,9:28.0,Turnover by E. Fournier (bad pass),,4,6
19,1,9:19.0,,Shooting foul by D. Dedmon (drawn by G. Monroe),4,6
20,1,9:19.0,,G. Monroe makes 2-pt layup at rim (assist by G. Antetokounmpo),4,8
21,1,9:19.0,,G. Monroe misses free throw 1 of 1,4,8
22,1,9:18.0,Defensive rebound by D. Dedmon,,4,8
23,1,9:06.0,Turnover by V. Oladipo (bad pass; steal by K. Middleton),,4,8
24,1,9:00.0,,Shooting foul by A. Gordon (drawn by R. Vaughn),4,8
25,1,9:00.0,,R. Vaughn makes 2-pt layup from 1 ft (assist by K. Middleton),4,10
26,1,9:00.0,,R. Vaughn misses free throw 1 of 1,4,10
27,1,8:57.0,Defensive rebound by D. Dedmon,,4,10
28,1,8:39.0,A. Gordon makes 2-pt dunk at rim (assist by E. Payton),,6,10
29,1,8:18.0,,Turnover by G. Monroe (bad pass; steal by A. Gordon),6,10
30,1,8:13.0,V. Oladipo misses 2-pt layup at rim (block by G. Antetokounmpo),,6,10
31,1,8:11.0,Offensive rebound by Team,,6,10
32,1,8:01.0,V. Oladipo misses 2-pt jump shot from 10 ft (block by K. Middleton),,6,10
33,1,8:01.0,,Defensive rebound by Team,6,10
34,1,7:41.0,,K. Middleton makes 2-pt jump shot from 12 ft,6,12
35,1,7:33.0,Turnover by E. Payton (bad pass; steal by R. Vaughn),,6,12
36,1,7:21.0,,Turnover by G. Antetokounmpo (bad pass; steal by E. Payton),6,12
37,1,7:15.0,D. Dedmon makes 2-pt layup from 1 ft (assist by E. Payton),,8,12
38,1,7:02.0,,Turnover by K. Middleton (bad pass; steal by V. Oladipo),8,12
39,1,6:59.0,E. Fournier makes 2-pt dunk at rim (assist by V. Oladipo),,10,12
40,1,6:59.0,,Milwaukee full timeout,10,12
41,1,6:43.0,Violation by A. Gordon (def goaltending),,10,12
42,1,6:43.0,,G. Monroe makes 2-pt hook shot from 2 ft,10,14
43,1,6:32.0,V. Oladipo makes 2-pt jump shot from 13 ft,,12,14
44,1,6:10.0,,G. Monroe makes 2-pt hook shot from 3 ft,12,16
45,1,5:56.0,V. Oladipo makes 2-pt jump shot from 15 ft (assist by E. Payton),,14,16
46,1,5:45.0,,G. Monroe makes 2-pt jump shot from 4 ft (assist by G. Antetokounmpo),14,18
47,1,5:45.0,,Shooting foul by E. Payton (drawn by G. Monroe),14,18
48,1,5:45.0,N. Vučević enters the game for D. Dedmon,,14,18
49,1,5:45.0,,G. Monroe misses free throw 1 of 1,14,18
50,1,5:44.0,Defensive rebound by A. Gordon,,14,18
51,1,5:25.0,V. Oladipo misses 3-pt jump shot from 26 ft,,14,18
52,1,5:24.0,,Defensive rebound by J. Parker,14,18
53,1,5:17.0,,G. Monroe makes 2-pt jump shot from 14 ft (assist by J. Parker),14,20
54,1,5:01.0,Turnover by E. Fournier (bad pass; steal by G. Antetokounmpo),,14,20
55,1,4:58.0,,G. Antetokounmpo makes 2-pt dunk at rim,14,22
56,1,4:44.0,Turnover by E. Payton (lost ball; steal by G. Monroe),,14,22
57,1,4:36.0,,G. Antetokounmpo misses 2-pt layup from 1 ft,14,22
58,1,4:34.0,Defensive rebound by V. Oladipo,,14,22
59,1,4:22.0,E. Fournier misses 3-pt jump shot from 26 ft,,14,22
60,1,4:21.0,,Defensive rebound by K. Middleton,14,22
61,1,4:17.0,,J. Parker makes 2-pt layup at rim (assist by K. Middleton),14,24
62,1,4:16.0,Orlando full timeout,,14,24
63,1,4:16.0,M. Hezonja enters the game for V. Oladipo,,14,24
64,1,4:16.0,B. Jennings enters the game for E. Payton,,14,24
65,1,4:01.0,M. Hezonja misses 2-pt jump shot from 8 ft,,14,24
66,1,4:00.0,,Defensive rebound by G. Antetokounmpo,14,24
67,1,3:51.0,,J. Parker misses 2-pt jump shot from 6 ft,14,24
68,1,3:49.0,Defensive rebound by E. Fournier,,14,24
69,1,3:37.0,A. Gordon makes 2-pt dunk at rim (assist by M. Hezonja),,16,24
70,1,3:20.0,,R. Vaughn misses 3-pt jump shot from 23 ft,16,24
