,QUARTER,TIME_REMAINING,WASHINGTON_ACTION,DETROIT_ACTION,WASHINGTON_SCORE,DETROIT_SCORE
0,1,11:39.0,J. Wall misses 2-pt jump shot from 11 ft,,0,0
1,1,11:36.0,,Defensive rebound by A. Drummond,0,0
2,1,11:17.0,,E. İlyasova makes 2-pt jump shot from 16 ft,0,2
3,1,10:56.0,M. Gortat misses 2-pt jump shot from 19 ft,,0,2
4,1,10:56.0,Offensive rebound by O. Porter,,0,2
5,1,10:51.0,O. Porter makes 2-pt layup at rim,,2,2
6,1,10:31.0,,R. Jackson misses 2-pt jump shot from 14 ft,2,2
7,1,10:30.0,Defensive rebound by J. Wall,,2,2
8,1,10:18.0,K. Humphries misses 3-pt jump shot from 25 ft,,2,2
9,1,10:18.0,,Defensive rebound by A. Drummond,2,2
10,1,10:07.0,,M. Morris makes 3-pt jump shot from 24 ft (assist by R. Jackson),2,5
11,1,9:53.0,B. Beal misses 2-pt layup at rim,,2,5
12,1,9:50.0,,Defensive rebound by A. Drummond,2,5
13,1,9:28.0,,M. Morris makes 3-pt jump shot from 25 ft (assist by R. Jackson),2,8
14,1,9:04.0,M. Gortat misses 2-pt jump shot from 4 ft,,2,8
15,1,9:03.0,,Defensive rebound by M. Morris,2,8
16,1,8:52.0,,A. Drummond misses 2-pt hook shot from 4 ft,2,8
17,1,8:51.0,Defensive rebound by K. Humphries,,2,8
18,1,8:44.0,M. Gortat makes 2-pt layup from 2 ft (assist by J. Wall),,4,8
19,1,8:27.0,,R. Jackson makes 2-pt layup at rim (assist by E. İlyasova),4,10
20,1,8:08.0,J. Wall misses 3-pt jump shot from 24 ft,,4,10
21,1,8:08.0,,Defensive rebound by A. Drummond,4,10
22,1,8:02.0,,K. Caldwell-Pope makes 2-pt layup from 1 ft (assist by A. Drummond),4,12
23,1,7:47.0,Turnover by O. Porter (bad pass),,4,12
24,1,7:30.0,,E. İlyasova misses 3-pt jump shot from 22 ft,4,12
25,1,7:29.0,Defensive rebound by O. Porter,,4,12
26,1,7:19.0,K. Humphries misses 2-pt jump shot from 4 ft,,4,12
27,1,7:18.0,Offensive rebound by M. Gortat,,4,12
28,1,7:13.0,M. Gortat makes 2-pt hook shot from 2 ft,,6,12
29,1,6:50.0,,R. Jackson misses 3-pt jump shot from 25 ft,6,12
30,1,6:50.0,Defensive rebound by K. Humphries,,6,12
31,1,6:43.0,O. Porter makes 3-pt jump shot from 23 ft (assist by J. Wall),,9,12
32,1,6:30.0,,Turnover by M. Morris (bad pass; steal by J. Wall),9,12
33,1,6:23.0,O. Porter makes 2-pt layup at rim (assist by J. Wall),,11,12
34,1,5:53.0,,R. Jackson misses 3-pt jump shot from 25 ft,11,12
35,1,5:53.0,Defensive rebound by M. Gortat,,11,12
36,1,5:47.0,J. Wall makes 2-pt layup from 1 ft,,13,12
37,1,5:41.0,,Detroit full timeout,13,12
38,1,5:34.0,,Turnover by R. Jackson (bad pass; steal by O. Porter),13,12
39,1,5:27.0,J. Wall makes 2-pt layup at rim,,15,12
40,1,5:05.0,,M. Morris makes 2-pt jump shot from 17 ft,15,14
41,1,4:51.0,B. Beal misses 2-pt jump shot from 18 ft,,15,14
42,1,4:50.0,,Defensive rebound by A. Drummond,15,14
43,1,4:34.0,,E. İlyasova makes 2-pt layup at rim (assist by R. Jackson),15,16
44,1,4:29.0,M. Gortat makes 2-pt layup from 1 ft (assist by J. Wall),,17,16
45,1,4:17.0,,R. Jackson misses 2-pt jump shot from 6 ft,17,16
46,1,4:14.0,,Offensive rebound by R. Jackson,17,16
47,1,4:08.0,,A. Drummond makes 2-pt hook shot from 4 ft (assist by R. Jackson),17,18
48,1,3:58.0,O. Porter makes 3-pt jump shot from 23 ft (assist by J. Wall),,20,18
49,1,3:39.0,,E. İlyasova misses 2-pt jump shot from 5 ft,20,18
50,1,3:39.0,Defensive rebound by O. Porter,,20,18
51,1,3:34.0,J. Wall makes 2-pt layup from 1 ft,,22,18
52,1,3:13.0,,R. Jackson makes 2-pt jump shot from 6 ft,22,20
53,1,2:52.0,K. Humphries misses 3-pt jump shot from 26 ft,,22,20
54,1,2:51.0,Offensive rebound by M. Gortat,,22,20
55,1,2:45.0,M. Gortat makes 2-pt jump shot from 4 ft,,24,20
56,1,2:36.0,,Detroit full timeout,24,20
57,1,2:36.0,Washington full timeout,,24,20
58,1,2:36.0,J. Dudley enters the game for K. Humphries,,24,20
59,1,2:36.0,R. Sessions enters the game for B. Beal,,24,20
60,1,2:36.0,G. Temple enters the game for J. Wall,,24,20
61,1,2:36.0,,S. Dinwiddie enters the game for E. İlyasova,24,20
62,1,2:36.0,,A. Tolliver enters the game for R. Jackson,24,20
63,1,2:21.0,,S. Dinwiddie misses 2-pt jump shot from 16 ft,24,20
