,QUARTER,TIME_REMAINING,DENVER_ACTION,OKLAHOMA CITY_ACTION,DENVER_SCORE,OKLAHOMA CITY_SCORE
0,1,11:46.0,D. Gallinari makes 3-pt jump shot from 24 ft (assist by J. Lauvergne),,3,0
1,1,11:24.0,,Turnover by R. Westbrook (bad pass; steal by E. Mudiay),3,0
2,1,11:10.0,D. Gallinari misses 3-pt jump shot from 24 ft,,3,0
3,1,11:07.0,,Defensive rebound by R. Westbrook,3,0
4,1,10:53.0,,S. Ibaka makes 2-pt jump shot from 13 ft (assist by K. Durant),3,2
5,1,10:31.0,J. Lauvergne misses 2-pt jump shot from 20 ft,,3,2
6,1,10:30.0,,Defensive rebound by R. Westbrook,3,2
7,1,10:25.0,,R. Westbrook misses 2-pt jump shot from 18 ft,3,2
8,1,10:24.0,Defensive rebound by D. Gallinari,,3,2
9,1,10:15.0,K. Faried misses 2-pt jump shot from 8 ft (block by S. Adams),,3,2
10,1,10:14.0,Offensive rebound by K. Faried,,3,2
11,1,10:12.0,K. Faried misses 2-pt layup from 1 ft,,3,2
12,1,10:09.0,,Defensive rebound by K. Durant,3,2
13,1,9:59.0,,R. Westbrook makes 2-pt layup from 2 ft (assist by S. Ibaka),3,4
14,1,9:48.0,Shooting foul by S. Adams (drawn by K. Faried),,3,4
15,1,9:48.0,K. Faried makes 2-pt layup at rim (assist by J. Lauvergne),,5,4
16,1,9:48.0,K. Faried misses free throw 1 of 1,,5,4
17,1,9:47.0,,Defensive rebound by A. Roberson,5,4
18,1,9:30.0,,K. Durant makes 2-pt jump shot from 15 ft,5,6
19,1,9:09.0,J. Lauvergne misses 2-pt hook shot from 4 ft (block by K. Durant),,5,6
20,1,9:08.0,,Defensive rebound by A. Roberson,5,6
21,1,8:58.0,,A. Roberson misses 3-pt jump shot from 25 ft,5,6
22,1,8:58.0,Defensive rebound by J. Lauvergne,,5,6
23,1,8:50.0,E. Mudiay misses 2-pt jump shot from 12 ft,,5,6
24,1,8:50.0,,Defensive rebound by A. Roberson,5,6
25,1,8:48.0,,Turnover by A. Roberson (bad pass; steal by D. Gallinari),5,6
26,1,8:46.0,Personal foul by A. Roberson (drawn by D. Gallinari),,5,6
27,1,8:34.0,D. Gallinari misses 2-pt layup from 1 ft (block by S. Ibaka),,5,6
28,1,8:33.0,,Defensive rebound by R. Westbrook,5,6
29,1,8:30.0,,K. Durant makes 2-pt dunk at rim (assist by R. Westbrook),5,8
30,1,8:17.0,D. Gallinari makes 3-pt jump shot from 24 ft (assist by J. Lauvergne),,8,8
31,1,8:00.0,,S. Ibaka misses 2-pt layup from 2 ft,8,8
32,1,7:59.0,,Offensive rebound by S. Ibaka,8,8
33,1,7:55.0,,S. Ibaka makes 2-pt layup from 1 ft,8,10
34,1,7:37.0,D. Gallinari misses 2-pt jump shot from 23 ft,,8,10
35,1,7:36.0,,Defensive rebound by Team,8,10
36,1,7:26.0,,A. Roberson misses 3-pt jump shot from 24 ft,8,10
37,1,7:26.0,Defensive rebound by J. Lauvergne,,8,10
38,1,7:16.0,E. Mudiay makes 2-pt jump shot from 6 ft,,10,10
39,1,7:03.0,,R. Westbrook misses 3-pt jump shot from 24 ft,10,10
40,1,7:03.0,Defensive rebound by J. Lauvergne,,10,10
41,1,6:45.0,E. Mudiay makes 2-pt jump shot from 19 ft (assist by K. Faried),,12,10
42,1,6:29.0,,S. Ibaka makes 2-pt jump shot from 19 ft (assist by R. Westbrook),12,12
43,1,6:19.0,E. Mudiay misses 3-pt jump shot from 23 ft,,12,12
44,1,6:19.0,,Defensive rebound by A. Roberson,12,12
45,1,6:12.0,,Turnover by K. Durant (bad pass),12,12
46,1,6:12.0,,D. Waiters enters the game for A. Roberson,12,12
47,1,5:57.0,Shooting foul by K. Durant (drawn by D. Gallinari),,12,12
48,1,5:57.0,,Oklahoma City full timeout,12,12
49,1,5:57.0,D. Gallinari makes free throw 1 of 2,,13,12
50,1,5:57.0,D. Gallinari makes free throw 2 of 2,,14,12
51,1,5:44.0,,Turnover by R. Westbrook (bad pass),14,12
52,1,5:29.0,K. Faried makes 2-pt layup at rim (assist by E. Mudiay),,16,12
53,1,5:11.0,,K. Durant makes 2-pt jump shot from 7 ft,16,14
54,1,4:54.0,E. Mudiay misses 2-pt jump shot from 15 ft,,16,14
55,1,4:54.0,,Defensive rebound by K. Durant,16,14
56,1,4:43.0,,S. Ibaka misses 2-pt jump shot from 20 ft,16,14
57,1,4:42.0,Defensive rebound by Team,,16,14
58,1,4:27.0,Shooting foul by K. Durant (drawn by D. Gallinari),,16,14
59,1,4:27.0,D. Gallinari misses free throw 1 of 2,,16,14
60,1,4:27.0,Offensive rebound by Team,,16,14
61,1,4:27.0,,K. Singler enters the game for K. Durant,16,14
62,1,4:27.0,D. Gallinari makes free throw 2 of 2,,17,14
63,1,4:18.0,,Shooting foul by J. Lauvergne (drawn by D. Waiters),17,14
64,1,4:18.0,,D. Waiters makes free throw 1 of 2,17,15
65,1,4:18.0,,Violation by Team (double lane),17,15
66,1,4:18.0,,Turnover by S. Adams (lost ball; steal by J. Lauvergne),17,15
67,1,4:08.0,Turnover by K. Faried (lost ball; steal by D. Waiters),,17,15
68,1,4:02.0,,R. Westbrook makes 2-pt layup from 1 ft (assist by D. Waiters),17,17
69,1,3:47.0,Turnover by E. Mudiay (lost ball; steal by R. Westbrook),,17,17
70,1,3:43.0,,S. Ibaka makes 2-pt dunk at rim (assist by D. Waiters),17,19
71,1,3:43.0,,Shooting foul by E. Mudiay (drawn by S. Ibaka),17,19
72,1,3:43.0,,D. Augustin enters the game for R. Westbrook,17,19
73,1,3:43.0,,S. Ibaka makes free throw 1 of 1,17,20
74,1,3:24.0,Turnover by D. Gallinari (lost ball; steal by K. Singler),,17,20
75,1,3:19.0,,K. Singler misses 2-pt layup from 1 ft (block by K. Faried),17,20
76,1,3:19.0,,Offensive rebound by Team,17,20
77,1,3:19.0,D. Arthur enters the game for K. Faried,,17,20
78,1,3:19.0,J. Nelson enters the game for E. Mudiay,,17,20
79,1,3:12.0,,S. Ibaka makes 2-pt jump shot from 17 ft (assist by D. Augustin),17,22
80,1,2:58.0,J. Nelson misses 2-pt jump shot from 15 ft,,17,22
81,1,2:58.0,,Defensive rebound by D. Waiters,17,22
82,1,2:47.0,,D. Waiters misses 2-pt layup at rim,17,22
83,1,2:47.0,,Offensive rebound by S. Adams,17,22
84,1,2:47.0,,S. Adams makes 2-pt dunk at rim,17,24
85,1,2:47.0,Denver full timeout,,17,24
86,1,2:47.0,N. Jokić enters the game for J. Lauvergne,,17,24
87,1,2:47.0,R. Foye enters the game for G. Harris,,17,24
88,1,2:47.0,,E. Freedom enters the game for S. Adams,17,24
89,1,2:30.0,J. Nelson misses 3-pt jump shot from 24 ft,,17,24
90,1,2:29.0,,Defensive rebound by S. Ibaka,17,24
91,1,2:22.0,,D. Waiters misses 2-pt jump shot from 19 ft,17,24
92,1,2:21.0,,Offensive rebound by K. Singler,17,24
93,1,2:04.0,,Offensive foul by E. Freedom (drawn by J. Nelson),17,24
94,1,2:04.0,,Turnover by E. Freedom (offensive foul),17,24
95,1,2:04.0,,N. Collison enters the game for S. Ibaka,17,24
96,1,2:04.0,W. Barton enters the game for D. Gallinari,,17,24
97,1,1:50.0,W. Barton makes 3-pt jump shot from 25 ft (assist by J. Nelson),,20,24
98,1,1:37.0,,Shooting foul by D. Arthur (drawn by N. Collison),20,24
99,1,1:37.0,,N. Collison makes free throw 1 of 2,20,25
100,1,1:37.0,,N. Collison makes free throw 2 of 2,20,26
101,1,1:17.0,R. Foye misses 3-pt jump shot from 24 ft,,20,26
102,1,1:16.0,Offensive rebound by Team,,20,26
103,1,1:06.0,D. Arthur makes 2-pt jump shot from 18 ft (assist by J. Nelson),,22,26
104,1,0:53.0,,D. Augustin makes 3-pt jump shot from 24 ft (assist by E. Freedom),22,29
105,1,0:44.0,D. Arthur misses 2-pt jump shot from 19 ft,,22,29
