,QUARTER,TIME_REMAINING,BROOKLYN_ACTION,NEW ORLEANS_ACTION,BROOKLYN_SCORE,NEW ORLEANS_SCORE
0,1,11:42.0,,A. Davis misses 2-pt jump shot from 15 ft,0,0
1,1,11:40.0,Defensive rebound by T. Young,,0,0
2,1,11:18.0,B. Lopez misses 2-pt jump shot from 21 ft,,0,0
3,1,11:17.0,,Defensive rebound by A. Davis,0,0
4,1,11:00.0,,B. Dejean-Jones makes 2-pt layup from 2 ft (assist by A. Davis),0,2
5,1,11:00.0,,Shooting foul by B. Lopez (drawn by B. Dejean-Jones),0,2
6,1,11:00.0,,B. Dejean-Jones makes free throw 1 of 1,0,3
7,1,10:44.0,T. Young makes 2-pt jump shot from 17 ft (assist by W. Ellington),,2,3
8,1,10:25.0,,Ö. Aşık makes 2-pt dunk at rim (assist by A. Gee),2,5
9,1,10:08.0,W. Ellington makes 3-pt jump shot from 25 ft (assist by J. Johnson),,5,5
10,1,9:57.0,,N. Cole misses 2-pt jump shot from 17 ft,5,5
11,1,9:56.0,Defensive rebound by T. Young,,5,5
12,1,9:39.0,B. Lopez misses 2-pt jump shot from 8 ft,,5,5
13,1,9:38.0,Offensive rebound by D. Sloan,,5,5
14,1,9:37.0,D. Sloan misses 2-pt layup from 1 ft (block by Ö. Aşık),,5,5
15,1,9:36.0,,Defensive rebound by A. Davis,5,5
16,1,9:33.0,,A. Davis misses 2-pt jump shot from 17 ft,5,5
17,1,9:32.0,Defensive rebound by B. Lopez,,5,5
18,1,9:13.0,J. Johnson misses 2-pt jump shot from 9 ft,,5,5
19,1,9:12.0,,Defensive rebound by Ö. Aşık,5,5
20,1,8:52.0,,Turnover by N. Cole (bad pass; steal by B. Lopez),5,5
21,1,8:52.0,Personal foul by N. Cole (drawn by D. Sloan),,5,5
22,1,8:26.0,B. Lopez misses 2-pt jump shot from 6 ft,,5,5
23,1,8:25.0,,Defensive rebound by N. Cole,5,5
24,1,8:14.0,,A. Davis misses 2-pt jump shot from 5 ft,5,5
25,1,8:14.0,Defensive rebound by B. Lopez,,5,5
26,1,7:54.0,W. Ellington misses 2-pt jump shot from 16 ft,,5,5
27,1,7:54.0,,Defensive rebound by A. Gee,5,5
28,1,7:36.0,,N. Cole makes 2-pt jump shot from 20 ft (assist by A. Davis),5,7
29,1,7:10.0,W. Ellington misses 2-pt layup from 1 ft,,5,7
30,1,7:09.0,Offensive rebound by B. Lopez,,5,7
31,1,7:09.0,B. Lopez makes 2-pt layup from 1 ft,,7,7
32,1,6:47.0,,A. Davis misses 2-pt jump shot from 14 ft,7,7
33,1,6:46.0,,Offensive rebound by Ö. Aşık,7,7
34,1,6:30.0,,A. Gee misses 3-pt jump shot from 23 ft,7,7
35,1,6:29.0,Defensive rebound by J. Johnson,,7,7
36,1,6:24.0,D. Sloan misses 2-pt layup from 1 ft (block by Ö. Aşık),,7,7
37,1,6:22.0,Offensive rebound by D. Sloan,,7,7
38,1,6:20.0,T. Young misses 2-pt layup from 1 ft (block by Ö. Aşık),,7,7
39,1,6:19.0,,Defensive rebound by B. Dejean-Jones,7,7
40,1,6:01.0,,A. Davis misses 2-pt dunk at rim (block by B. Lopez),7,7
41,1,5:59.0,Defensive rebound by D. Sloan,,7,7
42,1,5:56.0,Offensive foul by T. Young (drawn by Ö. Aşık),,7,7
43,1,5:56.0,Turnover by T. Young (offensive foul),,7,7
44,1,5:56.0,,New Orleans full timeout,7,7
45,1,5:56.0,,R. Anderson enters the game for Ö. Aşık,7,7
46,1,5:36.0,,N. Cole misses 3-pt jump shot from 25 ft,7,7
47,1,5:35.0,Defensive rebound by J. Johnson,,7,7
48,1,5:11.0,J. Johnson misses 2-pt jump shot from 5 ft (block by A. Davis),,7,7
49,1,5:10.0,,Defensive rebound by N. Cole,7,7
