,QUARTER,TIME_REMAINING,SACRAMENTO_ACTION,OKLAHOMA CITY_ACTION,SACRAMENTO_SCORE,OKLAHOMA CITY_SCORE
0,1,11:51.0,,R. Westbrook makes 2-pt layup from 1 ft,0,2
1,1,11:39.0,Turnover by R. Rondo (lost ball),,0,2
2,1,11:17.0,,K. Durant misses 3-pt jump shot from 24 ft,0,2
3,1,11:16.0,,Offensive rebound by A. Roberson,0,2
4,1,11:13.0,,S. Ibaka makes 2-pt jump shot from 16 ft (assist by A. Roberson),0,4
5,1,11:04.0,Personal foul by S. Ibaka (drawn by R. Gay),,0,4
6,1,10:54.0,D. Cousins makes 2-pt jump shot from 18 ft (assist by R. Gay),,2,4
7,1,10:31.0,,A. Roberson misses 3-pt jump shot from 23 ft,2,4
8,1,10:31.0,Defensive rebound by B. McLemore,,2,4
9,1,10:19.0,Personal foul by S. Ibaka (drawn by D. Cousins),,2,4
10,1,10:10.0,D. Cousins misses 3-pt jump shot from 24 ft,,2,4
11,1,10:09.0,,Defensive rebound by R. Westbrook,2,4
12,1,9:51.0,,S. Ibaka makes 2-pt dunk at rim (assist by S. Adams),2,6
13,1,9:35.0,R. Rondo misses 2-pt jump shot from 16 ft,,2,6
14,1,9:33.0,,Defensive rebound by K. Durant,2,6
15,1,9:23.0,,R. Westbrook makes 2-pt jump shot from 13 ft,2,8
16,1,9:09.0,D. Cousins misses 2-pt layup from 2 ft (block by S. Adams),,2,8
17,1,9:08.0,,Defensive rebound by K. Durant,2,8
18,1,9:05.0,,Shooting foul by B. McLemore (drawn by K. Durant),2,8
19,1,9:05.0,,K. Durant misses free throw 1 of 2,2,8
20,1,9:05.0,,Offensive rebound by Team,2,8
21,1,9:05.0,,K. Durant makes free throw 2 of 2,2,9
22,1,8:53.0,O. Casspi misses 3-pt jump shot from 25 ft,,2,9
23,1,8:52.0,Offensive rebound by D. Cousins,,2,9
24,1,8:39.0,D. Cousins misses 2-pt layup from 1 ft,,2,9
25,1,8:37.0,,Defensive rebound by S. Adams,2,9
26,1,8:26.0,,R. Westbrook makes 2-pt layup from 1 ft,2,11
27,1,8:12.0,R. Gay misses 2-pt jump shot from 15 ft,,2,11
28,1,8:11.0,Offensive rebound by D. Cousins,,2,11
29,1,8:10.0,Personal foul by A. Roberson (drawn by D. Cousins),,2,11
30,1,8:02.0,R. Rondo makes 2-pt layup at rim,,4,11
31,1,7:44.0,,A. Roberson misses 2-pt layup from 1 ft,4,11
32,1,7:42.0,Defensive rebound by D. Cousins,,4,11
33,1,7:38.0,B. McLemore makes 2-pt dunk at rim (assist by R. Rondo),,6,11
34,1,7:16.0,,A. Roberson misses 2-pt layup from 1 ft,6,11
35,1,7:15.0,,Offensive rebound by S. Adams,6,11
36,1,7:15.0,,S. Adams misses 2-pt layup from 1 ft,6,11
37,1,7:14.0,Defensive rebound by R. Rondo,,6,11
38,1,7:08.0,R. Gay makes 3-pt jump shot from 22 ft (assist by R. Rondo),,9,11
39,1,6:51.0,,S. Adams makes 2-pt dunk at rim (assist by R. Westbrook),9,13
40,1,6:35.0,Shooting foul by S. Ibaka (drawn by O. Casspi),,9,13
41,1,6:35.0,O. Casspi misses free throw 1 of 2,,9,13
42,1,6:35.0,Offensive rebound by Team,,9,13
43,1,6:35.0,,D. Waiters enters the game for S. Ibaka,9,13
44,1,6:35.0,O. Casspi misses free throw 2 of 2,,9,13
45,1,6:34.0,,Defensive rebound by S. Adams,9,13
46,1,6:24.0,,Turnover by K. Durant (lost ball; steal by D. Cousins),9,13
47,1,6:20.0,O. Casspi makes 2-pt dunk at rim (assist by R. Rondo),,11,13
48,1,6:06.0,,R. Westbrook misses 3-pt jump shot from 24 ft,11,13
49,1,6:06.0,Defensive rebound by Team,,11,13
50,1,5:54.0,D. Cousins makes 2-pt jump shot from 18 ft (assist by R. Rondo),,13,13
51,1,5:29.0,,K. Durant makes 2-pt jump shot from 9 ft (assist by R. Westbrook),13,15
52,1,5:21.0,Personal foul by R. Westbrook (drawn by R. Rondo),,13,15
53,1,5:21.0,,Oklahoma City full timeout,13,15
54,1,5:21.0,R. Rondo makes free throw 1 of 2,,14,15
55,1,5:21.0,R. Rondo misses free throw 2 of 2,,14,15
56,1,5:20.0,,Defensive rebound by R. Westbrook,14,15
57,1,4:55.0,,D. Waiters misses 2-pt jump shot from 6 ft,14,15
58,1,4:54.0,,Offensive rebound by S. Adams,14,15
59,1,4:54.0,,S. Adams makes 2-pt layup from 1 ft,14,17
60,1,4:31.0,R. Gay misses 2-pt jump shot from 14 ft,,14,17
61,1,4:30.0,Offensive rebound by R. Gay,,14,17
62,1,4:27.0,R. Gay makes 2-pt layup from 1 ft,,16,17
63,1,4:16.0,,S. Adams makes 2-pt dunk at rim (assist by R. Westbrook),16,19
64,1,4:01.0,Personal foul by S. Adams (drawn by D. Cousins),,16,19
65,1,4:01.0,D. Cousins makes free throw 1 of 2,,17,19
66,1,4:01.0,M. Belinelli enters the game for B. McLemore,,17,19
67,1,4:01.0,D. Cousins misses free throw 2 of 2,,17,19
68,1,4:01.0,,Defensive rebound by A. Roberson,17,19
69,1,3:52.0,,Shooting foul by R. Rondo (drawn by R. Westbrook),17,19
70,1,3:52.0,,R. Westbrook makes free throw 1 of 2,17,20
71,1,3:52.0,K. Koufos enters the game for D. Cousins,,17,20
72,1,3:52.0,,R. Westbrook makes free throw 2 of 2,17,21
73,1,3:37.0,O. Casspi makes 2-pt layup from 1 ft,,19,21
74,1,3:23.0,,K. Durant makes 2-pt dunk at rim,19,23
75,1,3:05.0,Turnover by M. Belinelli (traveling),,19,23
76,1,3:05.0,D. Collison enters the game for O. Casspi,,19,23
77,1,3:05.0,,E. Freedom enters the game for S. Adams,19,23
78,1,3:05.0,,D. Augustin enters the game for R. Westbrook,19,23
79,1,2:40.0,,E. Freedom makes 2-pt jump shot from 5 ft,19,25
80,1,2:21.0,R. Rondo makes 2-pt layup from 2 ft,,21,25
81,1,2:06.0,,D. Waiters misses 3-pt jump shot from 24 ft,21,25
82,1,2:05.0,Defensive rebound by R. Gay,,21,25
83,1,1:58.0,Turnover by R. Gay (lost ball),,21,25
84,1,1:58.0,Sacramento full timeout,,21,25
85,1,1:58.0,,C. Payne enters the game for A. Roberson,21,25
86,1,1:39.0,,D. Augustin misses 3-pt jump shot from 24 ft,21,25
