,QUARTER,TIME_REMAINING,BOSTON_ACTION,DETROIT_ACTION,BOSTON_SCORE,DETROIT_SCORE
0,1,11:44.0,J. Crowder makes 3-pt jump shot from 22 ft (assist by J. Sullinger),,3,0
1,1,11:18.0,,E. İlyasova misses 2-pt hook shot from 3 ft,3,0
2,1,11:17.0,Defensive rebound by J. Sullinger,,3,0
3,1,11:15.0,Offensive foul by A. Johnson (drawn by R. Jackson),,3,0
4,1,11:15.0,Turnover by A. Johnson (offensive foul),,3,0
5,1,11:04.0,,E. İlyasova misses 2-pt jump shot from 16 ft,3,0
6,1,11:03.0,Defensive rebound by J. Crowder,,3,0
7,1,10:42.0,J. Sullinger misses 2-pt jump shot from 18 ft,,3,0
8,1,10:41.0,,Defensive rebound by A. Drummond,3,0
9,1,10:31.0,,A. Drummond misses 2-pt hook shot from 4 ft,3,0
10,1,10:29.0,Defensive rebound by A. Bradley,,3,0
11,1,10:10.0,J. Crowder misses 3-pt jump shot from 26 ft,,3,0
12,1,10:09.0,,Defensive rebound by E. İlyasova,3,0
13,1,10:02.0,,R. Jackson makes 2-pt layup at rim,3,2
14,1,9:59.0,Turnover by A. Bradley (step out of bounds),,3,2
15,1,9:49.0,,Personal foul by A. Bradley (drawn by K. Caldwell-Pope),3,2
16,1,9:38.0,,E. İlyasova misses 3-pt jump shot from 26 ft,3,2
17,1,9:38.0,Defensive rebound by J. Sullinger,,3,2
18,1,9:26.0,I. Thomas makes 2-pt layup at rim,,5,2
19,1,9:12.0,,K. Caldwell-Pope misses 2-pt jump shot from 19 ft,5,2
20,1,9:11.0,Defensive rebound by J. Crowder,,5,2
21,1,9:01.0,A. Johnson misses 2-pt hook shot from 3 ft,,5,2
22,1,9:00.0,,Defensive rebound by E. İlyasova,5,2
23,1,8:52.0,,E. İlyasova misses 3-pt jump shot from 26 ft,5,2
24,1,8:51.0,Defensive rebound by A. Johnson,,5,2
25,1,8:37.0,A. Bradley makes 3-pt jump shot from 25 ft,,8,2
26,1,8:19.0,,M. Morris makes 2-pt layup at rim (assist by K. Caldwell-Pope),8,4
27,1,8:04.0,A. Johnson makes 3-pt jump shot from 23 ft (assist by J. Crowder),,11,4
28,1,7:46.0,,M. Morris misses 2-pt jump shot from 17 ft,11,4
29,1,7:45.0,Defensive rebound by I. Thomas,,11,4
30,1,7:34.0,I. Thomas misses 2-pt jump shot from 4 ft,,11,4
31,1,7:33.0,Offensive rebound by I. Thomas,,11,4
32,1,7:28.0,A. Bradley misses 3-pt jump shot from 25 ft,,11,4
33,1,7:27.0,,Defensive rebound by A. Drummond,11,4
34,1,7:17.0,,K. Caldwell-Pope misses 2-pt layup at rim,11,4
35,1,7:16.0,Defensive rebound by J. Sullinger,,11,4
36,1,7:08.0,Turnover by I. Thomas (bad pass),,11,4
37,1,6:48.0,,M. Morris makes 3-pt jump shot from 26 ft (assist by A. Drummond),11,7
38,1,6:28.0,Turnover by J. Sullinger (traveling),,11,7
39,1,6:13.0,,R. Jackson makes 2-pt jump shot from 16 ft,11,9
40,1,6:02.0,A. Johnson misses 2-pt jump shot from 15 ft,,11,9
41,1,6:01.0,Offensive rebound by J. Sullinger,,11,9
42,1,6:00.0,Shooting foul by M. Morris (drawn by J. Sullinger),,11,9
43,1,6:00.0,J. Sullinger misses free throw 1 of 2,,11,9
44,1,6:00.0,Offensive rebound by Team,,11,9
45,1,6:00.0,J. Sullinger makes free throw 2 of 2,,12,9
46,1,5:39.0,,M. Morris makes 2-pt jump shot from 20 ft,12,11
47,1,5:25.0,I. Thomas misses 2-pt jump shot from 19 ft,,12,11
48,1,5:24.0,Offensive rebound by A. Johnson,,12,11
49,1,5:22.0,A. Johnson makes 2-pt dunk at rim,,14,11
50,1,5:03.0,Offensive charge foul by R. Jackson (drawn by J. Sullinger),,14,11
51,1,5:03.0,,Turnover by R. Jackson (offensive foul),14,11
52,1,5:03.0,,Detroit full timeout,14,11
53,1,5:03.0,E. Turner enters the game for J. Crowder,,14,11
54,1,4:51.0,K. Olynyk enters the game for J. Sullinger,,14,11
55,1,4:40.0,A. Johnson makes 2-pt hook shot from 4 ft,,16,11
56,1,4:23.0,,E. İlyasova makes 3-pt jump shot from 26 ft (assist by R. Jackson),16,14
57,1,4:06.0,A. Johnson misses 3-pt jump shot from 25 ft,,16,14
58,1,4:06.0,,Defensive rebound by R. Jackson,16,14
59,1,4:01.0,,Turnover by R. Jackson (bad pass; steal by A. Johnson),16,14
60,1,3:50.0,I. Thomas makes 3-pt jump shot from 23 ft (assist by A. Bradley),,19,14
61,1,3:22.0,,A. Drummond makes 2-pt hook shot from 6 ft (assist by M. Morris),19,16
62,1,3:06.0,A. Johnson makes 2-pt hook shot from 5 ft (assist by E. Turner),,21,16
63,1,2:44.0,,K. Caldwell-Pope makes 2-pt jump shot from 20 ft,21,18
64,1,2:26.0,E. Turner makes 2-pt layup at rim,,23,18
65,1,2:09.0,,R. Jackson misses 3-pt jump shot from 24 ft,23,18
66,1,2:08.0,Defensive rebound by A. Johnson,,23,18
67,1,2:05.0,,Offensive charge foul by A. Johnson (drawn by E. İlyasova),23,18
68,1,2:05.0,Turnover by A. Johnson (offensive foul),,23,18
69,1,2:05.0,Boston full timeout,,23,18
70,1,2:05.0,,S. Blake enters the game for M. Morris,23,18
71,1,2:05.0,,S. Johnson enters the game for R. Jackson,23,18
72,1,2:05.0,J. Young enters the game for I. Thomas,,23,18
73,1,1:49.0,,E. İlyasova misses 2-pt layup from 2 ft (block by A. Johnson),23,18
74,1,1:48.0,Defensive rebound by E. Turner,,23,18
75,1,1:43.0,A. Bradley misses 3-pt jump shot from 27 ft,,23,18
76,1,1:42.0,Offensive rebound by E. Turner,,23,18
77,1,1:41.0,E. Turner misses 2-pt jump shot from 11 ft (block by E. İlyasova),,23,18
78,1,1:40.0,,Defensive rebound by S. Blake,23,18
79,1,1:35.0,,Turnover by A. Drummond (lost ball),23,18
80,1,1:35.0,,Loose ball foul by A. Drummond (drawn by K. Olynyk),23,18
81,1,1:35.0,D. Lee enters the game for A. Johnson,,23,18
82,1,1:26.0,Turnover by D. Lee (lost ball),,23,18
83,1,1:16.0,,S. Johnson misses 2-pt jump shot from 11 ft,23,18
84,1,1:14.0,Defensive rebound by J. Young,,23,18
85,1,1:08.0,D. Lee misses 2-pt layup from 2 ft (block by E. İlyasova),,23,18
86,1,1:06.0,Offensive rebound by Team,,23,18
87,1,1:02.0,E. Turner misses 2-pt jump shot from 14 ft,,23,18
88,1,1:00.0,,Defensive rebound by K. Caldwell-Pope,23,18
89,1,0:54.0,,Shooting foul by D. Lee (drawn by A. Drummond),23,18
90,1,0:54.0,,A. Drummond misses free throw 1 of 2,23,18
91,1,0:54.0,,Offensive rebound by Team,23,18
92,1,0:54.0,,A. Tolliver enters the game for E. İlyasova,23,18
93,1,0:54.0,,A. Drummond misses free throw 2 of 2,23,18
94,1,0:54.0,Defensive rebound by K. Olynyk,,23,18
95,1,0:42.0,A. Bradley misses 2-pt jump shot from 21 ft,,23,18
96,1,0:41.0,,Defensive rebound by S. Johnson,23,18
97,1,0:35.0,,S. Johnson misses 2-pt layup at rim,23,18
98,1,0:34.0,Defensive rebound by E. Turner,,23,18
99,1,0:24.0,D. Lee makes 2-pt jump shot from 15 ft (assist by K. Olynyk),,25,18
100,1,0:22.0,,Personal foul by J. Young (drawn by A. Drummond),25,18
101,1,0:22.0,,A. Drummond misses free throw 1 of 2,25,18
102,1,0:22.0,,Offensive rebound by Team,25,18
103,1,0:22.0,,A. Drummond misses free throw 2 of 2,25,18
104,1,0:21.0,Defensive rebound by Team,,25,18
105,1,0:04.0,A. Bradley misses 3-pt jump shot from 25 ft,,25,18
106,1,0:02.0,,Defensive rebound by S. Johnson,25,18
107,2,11:49.0,,Shooting foul by E. Turner (drawn by S. Johnson),25,18
108,2,11:49.0,,S. Johnson makes free throw 1 of 2,25,19
109,2,11:49.0,,S. Johnson makes free throw 2 of 2,25,20
110,2,11:33.0,E. Turner misses 2-pt jump shot from 7 ft,,25,20
111,2,11:32.0,,Defensive rebound by S. Johnson,25,20
112,2,11:11.0,,Turnover by S. Blake (traveling),25,20
113,2,10:55.0,D. Lee misses 2-pt jump shot from 4 ft,,25,20
114,2,10:53.0,,Defensive rebound by S. Johnson,25,20
115,2,10:52.0,,S. Johnson makes 2-pt layup at rim,25,22
116,2,10:52.0,,Shooting foul by J. Crowder (drawn by S. Johnson),25,22
117,2,10:52.0,,S. Johnson misses free throw 1 of 1,25,22
118,2,10:51.0,Defensive rebound by E. Turner,,25,22
119,2,10:28.0,E. Turner makes 2-pt jump shot from 11 ft,,27,22
120,2,10:05.0,,K. Caldwell-Pope misses 2-pt jump shot from 13 ft,27,22
121,2,10:05.0,Defensive rebound by K. Olynyk,,27,22
122,2,10:03.0,Shooting foul by A. Tolliver (drawn by D. Lee),,27,22
123,2,10:03.0,D. Lee makes free throw 1 of 2,,28,22
124,2,10:03.0,,M. Morris enters the game for K. Caldwell-Pope,28,22
125,2,10:03.0,D. Lee makes free throw 2 of 2,,29,22
126,2,9:46.0,,M. Morris makes 2-pt jump shot from 9 ft,29,24
127,2,9:29.0,D. Lee makes 2-pt layup at rim (assist by E. Turner),,31,24
128,2,9:14.0,,A. Tolliver misses 3-pt jump shot from 26 ft,31,24
129,2,9:13.0,Defensive rebound by E. Turner,,31,24
130,2,9:06.0,,Offensive charge foul by J. Young (drawn by M. Morris),31,24
131,2,9:06.0,Turnover by J. Young (offensive foul),,31,24
132,2,8:52.0,,A. Baynes misses 2-pt hook shot from 6 ft,31,24
133,2,8:51.0,Defensive rebound by D. Lee,,31,24
134,2,8:34.0,Turnover by E. Turner (bad pass; steal by M. Morris),,31,24
135,2,8:24.0,,A. Baynes makes 2-pt dunk at rim (assist by A. Tolliver),31,26
136,2,8:05.0,D. Lee misses 2-pt layup at rim,,31,26
137,2,8:04.0,,Defensive rebound by A. Baynes,31,26
138,2,7:54.0,,Shooting foul by K. Olynyk (drawn by A. Baynes),31,26
139,2,7:54.0,Official timeout,,31,26
140,2,7:54.0,J. Sullinger enters the game for K. Olynyk,,31,26
141,2,7:54.0,,A. Baynes makes free throw 1 of 2,31,27
142,2,7:54.0,,A. Baynes makes free throw 2 of 2,31,28
143,2,7:35.0,D. Lee misses 2-pt hook shot from 5 ft,,31,28
144,2,7:33.0,,Defensive rebound by A. Baynes,31,28
145,2,7:22.0,,A. Baynes makes 2-pt jump shot from 5 ft (assist by A. Tolliver),31,30
146,2,7:07.0,J. Crowder misses 2-pt jump shot from 13 ft,,31,30
147,2,7:06.0,,Defensive rebound by A. Tolliver,31,30
148,2,6:53.0,,A. Tolliver makes 3-pt jump shot from 26 ft (assist by S. Blake),31,33
149,2,6:27.0,J. Crowder makes 2-pt layup from 1 ft (assist by J. Sullinger),,33,33
150,2,6:16.0,Personal foul by S. Johnson (drawn by J. Crowder),,33,33
151,2,6:16.0,,Personal foul by J. Crowder,33,33
152,2,6:05.0,,Shooting foul by E. Turner (drawn by M. Morris),33,33
153,2,6:05.0,,M. Morris makes free throw 1 of 2,33,34
154,2,6:05.0,I. Thomas enters the game for J. Young,,33,34
155,2,6:05.0,,A. Drummond enters the game for A. Baynes,33,34
156,2,6:05.0,,R. Jackson enters the game for S. Blake,33,34
157,2,6:05.0,,M. Morris makes free throw 2 of 2,33,35
