,QUARTER,TIME_REMAINING,PHILADELPHIA_ACTION,BOSTON_ACTION,PHILADELPHIA_SCORE,BOSTON_SCORE
0,1,11:50.0,,Shooting foul by H. Thompson (drawn by J. Crowder),0,0
1,1,11:50.0,,J. Crowder makes free throw 1 of 2,0,1
2,1,11:50.0,,J. Crowder makes free throw 2 of 2,0,2
3,1,11:27.0,H. Thompson misses 2-pt jump shot from 6 ft (block by T. Zeller),,0,2
4,1,11:26.0,Offensive rebound by Team,,0,2
5,1,11:26.0,Turnover by Team (shot clock),,0,2
6,1,11:10.0,,D. Lee misses 2-pt jump shot from 4 ft,0,2
7,1,11:09.0,Defensive rebound by J. Sampson,,0,2
8,1,10:58.0,J. Sampson makes 2-pt layup from 1 ft,,2,2
9,1,10:52.0,,T. Zeller makes 2-pt layup at rim (assist by M. Smart),2,4
10,1,10:29.0,I. Canaan makes 3-pt jump shot from 25 ft,,5,4
11,1,10:21.0,,Offensive foul by T. Zeller (drawn by I. Canaan),5,4
12,1,10:21.0,,Turnover by T. Zeller (offensive foul),5,4
13,1,10:00.0,J. Okafor makes 2-pt jump shot from 5 ft,,7,4
14,1,9:53.0,,M. Smart misses 2-pt jump shot from 4 ft (block by J. Okafor),7,4
15,1,9:51.0,,Offensive rebound by J. Crowder,7,4
16,1,9:48.0,,T. Zeller misses 2-pt jump shot from 17 ft,7,4
17,1,9:47.0,Defensive rebound by I. Canaan,,7,4
18,1,9:39.0,Shooting block foul by D. Lee (drawn by J. Sampson),,7,4
19,1,9:39.0,J. Sampson makes free throw 1 of 2,,8,4
20,1,9:39.0,J. Sampson makes free throw 2 of 2,,9,4
21,1,9:27.0,,Turnover by J. Crowder (bad pass; steal by I. Canaan),9,4
22,1,9:22.0,I. Canaan misses 2-pt layup from 1 ft (block by M. Smart),,9,4
23,1,9:20.0,Offensive rebound by J. Okafor,,9,4
24,1,9:17.0,J. Okafor makes 2-pt layup at rim,,11,4
25,1,9:06.0,,D. Lee misses 2-pt layup from 2 ft (block by N. Noel),11,4
26,1,9:05.0,Defensive rebound by N. Noel,,11,4
27,1,9:02.0,Personal foul by M. Smart (drawn by N. Noel),,11,4
28,1,8:46.0,H. Thompson misses 2-pt jump shot from 19 ft,,11,4
29,1,8:45.0,,Defensive rebound by T. Zeller,11,4
30,1,8:42.0,,Shooting foul by J. Okafor (drawn by D. Lee),11,4
31,1,8:42.0,,D. Lee makes free throw 1 of 2,11,5
32,1,8:42.0,,D. Lee makes free throw 2 of 2,11,6
33,1,8:24.0,J. Okafor makes 2-pt layup from 2 ft,,13,6
34,1,7:59.0,,T. Zeller misses 2-pt jump shot from 16 ft,13,6
35,1,7:59.0,Defensive rebound by N. Noel,,13,6
36,1,7:47.0,N. Noel misses 2-pt hook shot from 12 ft,,13,6
37,1,7:46.0,,Defensive rebound by D. Lee,13,6
38,1,7:37.0,,J. Crowder makes 3-pt jump shot from 26 ft (assist by D. Lee),13,9
39,1,7:21.0,J. Sampson misses 2-pt jump shot from 3 ft,,13,9
40,1,7:20.0,,Defensive rebound by A. Bradley,13,9
41,1,7:15.0,,J. Crowder makes 2-pt layup from 2 ft (assist by A. Bradley),13,11
42,1,7:04.0,Personal foul by T. Zeller (drawn by J. Okafor),,13,11
43,1,6:57.0,J. Okafor makes 2-pt layup at rim,,15,11
44,1,6:48.0,,J. Crowder misses 3-pt jump shot from 26 ft,15,11
45,1,6:47.0,Defensive rebound by Team,,15,11
46,1,6:47.0,,J. Sullinger enters the game for T. Zeller,15,11
47,1,6:21.0,J. Okafor makes 2-pt jump shot from 5 ft,,17,11
48,1,6:06.0,,D. Lee makes 2-pt jump shot from 3 ft (assist by J. Crowder),17,13
49,1,6:01.0,Philadelphia full timeout,,17,13
50,1,6:01.0,,I. Thomas enters the game for M. Smart,17,13
51,1,5:52.0,J. Okafor misses 2-pt jump shot from 15 ft,,17,13
52,1,5:51.0,,Defensive rebound by J. Sullinger,17,13
53,1,5:30.0,,I. Thomas misses 3-pt jump shot from 24 ft,17,13
54,1,5:30.0,Defensive rebound by N. Noel,,17,13
55,1,5:13.0,N. Noel makes 2-pt jump shot from 3 ft,,19,13
56,1,4:55.0,,D. Lee misses 2-pt jump shot from 13 ft,19,13
57,1,4:55.0,Defensive rebound by I. Canaan,,19,13
58,1,4:45.0,N. Noel makes 2-pt hook shot from 3 ft,,21,13
59,1,4:30.0,,J. Sullinger misses 3-pt jump shot from 26 ft,21,13
60,1,4:29.0,Defensive rebound by J. Sampson,,21,13
61,1,4:07.0,Turnover by J. Okafor (lost ball; steal by A. Bradley),,21,13
62,1,4:00.0,,A. Bradley misses 2-pt jump shot from 16 ft,21,13
63,1,3:59.0,,Offensive rebound by D. Lee,21,13
64,1,3:59.0,,D. Lee makes 2-pt layup at rim,21,15
65,1,3:38.0,H. Thompson misses 3-pt jump shot from 23 ft,,21,15
66,1,3:37.0,Offensive rebound by H. Thompson,,21,15
67,1,3:37.0,H. Thompson misses 3-pt layup from 23 ft,,21,15
68,1,3:36.0,,Defensive rebound by J. Sullinger,21,15
69,1,3:30.0,,I. Thomas misses 2-pt jump shot from 6 ft,21,15
70,1,3:27.0,Defensive rebound by N. Noel,,21,15
71,1,3:22.0,Turnover by I. Canaan (bad pass; steal by J. Crowder),,21,15
72,1,3:16.0,,A. Bradley makes 2-pt layup from 1 ft (assist by I. Thomas),21,17
73,1,2:54.0,N. Noel misses 2-pt jump shot from 15 ft (block by D. Lee),,21,17
74,1,2:53.0,Offensive rebound by J. Okafor,,21,17
75,1,2:52.0,J. Okafor misses 2-pt jump shot from 16 ft,,21,17
76,1,2:51.0,Offensive rebound by N. Noel,,21,17
77,1,2:51.0,N. Noel makes 2-pt dunk at rim,,23,17
78,1,2:40.0,,D. Lee misses 2-pt layup from 1 ft (block by J. Okafor),23,17
79,1,2:38.0,Defensive rebound by N. Noel,,23,17
80,1,2:31.0,I. Canaan makes 3-pt jump shot from 24 ft,,26,17
81,1,2:31.0,,Boston full timeout,26,17
82,1,2:31.0,,E. Turner enters the game for J. Crowder,26,17
83,1,2:31.0,,A. Johnson enters the game for D. Lee,26,17
84,1,2:31.0,T. McConnell enters the game for H. Thompson,,26,17
85,1,2:31.0,J. Grant enters the game for J. Okafor,,26,17
