,QUARTER,TIME_REMAINING,MILWAUKEE_ACTION,WASHINGTON_ACTION,MILWAUKEE_SCORE,WASHINGTON_SCORE
0,1,11:33.0,,M. Gortat misses 2-pt jump shot from 20 ft,0,0
1,1,11:32.0,Defensive rebound by M. Carter-Williams,,0,0
2,1,11:07.0,M. Carter-Williams misses 2-pt jump shot from 11 ft,,0,0
3,1,11:06.0,Offensive rebound by Team,,0,0
4,1,11:00.0,K. Middleton makes 2-pt jump shot from 11 ft,,2,0
5,1,10:49.0,,J. Wall makes 2-pt dunk at rim,2,2
6,1,10:36.0,Turnover by M. Carter-Williams (bad pass; steal by G. Temple),,2,2
7,1,10:24.0,,O. Porter makes 3-pt jump shot from 24 ft (assist by G. Temple),2,5
8,1,10:10.0,Turnover by M. Carter-Williams (bad pass; steal by O. Porter),,2,5
9,1,10:06.0,,J. Wall makes 2-pt layup at rim (assist by O. Porter),2,7
10,1,9:52.0,Offensive foul by K. Middleton (drawn by K. Humphries),,2,7
11,1,9:52.0,Turnover by K. Middleton (offensive foul),,2,7
12,1,9:38.0,,O. Porter misses 3-pt jump shot from 26 ft,2,7
13,1,9:37.0,Defensive rebound by J. Bayless,,2,7
14,1,9:28.0,Turnover by G. Antetokounmpo (bad pass),,2,7
15,1,9:19.0,,Turnover by O. Porter (lost ball),2,7
16,1,9:05.0,K. Middleton makes 3-pt jump shot from 25 ft (assist by G. Monroe),,5,7
17,1,8:49.0,,J. Wall misses 3-pt jump shot from 30 ft,5,7
18,1,8:48.0,Defensive rebound by G. Antetokounmpo,,5,7
19,1,8:30.0,J. Bayless makes 3-pt jump shot from 23 ft (assist by G. Antetokounmpo),,8,7
20,1,8:24.0,,M. Gortat misses 2-pt layup from 1 ft (block by G. Monroe),8,7
21,1,8:19.0,Defensive rebound by J. Bayless,,8,7
22,1,8:09.0,K. Middleton makes 2-pt jump shot from 17 ft (assist by G. Monroe),,10,7
23,1,8:03.0,,O. Porter misses 2-pt jump shot from 19 ft,10,7
