,QUARTER,TIME_REMAINING,MEMPHIS_ACTION,LA CLIPPERS_ACTION,MEMPHIS_SCORE,LA CLIPPERS_SCORE
0,1,12:00.0,,Violation by Team (jump ball),0,0
1,1,11:42.0,,Shooting foul by Z. Randolph (drawn by B. Griffin),0,0
2,1,11:42.0,,B. Griffin makes free throw 1 of 2,0,1
3,1,11:42.0,,B. Griffin misses free throw 2 of 2,0,1
4,1,11:41.0,Defensive rebound by C. Andersen,,0,1
5,1,11:26.0,M. Barnes misses 3-pt jump shot from 27 ft,,0,1
6,1,11:25.0,,Defensive rebound by D. Jordan,0,1
7,1,11:20.0,,Shooting foul by V. Carter (drawn by D. Jordan),0,1
8,1,11:20.0,,D. Jordan misses free throw 1 of 2,0,1
9,1,11:20.0,,Offensive rebound by Team,0,1
10,1,11:20.0,,D. Jordan makes free throw 2 of 2,0,2
11,1,11:13.0,Turnover by C. Andersen (lost ball; steal by C. Paul),,0,2
12,1,11:09.0,,C. Paul makes 2-pt layup at rim (assist by D. Jordan),0,4
13,1,10:50.0,V. Carter makes 3-pt jump shot from 25 ft (assist by Z. Randolph),,3,4
14,1,10:45.0,Offensive charge foul by B. Griffin (drawn by V. Carter),,3,4
15,1,10:45.0,,Turnover by B. Griffin (offensive foul),3,4
16,1,10:33.0,V. Carter misses 2-pt dunk from 3 ft,,3,4
17,1,10:31.0,,Defensive rebound by D. Jordan,3,4
18,1,10:25.0,,J. Redick makes 3-pt jump shot from 27 ft (assist by C. Paul),3,7
19,1,10:09.0,Z. Randolph misses 2-pt jump shot from 18 ft,,3,7
20,1,10:09.0,Offensive rebound by Team,,3,7
21,1,10:09.0,,Loose ball foul by J. Redick,3,7
22,1,9:58.0,J. Farmar misses 3-pt jump shot from 26 ft,,3,7
23,1,9:56.0,,Defensive rebound by B. Griffin,3,7
24,1,9:47.0,,J. Redick misses 3-pt jump shot from 26 ft,3,7
25,1,9:46.0,Defensive rebound by Z. Randolph,,3,7
26,1,9:37.0,J. Farmar makes 2-pt jump shot from 21 ft,,5,7
27,1,9:21.0,,J. Redick misses 3-pt jump shot from 25 ft,5,7
28,1,9:20.0,Defensive rebound by Z. Randolph,,5,7
29,1,9:12.0,Turnover by J. Farmar (bad pass; steal by C. Paul),,5,7
30,1,9:04.0,,C. Paul misses 2-pt jump shot from 18 ft,5,7
31,1,9:03.0,Defensive rebound by C. Andersen,,5,7
32,1,8:51.0,Turnover by V. Carter (bad pass; steal by B. Griffin),,5,7
33,1,8:45.0,,J. Redick makes 3-pt jump shot from 26 ft (assist by C. Paul),5,10
34,1,8:38.0,Memphis full timeout,,5,10
35,1,8:22.0,Z. Randolph makes 2-pt jump shot from 6 ft,,7,10
36,1,7:52.0,,B. Griffin misses 2-pt jump shot from 20 ft,7,10
37,1,7:52.0,,Offensive rebound by Team,7,10
38,1,7:52.0,,Turnover by Team (shot clock),7,10
39,1,7:42.0,J. Farmar makes 2-pt jump shot from 20 ft,,9,10
40,1,7:23.0,,L. Mbah a Moute makes 2-pt layup from 2 ft (assist by C. Paul),9,12
41,1,6:59.0,Z. Randolph misses 2-pt jump shot from 5 ft,,9,12
42,1,6:59.0,,Defensive rebound by Team,9,12
43,1,6:59.0,Loose ball foul by Z. Randolph,,9,12
44,1,6:48.0,,B. Griffin makes 2-pt jump shot from 18 ft (assist by C. Paul),9,14
45,1,6:25.0,V. Carter misses 2-pt jump shot from 20 ft,,9,14
46,1,6:24.0,,Defensive rebound by D. Jordan,9,14
47,1,6:18.0,,B. Griffin misses 2-pt layup from 2 ft,9,14
48,1,6:16.0,Defensive rebound by Z. Randolph,,9,14
49,1,6:07.0,V. Carter misses 2-pt jump shot from 4 ft,,9,14
50,1,6:04.0,,Defensive rebound by D. Jordan,9,14
51,1,5:55.0,,L. Mbah a Moute makes 2-pt layup from 3 ft (assist by B. Griffin),9,16
52,1,5:39.0,Turnover by M. Barnes (bad pass; steal by L. Mbah a Moute),,9,16
53,1,5:36.0,J. Martin enters the game for C. Andersen,,9,16
54,1,5:36.0,J. Green enters the game for Z. Randolph,,9,16
55,1,5:26.0,,Turnover by C. Paul (bad pass; steal by V. Carter),9,16
56,1,5:20.0,J. Green makes 2-pt layup from 3 ft (assist by J. Martin),,11,16
57,1,4:59.0,,Personal foul by M. Barnes,11,16
58,1,4:59.0,X. Munford enters the game for M. Barnes,,11,16
59,1,4:54.0,,J. Redick misses 2-pt jump shot from 20 ft,11,16
60,1,4:52.0,Defensive rebound by J. Martin,,11,16
61,1,4:41.0,Turnover by J. Green (bad pass),,11,16
62,1,4:41.0,,A. Rivers enters the game for J. Redick,11,16
