,QUARTER,TIME_REMAINING,WASHINGTON_ACTION,CLEVELAND_ACTION,WASHINGTON_SCORE,CLEVELAND_SCORE
0,1,11:43.0,,K. Irving misses 3-pt jump shot from 24 ft,0,0
1,1,11:42.0,Defensive rebound by M. Morris,,0,0
2,1,11:21.0,M. Morris misses 2-pt jump shot from 11 ft,,0,0
3,1,11:18.0,,Defensive rebound by L. James,0,0
4,1,11:11.0,,L. James misses 2-pt layup from 1 ft,0,0
5,1,11:10.0,Defensive rebound by M. Gortat,,0,0
6,1,11:00.0,M. Gortat misses 2-pt jump shot from 12 ft,,0,0
7,1,11:00.0,,Defensive rebound by L. James,0,0
8,1,10:41.0,,J. Smith misses 3-pt jump shot from 25 ft,0,0
9,1,10:41.0,Defensive rebound by J. Wall,,0,0
10,1,10:31.0,G. Temple misses 3-pt jump shot from 25 ft,,0,0
11,1,10:31.0,,Defensive rebound by I. Shumpert,0,0
12,1,10:20.0,,K. Irving makes 2-pt layup from 1 ft (assist by I. Shumpert),0,2
13,1,10:04.0,J. Wall makes 2-pt jump shot from 12 ft,,2,2
14,1,9:45.0,,T. Mozgov makes 2-pt jump shot from 7 ft (assist by L. James),2,4
15,1,9:29.0,M. Gortat makes 2-pt layup at rim (assist by M. Morris),,4,4
16,1,9:09.0,,I. Shumpert misses 2-pt jump shot from 20 ft,4,4
17,1,9:09.0,Defensive rebound by M. Gortat,,4,4
18,1,8:57.0,J. Wall makes 2-pt jump shot from 19 ft,,6,4
19,1,8:43.0,,K. Irving makes 2-pt jump shot from 13 ft,6,6
20,1,8:19.0,O. Porter misses 2-pt jump shot from 19 ft,,6,6
21,1,8:19.0,,Defensive rebound by L. James,6,6
22,1,8:01.0,,L. James misses 2-pt layup from 1 ft,6,6
23,1,7:59.0,Defensive rebound by O. Porter,,6,6
24,1,7:52.0,O. Porter misses 3-pt jump shot from 24 ft,,6,6
25,1,7:51.0,,Defensive rebound by L. James,6,6
26,1,7:33.0,,K. Irving misses 2-pt layup from 1 ft,6,6
27,1,7:32.0,,Offensive rebound by T. Mozgov,6,6
28,1,7:32.0,,T. Mozgov makes 2-pt dunk at rim,6,8
29,1,7:05.0,G. Temple misses 3-pt jump shot from 23 ft,,6,8
30,1,7:04.0,Offensive rebound by O. Porter,,6,8
31,1,7:04.0,Shooting foul by J. Smith (drawn by O. Porter),,6,8
32,1,7:04.0,O. Porter misses free throw 1 of 2,,6,8
33,1,7:04.0,Offensive rebound by Team,,6,8
34,1,7:04.0,O. Porter makes free throw 2 of 2,,7,8
35,1,6:51.0,,T. Mozgov makes 2-pt dunk at rim (assist by J. Smith),7,10
36,1,6:30.0,J. Wall misses 3-pt jump shot from 24 ft,,7,10
37,1,6:29.0,,Defensive rebound by L. James,7,10
38,1,6:26.0,,Shooting foul by J. Wall (drawn by J. Smith),7,10
39,1,6:26.0,,J. Smith makes free throw 1 of 2,7,11
40,1,6:26.0,B. Beal enters the game for G. Temple,,7,11
41,1,6:26.0,,J. Smith makes free throw 2 of 2,7,12
42,1,6:06.0,Turnover by B. Beal (bad pass; steal by L. James),,7,12
