,QUARTER,TIME_REMAINING,NEW YORK_ACTION,PHILADELPHIA_ACTION,NEW YORK_SCORE,PHILADELPHIA_SCORE
0,1,11:37.0,R. Lopez misses 2-pt jump shot from 16 ft,,0,0
1,1,11:36.0,,Defensive rebound by J. Grant,0,0
2,1,11:22.0,,N. Noel misses 2-pt hook shot from 5 ft,0,0
3,1,11:19.0,Defensive rebound by D. Williams,,0,0
4,1,11:11.0,Shooting foul by I. Smith (drawn by R. Lopez),,0,0
5,1,11:11.0,R. Lopez misses free throw 1 of 2,,0,0
6,1,11:11.0,Offensive rebound by Team,,0,0
7,1,11:11.0,R. Lopez makes free throw 2 of 2,,1,0
8,1,10:57.0,,J. Grant misses 2-pt jump shot from 19 ft,1,0
9,1,10:56.0,Defensive rebound by D. Williams,,1,0
10,1,10:43.0,Turnover by J. Grant (bad pass; steal by I. Smith),,1,0
11,1,10:40.0,,Turnover by R. Covington (bad pass; steal by S. Vujačić),1,0
12,1,10:34.0,C. Anthony misses 3-pt jump shot from 25 ft,,1,0
13,1,10:31.0,Offensive rebound by R. Lopez,,1,0
14,1,10:31.0,R. Lopez misses 2-pt layup at rim,,1,0
15,1,10:28.0,,Defensive rebound by R. Covington,1,0
16,1,10:20.0,,R. Covington misses 2-pt jump shot from 13 ft (block by C. Anthony),1,0
17,1,10:18.0,Defensive rebound by R. Lopez,,1,0
18,1,9:57.0,R. Lopez makes 2-pt hook shot from 4 ft (assist by J. Grant),,3,0
19,1,9:41.0,,N. Stauskas makes 3-pt jump shot from 26 ft (assist by I. Smith),3,3
20,1,9:27.0,R. Lopez misses 2-pt layup from 2 ft (block by N. Noel),,3,3
21,1,9:24.0,,Defensive rebound by N. Stauskas,3,3
22,1,9:22.0,,Shooting foul by J. Grant (drawn by N. Stauskas),3,3
23,1,9:22.0,,N. Stauskas makes free throw 1 of 2,3,4
24,1,9:22.0,,N. Stauskas makes free throw 2 of 2,3,5
25,1,9:10.0,S. Vujačić makes 2-pt layup from 2 ft (assist by R. Lopez),,5,5
26,1,8:55.0,,N. Noel makes 2-pt dunk at rim (assist by N. Stauskas),5,7
27,1,8:30.0,Shooting foul by R. Covington (drawn by C. Anthony),,5,7
28,1,8:30.0,C. Anthony misses free throw 1 of 2,,5,7
29,1,8:30.0,Offensive rebound by Team,,5,7
30,1,8:30.0,C. Anthony makes free throw 2 of 2,,6,7
