,QUARTER,TIME_REMAINING,TORONTO_ACTION,DETROIT_ACTION,TORONTO_SCORE,DETROIT_SCORE
0,1,11:47.0,D. DeRozan misses 2-pt jump shot from 8 ft (block by M. Morris),,0,0
1,1,11:45.0,Offensive rebound by D. DeRozan,,0,0
2,1,11:36.0,J. Valančiūnas makes 2-pt hook shot from 4 ft (assist by D. DeRozan),,2,0
3,1,11:16.0,,M. Morris makes 3-pt jump shot from 23 ft (assist by A. Drummond),2,3
4,1,11:00.0,D. DeRozan misses 2-pt layup at rim,,2,3
5,1,10:59.0,,Defensive rebound by M. Morris,2,3
6,1,10:50.0,,A. Drummond misses 2-pt dunk at rim,2,3
7,1,10:45.0,Defensive rebound by D. DeRozan,,2,3
8,1,10:41.0,D. DeRozan misses 2-pt jump shot from 7 ft,,2,3
9,1,10:41.0,,Defensive rebound by A. Drummond,2,3
10,1,10:30.0,,S. Johnson misses 2-pt jump shot from 13 ft (block by J. Valančiūnas),2,3
11,1,10:28.0,Defensive rebound by J. Valančiūnas,,2,3
12,1,10:14.0,Turnover by K. Lowry (bad pass),,2,3
13,1,10:02.0,,Personal foul by N. Powell (drawn by S. Johnson),2,3
14,1,9:54.0,,E. İlyasova misses 2-pt jump shot from 19 ft,2,3
15,1,9:54.0,Defensive rebound by J. Valančiūnas,,2,3
16,1,9:40.0,L. Scola makes 3-pt jump shot from 25 ft (assist by D. DeRozan),,5,3
17,1,9:16.0,,R. Jackson makes 2-pt jump shot from 19 ft,5,5
18,1,8:56.0,,Violation by M. Morris (kicked ball),5,5
19,1,8:44.0,J. Valančiūnas makes 2-pt layup from 1 ft (assist by D. DeRozan),,7,5
20,1,8:26.0,,R. Jackson misses 2-pt jump shot from 18 ft,7,5
21,1,8:26.0,Defensive rebound by N. Powell,,7,5
22,1,8:17.0,Turnover by D. DeRozan (lost ball),,7,5
23,1,8:11.0,,A. Drummond makes 2-pt layup at rim (assist by R. Jackson),7,7
24,1,7:56.0,,Offensive charge foul by N. Powell (drawn by E. İlyasova),7,7
25,1,7:56.0,Turnover by N. Powell (offensive foul),,7,7
26,1,7:56.0,T. Ross enters the game for N. Powell,,7,7
27,1,7:41.0,,E. İlyasova makes 2-pt jump shot from 15 ft (assist by M. Morris),7,9
28,1,7:30.0,Personal foul by E. İlyasova (drawn by L. Scola),,7,9
29,1,7:19.0,K. Lowry misses 3-pt jump shot from 27 ft,,7,9
30,1,7:19.0,,Defensive rebound by A. Drummond,7,9
31,1,7:09.0,,Turnover by R. Jackson (lost ball; steal by K. Lowry),7,9
32,1,7:08.0,Personal foul by A. Drummond (drawn by K. Lowry),,7,9
33,1,6:50.0,L. Scola misses 2-pt jump shot from 11 ft,,7,9
34,1,6:47.0,,Defensive rebound by S. Johnson,7,9
35,1,6:33.0,,R. Jackson misses 3-pt jump shot from 25 ft,7,9
36,1,6:33.0,Defensive rebound by T. Ross,,7,9
37,1,6:19.0,Turnover by J. Valančiūnas (traveling),,7,9
38,1,6:00.0,,E. İlyasova makes 3-pt jump shot from 27 ft,7,12
39,1,5:44.0,J. Valančiūnas makes 2-pt jump shot from 14 ft (assist by T. Ross),,9,12
40,1,5:31.0,,Shooting foul by J. Valančiūnas (drawn by A. Drummond),9,12
41,1,5:31.0,,Detroit full timeout,9,12
42,1,5:31.0,,A. Drummond makes free throw 1 of 2,9,13
43,1,5:31.0,,A. Drummond misses free throw 2 of 2,9,13
44,1,5:29.0,Defensive rebound by J. Valančiūnas,,9,13
45,1,5:14.0,J. Valančiūnas misses 2-pt layup at rim,,9,13
46,1,5:13.0,,Defensive rebound by A. Drummond,9,13
47,1,5:00.0,,E. İlyasova misses 3-pt jump shot from 26 ft,9,13
48,1,4:59.0,Defensive rebound by D. DeRozan,,9,13
49,1,4:48.0,K. Lowry misses 3-pt jump shot from 26 ft,,9,13
50,1,4:48.0,,Defensive rebound by E. İlyasova,9,13
51,1,4:38.0,,R. Jackson misses 3-pt jump shot from 25 ft,9,13
52,1,4:37.0,Defensive rebound by J. Valančiūnas,,9,13
53,1,4:26.0,L. Scola misses 2-pt jump shot from 12 ft,,9,13
54,1,4:26.0,,Defensive rebound by M. Morris,9,13
55,1,4:23.0,,Shooting foul by L. Scola (drawn by E. İlyasova),9,13
56,1,4:23.0,,E. İlyasova misses free throw 1 of 2,9,13
57,1,4:23.0,,Offensive rebound by Team,9,13
58,1,4:23.0,,D. Hilliard enters the game for S. Johnson,9,13
59,1,4:23.0,P. Patterson enters the game for L. Scola,,9,13
60,1,4:23.0,,E. İlyasova makes free throw 2 of 2,9,14
61,1,4:06.0,K. Lowry misses 2-pt jump shot from 5 ft,,9,14
62,1,4:06.0,,Defensive rebound by A. Drummond,9,14
63,1,3:57.0,,R. Jackson makes 2-pt jump shot from 5 ft,9,16
64,1,3:50.0,Shooting foul by E. İlyasova (drawn by D. DeRozan),,9,16
65,1,3:50.0,D. DeRozan makes free throw 1 of 2,,10,16
66,1,3:50.0,,A. Tolliver enters the game for E. İlyasova,10,16
67,1,3:50.0,D. DeRozan makes free throw 2 of 2,,11,16
68,1,3:38.0,,Def 3 sec tech foul by P. Patterson,11,16
69,1,3:38.0,,R. Jackson makes technical free throw,11,17
70,1,3:27.0,,M. Morris makes 2-pt jump shot from 11 ft,11,19
71,1,3:19.0,Personal foul by M. Morris (drawn by P. Patterson),,11,19
72,1,3:19.0,Toronto full timeout,,11,19
73,1,3:19.0,C. Joseph enters the game for J. Valančiūnas,,11,19
74,1,3:19.0,B. Biyombo enters the game for K. Lowry,,11,19
75,1,3:04.0,T. Ross misses 2-pt jump shot from 17 ft,,11,19
76,1,3:03.0,,Defensive rebound by A. Drummond,11,19
77,1,2:52.0,,R. Jackson misses 2-pt jump shot from 9 ft,11,19
78,1,2:50.0,Defensive rebound by T. Ross,,11,19
79,1,2:45.0,P. Patterson misses 3-pt jump shot from 25 ft,,11,19
80,1,2:45.0,,Defensive rebound by A. Drummond,11,19
81,1,2:37.0,,Turnover by R. Jackson (bad pass; steal by B. Biyombo),11,19
82,1,2:23.0,D. DeRozan misses 2-pt layup at rim,,11,19
83,1,2:21.0,,Defensive rebound by A. Drummond,11,19
84,1,2:13.0,,A. Tolliver misses 3-pt jump shot from 22 ft,11,19
85,1,2:13.0,Defensive rebound by D. DeRozan,,11,19
86,1,1:59.0,,Violation by A. Drummond (def goaltending),11,19
87,1,1:59.0,T. Ross makes 2-pt layup at rim (assist by D. DeRozan),,13,19
88,1,1:43.0,,M. Morris makes 2-pt jump shot from 14 ft (assist by R. Jackson),13,21
89,1,1:27.0,Personal foul by A. Drummond (drawn by D. DeRozan),,13,21
90,1,1:27.0,D. DeRozan makes free throw 1 of 2,,14,21
91,1,1:27.0,,A. Baynes enters the game for A. Drummond,14,21
92,1,1:27.0,,B. Jennings enters the game for R. Jackson,14,21
93,1,1:27.0,D. DeRozan makes free throw 2 of 2,,15,21
94,1,1:12.0,,Turnover by M. Morris (bad pass; steal by T. Ross),15,21
