,QUARTER,TIME_REMAINING,INDIANA_ACTION,ATLANTA_ACTION,INDIANA_SCORE,ATLANTA_SCORE
0,1,11:43.0,,P. Millsap makes 2-pt layup from 1 ft (assist by A. Horford),0,2
1,1,11:26.0,Turnover by M. Ellis (back court),,0,2
2,1,11:17.0,,J. Teague makes 2-pt layup from 1 ft (assist by A. Horford),0,4
3,1,11:02.0,Turnover by M. Ellis (bad pass; steal by K. Bazemore),,0,4
4,1,10:51.0,,P. Millsap makes 2-pt layup from 1 ft (assist by K. Korver),0,6
5,1,10:42.0,Turnover by J. Hill (bad pass; steal by K. Bazemore),,0,6
6,1,10:33.0,,P. Millsap misses 3-pt jump shot from 24 ft,0,6
7,1,10:32.0,Defensive rebound by M. Ellis,,0,6
8,1,10:22.0,M. Turner makes 2-pt jump shot from 15 ft (assist by P. George),,2,6
9,1,10:01.0,,Turnover by K. Bazemore (bad pass; steal by J. Hill),2,6
10,1,9:55.0,G. Hill makes 2-pt layup from 1 ft,,4,6
11,1,9:32.0,,Shooting foul by M. Turner (drawn by A. Horford),4,6
12,1,9:32.0,,A. Horford makes free throw 1 of 2,4,7
13,1,9:32.0,,A. Horford makes free throw 2 of 2,4,8
14,1,9:20.0,P. George makes 2-pt jump shot from 20 ft (assist by J. Hill),,6,8
15,1,9:06.0,,Personal foul by G. Hill (drawn by K. Bazemore),6,8
16,1,8:56.0,,A. Horford misses 2-pt jump shot from 19 ft,6,8
17,1,8:54.0,Defensive rebound by J. Hill,,6,8
18,1,8:39.0,P. George makes 3-pt jump shot from 22 ft (assist by G. Hill),,9,8
19,1,8:32.0,,Atlanta full timeout,9,8
20,1,8:20.0,,J. Teague makes 2-pt jump shot from 7 ft,9,10
21,1,8:00.0,Turnover by M. Turner (lost ball; steal by P. Millsap),,9,10
22,1,7:41.0,,K. Bazemore misses 2-pt jump shot from 17 ft,9,10
23,1,7:38.0,Defensive rebound by M. Turner,,9,10
24,1,7:30.0,P. George misses 2-pt jump shot from 19 ft,,9,10
25,1,7:29.0,,Defensive rebound by A. Horford,9,10
26,1,7:19.0,,P. Millsap makes 2-pt layup from 1 ft (assist by A. Horford),9,12
27,1,7:04.0,J. Hill misses 2-pt jump shot from 19 ft,,9,12
28,1,7:03.0,,Defensive rebound by K. Bazemore,9,12
