,QUARTER,TIME_REMAINING,DETROIT_ACTION,SACRAMENTO_ACTION,DETROIT_SCORE,SACRAMENTO_SCORE
0,1,11:43.0,E. İlyasova makes 3-pt jump shot from 23 ft (assist by M. Morris),,3,0
1,1,11:30.0,,R. Rondo misses 2-pt layup from 2 ft,3,0
2,1,11:29.0,,Offensive rebound by R. Rondo,3,0
3,1,11:28.0,,R. Rondo makes 2-pt layup from 2 ft,3,2
4,1,11:11.0,K. Caldwell-Pope misses 3-pt jump shot from 24 ft,,3,2
5,1,11:10.0,Offensive rebound by A. Drummond,,3,2
6,1,11:00.0,K. Caldwell-Pope misses 2-pt jump shot from 8 ft (block by D. Cousins),,3,2
7,1,10:58.0,,Defensive rebound by D. Cousins,3,2
8,1,10:52.0,,D. Cousins makes 2-pt layup from 2 ft,3,4
9,1,10:24.0,A. Drummond misses 2-pt jump shot from 18 ft,,3,4
10,1,10:23.0,,Defensive rebound by R. Rondo,3,4
11,1,10:14.0,,Turnover by W. Cauley-Stein (lost ball; steal by A. Drummond),3,4
12,1,10:06.0,E. İlyasova misses 3-pt jump shot from 23 ft,,3,4
13,1,10:04.0,,Defensive rebound by R. Gay,3,4
14,1,9:53.0,,R. Gay makes 2-pt jump shot from 21 ft,3,6
15,1,9:42.0,Personal foul by R. Gay (drawn by M. Morris),,3,6
16,1,9:40.0,K. Caldwell-Pope makes 2-pt layup from 4 ft (assist by M. Morris),,5,6
17,1,9:40.0,Shooting foul by R. Rondo (drawn by K. Caldwell-Pope),,5,6
18,1,9:40.0,K. Caldwell-Pope makes free throw 1 of 1,,6,6
19,1,9:28.0,,D. Cousins misses 3-pt jump shot from 24 ft,6,6
20,1,9:27.0,Defensive rebound by M. Morris,,6,6
21,1,9:12.0,Shooting foul by W. Cauley-Stein (drawn by A. Drummond),,6,6
22,1,9:12.0,A. Drummond misses free throw 1 of 2,,6,6
23,1,9:12.0,Offensive rebound by Team,,6,6
24,1,9:12.0,A. Drummond misses free throw 2 of 2,,6,6
25,1,9:11.0,,Defensive rebound by D. Cousins,6,6
26,1,8:51.0,,R. Gay makes 2-pt jump shot from 9 ft,6,8
27,1,8:29.0,M. Morris misses 2-pt layup from 2 ft (block by W. Cauley-Stein),,6,8
28,1,8:27.0,Offensive rebound by M. Morris,,6,8
29,1,8:23.0,M. Morris misses 3-pt jump shot from 25 ft,,6,8
30,1,8:22.0,,Defensive rebound by R. Rondo,6,8
31,1,8:18.0,,W. Cauley-Stein makes 2-pt layup from 1 ft (assist by R. Rondo),6,10
32,1,7:52.0,K. Caldwell-Pope misses 2-pt jump shot from 6 ft,,6,10
33,1,7:51.0,Offensive rebound by A. Drummond,,6,10
34,1,7:51.0,Turnover by A. Drummond (traveling),,6,10
35,1,7:26.0,,D. Cousins makes 2-pt jump shot from 21 ft (assist by R. Gay),6,12
36,1,7:19.0,Detroit full timeout,,6,12
37,1,7:04.0,E. İlyasova makes 2-pt layup from 7 ft,,8,12
38,1,6:47.0,,R. Gay makes 2-pt jump shot from 8 ft,8,14
39,1,6:47.0,,Shooting foul by E. İlyasova (drawn by R. Gay),8,14
40,1,6:47.0,,R. Gay makes free throw 1 of 1,8,15
41,1,6:30.0,Turnover by R. Jackson (bad pass; steal by R. Gay),,8,15
42,1,6:24.0,,R. Gay makes 2-pt jump shot from 16 ft,8,17
43,1,6:08.0,E. İlyasova makes 3-pt jump shot from 25 ft (assist by R. Jackson),,11,17
44,1,6:00.0,,Shooting foul by A. Drummond (drawn by D. Cousins),11,17
45,1,6:00.0,,D. Cousins makes free throw 1 of 2,11,18
46,1,6:00.0,S. Johnson enters the game for M. Morris,,11,18
47,1,6:00.0,,D. Cousins misses free throw 2 of 2,11,18
48,1,5:59.0,Defensive rebound by E. İlyasova,,11,18
49,1,5:48.0,Turnover by S. Johnson (traveling),,11,18
50,1,5:34.0,,D. Cousins misses 2-pt jump shot from 16 ft,11,18
51,1,5:33.0,Defensive rebound by A. Drummond,,11,18
52,1,5:18.0,Turnover by E. İlyasova (bad pass; steal by W. Cauley-Stein),,11,18
53,1,5:13.0,Offensive charge foul by J. Anderson (drawn by E. İlyasova),,11,18
54,1,5:13.0,,Turnover by J. Anderson (offensive foul),11,18
55,1,5:01.0,S. Johnson misses 2-pt jump shot from 3 ft,,11,18
56,1,5:01.0,,Defensive rebound by Team,11,18
57,1,4:41.0,,D. Cousins misses 2-pt jump shot from 3 ft,11,18
58,1,4:40.0,,Offensive rebound by W. Cauley-Stein,11,18
59,1,4:35.0,,R. Gay makes 3-pt jump shot from 25 ft (assist by R. Rondo),11,21
60,1,4:10.0,A. Drummond misses 2-pt jump shot from 8 ft,,11,21
61,1,4:09.0,Offensive rebound by A. Drummond,,11,21
62,1,4:07.0,Turnover by A. Drummond (lost ball; steal by R. Rondo),,11,21
63,1,4:03.0,,J. Anderson misses 2-pt layup from 2 ft,11,21
64,1,3:59.0,,Offensive rebound by W. Cauley-Stein,11,21
65,1,3:59.0,,W. Cauley-Stein misses 2-pt layup from 2 ft,11,21
66,1,3:58.0,Defensive rebound by E. İlyasova,,11,21
67,1,3:43.0,S. Johnson misses 3-pt jump shot from 24 ft,,11,21
68,1,3:42.0,,Defensive rebound by R. Gay,11,21
69,1,3:33.0,,R. Gay misses 2-pt jump shot from 3 ft (block by E. İlyasova),11,21
