,QUARTER,TIME_REMAINING,DETROIT_ACTION,BOSTON_ACTION,DETROIT_SCORE,BOSTON_SCORE
0,1,11:43.0,K. Caldwell-Pope misses 3-pt jump shot from 24 ft,,0,0
1,1,11:40.0,Offensive rebound by E. İlyasova,,0,0
2,1,11:27.0,M. Morris misses 2-pt jump shot from 19 ft,,0,0
3,1,11:26.0,,Defensive rebound by E. Turner,0,0
4,1,11:13.0,,J. Crowder makes 2-pt jump shot from 21 ft (assist by A. Johnson),0,2
5,1,10:54.0,K. Caldwell-Pope makes 2-pt jump shot from 19 ft (assist by E. İlyasova),,2,2
6,1,10:40.0,,E. Turner misses 2-pt jump shot from 10 ft,2,2
7,1,10:39.0,Defensive rebound by A. Drummond,,2,2
8,1,10:31.0,E. İlyasova misses 3-pt jump shot from 25 ft,,2,2
9,1,10:30.0,,Defensive rebound by E. Turner,2,2
10,1,10:20.0,,E. Turner makes 2-pt jump shot from 7 ft,2,4
11,1,10:00.0,R. Jackson makes 2-pt hook shot from 8 ft,,4,4
12,1,9:48.0,,I. Thomas makes 2-pt jump shot from 15 ft,4,6
13,1,9:28.0,K. Caldwell-Pope misses 2-pt jump shot from 15 ft,,4,6
14,1,9:27.0,,Defensive rebound by E. Turner,4,6
15,1,9:12.0,,A. Johnson makes 2-pt dunk at rim (assist by I. Thomas),4,8
16,1,8:58.0,A. Drummond misses 2-pt layup at rim,,4,8
17,1,8:57.0,,Defensive rebound by A. Johnson,4,8
18,1,8:47.0,,Shooting foul by M. Morris (drawn by J. Crowder),4,8
19,1,8:47.0,Violation by Team (delay of game),,4,8
20,1,8:47.0,,J. Crowder makes free throw 1 of 2,4,9
21,1,8:47.0,,J. Crowder makes free throw 2 of 2,4,10
22,1,8:33.0,E. İlyasova makes 2-pt jump shot from 7 ft (assist by R. Jackson),,6,10
23,1,8:19.0,,Turnover by A. Johnson (3 sec),6,10
24,1,8:11.0,Def 3 sec tech foul by A. Johnson,,6,10
25,1,8:11.0,R. Jackson makes technical free throw,,7,10
26,1,7:53.0,M. Morris misses 2-pt jump shot from 7 ft,,7,10
27,1,7:52.0,,Defensive rebound by I. Thomas,7,10
28,1,7:45.0,,I. Thomas misses 2-pt layup from 1 ft,7,10
29,1,7:44.0,,Offensive rebound by A. Johnson,7,10
30,1,7:44.0,,A. Johnson makes 2-pt dunk at rim,7,12
31,1,7:36.0,Detroit full timeout,,7,12
32,1,7:28.0,R. Jackson makes 2-pt jump shot from 16 ft,,9,12
33,1,7:14.0,,E. Turner makes 2-pt jump shot from 6 ft (assist by K. Olynyk),9,14
34,1,6:51.0,E. İlyasova misses 2-pt jump shot from 6 ft (block by A. Johnson),,9,14
35,1,6:50.0,,Defensive rebound by A. Johnson,9,14
36,1,6:45.0,,I. Thomas misses 3-pt jump shot from 24 ft,9,14
37,1,6:44.0,Defensive rebound by A. Drummond,,9,14
38,1,6:38.0,Shooting foul by E. Turner (drawn by K. Caldwell-Pope),,9,14
39,1,6:38.0,K. Caldwell-Pope makes free throw 1 of 2,,10,14
40,1,6:38.0,K. Caldwell-Pope misses free throw 2 of 2,,10,14
41,1,6:38.0,,Defensive rebound by J. Crowder,10,14
42,1,6:13.0,,E. Turner makes 2-pt layup at rim (assist by A. Johnson),10,16
43,1,5:52.0,A. Drummond makes 2-pt hook shot from 14 ft,,12,16
44,1,5:36.0,,K. Olynyk makes 2-pt jump shot from 8 ft (assist by I. Thomas),12,18
45,1,5:22.0,Personal foul by A. Johnson (drawn by K. Caldwell-Pope),,12,18
46,1,5:16.0,E. İlyasova makes 3-pt jump shot from 25 ft (assist by R. Jackson),,15,18
47,1,5:01.0,,I. Thomas misses 2-pt layup from 1 ft (block by E. İlyasova),15,18
48,1,5:00.0,,Offensive rebound by Team,15,18
49,1,4:55.0,,E. Turner makes 2-pt jump shot from 17 ft (assist by I. Thomas),15,20
50,1,4:40.0,K. Caldwell-Pope makes 3-pt jump shot from 23 ft (assist by R. Jackson),,18,20
51,1,4:24.0,,A. Johnson makes 2-pt dunk at rim (assist by K. Olynyk),18,22
52,1,4:07.0,Shooting foul by I. Thomas (drawn by R. Jackson),,18,22
53,1,4:07.0,R. Jackson makes free throw 1 of 2,,19,22
54,1,4:07.0,,M. Smart enters the game for E. Turner,19,22
55,1,4:07.0,S. Johnson enters the game for M. Morris,,19,22
56,1,4:07.0,R. Jackson makes free throw 2 of 2,,20,22
57,1,3:50.0,,K. Olynyk makes 3-pt jump shot from 24 ft (assist by I. Thomas),20,25
58,1,3:33.0,E. İlyasova misses 3-pt jump shot from 25 ft,,20,25
59,1,3:32.0,,Defensive rebound by A. Johnson,20,25
60,1,3:25.0,,J. Crowder makes 3-pt jump shot from 25 ft (assist by M. Smart),20,28
61,1,3:08.0,R. Jackson makes 2-pt layup from 1 ft,,22,28
62,1,3:01.0,,Personal foul by A. Drummond (drawn by I. Thomas),22,28
63,1,2:45.0,,A. Johnson misses 3-pt jump shot from 25 ft,22,28
64,1,2:43.0,,Offensive rebound by M. Smart,22,28
65,1,2:43.0,,M. Smart misses 2-pt layup at rim,22,28
66,1,2:42.0,Defensive rebound by E. İlyasova,,22,28
67,1,2:29.0,R. Jackson misses 3-pt jump shot from 26 ft,,22,28
68,1,2:28.0,,Defensive rebound by J. Crowder,22,28
69,1,2:21.0,,Boston full timeout,22,28
70,1,2:21.0,,J. Sullinger enters the game for A. Johnson,22,28
71,1,2:21.0,B. Jennings enters the game for R. Jackson,,22,28
72,1,2:16.0,,Turnover by M. Smart (bad pass; steal by A. Drummond),22,28
73,1,2:07.0,Turnover by S. Johnson (traveling),,22,28
74,1,2:07.0,,R. Hunter enters the game for I. Thomas,22,28
75,1,1:59.0,,Personal foul by A. Drummond (drawn by M. Smart),22,28
76,1,1:59.0,A. Baynes enters the game for A. Drummond,,22,28
77,1,1:53.0,,Personal foul by E. İlyasova (drawn by K. Olynyk),22,28
78,1,1:53.0,,K. Olynyk misses free throw 1 of 2,22,28
79,1,1:53.0,,Offensive rebound by Team,22,28
80,1,1:53.0,,K. Olynyk misses free throw 2 of 2,22,28
81,1,1:53.0,Defensive rebound by S. Johnson,,22,28
82,1,1:39.0,Turnover by B. Jennings (lost ball),,22,28
83,1,1:26.0,,K. Olynyk misses 2-pt jump shot from 6 ft,22,28
84,1,1:25.0,,Offensive rebound by K. Olynyk,22,28
85,1,1:24.0,,K. Olynyk makes 2-pt layup from 2 ft,22,30
86,1,1:06.0,Shooting foul by K. Olynyk (drawn by B. Jennings),,22,30
87,1,1:06.0,B. Jennings makes free throw 1 of 2,,23,30
88,1,1:06.0,A. Tolliver enters the game for E. İlyasova,,23,30
89,1,1:06.0,B. Jennings makes free throw 2 of 2,,24,30
90,1,0:52.0,,K. Olynyk misses 2-pt jump shot from 15 ft,24,30
91,1,0:51.0,Defensive rebound by A. Baynes,,24,30
92,1,0:47.0,Turnover by K. Caldwell-Pope (lost ball; steal by R. Hunter),,24,30
93,1,0:27.0,,M. Smart misses 3-pt jump shot from 24 ft,24,30
94,1,0:26.0,Defensive rebound by S. Johnson,,24,30
95,1,0:04.0,Turnover by B. Jennings (bad pass),,24,30
96,1,0:01.0,,K. Olynyk makes 3-pt jump shot from 25 ft (assist by J. Sullinger),24,33
97,2,11:47.0,,J. Sullinger misses 2-pt jump shot from 22 ft,24,33
98,2,11:46.0,Defensive rebound by S. Johnson,,24,33
