,QUARTER,TIME_REMAINING,CLEVELAND_ACTION,LA LAKERS_ACTION,CLEVELAND_SCORE,LA LAKERS_SCORE
0,1,11:43.0,,J. Clarkson misses 2-pt layup from 1 ft,0,0
1,1,11:40.0,Defensive rebound by T. Thompson,,0,0
2,1,11:28.0,Personal foul by J. Randle,,0,0
3,1,11:19.0,K. Irving makes 2-pt jump shot from 4 ft,,2,0
4,1,10:58.0,,R. Hibbert makes 2-pt hook shot from 5 ft (assist by J. Clarkson),2,2
5,1,10:42.0,K. Irving misses 2-pt jump shot from 12 ft,,2,2
6,1,10:39.0,Offensive rebound by T. Thompson,,2,2
7,1,10:39.0,T. Thompson misses 2-pt layup from 1 ft,,2,2
8,1,10:37.0,,Defensive rebound by J. Randle,2,2
9,1,10:28.0,,K. Bryant makes 2-pt jump shot from 17 ft (assist by J. Randle),2,4
10,1,10:02.0,Shooting foul by R. Hibbert (drawn by T. Thompson),,2,4
11,1,10:02.0,T. Thompson makes free throw 1 of 2,,3,4
12,1,10:02.0,T. Thompson makes free throw 2 of 2,,4,4
13,1,9:52.0,,J. Randle misses 2-pt jump shot from 16 ft,4,4
14,1,9:51.0,Defensive rebound by T. Thompson,,4,4
15,1,9:44.0,C. Frye makes 3-pt jump shot from 23 ft (assist by L. James),,7,4
16,1,9:37.0,,Personal foul by C. Frye,7,4
17,1,9:27.0,,K. Bryant misses 2-pt jump shot from 15 ft,7,4
18,1,9:26.0,Defensive rebound by T. Thompson,,7,4
19,1,9:20.0,Turnover by L. James (bad pass; steal by J. Clarkson),,7,4
20,1,8:58.0,,J. Randle makes 2-pt dunk at rim,7,6
21,1,8:46.0,C. Frye makes 2-pt jump shot from 16 ft (assist by K. Irving),,9,6
22,1,8:33.0,,K. Bryant makes 2-pt jump shot from 7 ft,9,8
23,1,8:20.0,K. Irving makes 2-pt jump shot from 12 ft,,11,8
24,1,8:10.0,,Personal foul by J. Smith,11,8
25,1,8:04.0,,J. Clarkson misses 3-pt jump shot from 23 ft,11,8
26,1,8:03.0,Defensive rebound by C. Frye,,11,8
27,1,7:56.0,L. James makes 2-pt jump shot from 7 ft,,13,8
28,1,7:42.0,,D. Russell makes 2-pt jump shot from 12 ft,13,10
29,1,7:28.0,J. Smith misses 3-pt jump shot from 24 ft,,13,10
30,1,7:27.0,Offensive rebound by K. Irving,,13,10
31,1,7:24.0,T. Thompson makes 2-pt layup at rim (assist by K. Irving),,15,10
32,1,7:15.0,,D. Russell makes 3-pt jump shot from 24 ft,15,13
33,1,7:01.0,K. Irving makes 2-pt layup at rim,,17,13
34,1,6:51.0,,K. Bryant makes 2-pt jump shot from 4 ft (assist by D. Russell),17,15
35,1,6:44.0,L. James makes 2-pt layup at rim,,19,15
36,1,6:35.0,,D. Russell misses 3-pt jump shot from 24 ft,19,15
37,1,6:34.0,Defensive rebound by C. Frye,,19,15
38,1,6:17.0,J. Smith misses 2-pt jump shot from 20 ft,,19,15
39,1,6:14.0,,Defensive rebound by J. Randle,19,15
40,1,6:09.0,,Turnover by J. Randle (bad pass),19,15
41,1,6:09.0,,B. Bass enters the game for R. Hibbert,19,15
42,1,5:57.0,C. Frye makes 3-pt jump shot from 24 ft (assist by K. Irving),,22,15
43,1,5:36.0,,D. Russell misses 3-pt jump shot from 24 ft,22,15
44,1,5:35.0,Defensive rebound by T. Thompson,,22,15
45,1,5:30.0,K. Irving misses 2-pt layup from 1 ft,,22,15
46,1,5:29.0,,Defensive rebound by J. Randle,22,15
47,1,5:14.0,,K. Bryant makes 2-pt layup from 1 ft,22,17
48,1,4:59.0,C. Frye makes 3-pt jump shot from 24 ft (assist by L. James),,25,17
49,1,4:55.0,,LA Lakers full timeout,25,17
50,1,4:55.0,,L. Nance enters the game for J. Randle,25,17
51,1,4:55.0,,M. Huertas enters the game for J. Clarkson,25,17
52,1,4:46.0,,M. Huertas makes 2-pt layup from 2 ft (assist by D. Russell),25,19
53,1,4:25.0,J. Smith makes 3-pt jump shot from 23 ft (assist by L. James),,28,19
54,1,4:09.0,,K. Bryant misses 2-pt jump shot from 18 ft,28,19
55,1,4:06.0,Defensive rebound by T. Thompson,,28,19
56,1,4:06.0,Personal take foul by M. Huertas,,28,19
57,1,4:06.0,M. Dellavedova enters the game for K. Irving,,28,19
58,1,4:06.0,J. Jones enters the game for C. Frye,,28,19
59,1,3:55.0,Shooting foul by D. Russell (drawn by J. Smith),,28,19
60,1,3:55.0,J. Smith makes free throw 1 of 2,,29,19
61,1,3:55.0,T. Mozgov enters the game for T. Thompson,,29,19
62,1,3:55.0,J. Smith misses free throw 2 of 2,,29,19
63,1,3:53.0,,Defensive rebound by B. Bass,29,19
64,1,3:34.0,,D. Russell makes 3-pt jump shot from 23 ft,29,22
65,1,3:34.0,,Loose ball foul by L. Nance,29,22
66,1,3:34.0,J. Smith makes free throw 1 of 2,,30,22
67,1,3:34.0,J. Smith makes free throw 2 of 2,,31,22
68,1,3:22.0,,M. Huertas makes 2-pt layup from 1 ft,31,24
69,1,3:22.0,,Shooting foul by M. Dellavedova (drawn by M. Huertas),31,24
70,1,3:22.0,,M. World Peace enters the game for K. Bryant,31,24
71,1,3:22.0,I. Shumpert enters the game for J. Smith,,31,24
72,1,3:22.0,,M. Huertas makes free throw 1 of 1,31,25
73,1,3:15.0,I. Shumpert misses 3-pt jump shot from 25 ft,,31,25
74,1,3:13.0,,Defensive rebound by M. World Peace,31,25
75,1,2:59.0,,D. Russell makes 2-pt layup at rim (assist by B. Bass),31,27
76,1,2:34.0,L. James misses 2-pt jump shot from 7 ft,,31,27
77,1,2:32.0,,Defensive rebound by B. Bass,31,27
78,1,2:24.0,,D. Russell misses 2-pt layup from 1 ft (block by T. Mozgov),31,27
79,1,2:22.0,Defensive rebound by M. Dellavedova,,31,27
80,1,2:17.0,M. Dellavedova misses 2-pt layup at rim (block by M. Huertas),,31,27
81,1,2:17.0,Cleveland full timeout,,31,27
82,1,2:17.0,,Defensive rebound by B. Bass,31,27
83,1,1:54.0,,M. Huertas makes 2-pt layup at rim,31,29
84,1,1:28.0,T. Mozgov misses 2-pt layup at rim,,31,29
85,1,1:26.0,,Defensive rebound by D. Russell,31,29
86,1,1:20.0,,D. Russell misses 3-pt jump shot from 24 ft,31,29
87,1,1:18.0,,Offensive rebound by M. World Peace,31,29
88,1,1:12.0,,M. World Peace misses 2-pt jump shot from 14 ft,31,29
89,1,1:11.0,Defensive rebound by L. James,,31,29
90,1,0:55.0,J. Jones misses 3-pt jump shot from 25 ft,,31,29
91,1,0:55.0,,Defensive rebound by D. Russell,31,29
92,1,0:39.0,,M. Huertas makes 2-pt jump shot from 18 ft,31,31
93,1,0:27.0,Shooting foul by B. Bass (drawn by L. James),,31,31
94,1,0:27.0,L. James makes free throw 1 of 2,,32,31
95,1,0:27.0,L. James makes free throw 2 of 2,,33,31
96,1,0:03.0,,D. Russell misses 3-pt jump shot from 24 ft (block by L. James),33,31
97,1,0:03.0,,Offensive rebound by Team,33,31
98,1,0:03.0,,Turnover by Team (shot clock),33,31
99,1,0:00.0,M. Dellavedova misses 2-pt layup from 2 ft (block by B. Bass),,33,31
100,1,0:00.0,Offensive rebound by Team,,33,31
101,2,11:45.0,M. Dellavedova misses 3-pt jump shot from 25 ft,,33,31
102,2,11:43.0,,Defensive rebound by M. Huertas,33,31
103,2,11:28.0,,J. Clarkson misses 2-pt layup from 1 ft,33,31
104,2,11:27.0,Defensive rebound by I. Shumpert,,33,31
105,2,11:16.0,M. Dellavedova makes 3-pt jump shot from 25 ft (assist by K. Irving),,36,31
106,2,10:55.0,,Shooting foul by T. Mozgov (drawn by M. World Peace),36,31
107,2,10:55.0,,M. World Peace makes free throw 1 of 2,36,32
108,2,10:55.0,T. Thompson enters the game for T. Mozgov,,36,32
109,2,10:55.0,,M. World Peace makes free throw 2 of 2,36,33
110,2,10:32.0,K. Irving makes 3-pt jump shot from 23 ft,,39,33
111,2,10:21.0,,J. Clarkson misses 3-pt jump shot from 24 ft,39,33
112,2,10:20.0,Defensive rebound by I. Shumpert,,39,33
113,2,10:01.0,K. Irving misses 3-pt jump shot from 26 ft,,39,33
114,2,9:59.0,Offensive rebound by J. Jones,,39,33
115,2,9:57.0,J. Jones makes 2-pt layup at rim,,41,33
116,2,9:40.0,,Def 3 sec tech foul by T. Thompson,41,33
117,2,9:40.0,,J. Clarkson makes technical free throw,41,34
118,2,9:40.0,,K. Bryant enters the game for M. World Peace,41,34
119,2,9:40.0,J. Smith enters the game for M. Dellavedova,,41,34
120,2,9:29.0,,B. Bass makes 2-pt layup from 1 ft (assist by M. Huertas),41,36
121,2,9:13.0,Turnover by I. Shumpert (lost ball; steal by M. Huertas),,41,36
122,2,9:05.0,,M. Huertas makes 2-pt jump shot from 5 ft,41,38
123,2,8:53.0,Personal foul by J. Randle,,41,38
124,2,8:53.0,Official timeout,,41,38
125,2,8:42.0,J. Jones misses 2-pt jump shot from 19 ft,,41,38
126,2,8:41.0,,Defensive rebound by K. Bryant,41,38
