,QUARTER,TIME_REMAINING,MINNESOTA_ACTION,DENVER_ACTION,MINNESOTA_SCORE,DENVER_SCORE
0,1,11:36.0,,K. Faried makes 2-pt layup from 1 ft,0,2
1,1,11:20.0,A. Wiggins misses 2-pt jump shot from 22 ft,,0,2
2,1,11:20.0,,Defensive rebound by K. Faried,0,2
3,1,11:12.0,,G. Harris makes 3-pt jump shot from 25 ft (assist by E. Mudiay),0,5
4,1,10:55.0,K. Towns makes 2-pt layup at rim (assist by K. Martin),,2,5
5,1,10:40.0,,J. Lauvergne makes 2-pt jump shot from 9 ft (assist by D. Gallinari),2,7
6,1,10:31.0,Personal foul by J. Lauvergne (drawn by K. Towns),,2,7
7,1,10:26.0,Shooting foul by E. Mudiay (drawn by R. Rubio),,2,7
8,1,10:26.0,R. Rubio makes free throw 1 of 2,,3,7
9,1,10:26.0,R. Rubio makes free throw 2 of 2,,4,7
10,1,10:01.0,,D. Gallinari misses 2-pt jump shot from 22 ft,4,7
11,1,10:00.0,Defensive rebound by K. Martin,,4,7
12,1,9:50.0,R. Rubio makes 2-pt layup from 1 ft (assist by K. Martin),,6,7
13,1,9:29.0,,Shooting foul by A. Wiggins (drawn by K. Faried),6,7
14,1,9:29.0,,K. Faried makes free throw 1 of 2,6,8
15,1,9:29.0,,K. Faried makes free throw 2 of 2,6,9
16,1,9:18.0,A. Wiggins misses 2-pt layup from 2 ft,,6,9
17,1,9:17.0,,Defensive rebound by J. Lauvergne,6,9
18,1,9:13.0,,Personal foul by K. Garnett (drawn by K. Faried),6,9
19,1,9:04.0,,E. Mudiay misses 3-pt jump shot from 25 ft,6,9
20,1,9:04.0,Defensive rebound by K. Garnett,,6,9
21,1,8:56.0,R. Rubio misses 2-pt layup from 2 ft,,6,9
22,1,8:53.0,Offensive rebound by K. Garnett,,6,9
23,1,8:53.0,K. Garnett makes 2-pt layup from 1 ft,,8,9
24,1,8:40.0,,Denver full timeout,8,9
25,1,8:34.0,,Shooting foul by K. Garnett (drawn by K. Faried),8,9
26,1,8:34.0,,K. Faried makes free throw 1 of 2,8,10
27,1,8:34.0,,K. Faried misses free throw 2 of 2,8,10
28,1,8:33.0,Defensive rebound by K. Garnett,,8,10
29,1,8:19.0,K. Martin makes 2-pt jump shot from 17 ft (assist by R. Rubio),,10,10
30,1,8:06.0,,D. Gallinari misses 3-pt jump shot from 24 ft,10,10
31,1,8:05.0,,Offensive rebound by K. Faried,10,10
32,1,8:00.0,,K. Faried misses 2-pt layup from 1 ft,10,10
33,1,8:00.0,Defensive rebound by K. Garnett,,10,10
34,1,7:55.0,K. Martin misses 2-pt jump shot from 17 ft,,10,10
35,1,7:54.0,,Defensive rebound by E. Mudiay,10,10
36,1,7:47.0,,E. Mudiay misses 2-pt layup from 2 ft,10,10
37,1,7:46.0,Defensive rebound by K. Garnett,,10,10
38,1,7:38.0,K. Martin makes 2-pt jump shot from 16 ft,,12,10
39,1,7:30.0,,Shooting foul by A. Wiggins (drawn by D. Gallinari),12,10
40,1,7:30.0,,D. Gallinari makes free throw 1 of 2,12,11
41,1,7:30.0,T. Prince enters the game for A. Wiggins,,12,11
42,1,7:30.0,,D. Gallinari makes free throw 2 of 2,12,12
43,1,7:19.0,K. Martin misses 3-pt jump shot from 25 ft,,12,12
44,1,7:18.0,,Defensive rebound by K. Faried,12,12
45,1,7:06.0,,Shooting foul by R. Rubio (drawn by K. Faried),12,12
46,1,7:06.0,,K. Faried misses free throw 1 of 2,12,12
47,1,7:06.0,,Offensive rebound by Team,12,12
48,1,7:06.0,,K. Faried makes free throw 2 of 2,12,13
49,1,6:48.0,K. Towns makes 2-pt dunk at rim (assist by R. Rubio),,14,13
50,1,6:37.0,,Turnover by E. Mudiay (traveling),14,13
51,1,6:30.0,T. Prince misses 3-pt jump shot from 23 ft,,14,13
52,1,6:29.0,,Defensive rebound by J. Lauvergne,14,13
53,1,6:12.0,,G. Harris misses 3-pt jump shot from 25 ft,14,13
54,1,6:11.0,Defensive rebound by K. Towns,,14,13
55,1,5:56.0,K. Martin misses 2-pt jump shot from 16 ft,,14,13
56,1,5:55.0,Offensive rebound by T. Prince,,14,13
57,1,5:51.0,K. Garnett misses 2-pt jump shot from 20 ft,,14,13
58,1,5:49.0,Offensive rebound by K. Towns,,14,13
59,1,5:49.0,K. Towns makes 2-pt layup from 1 ft,,16,13
60,1,5:48.0,,Denver full timeout,16,13
61,1,5:48.0,,J. Nelson enters the game for J. Lauvergne,16,13
62,1,5:48.0,,N. Jokić enters the game for E. Mudiay,16,13
63,1,5:48.0,N. Bjelica enters the game for K. Garnett,,16,13
64,1,5:33.0,,G. Harris makes 2-pt layup at rim (assist by N. Jokić),16,15
65,1,5:22.0,Personal foul by N. Jokić (drawn by K. Towns),,16,15
66,1,5:22.0,,W. Barton enters the game for G. Harris,16,15
67,1,5:15.0,R. Rubio makes 3-pt jump shot from 23 ft (assist by N. Bjelica),,19,15
68,1,4:46.0,,D. Gallinari misses 2-pt layup from 1 ft,19,15
69,1,4:45.0,Defensive rebound by R. Rubio,,19,15
70,1,4:38.0,N. Bjelica makes 3-pt jump shot from 24 ft (assist by R. Rubio),,22,15
71,1,4:24.0,,Shooting foul by K. Towns (drawn by K. Faried),22,15
72,1,4:24.0,,K. Faried misses free throw 1 of 2,22,15
73,1,4:24.0,,Offensive rebound by Team,22,15
74,1,4:24.0,,K. Faried misses free throw 2 of 2,22,15
75,1,4:22.0,,Offensive rebound by Team,22,15
76,1,4:22.0,Loose ball foul by K. Towns (drawn by N. Jokić),,22,15
77,1,4:22.0,,M. Miller enters the game for K. Faried,22,15
78,1,4:22.0,,N. Jokić makes free throw 1 of 2,22,16
79,1,4:22.0,G. Dieng enters the game for K. Towns,,22,16
80,1,4:22.0,,N. Jokić makes free throw 2 of 2,22,17
81,1,3:58.0,K. Martin makes 3-pt jump shot from 26 ft (assist by T. Prince),,25,17
82,1,3:39.0,Z. LaVine enters the game for R. Rubio,,25,17
83,1,3:34.0,,W. Barton misses 3-pt jump shot from 26 ft,25,17
84,1,3:33.0,,Offensive rebound by D. Gallinari,25,17
85,1,3:25.0,,N. Jokić makes 2-pt layup from 1 ft (assist by D. Gallinari),25,19
86,1,3:04.0,Personal foul by J. Nelson (drawn by N. Bjelica),,25,19
87,1,3:04.0,S. Muhammad enters the game for N. Bjelica,,25,19
88,1,3:00.0,Shooting foul by M. Miller (drawn by K. Martin),,25,19
89,1,3:00.0,K. Martin makes free throw 1 of 2,,26,19
90,1,3:00.0,K. Martin makes free throw 2 of 2,,27,19
91,1,2:41.0,,D. Gallinari misses 2-pt jump shot from 18 ft,27,19
92,1,2:40.0,Defensive rebound by K. Martin,,27,19
93,1,2:19.0,S. Muhammad misses 2-pt layup from 1 ft,,27,19
94,1,2:19.0,,Defensive rebound by W. Barton,27,19
95,1,2:10.0,,W. Barton misses 2-pt jump shot from 17 ft,27,19
96,1,2:09.0,Defensive rebound by G. Dieng,,27,19
97,1,1:51.0,Z. LaVine misses 3-pt jump shot from 27 ft,,27,19
98,1,1:50.0,,Defensive rebound by N. Jokić,27,19
99,1,1:37.0,,W. Barton misses 3-pt jump shot from 24 ft,27,19
100,1,1:37.0,Defensive rebound by S. Muhammad,,27,19
101,1,1:23.0,Turnover by Z. LaVine (bad pass; steal by N. Jokić),,27,19
102,1,1:19.0,,Shooting block foul by T. Prince (drawn by D. Gallinari),27,19
103,1,1:19.0,,D. Gallinari makes free throw 1 of 2,27,20
104,1,1:19.0,,D. Gallinari makes free throw 2 of 2,27,21
105,1,1:04.0,K. Martin misses 3-pt jump shot from 27 ft,,27,21
106,1,1:03.0,,Defensive rebound by Team,27,21
107,1,1:02.0,,G. Harris enters the game for D. Gallinari,27,21
108,1,1:02.0,N. Bjelica enters the game for K. Martin,,27,21
109,1,0:44.0,,W. Barton misses 2-pt jump shot from 5 ft,27,21
110,1,0:43.0,Defensive rebound by G. Dieng,,27,21
111,1,0:27.0,G. Dieng misses 2-pt jump shot from 16 ft,,27,21
112,1,0:27.0,,Defensive rebound by M. Miller,27,21
113,1,0:06.0,,W. Barton makes 2-pt layup from 1 ft,27,23
114,1,0:00.0,Z. LaVine makes 2-pt layup from 1 ft,,29,23
115,2,11:47.0,Personal foul by G. Harris (drawn by S. Muhammad),,29,23
116,2,11:32.0,S. Muhammad makes 2-pt hook shot from 10 ft,,31,23
117,2,11:21.0,,Shooting foul by G. Dieng (drawn by N. Jokić),31,23
