,QUARTER,TIME_REMAINING,MIAMI_ACTION,DALLAS_ACTION,MIAMI_SCORE,DALLAS_SCORE
0,1,11:42.0,D. Wade misses 2-pt layup at rim,,0,0
1,1,11:41.0,,Defensive rebound by Z. Pachulia,0,0
2,1,11:27.0,,D. Nowitzki misses 2-pt jump shot from 14 ft,0,0
3,1,11:26.0,Defensive rebound by D. Wade,,0,0
4,1,11:11.0,D. Wade misses 2-pt jump shot from 3 ft,,0,0
5,1,11:09.0,Offensive rebound by D. Wade,,0,0
6,1,11:09.0,D. Wade misses 2-pt layup at rim,,0,0
7,1,11:08.0,Offensive rebound by D. Wade,,0,0
8,1,11:08.0,D. Wade misses 2-pt layup at rim,,0,0
9,1,11:07.0,,Defensive rebound by C. Parsons,0,0
10,1,11:01.0,,C. Parsons makes 3-pt jump shot from 24 ft,0,3
11,1,10:45.0,A. Stoudemire makes 2-pt layup from 1 ft (assist by G. Dragić),,2,3
12,1,10:28.0,,Shooting foul by A. Stoudemire (drawn by C. Parsons),2,3
13,1,10:28.0,,C. Parsons makes free throw 1 of 2,2,4
14,1,10:28.0,,C. Parsons makes free throw 2 of 2,2,5
15,1,10:17.0,C. Bosh makes 2-pt jump shot from 18 ft (assist by G. Dragić),,4,5
16,1,10:05.0,,Z. Pachulia misses 2-pt jump shot from 16 ft,4,5
17,1,10:04.0,Defensive rebound by C. Bosh,,4,5
18,1,9:56.0,C. Bosh misses 3-pt jump shot from 24 ft,,4,5
19,1,9:55.0,,Defensive rebound by C. Parsons,4,5
20,1,9:41.0,,Z. Pachulia makes 2-pt layup at rim (assist by C. Parsons),4,7
21,1,9:25.0,C. Bosh makes 2-pt jump shot from 13 ft (assist by G. Dragić),,6,7
22,1,9:16.0,,C. Parsons makes 2-pt layup at rim,6,9
23,1,8:56.0,D. Wade misses 2-pt jump shot from 6 ft,,6,9
24,1,8:55.0,,Defensive rebound by W. Matthews,6,9
25,1,8:49.0,,C. Parsons makes 2-pt layup at rim,6,11
26,1,8:27.0,Personal foul by Z. Pachulia (drawn by A. Stoudemire),,6,11
27,1,8:21.0,G. Dragić misses 2-pt jump shot from 9 ft,,6,11
28,1,8:21.0,,Defensive rebound by D. Nowitzki,6,11
29,1,8:08.0,,J. Barea makes 3-pt jump shot from 24 ft (assist by D. Nowitzki),6,14
30,1,7:59.0,Miami full timeout,,6,14
31,1,7:46.0,Personal foul by W. Matthews (drawn by D. Wade),,6,14
32,1,7:33.0,A. Stoudemire misses 2-pt hook shot from 2 ft,,6,14
33,1,7:32.0,Offensive rebound by L. Deng,,6,14
34,1,7:32.0,Shooting foul by C. Parsons (drawn by L. Deng),,6,14
35,1,7:32.0,L. Deng misses free throw 1 of 2,,6,14
36,1,7:32.0,Offensive rebound by Team,,6,14
37,1,7:32.0,L. Deng makes free throw 2 of 2,,7,14
38,1,7:20.0,,D. Nowitzki misses 2-pt jump shot from 14 ft,7,14
39,1,7:19.0,Defensive rebound by A. Stoudemire,,7,14
40,1,7:02.0,D. Wade misses 2-pt jump shot from 2 ft,,7,14
41,1,7:02.0,Offensive rebound by D. Wade,,7,14
42,1,7:02.0,D. Wade misses 2-pt layup from 2 ft,,7,14
43,1,7:01.0,,Defensive rebound by Z. Pachulia,7,14
44,1,6:46.0,,Turnover by J. Barea (bad pass; steal by D. Wade),7,14
45,1,6:41.0,G. Dragić makes 2-pt layup at rim (assist by D. Wade),,9,14
46,1,6:35.0,,Dallas full timeout,9,14
47,1,6:35.0,,J. Anderson enters the game for D. Nowitzki,9,14
48,1,6:35.0,,R. Felton enters the game for Z. Pachulia,9,14
49,1,6:35.0,,J. McGee enters the game for J. Barea,9,14
50,1,6:35.0,J. Winslow enters the game for C. Bosh,,9,14
51,1,6:23.0,,W. Matthews makes 2-pt layup from 1 ft (assist by C. Parsons),9,16
52,1,6:04.0,A. Stoudemire misses 2-pt jump shot from 16 ft,,9,16
53,1,6:03.0,,Defensive rebound by C. Parsons,9,16
54,1,5:41.0,,J. McGee misses 2-pt jump shot from 12 ft,9,16
55,1,5:40.0,Defensive rebound by J. Winslow,,9,16
56,1,5:26.0,L. Deng misses 2-pt layup from 2 ft,,9,16
57,1,5:25.0,,Defensive rebound by J. McGee,9,16
58,1,5:08.0,,C. Parsons misses 2-pt jump shot from 8 ft,9,16
59,1,5:08.0,Defensive rebound by Team,,9,16
60,1,4:58.0,Turnover by D. Wade (bad pass; steal by W. Matthews),,9,16
61,1,4:54.0,,J. McGee misses 2-pt jump shot from 3 ft (block by A. Stoudemire),9,16
62,1,4:54.0,,Offensive rebound by Team,9,16
63,1,4:36.0,,C. Parsons misses 3-pt jump shot from 24 ft,9,16
64,1,4:35.0,Defensive rebound by L. Deng,,9,16
65,1,4:30.0,Shooting foul by J. Anderson (drawn by L. Deng),,9,16
66,1,4:30.0,L. Deng makes free throw 1 of 2,,10,16
67,1,4:30.0,G. Green enters the game for D. Wade,,10,16
68,1,4:30.0,L. Deng makes free throw 2 of 2,,11,16
69,1,4:08.0,,R. Felton misses 2-pt jump shot from 18 ft,11,16
70,1,4:05.0,,Offensive rebound by J. McGee,11,16
71,1,3:58.0,,C. Parsons misses 2-pt layup from 1 ft (block by A. Stoudemire),11,16
72,1,3:55.0,Defensive rebound by G. Green,,11,16
73,1,3:45.0,Shooting foul by J. McGee (drawn by A. Stoudemire),,11,16
74,1,3:45.0,A. Stoudemire makes free throw 1 of 2,,12,16
75,1,3:45.0,A. Stoudemire makes free throw 2 of 2,,13,16
76,1,3:26.0,Violation by G. Dragić (kicked ball),,13,16
77,1,3:26.0,,Dallas full timeout,13,16
78,1,3:26.0,C. Bosh enters the game for L. Deng,,13,16
79,1,3:26.0,J. McRoberts enters the game for A. Stoudemire,,13,16
80,1,3:15.0,,W. Matthews misses 3-pt jump shot from 23 ft,13,16
81,1,3:14.0,Defensive rebound by J. McRoberts,,13,16
82,1,2:59.0,C. Bosh makes 2-pt jump shot from 18 ft,,15,16
83,1,2:34.0,,J. Anderson misses 2-pt jump shot from 10 ft,15,16
84,1,2:33.0,Defensive rebound by C. Bosh,,15,16
85,1,2:24.0,G. Dragić misses 2-pt jump shot from 6 ft,,15,16
86,1,2:23.0,,Defensive rebound by C. Parsons,15,16
87,1,2:08.0,,J. McGee makes 2-pt dunk at rim (assist by R. Felton),15,18
88,1,1:53.0,J. McRoberts makes 2-pt layup from 1 ft (assist by G. Dragić),,17,18
89,1,1:34.0,,C. Parsons makes 2-pt layup from 2 ft (assist by R. Felton),17,20
90,1,1:34.0,,Shooting foul by J. Winslow (drawn by C. Parsons),17,20
91,1,1:34.0,B. Udrih enters the game for G. Dragić,,17,20
92,1,1:34.0,,J. Barea enters the game for W. Matthews,17,20
93,1,1:34.0,,Z. Pachulia enters the game for J. McGee,17,20
94,1,1:34.0,,D. Nowitzki enters the game for J. Anderson,17,20
95,1,1:34.0,,C. Parsons makes free throw 1 of 1,17,21
96,1,1:21.0,G. Green misses 2-pt jump shot from 15 ft,,17,21
97,1,1:20.0,,Defensive rebound by Z. Pachulia,17,21
98,1,1:10.0,,Z. Pachulia misses 2-pt jump shot from 7 ft,17,21
99,1,1:09.0,Defensive rebound by J. Winslow,,17,21
100,1,0:57.0,C. Bosh makes 2-pt hook shot from 2 ft,,19,21
101,1,0:43.0,,D. Nowitzki misses 2-pt jump shot from 16 ft,19,21
102,1,0:42.0,Defensive rebound by B. Udrih,,19,21
103,1,0:31.0,C. Bosh makes 2-pt layup from 1 ft (assist by B. Udrih),,21,21
104,1,0:31.0,Shooting foul by D. Nowitzki (drawn by C. Bosh),,21,21
105,1,0:31.0,C. Bosh misses free throw 1 of 1,,21,21
106,1,0:30.0,,Defensive rebound by Z. Pachulia,21,21
107,1,0:12.0,,C. Parsons misses 2-pt jump shot from 18 ft,21,21
108,1,0:11.0,Defensive rebound by J. McRoberts,,21,21
109,1,0:03.0,B. Udrih misses 2-pt layup from 2 ft,,21,21
110,1,0:02.0,,Defensive rebound by C. Parsons,21,21
111,2,11:49.0,,Shooting block foul by C. Bosh (drawn by D. Nowitzki),21,21
112,2,11:49.0,,D. Nowitzki makes free throw 1 of 2,21,22
113,2,11:49.0,,D. Nowitzki makes free throw 2 of 2,21,23
114,2,11:37.0,C. Bosh misses 2-pt jump shot from 18 ft,,21,23
115,2,11:36.0,,Defensive rebound by J. Anderson,21,23
116,2,11:22.0,,J. Barea makes 3-pt jump shot from 25 ft (assist by R. Felton),21,26
117,2,11:09.0,J. McRoberts misses 3-pt jump shot from 24 ft,,21,26
118,2,11:08.0,,Defensive rebound by Z. Pachulia,21,26
119,2,11:01.0,,R. Felton misses 2-pt jump shot from 5 ft,21,26
120,2,11:00.0,,Offensive rebound by Z. Pachulia,21,26
121,2,10:59.0,,Z. Pachulia makes 2-pt layup at rim,21,28
122,2,10:36.0,C. Bosh misses 3-pt jump shot from 23 ft,,21,28
123,2,10:35.0,Offensive rebound by C. Bosh,,21,28
124,2,10:33.0,C. Bosh misses 3-pt jump shot from 23 ft,,21,28
125,2,10:32.0,,Defensive rebound by J. Anderson,21,28
126,2,10:27.0,,Personal foul by C. Bosh,21,28
127,2,10:11.0,,D. Nowitzki makes 2-pt layup from 2 ft,21,30
128,2,10:03.0,Miami full timeout,,21,30
129,2,9:48.0,G. Green misses 3-pt jump shot from 24 ft,,21,30
130,2,9:47.0,,Defensive rebound by J. Anderson,21,30
131,2,9:37.0,,J. Barea misses 3-pt jump shot from 24 ft,21,30
132,2,9:36.0,Defensive rebound by J. McRoberts,,21,30
133,2,9:29.0,J. McRoberts misses 2-pt layup from 2 ft (block by D. Nowitzki),,21,30
134,2,9:29.0,Offensive rebound by Team,,21,30
135,2,9:20.0,C. Bosh makes 2-pt jump shot from 14 ft,,23,30
136,2,9:02.0,,D. Nowitzki misses 2-pt jump shot from 6 ft,23,30
137,2,9:01.0,Defensive rebound by C. Bosh,,23,30
138,2,8:53.0,Turnover by B. Udrih (bad pass; steal by J. Anderson),,23,30
139,2,8:49.0,,J. Anderson makes 2-pt dunk at rim,23,32
140,2,8:26.0,B. Udrih makes 2-pt jump shot from 11 ft,,25,32
141,2,8:16.0,,J. Barea misses 2-pt layup from 2 ft (block by J. Winslow),25,32
142,2,8:15.0,Defensive rebound by G. Green,,25,32
143,2,8:11.0,J. Winslow makes 2-pt jump shot from 10 ft (assist by G. Green),,27,32
144,2,8:11.0,,Dallas full timeout,27,32
145,2,8:11.0,H. Whiteside enters the game for C. Bosh,,27,32
146,2,7:56.0,,D. Nowitzki misses 2-pt jump shot from 19 ft,27,32
147,2,7:56.0,Defensive rebound by B. Udrih,,27,32
148,2,7:48.0,B. Udrih makes 2-pt jump shot from 16 ft,,29,32
149,2,7:32.0,,R. Felton misses 2-pt jump shot from 21 ft,29,32
150,2,7:31.0,Defensive rebound by B. Udrih,,29,32
151,2,7:26.0,B. Udrih makes 2-pt jump shot from 17 ft,,31,32
152,2,7:13.0,,J. Barea misses 2-pt jump shot from 5 ft (block by H. Whiteside),31,32
153,2,7:12.0,Defensive rebound by J. Winslow,,31,32
154,2,7:03.0,,J. McGee enters the game for D. Nowitzki,31,32
155,2,7:03.0,,W. Matthews enters the game for Z. Pachulia,31,32
156,2,7:03.0,,C. Parsons enters the game for J. Barea,31,32
157,2,6:53.0,B. Udrih misses 3-pt jump shot from 22 ft,,31,32
158,2,6:52.0,,Defensive rebound by J. McGee,31,32
159,2,6:31.0,,C. Parsons misses 2-pt jump shot from 3 ft,31,32
160,2,6:28.0,,Offensive rebound by J. McGee,31,32
161,2,6:27.0,,Turnover by J. McGee (lost ball; steal by J. Winslow),31,32
162,2,6:09.0,H. Whiteside makes 2-pt dunk at rim,,33,32
163,2,5:55.0,,Personal foul by J. Winslow (drawn by C. Parsons),33,32
164,2,5:55.0,D. Wade enters the game for J. Winslow,,33,32
165,2,5:55.0,G. Dragić enters the game for J. McRoberts,,33,32
166,2,5:55.0,L. Deng enters the game for B. Udrih,,33,32
167,2,5:41.0,,W. Matthews misses 2-pt jump shot from 4 ft,33,32
168,2,5:40.0,Defensive rebound by H. Whiteside,,33,32
169,2,5:25.0,Turnover by L. Deng (offensive foul),,33,32
170,2,5:25.0,Offensive foul by L. Deng (drawn by C. Parsons),,33,32
171,2,5:04.0,,R. Felton misses 2-pt layup from 1 ft,33,32
172,2,5:03.0,,Offensive rebound by J. McGee,33,32
173,2,5:03.0,,J. McGee makes 2-pt layup at rim,33,34
174,2,4:41.0,Turnover by G. Dragić (bad pass),,33,34
175,2,4:28.0,,W. Matthews misses 3-pt jump shot from 24 ft,33,34
176,2,4:27.0,Defensive rebound by G. Green,,33,34
177,2,4:20.0,Offensive foul by H. Whiteside (drawn by R. Felton),,33,34
178,2,4:20.0,Turnover by H. Whiteside (offensive foul),,33,34
179,2,4:10.0,,Turnover by C. Parsons (bad pass; steal by H. Whiteside),33,34
180,2,4:06.0,Flagrant foul type 1 by J. Anderson (drawn by G. Green),,33,34
181,2,4:06.0,G. Green misses flagrant free throw 1 of 2,,33,34
182,2,4:06.0,Offensive rebound by Team,,33,34
183,2,4:06.0,G. Green makes flagrant free throw 2 of 2,,34,34
184,2,4:06.0,,D. Nowitzki enters the game for J. Anderson,34,34
185,2,4:06.0,,Z. Pachulia enters the game for R. Felton,34,34
186,2,4:06.0,,J. Barea enters the game for J. McGee,34,34
187,2,3:57.0,G. Dragić misses 2-pt jump shot from 3 ft,,34,34
188,2,3:55.0,Offensive rebound by H. Whiteside,,34,34
189,2,3:55.0,H. Whiteside makes 2-pt layup at rim,,36,34
190,2,3:44.0,,Shooting foul by G. Green (drawn by Z. Pachulia),36,34
191,2,3:44.0,,Z. Pachulia misses free throw 1 of 2,36,34
192,2,3:44.0,,Offensive rebound by Team,36,34
193,2,3:44.0,,Z. Pachulia misses free throw 2 of 2,36,34
194,2,3:43.0,Defensive rebound by G. Green,,36,34
195,2,3:29.0,H. Whiteside makes 2-pt hook shot from 4 ft (assist by D. Wade),,38,34
196,2,3:13.0,,W. Matthews misses 3-pt jump shot from 24 ft,38,34
197,2,3:12.0,,Offensive rebound by Z. Pachulia,38,34
198,2,3:09.0,,W. Matthews misses 2-pt layup from 2 ft,38,34
199,2,3:07.0,,Offensive rebound by Z. Pachulia,38,34
200,2,3:00.0,,J. Barea makes 3-pt jump shot from 22 ft (assist by C. Parsons),38,37
201,2,2:47.0,Shooting foul by D. Nowitzki (drawn by L. Deng),,38,37
202,2,2:47.0,Official timeout,,38,37
203,2,2:47.0,L. Deng makes free throw 1 of 2,,39,37
204,2,2:47.0,L. Deng makes free throw 2 of 2,,40,37
205,2,2:31.0,,D. Nowitzki makes 2-pt jump shot from 16 ft (assist by Z. Pachulia),40,39
206,2,2:11.0,G. Dragić makes 3-pt jump shot from 24 ft (assist by L. Deng),,43,39
207,2,1:50.0,,Personal foul by L. Deng (drawn by D. Nowitzki),43,39
208,2,1:50.0,,D. Nowitzki makes free throw 1 of 2,43,40
