,QUARTER,TIME_REMAINING,DALLAS_ACTION,MEMPHIS_ACTION,DALLAS_SCORE,MEMPHIS_SCORE
0,1,11:39.0,,Shooting foul by Z. Pachulia (drawn by Z. Randolph),0,0
1,1,11:39.0,,Z. Randolph misses free throw 1 of 2,0,0
2,1,11:39.0,,Offensive rebound by Team,0,0
3,1,11:39.0,,Z. Randolph makes free throw 2 of 2,0,1
4,1,11:27.0,Personal foul by C. Lee (drawn by D. Williams),,0,1
5,1,11:11.0,C. Parsons makes 2-pt jump shot from 20 ft (assist by D. Williams),,2,1
6,1,10:43.0,,M. Conley makes 2-pt jump shot from 17 ft,2,3
7,1,10:19.0,D. Nowitzki misses 3-pt jump shot from 24 ft,,2,3
8,1,10:19.0,,Defensive rebound by T. Allen,2,3
9,1,10:06.0,,Z. Randolph makes 2-pt layup at rim,2,5
10,1,9:53.0,D. Nowitzki misses 2-pt jump shot from 12 ft,,2,5
11,1,9:53.0,,Defensive rebound by M. Gasol,2,5
12,1,9:53.0,Loose ball foul by Z. Pachulia (drawn by M. Gasol),,2,5
13,1,9:53.0,J. McGee enters the game for Z. Pachulia,,2,5
14,1,9:36.0,,M. Gasol makes 2-pt jump shot from 15 ft (assist by Z. Randolph),2,7
15,1,9:09.0,Shooting foul by M. Gasol (drawn by W. Matthews),,2,7
16,1,9:09.0,W. Matthews makes free throw 1 of 2,,3,7
17,1,9:09.0,W. Matthews makes free throw 2 of 2,,4,7
18,1,8:55.0,,C. Lee makes 3-pt jump shot from 26 ft (assist by M. Gasol),4,10
19,1,8:31.0,J. McGee misses 2-pt hook shot from 5 ft,,4,10
20,1,8:28.0,,Defensive rebound by M. Conley,4,10
21,1,8:12.0,,M. Gasol makes 2-pt hook shot from 6 ft,4,12
22,1,8:11.0,Dallas full timeout,,4,12
23,1,7:53.0,D. Williams makes 2-pt jump shot from 19 ft,,6,12
24,1,7:35.0,,M. Gasol makes 2-pt jump shot from 12 ft (assist by C. Lee),6,14
25,1,7:19.0,D. Williams makes 3-pt jump shot from 22 ft (assist by C. Parsons),,9,14
26,1,7:02.0,,Shooting foul by D. Williams (drawn by M. Gasol),9,14
27,1,7:02.0,,M. Gasol misses free throw 1 of 2,9,14
28,1,7:02.0,,Offensive rebound by Team,9,14
29,1,7:02.0,,M. Gasol makes free throw 2 of 2,9,15
30,1,6:48.0,D. Williams makes 2-pt jump shot from 19 ft (assist by J. McGee),,11,15
31,1,6:28.0,,C. Lee misses 2-pt jump shot from 14 ft,11,15
32,1,6:27.0,Defensive rebound by D. Nowitzki,,11,15
33,1,6:16.0,D. Nowitzki makes 2-pt jump shot from 6 ft (assist by W. Matthews),,13,15
34,1,6:16.0,Shooting foul by Z. Randolph (drawn by D. Nowitzki),,13,15
35,1,6:16.0,D. Nowitzki makes free throw 1 of 1,,14,15
36,1,5:57.0,,Turnover by Z. Randolph (traveling),14,15
37,1,5:33.0,C. Parsons misses 3-pt jump shot from 24 ft,,14,15
38,1,5:32.0,,Defensive rebound by Z. Randolph,14,15
39,1,5:22.0,,Def 3 sec tech foul by D. Nowitzki,14,15
40,1,5:22.0,,C. Lee misses technical free throw,14,15
41,1,5:22.0,,Offensive rebound by Team,14,15
42,1,5:22.0,,M. Chalmers enters the game for M. Conley,14,15
43,1,5:22.0,R. Felton enters the game for D. Nowitzki,,14,15
44,1,5:14.0,,M. Gasol makes 2-pt jump shot from 19 ft (assist by M. Chalmers),14,17
45,1,5:04.0,W. Matthews makes 3-pt jump shot from 24 ft (assist by D. Williams),,17,17
46,1,4:55.0,,Memphis full timeout,17,17
47,1,4:39.0,,Z. Randolph makes 2-pt layup from 2 ft,17,19
48,1,4:22.0,Turnover by C. Parsons (bad pass; steal by T. Allen),,17,19
49,1,4:09.0,,Z. Randolph misses 2-pt jump shot from 4 ft,17,19
50,1,4:07.0,,Offensive rebound by Z. Randolph,17,19
51,1,4:07.0,,Z. Randolph makes 2-pt jump shot from 4 ft,17,21
52,1,3:57.0,C. Parsons makes 3-pt jump shot from 23 ft,,20,21
53,1,3:37.0,,M. Gasol misses 2-pt jump shot from 12 ft,20,21
54,1,3:33.0,Defensive rebound by J. McGee,,20,21
