,QUARTER,TIME_REMAINING,INDIANA_ACTION,MEMPHIS_ACTION,INDIANA_SCORE,MEMPHIS_SCORE
0,1,11:40.0,,M. Gasol misses 2-pt jump shot from 3 ft,0,0
1,1,11:38.0,Defensive rebound by M. Ellis,,0,0
2,1,11:24.0,P. George misses 2-pt jump shot from 22 ft,,0,0
3,1,11:24.0,Offensive rebound by I. Mahinmi,,0,0
4,1,11:00.0,I. Mahinmi misses 2-pt layup from 4 ft (block by M. Gasol),,0,0
5,1,11:00.0,Offensive rebound by I. Mahinmi,,0,0
6,1,10:58.0,I. Mahinmi misses 2-pt hook shot from 2 ft,,0,0
7,1,10:57.0,,Defensive rebound by M. Gasol,0,0
8,1,10:40.0,,C. Lee makes 2-pt jump shot from 21 ft (assist by M. Conley),0,2
9,1,10:24.0,Turnover by P. George (lost ball),,0,2
10,1,10:00.0,,M. Barnes makes 2-pt jump shot from 7 ft,0,4
11,1,9:51.0,Shooting foul by J. Green (drawn by I. Mahinmi),,0,4
12,1,9:51.0,I. Mahinmi makes free throw 1 of 2,,1,4
13,1,9:51.0,I. Mahinmi misses free throw 2 of 2,,1,4
14,1,9:50.0,,Defensive rebound by M. Barnes,1,4
15,1,9:36.0,,M. Barnes makes 3-pt jump shot from 22 ft (assist by M. Conley),1,7
16,1,9:23.0,I. Mahinmi misses 2-pt jump shot from 4 ft (block by J. Green),,1,7
17,1,9:21.0,,Defensive rebound by C. Lee,1,7
18,1,8:59.0,,C. Lee misses 3-pt jump shot from 24 ft,1,7
19,1,8:58.0,Defensive rebound by C. Miles,,1,7
20,1,8:45.0,C. Miles misses 3-pt jump shot from 28 ft,,1,7
21,1,8:44.0,,Defensive rebound by M. Conley,1,7
22,1,8:39.0,,M. Barnes makes 2-pt jump shot from 21 ft (assist by M. Conley),1,9
23,1,8:26.0,G. Hill misses 3-pt jump shot from 26 ft,,1,9
24,1,8:25.0,,Defensive rebound by M. Gasol,1,9
25,1,8:16.0,,M. Conley misses 2-pt jump shot from 18 ft,1,9
26,1,8:15.0,Defensive rebound by I. Mahinmi,,1,9
27,1,7:54.0,P. George makes 3-pt jump shot from 24 ft,,4,9
28,1,7:42.0,,M. Gasol makes 2-pt jump shot from 9 ft,4,11
29,1,7:30.0,C. Miles misses 3-pt jump shot from 24 ft,,4,11
30,1,7:28.0,,Defensive rebound by J. Green,4,11
31,1,7:17.0,,M. Conley misses 2-pt jump shot from 11 ft,4,11
32,1,7:16.0,,Offensive rebound by M. Gasol,4,11
33,1,7:16.0,,M. Gasol misses 2-pt layup at rim,4,11
34,1,7:16.0,Defensive rebound by Team,,4,11
35,1,6:53.0,P. George makes 2-pt layup from 1 ft,,6,11
36,1,6:33.0,,J. Green misses 3-pt jump shot from 22 ft,6,11
37,1,6:32.0,Defensive rebound by G. Hill,,6,11
38,1,6:09.0,C. Miles misses 3-pt jump shot from 25 ft,,6,11
39,1,6:08.0,,Defensive rebound by M. Barnes,6,11
40,1,5:52.0,,Turnover by C. Lee (lost ball; steal by P. George),6,11
41,1,5:50.0,Personal foul by C. Lee (drawn by P. George),,6,11
42,1,5:50.0,,Memphis full timeout,6,11
43,1,5:50.0,,V. Carter enters the game for M. Barnes,6,11
44,1,5:41.0,P. George makes 2-pt jump shot from 19 ft (assist by I. Mahinmi),,8,11
45,1,5:23.0,,M. Conley makes 2-pt jump shot from 16 ft (assist by M. Gasol),8,13
46,1,5:06.0,C. Miles misses 2-pt jump shot from 7 ft,,8,13
47,1,5:03.0,Offensive rebound by C. Miles,,8,13
48,1,5:03.0,C. Miles misses 2-pt layup from 1 ft,,8,13
49,1,5:01.0,,Defensive rebound by M. Gasol,8,13
50,1,4:52.0,,M. Gasol misses 2-pt jump shot from 15 ft,8,13
51,1,4:50.0,Defensive rebound by G. Hill,,8,13
52,1,4:37.0,M. Ellis misses 2-pt jump shot from 18 ft,,8,13
53,1,4:35.0,,Defensive rebound by M. Gasol,8,13
54,1,4:18.0,,M. Gasol makes 2-pt jump shot from 12 ft (assist by V. Carter),8,15
55,1,4:01.0,Turnover by G. Hill (bad pass),,8,15
56,1,4:01.0,J. Hill enters the game for I. Mahinmi,,8,15
57,1,4:01.0,R. Stuckey enters the game for G. Hill,,8,15
58,1,3:48.0,,M. Gasol makes 2-pt jump shot from 17 ft (assist by M. Conley),8,17
59,1,3:48.0,Indiana full timeout,,8,17
60,1,3:48.0,,M. Chalmers enters the game for J. Green,8,17
61,1,3:48.0,,Z. Randolph enters the game for M. Conley,8,17
62,1,3:48.0,L. Allen enters the game for C. Miles,,8,17
63,1,3:37.0,J. Hill misses 2-pt jump shot from 18 ft,,8,17
64,1,3:35.0,,Defensive rebound by C. Lee,8,17
65,1,3:19.0,,Z. Randolph misses 2-pt jump shot from 17 ft,8,17
66,1,3:18.0,Defensive rebound by J. Hill,,8,17
67,1,3:05.0,Shooting foul by Z. Randolph (drawn by P. George),,8,17
68,1,3:05.0,P. George makes free throw 1 of 2,,9,17
69,1,3:05.0,P. George makes free throw 2 of 2,,10,17
70,1,2:53.0,,M. Gasol makes 2-pt layup from 2 ft (assist by M. Chalmers),10,19
71,1,2:38.0,R. Stuckey misses 3-pt jump shot from 24 ft,,10,19
72,1,2:36.0,Offensive rebound by J. Hill,,10,19
73,1,2:32.0,P. George misses 3-pt jump shot from 26 ft,,10,19
