,QUARTER,TIME_REMAINING,CHARLOTTE_ACTION,MINNESOTA_ACTION,CHARLOTTE_SCORE,MINNESOTA_SCORE
0,1,11:37.0,,K. Towns makes 2-pt jump shot from 17 ft (assist by K. Martin),0,2
1,1,11:19.0,P. Hairston makes 3-pt jump shot from 24 ft (assist by A. Jefferson),,3,2
2,1,11:05.0,,K. Towns makes 2-pt jump shot from 17 ft (assist by A. Payne),3,4
3,1,10:55.0,Offensive foul by A. Jefferson (drawn by Z. LaVine),,3,4
4,1,10:55.0,Turnover by A. Jefferson (offensive foul),,3,4
5,1,10:44.0,,K. Towns misses 2-pt jump shot from 7 ft,3,4
6,1,10:43.0,Defensive rebound by A. Jefferson,,3,4
7,1,10:38.0,Offensive foul by M. Williams (drawn by T. Prince),,3,4
8,1,10:38.0,Turnover by M. Williams (offensive foul),,3,4
9,1,10:23.0,,Z. LaVine makes 3-pt jump shot from 25 ft (assist by K. Towns),3,7
10,1,10:08.0,A. Jefferson misses 2-pt dunk at rim,,3,7
11,1,10:07.0,,Defensive rebound by T. Prince,3,7
12,1,10:02.0,,Z. LaVine makes 2-pt dunk at rim (assist by T. Prince),3,9
13,1,9:45.0,A. Jefferson misses 2-pt jump shot from 7 ft,,3,9
14,1,9:42.0,,Defensive rebound by T. Prince,3,9
15,1,9:36.0,,K. Martin makes 3-pt jump shot from 24 ft (assist by T. Prince),3,12
16,1,9:16.0,N. Batum misses 2-pt layup from 2 ft (block by K. Towns),,3,12
17,1,9:14.0,,Defensive rebound by K. Towns,3,12
18,1,9:11.0,,Shooting foul by P. Hairston (drawn by K. Towns),3,12
19,1,9:11.0,,K. Towns makes free throw 1 of 2,3,13
20,1,9:11.0,,K. Towns makes free throw 2 of 2,3,14
21,1,8:53.0,N. Batum makes 3-pt jump shot from 22 ft (assist by K. Walker),,6,14
22,1,8:36.0,,Z. LaVine misses 2-pt jump shot from 7 ft,6,14
23,1,8:35.0,Defensive rebound by M. Williams,,6,14
24,1,8:22.0,M. Williams makes 3-pt jump shot from 25 ft (assist by K. Walker),,9,14
25,1,8:08.0,,K. Towns misses 3-pt jump shot from 24 ft,9,14
26,1,8:07.0,Defensive rebound by M. Williams,,9,14
27,1,8:00.0,N. Batum misses 3-pt jump shot from 24 ft,,9,14
28,1,7:59.0,,Defensive rebound by A. Payne,9,14
29,1,7:49.0,,A. Payne makes 2-pt jump shot from 21 ft (assist by K. Martin),9,16
30,1,7:37.0,Shooting foul by K. Towns (drawn by A. Jefferson),,9,16
31,1,7:37.0,A. Jefferson makes free throw 1 of 2,,10,16
32,1,7:37.0,A. Jefferson makes free throw 2 of 2,,11,16
33,1,7:28.0,,Z. LaVine makes 2-pt dunk at rim,11,18
34,1,7:14.0,M. Williams misses 3-pt jump shot from 24 ft,,11,18
35,1,7:13.0,,Defensive rebound by K. Towns,11,18
36,1,7:05.0,,A. Payne makes 3-pt jump shot from 24 ft (assist by Z. LaVine),11,21
37,1,6:51.0,Personal foul by K. Martin (drawn by A. Jefferson),,11,21
38,1,6:45.0,A. Jefferson misses 2-pt layup at rim,,11,21
39,1,6:44.0,,Defensive rebound by K. Towns,11,21
40,1,6:25.0,,Z. LaVine misses 3-pt jump shot from 23 ft,11,21
41,1,6:24.0,Defensive rebound by M. Williams,,11,21
42,1,6:13.0,Shooting block foul by A. Payne (drawn by P. Hairston),,11,21
43,1,6:13.0,P. Hairston makes free throw 1 of 2,,12,21
44,1,6:13.0,P. Hairston misses free throw 2 of 2,,12,21
45,1,6:13.0,,Defensive rebound by K. Towns,12,21
46,1,6:07.0,,Minnesota full timeout,12,21
47,1,5:54.0,,Turnover by K. Towns (lost ball; steal by K. Walker),12,21
48,1,5:49.0,P. Hairston misses 2-pt layup from 1 ft,,12,21
49,1,5:48.0,,Defensive rebound by T. Prince,12,21
50,1,5:35.0,,K. Martin misses 2-pt jump shot from 15 ft,12,21
51,1,5:34.0,Defensive rebound by N. Batum,,12,21
52,1,5:20.0,P. Hairston misses 3-pt jump shot from 22 ft,,12,21
53,1,5:19.0,,Defensive rebound by K. Towns,12,21
54,1,5:10.0,,Turnover by Z. LaVine (bad pass; steal by M. Williams),12,21
55,1,5:05.0,Shooting foul by T. Prince (drawn by M. Williams),,12,21
56,1,5:05.0,M. Williams makes free throw 1 of 2,,13,21
57,1,5:05.0,C. Zeller enters the game for P. Hairston,,13,21
58,1,5:05.0,,N. Bjelica enters the game for A. Payne,13,21
59,1,5:05.0,,G. Dieng enters the game for K. Towns,13,21
60,1,5:05.0,M. Williams makes free throw 2 of 2,,14,21
61,1,4:53.0,,Z. LaVine misses 2-pt layup from 1 ft (block by M. Williams),14,21
62,1,4:51.0,,Offensive rebound by G. Dieng,14,21
63,1,4:49.0,,Minnesota full timeout,14,21
64,1,4:44.0,,Turnover by Z. LaVine (traveling),14,21
65,1,4:34.0,N. Batum misses 2-pt jump shot from 19 ft,,14,21
66,1,4:32.0,,Defensive rebound by Z. LaVine,14,21
67,1,4:26.0,,K. Martin makes 2-pt jump shot from 15 ft (assist by Z. LaVine),14,23
68,1,4:12.0,Shooting foul by T. Prince (drawn by N. Batum),,14,23
69,1,4:12.0,N. Batum makes free throw 1 of 2,,15,23
70,1,4:12.0,,S. Muhammad enters the game for T. Prince,15,23
71,1,4:12.0,N. Batum makes free throw 2 of 2,,16,23
72,1,3:55.0,,K. Martin makes 2-pt layup at rim,16,25
73,1,3:40.0,C. Zeller misses 2-pt layup from 1 ft,,16,25
74,1,3:39.0,,Defensive rebound by G. Dieng,16,25
75,1,3:30.0,,Turnover by Z. LaVine (traveling),16,25
76,1,3:30.0,,T. Jones enters the game for Z. LaVine,16,25
77,1,3:30.0,J. Lamb enters the game for M. Williams,,16,25
78,1,3:30.0,S. Hawes enters the game for A. Jefferson,,16,25
79,1,3:21.0,Shooting foul by G. Dieng (drawn by K. Walker),,16,25
80,1,3:21.0,K. Walker makes free throw 1 of 2,,17,25
81,1,3:21.0,K. Walker makes free throw 2 of 2,,18,25
82,1,3:13.0,,K. Martin makes 2-pt jump shot from 14 ft (assist by N. Bjelica),18,27
83,1,2:55.0,S. Hawes misses 2-pt jump shot from 7 ft,,18,27
84,1,2:54.0,Offensive rebound by Team,,18,27
85,1,2:54.0,,Loose ball foul by N. Bjelica (drawn by C. Zeller),18,27
86,1,2:54.0,Charlotte full timeout,,18,27
87,1,2:54.0,C. Zeller makes free throw 1 of 2,,19,27
88,1,2:54.0,C. Zeller misses free throw 2 of 2,,19,27
89,1,2:54.0,,Defensive rebound by G. Dieng,19,27
90,1,2:40.0,,Turnover by G. Dieng (traveling),19,27
91,1,2:28.0,C. Zeller makes 2-pt layup at rim (assist by K. Walker),,21,27
92,1,2:14.0,,Turnover by K. Martin (lost ball; steal by J. Lamb),21,27
