,QUARTER,TIME_REMAINING,UTAH_ACTION,LA CLIPPERS_ACTION,UTAH_SCORE,LA CLIPPERS_SCORE
0,1,11:44.0,,Turnover by D. Jordan (lost ball; steal by R. Neto),0,0
1,1,11:18.0,G. Hayward misses 3-pt jump shot from 23 ft,,0,0
2,1,11:17.0,Offensive rebound by D. Favors,,0,0
3,1,11:09.0,R. Hood makes 2-pt jump shot from 15 ft,,2,0
4,1,10:52.0,,W. Johnson misses 2-pt jump shot from 14 ft,2,0
5,1,10:51.0,Defensive rebound by R. Hood,,2,0
6,1,10:28.0,D. Favors makes 2-pt jump shot from 7 ft (assist by R. Hood),,4,0
7,1,10:13.0,,D. Jordan makes 2-pt dunk at rim (assist by B. Griffin),4,2
8,1,9:55.0,G. Hayward misses 2-pt jump shot from 4 ft,,4,2
9,1,9:54.0,,Defensive rebound by D. Jordan,4,2
10,1,9:36.0,,D. Jordan makes 2-pt dunk at rim (assist by C. Paul),4,4
11,1,9:19.0,R. Hood misses 2-pt jump shot from 11 ft,,4,4
12,1,9:15.0,Offensive rebound by R. Gobert,,4,4
13,1,9:15.0,R. Gobert makes 2-pt layup at rim,,6,4
14,1,8:53.0,,B. Griffin makes 2-pt jump shot from 9 ft,6,6
15,1,8:41.0,,Violation by D. Jordan (def goaltending),6,6
16,1,8:41.0,D. Favors makes 2-pt jump shot from 5 ft,,8,6
17,1,8:23.0,,B. Griffin makes 2-pt jump shot from 16 ft (assist by C. Paul),8,8
18,1,8:14.0,Personal foul by J. Redick (drawn by R. Gobert),,8,8
19,1,8:04.0,G. Hayward makes 3-pt jump shot from 25 ft (assist by R. Hood),,11,8
20,1,7:54.0,,C. Paul misses 2-pt jump shot from 14 ft,11,8
21,1,7:52.0,,Offensive rebound by D. Jordan,11,8
22,1,7:48.0,,D. Jordan misses 2-pt layup from 1 ft,11,8
23,1,7:48.0,Defensive rebound by R. Gobert,,11,8
24,1,7:33.0,G. Hayward makes 3-pt jump shot from 25 ft,,14,8
25,1,7:22.0,,Personal foul by R. Neto (drawn by D. Jordan),14,8
26,1,7:17.0,,J. Redick misses 3-pt jump shot from 24 ft,14,8
27,1,7:16.0,Defensive rebound by R. Neto,,14,8
28,1,7:10.0,Turnover by R. Neto (bad pass; steal by D. Jordan),,14,8
29,1,7:03.0,,B. Griffin makes 2-pt dunk at rim (assist by C. Paul),14,10
30,1,6:39.0,Turnover by G. Hayward (bad pass; steal by D. Jordan),,14,10
31,1,6:31.0,,J. Redick misses 3-pt jump shot from 25 ft,14,10
32,1,6:27.0,Defensive rebound by G. Hayward,,14,10
33,1,6:14.0,R. Hood makes 2-pt layup from 2 ft,,16,10
34,1,6:00.0,,C. Paul makes 2-pt jump shot from 12 ft,16,12
35,1,5:44.0,Shooting foul by W. Johnson (drawn by G. Hayward),,16,12
36,1,5:44.0,,LA Clippers full timeout,16,12
37,1,5:44.0,G. Hayward misses free throw 1 of 2,,16,12
38,1,5:44.0,Offensive rebound by Team,,16,12
39,1,5:44.0,G. Hayward makes free throw 2 of 2,,17,12
40,1,5:31.0,A. Burks enters the game for G. Hayward,,17,12
41,1,5:31.0,T. Booker enters the game for D. Favors,,17,12
42,1,5:21.0,,C. Paul misses 2-pt jump shot from 17 ft,17,12
43,1,5:19.0,,Offensive rebound by D. Jordan,17,12
44,1,5:19.0,,Personal foul by T. Booker (drawn by D. Jordan),17,12
45,1,5:15.0,,Turnover by J. Redick (bad pass; steal by R. Neto),17,12
