,QUARTER,TIME_REMAINING,OKLAHOMA CITY_ACTION,SAN ANTONIO_ACTION,OKLAHOMA CITY_SCORE,SAN ANTONIO_SCORE
0,1,11:44.0,Turnover by R. Westbrook (lost ball; steal by T. Duncan),,0,0
1,1,11:37.0,,K. Leonard misses 3-pt jump shot from 25 ft,0,0
2,1,11:36.0,Defensive rebound by A. Roberson,,0,0
3,1,11:28.0,R. Westbrook misses 2-pt jump shot from 4 ft,,0,0
4,1,11:27.0,Offensive rebound by R. Westbrook,,0,0
5,1,11:23.0,S. Ibaka misses 3-pt jump shot from 25 ft,,0,0
6,1,11:22.0,Offensive rebound by S. Adams,,0,0
7,1,11:13.0,A. Roberson makes 2-pt dunk at rim (assist by K. Durant),,2,0
8,1,10:51.0,,L. Aldridge misses 2-pt jump shot from 15 ft,2,0
9,1,10:48.0,,Offensive rebound by T. Duncan,2,0
10,1,10:47.0,,Turnover by D. Green (bad pass; steal by R. Westbrook),2,0
11,1,10:45.0,Shooting foul by D. Green (drawn by R. Westbrook),,2,0
12,1,10:45.0,R. Westbrook makes free throw 1 of 2,,3,0
13,1,10:45.0,R. Westbrook makes free throw 2 of 2,,4,0
14,1,10:29.0,,L. Aldridge makes 2-pt hook shot from 7 ft,4,2
15,1,10:17.0,K. Durant misses 2-pt jump shot from 16 ft,,4,2
16,1,10:14.0,,Defensive rebound by T. Duncan,4,2
17,1,10:05.0,,L. Aldridge makes 2-pt jump shot from 15 ft,4,4
18,1,9:46.0,S. Ibaka makes 2-pt jump shot from 19 ft (assist by K. Durant),,6,4
19,1,9:31.0,,L. Aldridge makes 2-pt jump shot from 19 ft (assist by T. Parker),6,6
20,1,9:14.0,K. Durant misses 3-pt jump shot from 24 ft,,6,6
21,1,9:13.0,,Defensive rebound by T. Duncan,6,6
22,1,9:01.0,,D. Green misses 3-pt jump shot from 26 ft,6,6
23,1,9:00.0,,Offensive rebound by K. Leonard,6,6
24,1,8:52.0,,K. Leonard makes 2-pt jump shot from 13 ft,6,8
25,1,8:35.0,S. Adams makes 2-pt jump shot from 10 ft (assist by K. Durant),,8,8
26,1,8:19.0,,T. Duncan makes 2-pt jump shot from 20 ft (assist by T. Parker),8,10
27,1,8:05.0,S. Ibaka misses 2-pt jump shot from 20 ft,,8,10
28,1,8:04.0,,Defensive rebound by K. Leonard,8,10
29,1,7:47.0,,D. Green misses 3-pt jump shot from 25 ft,8,10
30,1,7:45.0,,Offensive rebound by T. Parker,8,10
31,1,7:29.0,,Personal foul by S. Adams,8,10
32,1,7:14.0,,T. Duncan makes 2-pt layup from 3 ft (assist by T. Parker),8,12
33,1,6:47.0,R. Westbrook misses 2-pt layup from 1 ft,,8,12
34,1,6:46.0,Offensive rebound by A. Roberson,,8,12
35,1,6:40.0,K. Durant makes 2-pt dunk at rim,,10,12
36,1,6:31.0,,San Antonio full timeout,10,12
37,1,6:16.0,,T. Duncan makes 2-pt layup from 2 ft (assist by D. Green),10,14
38,1,5:58.0,Shooting foul by T. Duncan (drawn by K. Durant),,10,14
39,1,5:58.0,K. Durant makes free throw 1 of 2,,11,14
40,1,5:58.0,E. Freedom enters the game for S. Adams,,11,14
41,1,5:58.0,K. Durant makes free throw 2 of 2,,12,14
42,1,5:44.0,,K. Leonard makes 2-pt layup from 3 ft,12,16
43,1,5:37.0,Shooting foul by T. Duncan (drawn by E. Freedom),,12,16
44,1,5:37.0,E. Freedom makes free throw 1 of 2,,13,16
45,1,5:37.0,K. Singler enters the game for K. Durant,,13,16
46,1,5:37.0,,D. West enters the game for T. Duncan,13,16
47,1,5:37.0,E. Freedom makes free throw 2 of 2,,14,16
48,1,5:20.0,,L. Aldridge makes 2-pt jump shot from 18 ft (assist by K. Leonard),14,18
49,1,5:07.0,R. Westbrook makes 3-pt jump shot from 24 ft,,17,18
50,1,4:45.0,,K. Leonard misses 3-pt jump shot from 24 ft,17,18
51,1,4:44.0,Defensive rebound by R. Westbrook,,17,18
52,1,4:38.0,R. Westbrook misses 2-pt layup from 2 ft,,17,18
53,1,4:37.0,,Defensive rebound by D. West,17,18
54,1,4:24.0,,D. Green misses 3-pt jump shot from 25 ft,17,18
55,1,4:23.0,Defensive rebound by E. Freedom,,17,18
56,1,4:13.0,Shooting foul by D. West (drawn by R. Westbrook),,17,18
57,1,4:13.0,R. Westbrook makes free throw 1 of 2,,18,18
58,1,4:13.0,,M. Ginóbili enters the game for D. Green,18,18
59,1,4:13.0,R. Foye enters the game for A. Roberson,,18,18
60,1,4:13.0,R. Westbrook misses free throw 2 of 2,,18,18
61,1,4:11.0,,Defensive rebound by L. Aldridge,18,18
62,1,3:56.0,,Personal foul by R. Westbrook,18,18
63,1,3:56.0,,P. Mills enters the game for T. Parker,18,18
64,1,3:46.0,,K. Leonard misses 2-pt jump shot from 8 ft,18,18
65,1,3:44.0,Defensive rebound by E. Freedom,,18,18
66,1,3:40.0,Shooting foul by P. Mills (drawn by R. Westbrook),,18,18
67,1,3:40.0,R. Westbrook makes free throw 1 of 2,,19,18
68,1,3:40.0,R. Westbrook makes free throw 2 of 2,,20,18
69,1,3:28.0,,P. Mills misses 2-pt jump shot from 19 ft,20,18
70,1,3:23.0,,Offensive rebound by L. Aldridge,20,18
71,1,3:23.0,,L. Aldridge makes 2-pt layup from 1 ft,20,20
72,1,3:11.0,Turnover by R. Westbrook (bad pass; steal by M. Ginóbili),,20,20
73,1,3:08.0,,L. Aldridge makes 2-pt layup from 1 ft (assist by P. Mills),20,22
74,1,3:08.0,,Shooting foul by K. Singler (drawn by L. Aldridge),20,22
75,1,3:08.0,,L. Aldridge makes free throw 1 of 1,20,23
76,1,2:57.0,R. Westbrook misses 2-pt layup from 4 ft,,20,23
77,1,2:55.0,,Defensive rebound by D. West,20,23
78,1,2:48.0,,M. Ginóbili misses 3-pt jump shot from 25 ft,20,23
79,1,2:47.0,Defensive rebound by R. Foye,,20,23
80,1,2:41.0,S. Ibaka makes 2-pt jump shot from 17 ft (assist by R. Foye),,22,23
81,1,2:23.0,,K. Leonard misses 2-pt layup from 3 ft,22,23
82,1,2:22.0,Defensive rebound by R. Foye,,22,23
83,1,2:19.0,Offensive foul by S. Ibaka (drawn by M. Ginóbili),,22,23
84,1,2:19.0,Turnover by S. Ibaka (offensive foul),,22,23
85,1,2:19.0,Oklahoma City full timeout,,22,23
86,1,2:19.0,K. Durant enters the game for R. Westbrook,,22,23
87,1,2:19.0,S. Adams enters the game for S. Ibaka,,22,23
88,1,2:19.0,,D. Green enters the game for K. Leonard,22,23
89,1,2:08.0,,D. West misses 2-pt layup from 1 ft,22,23
90,1,2:07.0,Defensive rebound by E. Freedom,,22,23
91,1,1:53.0,K. Durant misses 2-pt jump shot from 15 ft,,22,23
92,1,1:52.0,Offensive rebound by E. Freedom,,22,23
93,1,1:44.0,Turnover by R. Foye (lost ball; steal by M. Ginóbili),,22,23
94,1,1:36.0,,Shooting foul by S. Adams (drawn by L. Aldridge),22,23
95,1,1:36.0,,L. Aldridge makes free throw 1 of 2,22,24
96,1,1:36.0,N. Collison enters the game for S. Adams,,22,24
97,1,1:36.0,,L. Aldridge makes free throw 2 of 2,22,25
98,1,1:23.0,Turnover by K. Singler (step out of bounds),,22,25
99,1,1:23.0,,B. Diaw enters the game for L. Aldridge,22,25
100,1,1:09.0,,Turnover by M. Ginóbili (bad pass; steal by R. Foye),22,25
