,QUARTER,TIME_REMAINING,OKLAHOMA CITY_ACTION,LA LAKERS_ACTION,OKLAHOMA CITY_SCORE,LA LAKERS_SCORE
0,1,11:41.0,S. Adams misses 2-pt layup from 2 ft (block by R. Hibbert),,0,0
1,1,11:39.0,,Defensive rebound by L. Nance,0,0
2,1,11:22.0,,Shooting foul by R. Westbrook (drawn by R. Hibbert),0,0
3,1,11:22.0,,R. Hibbert makes free throw 1 of 2,0,1
4,1,11:22.0,,R. Hibbert makes free throw 2 of 2,0,2
5,1,11:08.0,S. Adams makes 2-pt layup at rim (assist by R. Westbrook),,2,2
6,1,11:08.0,Shooting foul by R. Hibbert (drawn by S. Adams),,2,2
7,1,11:08.0,S. Adams misses free throw 1 of 1,,2,2
8,1,11:07.0,,Defensive rebound by R. Hibbert,2,2
9,1,10:46.0,,R. Hibbert makes 2-pt jump shot from 15 ft (assist by L. Nance),2,4
10,1,10:36.0,R. Westbrook makes 2-pt jump shot from 12 ft,,4,4
11,1,10:13.0,,K. Bryant misses 3-pt jump shot from 27 ft,4,4
12,1,10:12.0,Defensive rebound by S. Adams,,4,4
13,1,9:59.0,A. Roberson makes 2-pt layup from 1 ft,,6,4
14,1,9:45.0,,J. Clarkson makes 2-pt layup from 2 ft (assist by K. Bryant),6,6
15,1,9:30.0,Turnover by K. Durant (lost ball; steal by K. Bryant),,6,6
16,1,9:12.0,,R. Hibbert misses 2-pt jump shot from 5 ft (block by S. Adams),6,6
17,1,9:10.0,Defensive rebound by K. Durant,,6,6
18,1,9:03.0,R. Westbrook misses 2-pt jump shot from 10 ft,,6,6
19,1,9:03.0,Offensive rebound by Team,,6,6
20,1,9:03.0,,Loose ball foul by L. Nance (drawn by S. Ibaka),6,6
21,1,8:56.0,R. Westbrook misses 2-pt layup from 2 ft,,6,6
22,1,8:55.0,Offensive rebound by S. Adams,,6,6
23,1,8:52.0,S. Adams misses 2-pt layup from 2 ft,,6,6
24,1,8:51.0,Offensive rebound by A. Roberson,,6,6
25,1,8:48.0,A. Roberson makes 2-pt layup at rim,,8,6
26,1,8:34.0,,K. Bryant makes 2-pt jump shot from 13 ft,8,8
27,1,8:15.0,Shooting foul by K. Bryant (drawn by K. Durant),,8,8
28,1,8:15.0,K. Durant makes free throw 1 of 2,,9,8
29,1,8:15.0,K. Durant makes free throw 2 of 2,,10,8
30,1,8:00.0,,L. Williams misses 2-pt jump shot from 3 ft,10,8
31,1,7:57.0,,Offensive rebound by L. Nance,10,8
32,1,7:53.0,,Turnover by L. Nance (bad pass; steal by R. Westbrook),10,8
33,1,7:49.0,R. Westbrook makes 2-pt dunk at rim (assist by A. Roberson),,12,8
34,1,7:37.0,,K. Bryant misses 2-pt jump shot from 9 ft,12,8
35,1,7:36.0,Defensive rebound by S. Adams,,12,8
36,1,7:26.0,K. Durant misses 3-pt jump shot from 24 ft,,12,8
37,1,7:26.0,,Defensive rebound by L. Nance,12,8
38,1,7:10.0,,R. Hibbert misses 2-pt hook shot from 4 ft,12,8
39,1,7:09.0,Defensive rebound by S. Adams,,12,8
40,1,6:59.0,K. Durant makes 2-pt layup at rim,,14,8
41,1,6:46.0,,L. Williams misses 3-pt jump shot from 23 ft,14,8
42,1,6:45.0,,Offensive rebound by L. Nance,14,8
43,1,6:41.0,,L. Nance makes 2-pt jump shot from 13 ft,14,10
44,1,6:28.0,S. Ibaka misses 2-pt jump shot from 19 ft,,14,10
45,1,6:28.0,Offensive rebound by Team,,14,10
46,1,6:28.0,,Loose ball foul by R. Hibbert (drawn by S. Adams),14,10
47,1,6:21.0,Turnover by R. Westbrook (bad pass),,14,10
48,1,6:21.0,,R. Sacre enters the game for R. Hibbert,14,10
49,1,6:08.0,,Turnover by K. Bryant (bad pass; steal by A. Roberson),14,10
50,1,5:56.0,S. Ibaka makes 2-pt layup at rim (assist by K. Durant),,16,10
51,1,5:48.0,,K. Bryant misses 3-pt jump shot from 26 ft (block by K. Durant),16,10
52,1,5:47.0,,Offensive rebound by K. Bryant,16,10
53,1,5:40.0,,K. Bryant misses 2-pt jump shot from 7 ft (block by K. Durant),16,10
54,1,5:38.0,Defensive rebound by K. Durant,,16,10
55,1,5:33.0,R. Westbrook misses 2-pt layup from 1 ft,,16,10
56,1,5:32.0,Offensive rebound by S. Ibaka,,16,10
57,1,5:28.0,S. Ibaka makes 3-pt jump shot from 24 ft,,19,10
58,1,5:21.0,,LA Lakers full timeout,19,10
59,1,5:21.0,,D. Russell enters the game for J. Clarkson,19,10
60,1,5:07.0,,K. Bryant misses 3-pt jump shot from 25 ft,19,10
61,1,5:07.0,Defensive rebound by S. Ibaka,,19,10
62,1,4:48.0,A. Roberson misses 3-pt jump shot from 24 ft,,19,10
63,1,4:46.0,,Defensive rebound by L. Nance,19,10
64,1,4:34.0,,R. Sacre misses 2-pt hook shot from 4 ft,19,10
65,1,4:33.0,Defensive rebound by S. Ibaka,,19,10
66,1,4:22.0,R. Westbrook makes 2-pt layup from 1 ft,,21,10
67,1,4:12.0,,K. Bryant misses 3-pt jump shot from 24 ft,21,10
68,1,4:11.0,Defensive rebound by S. Ibaka,,21,10
69,1,4:02.0,Personal foul by D. Russell (drawn by R. Westbrook),,21,10
70,1,4:02.0,R. Westbrook makes free throw 1 of 2,,22,10
71,1,4:02.0,,B. Bass enters the game for L. Nance,22,10
72,1,4:02.0,N. Collison enters the game for S. Ibaka,,22,10
73,1,4:02.0,D. Waiters enters the game for A. Roberson,,22,10
74,1,4:02.0,R. Westbrook misses free throw 2 of 2,,22,10
75,1,4:01.0,,Defensive rebound by Team,22,10
76,1,3:53.0,,Turnover by K. Bryant (bad pass; steal by S. Adams),22,10
77,1,3:51.0,K. Durant makes 2-pt layup from 2 ft (assist by S. Adams),,24,10
78,1,3:51.0,Shooting foul by L. Williams (drawn by K. Durant),,24,10
79,1,3:51.0,E. Freedom enters the game for S. Adams,,24,10
