,QUARTER,TIME_REMAINING,CHICAGO_ACTION,MEMPHIS_ACTION,CHICAGO_SCORE,MEMPHIS_SCORE
0,1,11:42.0,,Z. Randolph misses 2-pt jump shot from 17 ft,0,0
1,1,11:42.0,Defensive rebound by P. Gasol,,0,0
2,1,11:26.0,J. Butler misses 2-pt jump shot from 21 ft,,0,0
3,1,11:25.0,,Defensive rebound by M. Barnes,0,0
4,1,11:08.0,,Z. Randolph misses 2-pt jump shot from 7 ft,0,0
5,1,11:07.0,Defensive rebound by Team,,0,0
6,1,10:45.0,D. Rose misses 2-pt jump shot from 15 ft,,0,0
7,1,10:44.0,,Defensive rebound by Z. Randolph,0,0
8,1,10:36.0,,J. Farmar makes 2-pt layup from 1 ft,0,2
9,1,10:17.0,P. Gasol makes 2-pt jump shot from 19 ft (assist by D. Rose),,2,2
10,1,9:59.0,,T. Allen misses 2-pt layup from 2 ft (block by M. Dunleavy),2,2
11,1,9:56.0,,Offensive rebound by T. Allen,2,2
12,1,9:56.0,,T. Allen misses 2-pt layup from 2 ft,2,2
13,1,9:55.0,Defensive rebound by D. Rose,,2,2
14,1,9:52.0,J. Butler misses 2-pt layup from 1 ft,,2,2
15,1,9:47.0,Offensive rebound by B. Portis,,2,2
16,1,9:47.0,B. Portis misses 2-pt layup at rim,,2,2
17,1,9:46.0,,Defensive rebound by T. Allen,2,2
18,1,9:43.0,,M. Barnes misses 3-pt jump shot from 24 ft,2,2
19,1,9:40.0,Defensive rebound by J. Butler,,2,2
20,1,9:30.0,B. Portis makes 2-pt jump shot from 7 ft,,4,2
21,1,9:10.0,,M. Barnes makes 2-pt jump shot from 19 ft (assist by C. Andersen),4,4
22,1,8:58.0,B. Portis misses 2-pt jump shot from 18 ft,,4,4
23,1,8:57.0,,Defensive rebound by M. Barnes,4,4
24,1,8:47.0,,Z. Randolph misses 2-pt jump shot from 5 ft (block by B. Portis),4,4
25,1,8:47.0,,Offensive rebound by Team,4,4
26,1,8:37.0,,Shooting foul by P. Gasol (drawn by M. Barnes),4,4
27,1,8:37.0,,M. Barnes makes free throw 1 of 2,4,5
28,1,8:37.0,,M. Barnes makes free throw 2 of 2,4,6
29,1,8:22.0,P. Gasol misses 2-pt jump shot from 16 ft,,4,6
30,1,8:21.0,,Defensive rebound by T. Allen,4,6
31,1,8:10.0,,Turnover by Z. Randolph (bad pass; steal by J. Butler),4,6
32,1,8:02.0,D. Rose misses 2-pt layup from 1 ft,,4,6
33,1,8:00.0,,Defensive rebound by Z. Randolph,4,6
34,1,7:50.0,,Z. Randolph misses 2-pt jump shot from 18 ft,4,6
35,1,7:49.0,Defensive rebound by P. Gasol,,4,6
36,1,7:31.0,Turnover by D. Rose (bad pass; steal by Z. Randolph),,4,6
37,1,7:10.0,,Z. Randolph misses 2-pt jump shot from 6 ft (block by B. Portis),4,6
38,1,7:07.0,,Offensive rebound by Z. Randolph,4,6
39,1,7:07.0,,Z. Randolph makes 2-pt jump shot from 6 ft,4,8
40,1,6:48.0,M. Dunleavy misses 2-pt jump shot from 19 ft,,4,8
41,1,6:47.0,Offensive rebound by B. Portis,,4,8
42,1,6:27.0,M. Dunleavy makes 3-pt jump shot from 24 ft (assist by B. Portis),,7,8
43,1,6:11.0,,Turnover by J. Farmar (lost ball),7,8
44,1,5:59.0,Shooting foul by C. Andersen (drawn by D. Rose),,7,8
45,1,5:59.0,,Memphis full timeout,7,8
46,1,5:59.0,,V. Carter enters the game for M. Barnes,7,8
47,1,5:59.0,D. Rose makes free throw 1 of 2,,8,8
48,1,5:59.0,D. Rose makes free throw 2 of 2,,9,8
49,1,5:41.0,,T. Allen misses 2-pt jump shot from 15 ft,9,8
50,1,5:40.0,Defensive rebound by M. Dunleavy,,9,8
51,1,5:33.0,J. Butler misses 3-pt jump shot from 24 ft,,9,8
52,1,5:31.0,Offensive rebound by D. Rose,,9,8
53,1,5:27.0,Turnover by D. Rose (bad pass),,9,8
54,1,5:17.0,,T. Allen makes 2-pt jump shot from 21 ft (assist by V. Carter),9,10
55,1,5:04.0,P. Gasol makes 2-pt jump shot from 15 ft (assist by D. Rose),,11,10
56,1,4:40.0,,Shooting foul by B. Portis (drawn by Z. Randolph),11,10
57,1,4:40.0,,Z. Randolph makes free throw 1 of 2,11,11
58,1,4:40.0,A. Brooks enters the game for D. Rose,,11,11
59,1,4:40.0,,J. Green enters the game for C. Andersen,11,11
60,1,4:40.0,,Z. Randolph makes free throw 2 of 2,11,12
61,1,4:21.0,B. Portis makes 2-pt jump shot from 8 ft,,13,12
62,1,3:59.0,,T. Allen misses 2-pt layup from 2 ft (block by M. Dunleavy),13,12
63,1,3:59.0,N. Mirotić enters the game for B. Portis,,13,12
64,1,3:59.0,,X. Munford enters the game for J. Farmar,13,12
65,1,3:59.0,,Offensive rebound by Team,13,12
66,1,3:54.0,,X. Munford misses 2-pt jump shot from 9 ft,13,12
67,1,3:54.0,Defensive rebound by Team,,13,12
68,1,3:54.0,,Loose ball foul by Z. Randolph,13,12
69,1,3:43.0,A. Brooks misses 3-pt jump shot from 27 ft,,13,12
70,1,3:42.0,,Defensive rebound by T. Allen,13,12
71,1,3:35.0,,V. Carter misses 3-pt jump shot from 27 ft,13,12
72,1,3:32.0,,Offensive rebound by Z. Randolph,13,12
73,1,3:25.0,,Z. Randolph misses 2-pt jump shot from 4 ft (block by P. Gasol),13,12
74,1,3:23.0,,Offensive rebound by V. Carter,13,12
75,1,3:21.0,,V. Carter misses 2-pt layup from 1 ft,13,12
76,1,3:21.0,,Offensive rebound by V. Carter,13,12
77,1,3:21.0,,V. Carter misses 2-pt layup from 1 ft,13,12
78,1,3:20.0,,Offensive rebound by Z. Randolph,13,12
79,1,3:18.0,,Z. Randolph makes 2-pt layup from 2 ft,13,14
80,1,3:05.0,M. Dunleavy misses 3-pt jump shot from 24 ft,,13,14
81,1,3:04.0,,Defensive rebound by T. Allen,13,14
82,1,3:01.0,,Personal take foul by N. Mirotić,13,14
83,1,3:01.0,D. McDermott enters the game for M. Dunleavy,,13,14
84,1,2:52.0,,J. Green misses 2-pt jump shot from 12 ft,13,14
85,1,2:51.0,Defensive rebound by N. Mirotić,,13,14
86,1,2:49.0,Turnover by N. Mirotić (lost ball; steal by T. Allen),,13,14
87,1,2:47.0,,T. Allen makes 2-pt layup from 1 ft,13,16
88,1,2:47.0,Chicago full timeout,,13,16
89,1,2:47.0,,M. Barnes enters the game for T. Allen,13,16
90,1,2:28.0,N. Mirotić makes 3-pt jump shot from 26 ft (assist by P. Gasol),,16,16
91,1,2:06.0,,J. Green makes 2-pt dunk at rim (assist by Z. Randolph),16,18
92,1,1:50.0,J. Butler misses 3-pt jump shot from 23 ft,,16,18
93,1,1:49.0,,Defensive rebound by J. Green,16,18
94,1,1:36.0,,Z. Randolph makes 2-pt jump shot from 4 ft,16,20
95,1,1:26.0,P. Gasol makes 2-pt jump shot from 15 ft (assist by A. Brooks),,18,20
96,1,1:09.0,,Z. Randolph makes 2-pt layup from 1 ft,18,22
97,1,0:46.0,J. Butler misses 3-pt jump shot from 25 ft,,18,22
98,1,0:44.0,,Defensive rebound by V. Carter,18,22
99,1,0:44.0,J. Holiday enters the game for J. Butler,,18,22
100,1,0:44.0,C. Felício enters the game for P. Gasol,,18,22
101,1,0:34.0,,X. Munford misses 2-pt jump shot from 7 ft,18,22
102,1,0:32.0,,Offensive rebound by J. Green,18,22
103,1,0:32.0,,J. Green misses 2-pt dunk at rim,18,22
104,1,0:31.0,Defensive rebound by J. Holiday,,18,22
105,1,0:29.0,N. Mirotić makes 3-pt jump shot from 24 ft (assist by J. Holiday),,21,22
106,1,0:13.0,,Def 3 sec tech foul by D. McDermott,21,22
107,1,0:13.0,,V. Carter makes technical free throw,21,23
108,1,0:13.0,,J. Farmar enters the game for J. Green,21,23
109,1,0:07.0,,Turnover by X. Munford (lost ball),21,23
110,1,0:01.0,N. Mirotić misses 3-pt jump shot from 26 ft,,21,23
111,1,0:00.0,Offensive rebound by Team,,21,23
112,2,11:46.0,J. Holiday misses 2-pt jump shot from 19 ft,,21,23
113,2,11:44.0,,Defensive rebound by X. Munford,21,23
114,2,11:27.0,,J. Martin makes 2-pt layup from 1 ft (assist by V. Carter),21,25
115,2,11:27.0,,Shooting foul by D. McDermott (drawn by J. Martin),21,25
116,2,11:27.0,,J. Martin makes free throw 1 of 1,21,26
117,2,11:18.0,Turnover by A. Brooks (lost ball; steal by J. Green),,21,26
118,2,11:10.0,,X. Munford makes 2-pt jump shot from 16 ft (assist by V. Carter),21,28
119,2,10:45.0,D. Rose enters the game for A. Brooks,,21,28
120,2,10:44.0,Turnover by D. Rose (bad pass; steal by V. Carter),,21,28
121,2,10:41.0,,Turnover by X. Munford (lost ball; steal by D. Rose),21,28
122,2,10:31.0,D. McDermott makes 2-pt layup from 2 ft,,23,28
123,2,10:14.0,,V. Carter misses 2-pt jump shot from 11 ft (block by C. Felício),23,28
124,2,10:14.0,,Offensive rebound by Team,23,28
125,2,10:09.0,,J. Martin makes 2-pt dunk at rim (assist by M. Barnes),23,30
126,2,9:48.0,J. Holiday misses 3-pt jump shot from 24 ft,,23,30
127,2,9:45.0,Offensive rebound by N. Mirotić,,23,30
128,2,9:42.0,J. Holiday makes 3-pt jump shot from 23 ft (assist by N. Mirotić),,26,30
129,2,9:21.0,,V. Carter makes 2-pt layup from 1 ft,26,32
130,2,9:09.0,D. Rose makes 2-pt layup from 2 ft,,28,32
131,2,8:57.0,,M. Barnes misses 3-pt jump shot from 25 ft,28,32
132,2,8:55.0,Defensive rebound by C. Felício,,28,32
133,2,8:45.0,D. Rose makes 2-pt jump shot from 7 ft,,30,32
134,2,8:26.0,,X. Munford misses 2-pt jump shot from 13 ft,30,32
135,2,8:24.0,Defensive rebound by C. Felício,,30,32
136,2,8:14.0,J. Holiday misses 2-pt layup from 1 ft,,30,32
137,2,8:14.0,,Defensive rebound by M. Barnes,30,32
138,2,8:12.0,,Shooting block foul by D. Rose (drawn by M. Barnes),30,32
139,2,8:12.0,,Memphis full timeout,30,32
140,2,8:12.0,,T. Allen enters the game for V. Carter,30,32
141,2,8:12.0,,J. Farmar enters the game for X. Munford,30,32
142,2,8:12.0,,M. Barnes makes free throw 1 of 2,30,33
143,2,8:12.0,,M. Barnes makes free throw 2 of 2,30,34
144,2,8:03.0,Personal foul by J. Green,,30,34
145,2,7:50.0,Turnover by D. McDermott (lost ball; steal by T. Allen),,30,34
146,2,7:49.0,,Personal foul by D. McDermott,30,34
147,2,7:49.0,J. Butler enters the game for D. McDermott,,30,34
148,2,7:25.0,,J. Farmar misses 2-pt layup from 2 ft,30,34
149,2,7:23.0,,Offensive rebound by J. Green,30,34
150,2,7:23.0,,J. Green misses 2-pt layup from 2 ft,30,34
151,2,7:21.0,Defensive rebound by N. Mirotić,,30,34
152,2,7:04.0,D. Rose misses 3-pt jump shot from 24 ft,,30,34
153,2,7:03.0,,Defensive rebound by T. Allen,30,34
154,2,6:54.0,,T. Allen makes 2-pt jump shot from 3 ft,30,36
155,2,6:42.0,Turnover by C. Felício (bad pass; steal by T. Allen),,30,36
