,QUARTER,TIME_REMAINING,OKLAHOMA CITY_ACTION,LA CLIPPERS_ACTION,OKLAHOMA CITY_SCORE,LA CLIPPERS_SCORE
0,1,11:42.0,S. Adams misses 2-pt dunk at rim,,0,0
1,1,11:41.0,,Defensive rebound by C. Paul,0,0
2,1,11:32.0,,C. Paul misses 2-pt jump shot from 10 ft,0,0
3,1,11:29.0,Defensive rebound by S. Adams,,0,0
4,1,11:23.0,S. Ibaka misses 2-pt jump shot from 18 ft,,0,0
5,1,11:20.0,Offensive rebound by S. Adams,,0,0
6,1,11:11.0,K. Durant misses 3-pt jump shot from 25 ft,,0,0
7,1,11:11.0,,Defensive rebound by J. Redick,0,0
8,1,11:06.0,,Turnover by J. Redick (bad pass; steal by A. Roberson),0,0
9,1,11:01.0,A. Roberson makes 2-pt dunk at rim,,2,0
10,1,10:49.0,,J. Redick misses 2-pt jump shot from 20 ft,2,0
11,1,10:49.0,Defensive rebound by S. Adams,,2,0
12,1,10:37.0,S. Adams misses 2-pt layup from 1 ft,,2,0
13,1,10:37.0,Offensive rebound by Team,,2,0
14,1,10:24.0,K. Durant misses 3-pt jump shot from 25 ft,,2,0
15,1,10:24.0,,Defensive rebound by D. Jordan,2,0
16,1,10:14.0,,Def 3 sec tech foul by S. Ibaka,2,0
17,1,10:14.0,,C. Paul makes technical free throw,2,1
18,1,10:09.0,,J. Redick misses 3-pt jump shot from 24 ft,2,1
19,1,10:08.0,,Offensive rebound by C. Paul,2,1
20,1,10:02.0,,C. Paul misses 2-pt jump shot from 8 ft,2,1
21,1,10:02.0,,Offensive rebound by Team,2,1
22,1,10:02.0,Loose ball foul by S. Adams (drawn by D. Jordan),,2,1
23,1,9:50.0,,J. Redick makes 3-pt jump shot from 25 ft (assist by C. Paul),2,4
24,1,9:30.0,S. Ibaka makes 2-pt jump shot from 18 ft (assist by K. Durant),,4,4
25,1,9:12.0,,D. Jordan makes 2-pt dunk at rim (assist by J. Redick),4,6
26,1,8:56.0,R. Westbrook makes 2-pt jump shot from 11 ft,,6,6
27,1,8:56.0,,Violation by D. Jordan (def goaltending),6,6
28,1,8:42.0,,B. Griffin misses 2-pt jump shot from 17 ft,6,6
29,1,8:42.0,Defensive rebound by K. Durant,,6,6
30,1,8:26.0,K. Durant makes 2-pt jump shot from 11 ft,,8,6
31,1,8:07.0,,B. Griffin misses 2-pt hook shot from 5 ft,8,6
32,1,8:05.0,,Offensive rebound by L. Mbah a Moute,8,6
33,1,7:56.0,,Turnover by C. Paul (bad pass; steal by S. Ibaka),8,6
34,1,7:50.0,R. Westbrook misses 2-pt layup from 1 ft,,8,6
35,1,7:50.0,,Defensive rebound by B. Griffin,8,6
36,1,7:50.0,,Personal foul by R. Westbrook (drawn by B. Griffin),8,6
37,1,7:35.0,,J. Redick makes 2-pt jump shot from 18 ft (assist by C. Paul),8,8
38,1,7:14.0,K. Durant misses 2-pt jump shot from 9 ft,,8,8
39,1,7:13.0,,Defensive rebound by J. Redick,8,8
40,1,7:05.0,,L. Mbah a Moute makes 2-pt layup from 2 ft (assist by C. Paul),8,10
41,1,6:45.0,R. Westbrook misses 2-pt jump shot from 17 ft,,8,10
