,QUARTER,TIME_REMAINING,TORONTO_ACTION,PHOENIX_ACTION,TORONTO_SCORE,PHOENIX_SCORE
0,1,11:47.0,,M. Morris misses 2-pt jump shot from 7 ft,0,0
1,1,11:45.0,,Offensive rebound by T. Chandler,0,0
2,1,11:44.0,,M. Morris makes 2-pt jump shot from 12 ft,0,2
3,1,11:27.0,D. DeRozan misses 3-pt jump shot from 22 ft,,0,2
4,1,11:26.0,,Defensive rebound by M. Morris,0,2
5,1,11:12.0,,D. Booker makes 3-pt jump shot from 24 ft (assist by A. Goodwin),0,5
6,1,10:47.0,Turnover by N. Powell (lost ball; steal by D. Booker),,0,5
7,1,10:33.0,,A. Goodwin makes 2-pt dunk at rim,0,7
8,1,10:31.0,Toronto full timeout,,0,7
9,1,10:15.0,K. Lowry misses 2-pt jump shot from 1 ft,,0,7
10,1,10:14.0,Offensive rebound by K. Lowry,,0,7
11,1,10:14.0,K. Lowry makes 2-pt layup from 1 ft,,2,7
12,1,9:55.0,,P. Tucker makes 2-pt hook shot from 6 ft (assist by T. Chandler),2,9
13,1,9:48.0,Personal foul by P. Tucker (drawn by D. DeRozan),,2,9
14,1,9:37.0,K. Lowry makes 3-pt jump shot from 24 ft (assist by D. DeRozan),,5,9
15,1,9:28.0,,Personal foul by N. Powell (drawn by D. Booker),5,9
16,1,9:28.0,,Offensive foul by M. Morris (drawn by N. Powell),5,9
17,1,9:28.0,,Turnover by M. Morris (offensive foul),5,9
18,1,9:10.0,Turnover by K. Lowry (bad pass; steal by P. Tucker),,5,9
19,1,9:03.0,,Turnover by A. Goodwin (bad pass; steal by K. Lowry),5,9
20,1,8:57.0,K. Lowry misses 3-pt jump shot from 23 ft,,5,9
21,1,8:56.0,,Defensive rebound by D. Booker,5,9
22,1,8:52.0,,Turnover by D. Booker (lost ball; steal by N. Powell),5,9
23,1,8:43.0,J. Valančiūnas makes 2-pt layup at rim (assist by D. DeRozan),,7,9
24,1,8:43.0,Shooting foul by T. Chandler (drawn by J. Valančiūnas),,7,9
25,1,8:43.0,J. Valančiūnas makes free throw 1 of 1,,8,9
26,1,8:30.0,,P. Tucker makes 2-pt jump shot from 18 ft,8,11
27,1,8:06.0,L. Scola makes 3-pt jump shot from 22 ft (assist by D. DeRozan),,11,11
28,1,7:50.0,,M. Morris makes 2-pt jump shot from 12 ft,11,13
29,1,7:34.0,N. Powell misses 2-pt jump shot from 7 ft,,11,13
30,1,7:33.0,Offensive rebound by J. Valančiūnas,,11,13
31,1,7:33.0,J. Valančiūnas makes 2-pt layup from 1 ft,,13,13
32,1,7:14.0,,M. Morris makes 2-pt dunk at rim (assist by A. Goodwin),13,15
33,1,6:49.0,N. Powell misses 2-pt jump shot from 14 ft,,13,15
