,QUARTER,TIME_REMAINING,MIAMI_ACTION,PHOENIX_ACTION,MIAMI_SCORE,PHOENIX_SCORE
52,1,4:27.0,,B. Knight misses 3-pt jump shot from 22 ft,17,13
53,1,4:25.0,Defensive rebound by H. Whiteside,,17,13
54,1,4:15.0,D. Wade misses 2-pt jump shot from 5 ft (block by T. Chandler),,17,13
55,1,4:13.0,,Defensive rebound by A. Goodwin,17,13
56,1,4:11.0,,J. Leuer makes 2-pt layup from 1 ft (assist by A. Goodwin),17,15
57,1,3:44.0,Turnover by Team (shot clock),,17,15
58,1,3:44.0,,A. Len enters the game for T. Chandler,17,15
59,1,3:44.0,G. Green enters the game for D. Wade,,17,15
60,1,3:32.0,,Shooting foul by H. Whiteside (drawn by A. Len),17,15
61,1,3:32.0,,A. Len misses free throw 1 of 2,17,15
62,1,3:32.0,,Offensive rebound by Team,17,15
63,1,3:32.0,C. Bosh enters the game for H. Whiteside,,17,15
64,1,3:32.0,,A. Len makes free throw 2 of 2,17,16
65,1,3:22.0,Def 3 sec tech foul by A. Goodwin,,17,16
66,1,3:22.0,G. Green misses technical free throw,,17,16
67,1,3:22.0,Offensive rebound by Team,,17,16
68,1,3:15.0,Turnover by G. Dragić (bad pass),,17,16
69,1,3:07.0,,A. Goodwin makes 2-pt layup from 1 ft,17,18
70,1,3:00.0,Miami full timeout,,17,18
71,1,2:46.0,J. Winslow misses 3-pt jump shot from 23 ft,,17,18
72,1,2:45.0,,Defensive rebound by B. Knight,17,18
73,1,2:33.0,,B. Knight makes 2-pt layup from 1 ft,17,20
74,1,2:16.0,G. Dragić misses 2-pt layup at rim,,17,20
75,1,2:13.0,,Defensive rebound by B. Knight,17,20
76,1,2:08.0,,Turnover by J. Leuer (lost ball; steal by G. Dragić),17,20
77,1,2:03.0,Shooting foul by A. Goodwin (drawn by L. Deng),,17,20
78,1,2:03.0,L. Deng makes free throw 1 of 2,,18,20
79,1,2:03.0,T. Johnson enters the game for G. Dragić,,18,20
80,1,2:03.0,,T. Warren enters the game for B. Knight,18,20
81,1,2:03.0,L. Deng makes free throw 2 of 2,,19,20
82,1,1:47.0,,A. Len misses 2-pt jump shot from 14 ft,19,20
83,1,1:45.0,Defensive rebound by T. Johnson,,19,20
84,1,1:37.0,L. Deng misses 3-pt jump shot from 25 ft,,19,20
85,1,1:36.0,Offensive rebound by J. Winslow,,19,20
86,1,1:36.0,Personal foul by A. Len (drawn by J. Winslow),,19,20
87,1,1:36.0,A. Stoudemire enters the game for L. Deng,,19,20
88,1,1:22.0,J. Winslow misses 2-pt jump shot from 5 ft (block by J. Leuer),,19,20
89,1,1:20.0,Offensive rebound by J. Winslow,,19,20
90,1,1:20.0,J. Winslow makes 2-pt layup from 2 ft,,21,20
91,1,1:05.0,,J. Leuer misses 2-pt jump shot from 14 ft,21,20
92,1,1:03.0,,Offensive rebound by A. Goodwin,21,20
93,1,1:00.0,,A. Goodwin misses 2-pt jump shot from 3 ft (block by A. Stoudemire),21,20
94,1,0:58.0,,Offensive rebound by P. Tucker,21,20
95,1,0:56.0,,P. Tucker misses 3-pt jump shot from 23 ft,21,20
96,1,0:54.0,,Offensive rebound by J. Leuer,21,20
97,1,0:54.0,,J. Leuer misses 2-pt layup from 2 ft,21,20
98,1,0:52.0,Defensive rebound by J. Winslow,,21,20
99,1,0:47.0,T. Johnson misses 3-pt jump shot from 25 ft,,21,20
100,1,0:44.0,,Defensive rebound by T. Warren,21,20
101,1,0:31.0,,A. Len misses 2-pt jump shot from 19 ft,21,20
102,1,0:29.0,Defensive rebound by J. Winslow,,21,20
103,1,0:06.0,Turnover by Team (shot clock),,21,20
104,1,0:06.0,,B. Knight enters the game for A. Goodwin,21,20
105,1,0:06.0,,D. Booker enters the game for A. Len,21,20
106,1,0:06.0,L. Deng enters the game for A. Stoudemire,,21,20
107,1,0:00.0,,B. Knight misses 2-pt jump shot from 10 ft,21,20
108,1,0:00.0,,Offensive rebound by Team,21,20
109,2,11:42.0,,M. Morris misses 2-pt jump shot from 12 ft,21,20
110,2,11:40.0,Defensive rebound by C. Bosh,,21,20
111,2,11:28.0,Turnover by A. Stoudemire (traveling),,21,20
112,2,11:12.0,,A. Goodwin makes 2-pt layup from 1 ft,21,22
113,2,10:53.0,G. Green makes 2-pt jump shot from 11 ft (assist by A. Stoudemire),,23,22
114,2,10:33.0,,T. Warren makes 2-pt jump shot from 12 ft,23,24
115,2,10:17.0,G. Green misses 2-pt jump shot from 20 ft,,23,24
116,2,10:15.0,,Defensive rebound by A. Len,23,24
117,2,10:05.0,,A. Len makes 2-pt layup from 1 ft (assist by A. Goodwin),23,26
118,2,9:49.0,C. Bosh makes 2-pt layup from 1 ft (assist by T. Johnson),,25,26
119,2,9:31.0,,Shooting foul by T. Johnson (drawn by A. Goodwin),25,26
120,2,9:31.0,,A. Goodwin makes free throw 1 of 2,25,27
