,QUARTER,TIME_REMAINING,UTAH_ACTION,DENVER_ACTION,UTAH_SCORE,DENVER_SCORE
0,1,11:44.0,,J. Nurkić misses 2-pt hook shot from 4 ft,0,0
1,1,11:42.0,,Offensive rebound by N. Jokić,0,0
2,1,11:33.0,,J. Nurkić misses 2-pt hook shot from 2 ft,0,0
3,1,11:33.0,Defensive rebound by R. Gobert,,0,0
4,1,11:15.0,G. Hayward misses 2-pt jump shot from 18 ft,,0,0
5,1,11:14.0,Offensive rebound by R. Gobert,,0,0
6,1,11:13.0,R. Gobert makes 2-pt dunk at rim,,2,0
7,1,10:51.0,,J. Nurkić misses 2-pt jump shot from 16 ft,2,0
8,1,10:50.0,Defensive rebound by G. Hayward,,2,0
9,1,10:28.0,T. Lyles makes 2-pt jump shot from 21 ft (assist by G. Hayward),,4,0
10,1,10:11.0,,J. Nurkić misses 2-pt layup from 2 ft,4,0
11,1,10:11.0,,Offensive rebound by N. Jokić,4,0
12,1,10:07.0,,N. Jokić makes 2-pt hook shot from 2 ft,4,2
13,1,9:51.0,Turnover by T. Lyles (bad pass; steal by E. Mudiay),,4,2
14,1,9:46.0,,E. Mudiay makes 2-pt layup from 1 ft,4,4
15,1,9:32.0,G. Hayward makes 2-pt jump shot from 8 ft,,6,4
16,1,9:32.0,Shooting foul by J. Nurkić (drawn by G. Hayward),,6,4
17,1,9:32.0,G. Hayward makes free throw 1 of 1,,7,4
18,1,9:18.0,,Turnover by J. Nurkić (3 sec),7,4
19,1,9:02.0,Personal foul by E. Mudiay,,7,4
20,1,8:52.0,S. Mack makes 2-pt jump shot from 6 ft,,9,4
21,1,8:45.0,,J. Nurkić misses 2-pt jump shot from 17 ft,9,4
22,1,8:44.0,Defensive rebound by R. Hood,,9,4
23,1,8:26.0,T. Lyles makes 3-pt jump shot from 24 ft (assist by G. Hayward),,12,4
24,1,8:25.0,,Denver full timeout,12,4
25,1,8:10.0,,J. Nurkić misses 2-pt hook shot from 5 ft,12,4
26,1,8:08.0,Defensive rebound by G. Hayward,,12,4
27,1,7:51.0,R. Hood misses 3-pt jump shot from 24 ft,,12,4
28,1,7:50.0,,Defensive rebound by J. Nurkić,12,4
29,1,7:40.0,,E. Mudiay misses 2-pt jump shot from 10 ft,12,4
30,1,7:39.0,Defensive rebound by S. Mack,,12,4
31,1,7:32.0,Turnover by S. Mack (bad pass; steal by N. Jokić),,12,4
32,1,7:27.0,,Turnover by N. Jokić (bad pass; steal by R. Hood),12,4
33,1,7:17.0,Personal foul by N. Jokić,,12,4
34,1,7:05.0,T. Lyles makes 2-pt jump shot from 6 ft,,14,4
35,1,6:49.0,,J. Lauvergne enters the game for N. Jokić,14,4
36,1,6:49.0,,D. Arthur enters the game for J. Nurkić,14,4
37,1,6:43.0,,E. Mudiay makes 3-pt jump shot from 25 ft (assist by J. Lauvergne),14,7
38,1,6:25.0,R. Hood makes 2-pt layup from 3 ft (assist by T. Lyles),,16,7
39,1,6:14.0,,D. Arthur misses 3-pt jump shot from 24 ft,16,7
40,1,6:14.0,Defensive rebound by R. Gobert,,16,7
41,1,6:08.0,R. Gobert misses 2-pt layup from 1 ft,,16,7
42,1,6:07.0,Offensive rebound by R. Gobert,,16,7
43,1,6:06.0,Shooting foul by D. Arthur (drawn by R. Gobert),,16,7
44,1,6:06.0,R. Gobert makes free throw 1 of 2,,17,7
45,1,6:06.0,R. Gobert misses free throw 2 of 2,,17,7
46,1,6:05.0,,Defensive rebound by D. Arthur,17,7
47,1,5:53.0,,D. Arthur makes 3-pt jump shot from 24 ft (assist by E. Mudiay),17,10
48,1,5:35.0,S. Mack misses 2-pt jump shot from 13 ft,,17,10
49,1,5:33.0,,Defensive rebound by E. Mudiay,17,10
50,1,5:25.0,,J. Lauvergne misses 2-pt layup at rim,17,10
51,1,5:25.0,,Offensive rebound by J. Sampson,17,10
52,1,5:17.0,,G. Harris misses 3-pt jump shot from 23 ft,17,10
53,1,5:16.0,Defensive rebound by T. Lyles,,17,10
54,1,5:13.0,Personal foul by J. Sampson,,17,10
55,1,5:13.0,G. Hayward makes free throw 1 of 2,,18,10
56,1,5:13.0,,W. Barton enters the game for J. Sampson,18,10
57,1,5:13.0,T. Booker enters the game for T. Lyles,,18,10
58,1,5:13.0,J. Ingles enters the game for R. Hood,,18,10
59,1,5:13.0,G. Hayward makes free throw 2 of 2,,19,10
60,1,5:02.0,,G. Harris misses 2-pt jump shot from 11 ft,19,10
61,1,5:01.0,Defensive rebound by R. Gobert,,19,10
62,1,4:46.0,G. Hayward misses 3-pt jump shot from 25 ft,,19,10
63,1,4:45.0,,Defensive rebound by E. Mudiay,19,10
64,1,4:40.0,,D. Arthur makes 2-pt dunk at rim (assist by E. Mudiay),19,12
65,1,4:14.0,Turnover by Team (shot clock),,19,12
66,1,4:01.0,,E. Mudiay makes 2-pt jump shot from 18 ft,19,14
67,1,3:44.0,S. Mack makes 2-pt jump shot from 7 ft,,21,14
68,1,3:33.0,,D. Arthur misses 3-pt jump shot from 26 ft,21,14
69,1,3:33.0,Defensive rebound by R. Gobert,,21,14
70,1,3:21.0,J. Ingles misses 3-pt jump shot from 25 ft,,21,14
71,1,3:20.0,Offensive rebound by T. Booker,,21,14
72,1,3:18.0,Shooting foul by D. Arthur (drawn by T. Booker),,21,14
73,1,3:18.0,T. Booker makes free throw 1 of 2,,22,14
74,1,3:18.0,T. Booker makes free throw 2 of 2,,23,14
75,1,3:01.0,,Shooting foul by R. Gobert (drawn by G. Harris),23,14
76,1,3:01.0,,G. Harris makes free throw 1 of 2,23,15
77,1,3:01.0,Utah full timeout,,23,15
78,1,3:01.0,,G. Harris makes free throw 2 of 2,23,16
