,QUARTER,TIME_REMAINING,HOUSTON_ACTION,OKLAHOMA CITY_ACTION,HOUSTON_SCORE,OKLAHOMA CITY_SCORE
0,1,11:40.0,D. Motiejūnas misses 2-pt layup from 2 ft,,0,0
1,1,11:40.0,Offensive rebound by D. Motiejūnas,,0,0
2,1,11:36.0,P. Beverley makes 3-pt jump shot from 24 ft (assist by D. Motiejūnas),,3,0
3,1,11:17.0,,S. Ibaka makes 2-pt jump shot from 17 ft (assist by K. Durant),3,2
4,1,10:53.0,D. Howard misses 2-pt hook shot from 3 ft,,3,2
5,1,10:53.0,,Defensive rebound by R. Westbrook,3,2
6,1,10:49.0,,Turnover by R. Westbrook (lost ball),3,2
7,1,10:39.0,T. Ariza misses 3-pt jump shot from 24 ft,,3,2
8,1,10:38.0,,Defensive rebound by R. Westbrook,3,2
9,1,10:25.0,,S. Ibaka misses 2-pt jump shot from 11 ft,3,2
10,1,10:25.0,Defensive rebound by J. Harden,,3,2
11,1,10:13.0,T. Ariza misses 2-pt layup from 1 ft (block by S. Adams),,3,2
12,1,10:12.0,,Defensive rebound by A. Roberson,3,2
13,1,10:06.0,,K. Durant misses 2-pt jump shot from 3 ft,3,2
14,1,10:05.0,,Offensive rebound by K. Durant,3,2
15,1,10:02.0,,K. Durant makes 2-pt jump shot from 4 ft,3,4
16,1,9:40.0,D. Howard makes 2-pt dunk at rim (assist by J. Harden),,5,4
17,1,9:22.0,,Personal foul by J. Harden,5,4
18,1,9:05.0,,R. Westbrook misses 3-pt jump shot from 23 ft,5,4
19,1,9:05.0,Defensive rebound by J. Harden,,5,4
20,1,8:59.0,J. Harden misses 3-pt jump shot from 24 ft,,5,4
21,1,8:58.0,,Defensive rebound by R. Westbrook,5,4
22,1,8:46.0,,S. Adams makes 2-pt layup at rim (assist by R. Westbrook),5,6
23,1,8:31.0,D. Motiejūnas makes 2-pt hook shot from 4 ft (assist by D. Howard),,7,6
24,1,8:21.0,,Turnover by R. Westbrook (bad pass; steal by T. Ariza),7,6
25,1,8:18.0,Personal foul by R. Westbrook,,7,6
26,1,8:09.0,J. Harden makes 2-pt jump shot from 14 ft (assist by T. Ariza),,9,6
27,1,7:48.0,,S. Ibaka makes 3-pt jump shot from 24 ft (assist by R. Westbrook),9,9
28,1,7:28.0,P. Beverley makes 3-pt jump shot from 23 ft (assist by J. Harden),,12,9
29,1,7:20.0,,S. Ibaka makes 2-pt dunk at rim,12,11
30,1,7:07.0,D. Motiejūnas makes 2-pt layup from 1 ft (assist by J. Harden),,14,11
31,1,6:56.0,,Turnover by K. Durant (bad pass; steal by T. Ariza),14,11
32,1,6:52.0,Turnover by D. Motiejūnas (lost ball),,14,11
33,1,6:52.0,M. Beasley enters the game for D. Motiejūnas,,14,11
34,1,6:43.0,,R. Westbrook makes 2-pt jump shot from 5 ft,14,13
35,1,6:43.0,,Shooting foul by P. Beverley (drawn by R. Westbrook),14,13
36,1,6:43.0,,R. Westbrook makes free throw 1 of 1,14,14
37,1,6:30.0,D. Howard makes 2-pt dunk at rim (assist by J. Harden),,16,14
38,1,6:09.0,,Turnover by K. Durant (lost ball; steal by P. Beverley),16,14
39,1,6:04.0,P. Beverley makes 2-pt layup at rim,,18,14
40,1,5:53.0,,Personal foul by P. Beverley,18,14
41,1,5:53.0,,Oklahoma City full timeout,18,14
42,1,5:53.0,C. Capela enters the game for D. Howard,,18,14
43,1,5:53.0,C. Brewer enters the game for P. Beverley,,18,14
44,1,5:45.0,,R. Westbrook misses 3-pt jump shot from 24 ft,18,14
45,1,5:45.0,,Offensive rebound by Team,18,14
46,1,5:45.0,Loose ball foul by C. Capela,,18,14
47,1,5:45.0,,D. Waiters enters the game for K. Durant,18,14
48,1,5:38.0,,S. Ibaka misses 3-pt jump shot from 24 ft,18,14
49,1,5:37.0,Defensive rebound by J. Harden,,18,14
50,1,5:31.0,C. Capela misses 2-pt jump shot from 3 ft (block by S. Ibaka),,18,14
51,1,5:29.0,Offensive rebound by M. Beasley,,18,14
52,1,5:25.0,J. Harden misses 3-pt jump shot from 24 ft,,18,14
53,1,5:25.0,,Defensive rebound by D. Waiters,18,14
54,1,5:19.0,,S. Ibaka misses 2-pt layup at rim,18,14
55,1,5:18.0,Defensive rebound by J. Harden,,18,14
56,1,5:12.0,M. Beasley makes 2-pt jump shot from 7 ft (assist by J. Harden),,20,14
57,1,4:56.0,,D. Waiters makes 2-pt layup from 1 ft,20,16
58,1,4:44.0,M. Beasley makes 3-pt jump shot from 22 ft (assist by T. Ariza),,23,16
59,1,4:29.0,,S. Adams makes 2-pt dunk at rim (assist by R. Westbrook),23,18
60,1,4:16.0,C. Brewer misses 3-pt jump shot from 24 ft,,23,18
61,1,4:15.0,,Defensive rebound by D. Waiters,23,18
62,1,4:10.0,,Turnover by D. Waiters (bad pass; steal by C. Capela),23,18
63,1,3:59.0,J. Harden misses 2-pt layup from 1 ft (block by A. Roberson),,23,18
64,1,3:59.0,,Defensive rebound by S. Ibaka,23,18
65,1,3:49.0,,A. Roberson misses 3-pt jump shot from 23 ft,23,18
66,1,3:48.0,,Offensive rebound by R. Westbrook,23,18
67,1,3:41.0,,S. Ibaka misses 2-pt jump shot from 19 ft,23,18
68,1,3:40.0,Defensive rebound by C. Brewer,,23,18
69,1,3:36.0,Shooting foul by A. Roberson (drawn by C. Brewer),,23,18
70,1,3:36.0,C. Brewer misses free throw 1 of 2,,23,18
71,1,3:36.0,Offensive rebound by Team,,23,18
72,1,3:36.0,,R. Foye enters the game for A. Roberson,23,18
73,1,3:36.0,J. Terry enters the game for T. Ariza,,23,18
74,1,3:36.0,,E. Freedom enters the game for S. Adams,23,18
75,1,3:36.0,D. Howard enters the game for C. Capela,,23,18
76,1,3:36.0,C. Brewer makes free throw 2 of 2,,24,18
77,1,3:23.0,,S. Ibaka misses 2-pt jump shot from 7 ft,24,18
78,1,3:22.0,Defensive rebound by D. Howard,,24,18
79,1,3:11.0,M. Beasley misses 2-pt jump shot from 17 ft,,24,18
80,1,3:08.0,Offensive rebound by Team,,24,18
81,1,3:08.0,,K. Durant enters the game for S. Ibaka,24,18
82,1,3:08.0,,C. Payne enters the game for R. Westbrook,24,18
83,1,3:08.0,Houston full timeout,,24,18
84,1,3:08.0,T. Ariza enters the game for J. Harden,,24,18
85,1,3:01.0,J. Terry misses 2-pt jump shot from 14 ft,,24,18
86,1,3:00.0,,Defensive rebound by E. Freedom,24,18
87,1,2:46.0,,K. Durant misses 3-pt jump shot from 24 ft,24,18
88,1,2:46.0,Defensive rebound by D. Howard,,24,18
89,1,2:38.0,T. Ariza misses 3-pt jump shot from 25 ft,,24,18
90,1,2:37.0,Offensive rebound by J. Terry,,24,18
91,1,2:26.0,M. Beasley misses 2-pt jump shot from 15 ft,,24,18
92,1,2:25.0,Offensive rebound by D. Howard,,24,18
93,1,2:22.0,T. Ariza makes 3-pt jump shot from 24 ft (assist by D. Howard),,27,18
94,1,2:19.0,,Oklahoma City full timeout,27,18
95,1,2:02.0,,E. Freedom makes 2-pt jump shot from 14 ft,27,20
96,1,1:51.0,Turnover by M. Beasley (bad pass; steal by R. Foye),,27,20
97,1,1:43.0,,C. Payne makes 3-pt jump shot from 24 ft (assist by R. Foye),27,23
98,1,1:25.0,C. Brewer misses 2-pt jump shot from 8 ft,,27,23
99,1,1:24.0,Offensive rebound by T. Ariza,,27,23
100,1,1:11.0,M. Beasley misses 2-pt layup from 2 ft,,27,23
101,1,1:11.0,Offensive rebound by Team,,27,23
102,1,1:11.0,Turnover by M. Beasley (traveling),,27,23
103,1,1:06.0,,D. Waiters misses 2-pt layup from 1 ft (block by M. Beasley),27,23
104,1,1:05.0,Defensive rebound by D. Howard,,27,23
105,1,1:00.0,C. Brewer misses 2-pt layup from 2 ft,,27,23
106,1,1:00.0,,Defensive rebound by Team,27,23
107,1,0:45.0,,K. Durant makes 2-pt dunk at rim,27,25
108,1,0:32.0,T. Ariza misses 3-pt jump shot from 24 ft,,27,25
109,1,0:31.0,,Defensive rebound by K. Durant,27,25
110,1,0:23.0,,K. Durant makes 3-pt jump shot from 24 ft,27,28
