,QUARTER,TIME_REMAINING,DALLAS_ACTION,MINNESOTA_ACTION,DALLAS_SCORE,MINNESOTA_SCORE
0,1,11:47.0,,A. Wiggins makes 2-pt jump shot from 13 ft (assist by K. Garnett),0,2
1,1,11:47.0,,Shooting foul by W. Matthews (drawn by A. Wiggins),0,2
2,1,11:47.0,,A. Wiggins misses free throw 1 of 1,0,2
3,1,11:47.0,Defensive rebound by C. Parsons,,0,2
4,1,11:30.0,D. Nowitzki makes 2-pt layup at rim (assist by W. Matthews),,2,2
5,1,11:10.0,,R. Rubio makes 2-pt layup from 1 ft,2,4
6,1,11:10.0,,Shooting foul by D. Nowitzki (drawn by R. Rubio),2,4
7,1,11:10.0,,R. Rubio misses free throw 1 of 1,2,4
8,1,11:10.0,Defensive rebound by Z. Pachulia,,2,4
9,1,10:56.0,C. Parsons makes 2-pt layup at rim,,4,4
10,1,10:42.0,,R. Rubio makes 2-pt jump shot from 21 ft (assist by T. Prince),4,6
11,1,10:25.0,Z. Pachulia misses 2-pt jump shot from 9 ft,,4,6
12,1,10:24.0,,Defensive rebound by R. Rubio,4,6
13,1,10:15.0,,K. Garnett makes 2-pt jump shot from 19 ft (assist by R. Rubio),4,8
14,1,10:03.0,Turnover by D. Williams (step out of bounds),,4,8
15,1,9:42.0,,T. Prince makes 2-pt jump shot from 19 ft (assist by R. Rubio),4,10
16,1,9:19.0,W. Matthews misses 3-pt jump shot from 24 ft,,4,10
17,1,9:18.0,,Defensive rebound by R. Rubio,4,10
18,1,9:07.0,,A. Wiggins misses 3-pt jump shot from 25 ft,4,10
19,1,9:05.0,,Offensive rebound by T. Prince,4,10
20,1,9:01.0,,R. Rubio misses 3-pt jump shot from 24 ft,4,10
21,1,9:00.0,,Offensive rebound by A. Wiggins,4,10
22,1,8:59.0,,Shooting foul by C. Parsons (drawn by A. Wiggins),4,10
23,1,8:59.0,,A. Wiggins makes free throw 1 of 2,4,11
24,1,8:59.0,,A. Wiggins makes free throw 2 of 2,4,12
25,1,8:51.0,Personal foul by K. Garnett (drawn by D. Nowitzki),,4,12
26,1,8:45.0,D. Williams misses 2-pt layup from 1 ft,,4,12
27,1,8:44.0,Offensive rebound by D. Nowitzki,,4,12
28,1,8:43.0,D. Nowitzki misses 2-pt layup at rim (block by K. Towns),,4,12
29,1,8:42.0,Offensive rebound by Team,,4,12
30,1,8:39.0,D. Nowitzki makes 2-pt jump shot from 18 ft (assist by D. Williams),,6,12
31,1,8:23.0,,R. Rubio misses 2-pt jump shot from 20 ft,6,12
32,1,8:22.0,Defensive rebound by Z. Pachulia,,6,12
33,1,8:17.0,Personal foul by K. Garnett (drawn by D. Nowitzki),,6,12
34,1,8:17.0,,G. Dieng enters the game for K. Garnett,6,12
35,1,8:07.0,D. Nowitzki makes 3-pt jump shot from 22 ft (assist by D. Williams),,9,12
36,1,7:41.0,,T. Prince misses 2-pt jump shot from 22 ft,9,12
37,1,7:38.0,Defensive rebound by W. Matthews,,9,12
38,1,7:26.0,D. Nowitzki misses 2-pt jump shot from 17 ft,,9,12
39,1,7:25.0,Offensive rebound by Z. Pachulia,,9,12
40,1,7:24.0,Shooting foul by K. Towns (drawn by Z. Pachulia),,9,12
41,1,7:24.0,Z. Pachulia makes free throw 1 of 2,,10,12
42,1,7:24.0,Z. Pachulia makes free throw 2 of 2,,11,12
43,1,7:10.0,,A. Wiggins makes 2-pt jump shot from 3 ft,11,14
44,1,6:50.0,Z. Pachulia makes 2-pt layup from 1 ft (assist by D. Williams),,13,14
45,1,6:50.0,Shooting foul by K. Towns (drawn by Z. Pachulia),,13,14
46,1,6:50.0,D. Powell enters the game for D. Nowitzki,,13,14
47,1,6:50.0,Z. Pachulia makes free throw 1 of 1,,14,14
48,1,6:46.0,,Minnesota full timeout,14,14
49,1,6:46.0,,N. Peković enters the game for K. Towns,14,14
50,1,6:46.0,R. Felton enters the game for C. Parsons,,14,14
51,1,6:29.0,,N. Peković makes 2-pt layup at rim (assist by R. Rubio),14,16
52,1,6:00.0,D. Williams misses 3-pt jump shot from 23 ft,,14,16
53,1,5:59.0,Offensive rebound by Team,,14,16
54,1,5:59.0,Turnover by Team (shot clock),,14,16
55,1,5:47.0,,Turnover by G. Dieng (bad pass),14,16
56,1,5:38.0,Z. Pachulia misses 2-pt jump shot from 12 ft,,14,16
57,1,5:37.0,,Defensive rebound by G. Dieng,14,16
58,1,5:31.0,,Personal foul by Z. Pachulia (drawn by N. Peković),14,16
59,1,5:22.0,,A. Wiggins misses 2-pt jump shot from 12 ft,14,16
60,1,5:19.0,,Offensive rebound by G. Dieng,14,16
61,1,5:01.0,,T. Prince makes 2-pt jump shot from 21 ft (assist by A. Wiggins),14,18
62,1,4:48.0,Personal foul by N. Peković (drawn by Z. Pachulia),,14,18
63,1,4:48.0,Z. Pachulia makes free throw 1 of 2,,15,18
64,1,4:48.0,Z. Pachulia makes free throw 2 of 2,,16,18
65,1,4:28.0,,A. Wiggins misses 2-pt jump shot from 19 ft,16,18
66,1,4:27.0,Defensive rebound by D. Powell,,16,18
67,1,4:18.0,Turnover by W. Matthews (bad pass; steal by R. Rubio),,16,18
68,1,4:00.0,,N. Peković misses 2-pt jump shot from 5 ft,16,18
69,1,3:58.0,Defensive rebound by D. Powell,,16,18
70,1,3:46.0,W. Matthews misses 2-pt layup at rim,,16,18
71,1,3:44.0,Offensive rebound by Z. Pachulia,,16,18
72,1,3:42.0,Z. Pachulia makes 2-pt layup at rim,,18,18
73,1,3:40.0,Technical foul by W. Matthews,,18,18
74,1,3:40.0,,R. Rubio makes technical free throw,18,19
75,1,3:40.0,,S. Muhammad enters the game for T. Prince,18,19
76,1,3:30.0,Violation by R. Felton (kicked ball),,18,19
77,1,3:22.0,,A. Wiggins misses 3-pt jump shot from 23 ft,18,19
78,1,3:21.0,Defensive rebound by D. Powell,,18,19
79,1,3:13.0,Turnover by D. Williams (bad pass; steal by R. Rubio),,18,19
80,1,3:09.0,,Shooting foul by D. Powell (drawn by S. Muhammad),18,19
81,1,3:09.0,,S. Muhammad misses free throw 1 of 2,18,19
82,1,3:09.0,,Offensive rebound by Team,18,19
83,1,3:09.0,D. Harris enters the game for D. Williams,,18,19
84,1,3:09.0,D. Nowitzki enters the game for Z. Pachulia,,18,19
85,1,3:09.0,J. McGee enters the game for D. Powell,,18,19
86,1,3:09.0,C. Parsons enters the game for W. Matthews,,18,19
87,1,3:09.0,Dallas full timeout,,18,19
88,1,3:09.0,,S. Muhammad makes free throw 2 of 2,18,20
89,1,2:55.0,Turnover by D. Harris (bad pass),,18,20
90,1,2:55.0,,Z. LaVine enters the game for R. Rubio,18,20
91,1,2:35.0,,G. Dieng misses 2-pt jump shot from 19 ft,18,20
92,1,2:34.0,Defensive rebound by C. Parsons,,18,20
93,1,2:21.0,D. Nowitzki misses 2-pt jump shot from 17 ft,,18,20
94,1,2:20.0,,Defensive rebound by A. Wiggins,18,20
95,1,2:14.0,,Offensive foul by N. Peković (drawn by R. Felton),18,20
96,1,2:14.0,,Turnover by N. Peković (offensive foul),18,20
97,1,2:01.0,Personal foul by G. Dieng (drawn by D. Harris),,18,20
98,1,2:01.0,D. Harris makes free throw 1 of 2,,19,20
99,1,2:01.0,D. Harris makes free throw 2 of 2,,20,20
100,1,1:44.0,,N. Peković makes 2-pt layup from 2 ft (assist by Z. LaVine),20,22
101,1,1:31.0,D. Harris misses 3-pt jump shot from 23 ft,,20,22
102,1,1:30.0,,Defensive rebound by S. Muhammad,20,22
103,1,1:09.0,,Z. LaVine misses 2-pt jump shot from 18 ft,20,22
104,1,1:08.0,Defensive rebound by D. Nowitzki,,20,22
105,1,0:53.0,D. Nowitzki misses 2-pt jump shot from 7 ft,,20,22
106,1,0:52.0,,Defensive rebound by Z. LaVine,20,22
107,1,0:47.0,,S. Muhammad misses 3-pt jump shot from 24 ft,20,22
108,1,0:43.0,,Offensive rebound by Team,20,22
109,1,0:28.0,,A. Wiggins misses 2-pt jump shot from 17 ft,20,22
110,1,0:27.0,Defensive rebound by D. Nowitzki,,20,22
111,1,0:05.0,J. McGee makes 2-pt dunk at rim (assist by C. Parsons),,22,22
112,1,0:00.0,,Z. LaVine misses 2-pt jump shot from 19 ft,22,22
113,1,0:00.0,,Offensive rebound by Team,22,22
114,2,11:39.0,D. Nowitzki makes 2-pt jump shot from 21 ft (assist by C. Parsons),,24,22
115,2,11:27.0,,Offensive foul by G. Dieng (drawn by J. McGee),24,22
116,2,11:27.0,,Turnover by G. Dieng (offensive foul),24,22
117,2,11:14.0,J. McGee makes 2-pt dunk at rim (assist by D. Harris),,26,22
118,2,10:49.0,,S. Muhammad makes 2-pt dunk at rim (assist by A. Payne),26,24
119,2,10:34.0,J. McGee misses 2-pt hook shot from 6 ft,,26,24
120,2,10:32.0,,Defensive rebound by A. Payne,26,24
121,2,10:25.0,,Shooting foul by J. McGee (drawn by S. Muhammad),26,24
122,2,10:25.0,,S. Muhammad misses free throw 1 of 2,26,24
123,2,10:25.0,,Offensive rebound by Team,26,24
124,2,10:25.0,,S. Muhammad makes free throw 2 of 2,26,25
125,2,10:08.0,D. Nowitzki makes 2-pt jump shot from 19 ft,,28,25
126,2,9:54.0,,K. Martin makes 2-pt jump shot from 17 ft,28,27
127,2,9:43.0,Shooting foul by S. Muhammad (drawn by C. Parsons),,28,27
128,2,9:43.0,C. Parsons misses free throw 1 of 2,,28,27
129,2,9:43.0,Offensive rebound by Team,,28,27
130,2,9:43.0,C. Parsons misses free throw 2 of 2,,28,27
131,2,9:42.0,,Defensive rebound by G. Dieng,28,27
132,2,9:26.0,,K. Martin misses 2-pt jump shot from 19 ft,28,27
133,2,9:25.0,Defensive rebound by C. Parsons,,28,27
134,2,9:14.0,D. Nowitzki makes 3-pt jump shot from 24 ft (assist by J. Barea),,31,27
135,2,8:55.0,,K. Martin makes 2-pt jump shot from 11 ft,31,29
136,2,8:48.0,D. Harris misses 2-pt layup from 1 ft,,31,29
137,2,8:47.0,Offensive rebound by J. McGee,,31,29
138,2,8:47.0,J. McGee makes 2-pt dunk at rim,,33,29
139,2,8:42.0,,Minnesota full timeout,33,29
140,2,8:42.0,D. Powell enters the game for D. Nowitzki,,33,29
141,2,8:31.0,,Turnover by K. Martin (traveling),33,29
142,2,8:18.0,C. Parsons misses 2-pt jump shot from 8 ft,,33,29
143,2,8:16.0,,Defensive rebound by G. Dieng,33,29
144,2,7:58.0,,Turnover by Z. LaVine (lost ball; steal by D. Harris),33,29
145,2,7:54.0,C. Parsons makes 2-pt dunk at rim (assist by D. Harris),,35,29
146,2,7:35.0,,Turnover by K. Martin (bad pass; steal by D. Powell),35,29
147,2,7:31.0,C. Parsons makes 2-pt layup at rim (assist by D. Powell),,37,29
148,2,7:13.0,,K. Martin makes 2-pt jump shot from 9 ft (assist by G. Dieng),37,31
149,2,6:52.0,J. McGee misses 2-pt jump shot from 13 ft,,37,31
150,2,6:51.0,,Defensive rebound by K. Martin,37,31
151,2,6:42.0,,A. Payne misses 3-pt jump shot from 24 ft,37,31
152,2,6:40.0,,Offensive rebound by G. Dieng,37,31
153,2,6:33.0,,Shooting foul by D. Harris (drawn by K. Martin),37,31
154,2,6:33.0,,K. Martin makes free throw 1 of 3,37,32
155,2,6:33.0,,K. Martin makes free throw 2 of 3,37,33
156,2,6:33.0,,R. Rubio enters the game for Z. LaVine,37,33
157,2,6:33.0,D. Williams enters the game for D. Harris,,37,33
158,2,6:33.0,W. Matthews enters the game for C. Parsons,,37,33
159,2,6:33.0,Z. Pachulia enters the game for J. McGee,,37,33
160,2,6:33.0,,K. Martin makes free throw 3 of 3,37,34
161,2,6:22.0,J. Barea makes 2-pt jump shot from 20 ft,,39,34
162,2,5:57.0,,K. Martin misses 3-pt jump shot from 24 ft,39,34
163,2,5:55.0,,Offensive rebound by G. Dieng,39,34
164,2,5:46.0,,Personal foul by J. Barea,39,34
165,2,5:46.0,,Minnesota full timeout,39,34
166,2,5:46.0,,A. Wiggins enters the game for K. Martin,39,34
167,2,5:41.0,,R. Rubio misses 2-pt jump shot from 18 ft,39,34
168,2,5:40.0,Defensive rebound by J. Barea,,39,34
169,2,5:23.0,W. Matthews misses 3-pt jump shot from 24 ft,,39,34
170,2,5:22.0,,Defensive rebound by S. Muhammad,39,34
171,2,5:12.0,Violation by D. Powell (kicked ball),,39,34
172,2,4:58.0,,A. Payne misses 2-pt jump shot from 5 ft,39,34
173,2,4:57.0,Defensive rebound by Z. Pachulia,,39,34
174,2,4:51.0,Turnover by J. Barea (lost ball; steal by A. Wiggins),,39,34
175,2,4:46.0,,S. Muhammad makes 2-pt dunk at rim (assist by R. Rubio),39,36
176,2,4:39.0,Shooting foul by S. Muhammad (drawn by W. Matthews),,39,36
177,2,4:39.0,W. Matthews makes free throw 1 of 2,,40,36
178,2,4:39.0,,T. Prince enters the game for S. Muhammad,40,36
